ID,Conformers,Name,SMILES,Coord Atoms,Keep H's
L0001,1,(-)-sparteine,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1,"4, 10",no
L0002,1,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",N(/N=C/C=N/Nc1ccccc1)c1ccccc1,"2, 5",no
L0003,1,"(1R,2R)-1,2-diaminocyclohexane",N[C@@H]1CCCC[C@H]1N,"1, 8",yes
L0004,1,"(1R,2R)-cyclohex-4-ene-1,2-diamine",N[C@@H]1CC=CC[C@H]1N,"1, 8",yes
L0005,1,"(1R,2R)-cyclopropane-1,2-diamine",N[C@@H]1C[C@H]1N,"1, 5",yes
L0006,1,"(1R,2R)-N,N-dimethylcyclohexane-1,2-diamine",CN(C)[C@@H]1CCCC[C@H]1N,"2, 10",yes
L0007,1,"(1R,2S)-N1,N2- dimethylcyclohexane-1,2-diamine",CN[C@@H]1CCCC[C@@H]1NC,"2, 9",yes
L0008,1,"(1S,2S,N1E,N2E)-N,N'-bis(pyridin-2-ylmethylene)cyclohexane-1,2-diamine",C1CC[C@H](N=Cc2ccccn2)[C@H](C1)N=Cc1ccccn1,"5, 15",no
L0009,2,"(1S,2S,N1E,N2E)-N,N'-bis(pyridin-2-ylmethylene)cyclohexane-1,2-diamine",C1CC[C@H](N=Cc2ccccn2)[C@H](C1)N=Cc1ccccn1,"5, 12",no
L0010,1,"(1S,2S)-N,N-dimethylcyclohexane-1,2-diamine",CN(C)[C@H]1CCCC[C@@H]1N,"2, 10",yes
L0011,1,"(1S,2S)-N,N'-dimethyl-1,2-diaminocyclohexane",CN[C@H]1CCCC[C@@H]1NC,"2, 9",yes
L0012,1,(E)-2-hydroxylbenzaldehyde oxime,O/N=C/c1ccccc1O,"2, 10",no
L0013,1,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,CN(C)/C=C/C(=O)c1ccccc1O,"2, 7",no
L0014,1,(E)-pyridin-2-aldoxime,O/N=C/c1ccccn1,"2, 9",no
L0015,1,"(R,R)-N,N'-dimethyl-1,2-diaminocyclohexane",CN[C@@H]1CCCC[C@H]1NC,"2, 9",yes
L0016,1,"(S,S)-1,2-diaminocyclohexane",N[C@H]1CCCC[C@@H]1N,"1, 8",yes
L0017,1,"[N,N′-bis-((2'-pyridine)methylene)]-1,2-diaminocyclohexane",C1CCC(C(C1)N=Cc1ccccn1)N=Cc1ccccn1,"7, 15",no
L0018,2,"[N,N′-bis-((2'-pyridine)methylene)]-1,2-diaminocyclohexane",C1CCC(C(C1)N=Cc1ccccn1)N=Cc1ccccn1,"7, 14",no
L0019,1,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,CN(C)C=CC(=O)c1ccccc1O,"2, 7",no
L0020,1,1-(2-methylhydrazine-1-carbonyl)isoquinoline 2-oxide,CNNC(=O)c1c2ccccc2cc[n+]1[O-],"2, 16",no
L0021,1,"1-(2-pyridyl)-3-(2-pyridyl)-1,3-propanedione",O=C(C=C([O-])C1=NC=CC=C1)C2=NC=CC=C2,"1, 5",no
L0022,1,"1-(4-methoxyphenyl)-2,4,4-trimethylpentane-1,3-dione",COC1=CC=C(C=C1)\C([O-])=C(/C)C(=O)C(C)(C)C,"10, 14",no
L0023,1,"1-(4-nitrophenyl)-3-N,N-dimethylamino-2-propen-1-one",CN(C)C=CC(=O)c1ccc(cc1)N(=O)=O,"2, 7",no
L0024,1,"1-(5,6,7,8-tetrahydroquinolin-8-yl)ethan-1-one",CC(=O)C1CCCc2cccnc12,"3, 12",no
L0025,1,1-(dimethylamino-1-yl-pyridin-2-yl-methyl)naphthalen-2-ol,CN(C)C(c1ncccc1)c1c(O)ccc2ccccc12,"2, 6",no
L0026,1,1-Butylimidazole,CCCCn1ccnc1,8,no
L0027,1,"1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinoline carboxylic acid",CCn1cc(C(=O)O)c(=O)c2cc(F)c(cc12)N1CCNCC1,"8, 10",no
L0028,1,"1-hydroxy-pyrrolidine-2,5-dione",ON1C(=O)CCC1=O,"1, 4",no
L0029,1,1-Hydroxymethyl-1H-benzotriazole,OCn1nnc2ccccc12,"1, 4",no
L0030,1,1-methyl-1H-imidazole,Cn1ccnc1,5,no
L0031,1,"1-methyl-2,3,4,6,7,8-hexahydro-1H-pyrimido[1,2-a]pyrimidine",CN1CCCN2CCCN=C12,10,no
L0032,1,"1-methyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",Cn1cc(cn1)B1OC(C)(C)C(C)(C)O1,6,no
L0033,1,1-Methylpyrrolidine,CN1CCCC1,2,no
L0034,1,1-tetralone oxime,ON=C1CCCc2ccccc12,2,no
L0035,1,"1,1-dimethylethylenediamine",CC(C)(N)CN,"4, 6",yes
L0036,1,"1,1,1,5,5,5-hexafluoroacetylacetone",FC(F)(F)C([O-])=CC(=O)C(F)(F)F,"6, 9",no
L0037,1,"1,1,3,3-tetramethyl-1,3-bis(3-pyridinyl)disiloxane",C[Si](C)(O[Si](C)(C)c1cccnc1)c1cccnc1,"12, 18",no
L0038,1,"1,1'-azobis(1-cyanocyclohexanenitrile)",N#CC1(CCCCC1)/N=N/C1(CCCCC1)C#N,"1, 18",no
L0039,1,"1,1'-bi-2-naphthol",Oc1ccc2ccccc2c1c1c(O)ccc2ccccc12,"1, 14",no
L0040,1,"1,1'-binaphthyl-2,2'-diamine",Nc1ccc2ccccc2c1c1c(N)ccc2ccccc12,"1, 14",yes
L0041,1,"1,1'-methylenebis(3,5-dimethyl-1H-pyrazole)",Cc1cc(C)n(Cn2nc(C)cc2C)n1,"9, 15",no
L0042,1,"1,10-Phenanthroline",c1cnc2c(c1)ccc1cccnc21,"3, 13",no
L0043,1,"1,10-phenanthroline N-oxide",[O-][n+]1cccc2ccc3cccnc3c12,"1, 13",no
L0044,1,"1,10-phenanthroline-4,7-diol",Oc1ccnc2c1ccc1c(O)ccnc21,"5, 15",no
L0045,1,"1,2-bis(2-pyridyl)ethane-N,N'-dioxide",[O-][n+]1ccccc1CCc1cccc[n+]1[O-],"1, 16",no
L0046,1,"1,2-bis(2,6-diisopropylphenylimino)ethane",CC(C)c1cccc(C(C)C)c1N=CC=Nc1c(cccc1C(C)C)C(C)C,"13, 16",no
L0047,1,"1,2-diaminocyclohexane",NC1CCCCC1N,"1, 8",yes
L0048,1,"1,2-diaminopropan",CC(N)CN,"3, 5",yes
L0049,1,"1,2-diazine",c1ccnnc1,4,no
L0050,1,"1,2-dimethylcyclohexane-1,2-diamine",CC1(N)CCCCC1(C)N,"3, 10",yes
L0051,1,"1,2-ethanedione dioxime",ON=CC=NO,"2, 5",no
L0052,1,"1,2,3-Benzotriazole",[nH]1nnc2ccccc12,3,no
L0053,1,"1,2,3,4-tetrahydroquinolin-8-ol",Oc1cccc2CCCNc12,"1, 10",no
L0054,1,"1,3-{bis-N-(N-methylimidazolylidene)methyl}-5-methylbenzene",C1=CN([C]N1Cc1cc(cc(c1)CN1C=CN([C]1)C)C)C,"4, 18",no
L0055,1,"1,3-bis-(diphenylphosphino)propane",C(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1,"3, 17",no
L0056,1,"1,3-bis(2,4,6-trimethylphenyl)imidazol-2-ylidene",Cc1cc(C)c(N2[C]N(C=C2)c2c(C)cc(C)cc2C)c(C)c1,8,no
L0057,1,"1,3-bis(methylamino)propane",CNCCCNC,"2, 6",yes
L0058,1,"1,3-diaminocyclohexane",NC1CCCC(N)C1,"1, 7",yes
L0059,1,"1,3-diphenylpropanedione",C(=C(C1=CC=CC=C1)[O-])C(=O)C2=CC=CC=C2,"9,11",no
L0060,1,"1,3-trans-cyclohexanediamine",N[C@H]1CCC[C@H](N)C1,"1, 7",yes
L0061,1,"1,4-bis(2-hydroxy-5-methoxybenzyl)piperazine",COc1ccc(O)c(CN2CCN(CC2)Cc2cc(OC)ccc2O)c1,"10, 13",no
L0062,1,"1,4-diaza-bicyclo[2.2.2]octane",C1CN2CCN1CC2,3,no
L0063,1,"1,4-dimethyl-1,2,3,4-tetrahydro-5H-benzo[e][1,4]diazepin-5-one",CN1CCN(C)c2ccccc2C1=O,5,no
L0064,1,"1,5-diphenyl-1,4-pentadiene-3-one",O=C(C=Cc1ccccc1)C=Cc1ccccc1,1,no
L0065,1,"1,6-bis(diphenylphosphino)hexane",C(CCCP(c1ccccc1)c1ccccc1)CCP(c1ccccc1)c1ccccc1,"5, 20",no
L0066,1,"1,7-phenanthroline",c1cnc2c(c1)ccc1ncccc21,10,no
L0067,1,"1,8-diazabicyclo[5.4.0]undec-7-ene",C1CCN2CCCN=C2CC1,8,no
L0068,1,"1,9-phenanthroline",c1cnc2c(c1)ccc1ccncc21,12,no
L0069,1,1H-imidazole,[nH]1ccnc1,4,no
L0070,1,1H-tetrazol-1-ylacetic acid,OC(=O)Cn1cnnn1,"1, 9",no
L0071,1,2-((2-isopropylphenylimino)methyl)phenol,CC(C)c1ccccc1N=Cc1ccccc1O,"10, 18",no
L0072,1,"2-((2,6-dimethoxyphenyl)amino)-2-oxoacetic acid",COc1cccc(OC)c1NC(=O)C(=O)O,"11, 16",no
L0073,1,2-((o-toluidino)methyl)phenol,Cc1ccccc1NCc1ccccc1O,"8, 16",no
L0074,1,2-(2-tert-butylhydrazinecarbonyl)pyridine-1-oxide,CC(C)(C)NNC(=O)c1cccc[n+]1[O-],"5, 8",no
L0075,2,2-(2-tert-butylhydrazinecarbonyl)pyridine-1-oxide,CC(C)(C)NNC(=O)c1cccc[n+]1[O-],"5, 6",no
L0076,1,2-(2'-pyridyl)benzimidazole,[nH]1c2ccccc2nc1c1ccccn1,"8, 15",no
L0077,1,2-(di-tert-butylphosphino)biphenyl,CC(C)(C)P(c1ccccc1c1ccccc1)C(C)(C)C,5,no
L0078,1,2-(diphenylphosphinyl)-benzaldoxime,ON=Cc1ccccc1P(=O)(c1ccccc1)c1ccccc1,"2, 11",no
L0079,1,2-(hydrazonomethyl)phenol,NN=Cc1ccccc1O,"2, 10",no
L0080,1,"2-(hydroxymethyl)-2-methylpropane-1,3-diol",CC(CO)(CO)CO,"4, 6",no
L0081,1,"2-(N,N-dimethylamino)ethanol",CN(C)CCO,"2, 6",no
L0082,1,2-[(dimethylamino)methyl]-1-thiophenol,CN(C)CC1=CC=CC=C1S,"2, 11",no
L0083,1,2-[(dimethylamino)methyl]benzenethiolate,CN(C)Cc1ccccc1[S-],"2, 11",no
L0084,1,2-acetonylpyridine,CC(=O)Cc1ccccn1,"3, 10",no
L0085,1,2-aminopyridine,Nc1ccccn1,7,no
