Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,EA (TSOA) / kcal/mol,EA (TSSig) / kcal/mol,Products (CuLI) / kcal/mol
L0001,0,1.8,18.1,12.5,-63
L0002,0,-8.4,6.4,10.7,-63
L0003,0,-5.1,13.2,2.5,-63
L0004,0,-5.8,12,10.6,-63
L0005,0,-4.1,11.9,17.6,-63
L0006,0,-2.4,13.4,12,-63
L0007,0,-3.3,11.8,10.7,-63
L0008,0,-3,33,18.6,-63
L0009,0,-3.4,9.9,6.3,-63
L0010,0,-3.3,13.7,12.1,-63
L0011,0,-4.5,22,20.5,-63
L0012,0,-0.2,17.2,18.3,-63
L0013,0,-8.1,16.7,10.8,-63
L0014,0,-9.1,10.7,7.4,-63
L0015,0,0.9,22.3,18.9,-63
L0016,0,-13.3,3.6,13,-63
L0017,0,-3.9,0,8.8,-63
L0018,0,-2.5,14.9,5.8,-63
L0019,0,-14.5,0,14.4,-63
L0020,0,-5.4,3.3,9.1,-63
L0021,0,-1.2,15.4,11.8,-63
L0022,0,-2.1,17.7,12.7,-63
L0023,0,-12.3,7.3,11.2,-63
L0024,0,-7.3,7.8,9.5,-63
L0025,0,-9.7,13.8,9.9,-63
L0026,0,0.2,18.3,14.3,-63
L0027,0,-2.2,14.8,15.7,-63
L0028,0,-3.8,15.8,14.1,-63
L0029,0,-5.2,17.6,13.5,-63
L0030,0,-1.6,17.8,13.5,-63
L0031,0,5.4,68.3,48.5,-63
L0032,0,1.8,14.7,13.1,-63
L0033,0,0.5,19.9,16.9,-63
L0034,0,-28.2,25.7,20.1,-63
L0035,0,-4.5,10.3,10.7,-63
L0036,0,-5.1,13.4,14.3,-63
L0037,0,-5.2,12.9,10.9,-63
L0038,0,-7.9,6.1,12.2,-63
L0039,0,-1.9,15.5,15.9,-63
L0040,0,-4.1,7.1,10.7,-63
L0041,0,-3.1,14.9,14.7,-63
L0042,0,-8.5,10.1,8.5,-63
L0043,0,-8.6,7.2,9.1,-63
L0044,0,-7.9,12.3,9.9,-63
L0045,0,4.6,9.8,16.6,-63
L0046,0,-17.9,6.9,10.7,-63
L0047,0,-12.4,13.3,2.8,-63
L0048,0,-1.7,10.9,10.7,-63
L0049,0,-6.1,15.9,9.3,-63
