Index,Reactant 1,Reactant 2,Product,Product MW,Procedure,Yield (%),Steps,Reagent(s),Ligand(s),Catalyst(s),Solvent(s),Time (h),Temperature (°C),All Reagents,All Catalysts,Reference Type,Reference
10,2-methylphenyl bromide,phenol,1-methyl-2-phenoxybenzene,184.238,None,60,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,80,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
49,1-bromo-4-methoxy-benzene,para-tert-butylphenol,1-(tert-butyl)-4-(4-methoxyphenoxy)benzene,256.345,None,65,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,80,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
38,1-bromo-4-methoxy-benzene,ortho-cresol,4-methoxyphenoxy-2-methylbenzene,214.264,None,70,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,80,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
46,bromobenzene,α-naphthol,1-phenoxynaphthalene,220.271,None,75,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,60,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
36,1-bromo-4-methoxy-benzene,4-methoxy-phenol,bis(4-methoxyphenyl) ether,230.263,None,75,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,80,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
2,1-bromo-4-methoxy-benzene,p-cresol,1-methoxy-4-(p-tolyloxy)benzene,214.264,None,75,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,80,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
5,bromobenzene,β-naphthol,2-phenoxynaphthalene,220.271,None,78,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,60,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
48,bromobenzene,ortho-cresol,1-methyl-2-phenoxybenzene,184.238,None,80,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,60,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
42,bromobenzene,4-chloro-phenol,4-chlorodiphenyl ether,204.656,None,80,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,80,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
6,para-tert-butylphenol,para-bromotoluene,4-tert-butylphenyl 4-methylphenyl ether,240.345,None,80,1,potassium phosphate,"(1E,2E)-1,2-bis(2-phenylhydrazono)ethane",copper(I) iodide,acetonitrile,12,80,"potassium phosphate | copper(I) iodide | (1E,2E)-1,2-bis(2-phenylhydrazono)ethane",None,Article,"Liu, Yu-Hua Li, Gang Yang, Lian-Ming, 2009, Tetrahedron Lett., 50, 3, 2009, 343 - 346, 10.1016/j.tetlet.2008.11.005"
