Index,Reactant 1,Reactant 2,Product,Product MW,Procedure,Yield (%),Steps,Reagent(s),Ligand(s),Catalyst(s),Solvent(s),Time (h),Temperature (°C),All Reagents,All Catalysts,Reference Type,Reference
21,2-iodophenylamine,thiophenol,2-phenylsulfanyl-aniline,201.292,"Ligand 4a: A Schlenk flask was charged with CuCl (4.8mg, 0.048mmol), 2-iodoaniline (0.12mL, 1.05mmol), trans-1,2-diaminocyclo- hexane (0.26mL, 2.21mmol), water (6.3mL) and thiophenol (0.06mL, 0.57mmol). The flask was sealed under a positive pressure of argon and the resulting violet solution was heated overnight at 120°C. The product was extracted from the aqueous layer with dichloromethane, dried and concentrated in vacuo. The crude mixture was then purified by flash chromatography (10% CH2Cl2 in hexane) to give 2-(phenylthio)aniline 3 (102.1mg, 97%) as a colorless liquid. Then, the obtained 3 (1 eq) was added in the solution of 2a, and the resultant reaction mixture was stirred over 24hat room temperature. Ligand 4a was obtained by filtration without further purification, 1H NMR (400MHz, CDCl3): δ 11.93, 8.04 (d, JHH=11.8, 13.5Hz, 1H, OH), 7.85, 7.82 (d, JHH=11.8, 13.5Hz, 1H, Ar-H), 7.61 (dd, JHH=7.6, 1.4Hz, 1H, Ar-H), 7.56 (dd, JHH=7.7, 1.5Hz, 1H, Ar-H), 7.53-7.42 (m, 4H, Ar-H), 7.41-7.32 (m, 3H, Ar-H), 7.29-7.19 (m, 3H, Ar-H), 7.19-7.10 (m, 2H, Ar-H), 7.02 (dtd, JHH=18.8, 7.6, 1.1Hz, 1H, N=CH), 3.65, 3.41 (s, 2H, CH2) 13C NMR (100MHz, CDCl3) δ 193.28 (C-OH), 148.73 (N=CH), 146.95 (N-Ar), 141.24, 140.60 (S-Ar), 140.20, 137.48, 137.17, 136.38, 135.89, 135.38, 131.61, 130.47, 129.39, 129.24, 128.98, 127.27, 127.06, 126.42, 125.82, 125.68, 123.42, 123.12, 122.75, 121.16, 118.52, 113.58, 112.97, 112.74 (Ar), 109.60 (N=CH-C), 28.42 (CH2) Anal. Calcd. for C22H19ONS: C, 76.49 H, 5.54 N, 4.05 S, 9.28. Found: C, 76.51 H, 5.53 N, 4.05 S, 9.26.",97,1,None,"(1R,2R)-1,2-diaminocyclohexane",copper(I) chloride,water,None,120,"(1R,2R)-1,2-diaminocyclohexane | copper(I) chloride",None,Article,"Lu, Ling-Pan Suo, Feng-Zhi Feng, Ya-Li Song, Li-Li Li, Ying Li, Yang-Jie Wang, Kai-Ti, 2019, Eur. J. Med. Chem., 176, 2019, 1 - 10, 10.1016/j.ejmech.2019.04.073"
47,1.4-dibromobenzene,para-bromobenzenethiol,2-(4-bromophenylthio)-5-bromophenol,360.069,None,55,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,110,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
34,ortho-methylphenyl iodide,thiophenol,2-(o-tolylthio)phenol,216.304,None,56,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,100,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
48,1.4-dibromobenzene,p-Chlorothiophenol,2-((4-bromophenyl)thio)-5-chlorophenol,315.618,None,57,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,110,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
46,bromochlorobenzene,p-Chlorothiophenol,2-(4-chlorophenylthio)-5-chlorophenol,271.167,None,60,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,110,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
49,o-trifluoromethylphenyl bromide,para-thiocresol,2-(2-(trifluoromethyl)phenylthio)-5-methylphenol,284.302,None,62,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,110,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
41,ortho-methylphenyl iodide,para-thiocresol,2-(o-tolylthio)-5-methylphenol,230.331,None,66,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,100,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
23,"1,4-bromoiodobenzene",para-bromobenzenethiol,2-(4-bromophenylthio)-5-bromophenol,360.069,None,70,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,100,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
42,4-tolyl iodide,para-thiocresol,2-(p-tolylthio)-5-methylphenol,230.331,None,71,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,100,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
42,2-iodo(trifluoromethyl)benzene,thiophenol,2-(2-(trifluoromethyl)phenylthio)phenol,270.275,None,76,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,100,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
