Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA)
ABALIA01,0,-4.5,8.6,11.6,-63,13,16.1,Minimum,Minimum,Correct TS
ABEJEX,0,-16,1,8.5,-63,17.1,24.6,Minimum,Minimum,Correct TS
ABENEB01,0,-4.4,15.7,12.8,-63,20,17.2,Minimum,Minimum,Correct TS
ABIVAL,0,-10.4,5.9,10.2,-63,16.3,20.5,Minimum,Minimum,Correct TS
ABIVUD,0,-7.1,10.2,11.1,-63,17.4,18.2,Minimum,Minimum,Correct TS
ABOSOB,0,-7.7,4.4,9.8,-63,12.1,17.4,Minimum,Minimum,Correct TS
ABULIT,0,-0.2,20,18.9,-63,20.2,19.1,Minimum,Minimum,Correct TS
ACANAC12,0,-4.8,20.1,13.9,-63,25,18.7,Minimum,Minimum,Correct TS
ACETSC10,0,-8.6,11.4,10.4,-63,19.9,19,Minimum,Minimum,Correct TS
ACETTP,0,3.1,16.3,17.5,-63,16.3,17.5,Minimum,Minimum,Correct TS
ACETUA,0,-10.5,16.1,12.9,-63,26.6,23.4,Minimum,Minimum,Correct TS
ACETUY,0,-12.2,13.7,9,-63,25.9,21.2,Minimum,Minimum,Correct TS
ACLTRY,0,-14.6,-9.9,12.8,-63,4.7,27.4,Minimum,Minimum,Correct TS
ACOQIS,0,-3.9,-0.3,12.8,-63,3.6,16.7,Minimum,Minimum,Correct TS
ACPENC10,0,-2.1,8.1,8.9,-63,10.2,11,Minimum,Minimum,Correct TS
ADAGAQ,0,-8.2,7.3,10.8,-63,15.6,19,Minimum,Minimum,Correct TS
ADALAS,0,-15.9,13.7,4.5,-63,29.5,20.3,Minimum,Minimum,Correct TS
ADESOS,0,-6.3,17.4,12.8,-63,23.7,19,Minimum,Minimum,Correct TS
ADINAD,0,-7,13.6,12.2,-63,20.6,19.2,Minimum,Minimum,Correct TS
ADOXEZ,0,-10.6,6.9,6.6,-63,17.5,17.1,Minimum,Minimum,Correct TS
ADUYUU,0,-2.8,19.8,12.8,-63,22.6,15.6,Minimum,Minimum,Correct TS
AFAZAK,0,-8.7,10.4,9.1,-63,19.1,17.9,Minimum,Minimum,Correct TS
AFEBOC,0,-6,11.4,10.8,-63,17.4,16.8,Minimum,Minimum,Correct TS
AFESEJ,0,-15,16.8,12.6,-63,31.8,27.5,Minimum,Minimum,Correct TS
AFESUZ,0,-2.6,19.7,15.8,-63,22.3,18.4,Minimum,Minimum,Correct TS
AFETOU,0,-9.1,12.6,11.9,-63,21.7,20.9,Minimum,Minimum,Correct TS
AFIPEM,0,-7.9,8,15,-63,15.9,22.9,Minimum,Minimum,Correct TS
AFISIS,0,3.6,13.7,12.8,-63,13.7,12.8,Minimum,Minimum,Correct TS
AFIXUK,0,-23.7,-2.2,5.8,-63,21.5,29.4,Minimum,Minimum,Correct TS
AFLATC,0,-7.5,9.2,10.3,-63,16.6,17.8,Minimum,Minimum,Correct TS
AFOCUV,0,-3.5,15.3,13.9,-63,18.8,17.4,Minimum,Minimum,Correct TS
AFUSEC,0,-7.7,11.3,11.1,-63,19,18.8,Minimum,Minimum,Correct TS
AFUTDZ10,0,-14,18.8,14.7,-63,32.8,28.7,Minimum,Minimum,Correct TS
AFUVEE,0,-5.8,10.3,9.4,-63,16,15.2,Minimum,Minimum,Correct TS
AFUXOR,0,-7,12.1,10.1,-63,19.1,17.1,Minimum,Minimum,Correct TS
AGADIX,0,-5.7,8.8,9.4,-63,14.5,15.1,Minimum,Minimum,Correct TS
AGAKIE,0,-6.7,8,9,-63,14.7,15.7,Minimum,Minimum,Correct TS
AGEFUQ,0,-8.4,13.3,13.7,-63,21.7,22.2,Minimum,Minimum,Correct TS
AGIDOM,0,-11.8,16.4,12,-63,28.2,23.7,Minimum,Minimum,Correct TS
AGUCEM,0,-4.9,11.5,13.5,-63,16.3,18.4,Minimum,Minimum,Correct TS
AGUJAO,0,-7,11.4,10.1,-63,18.4,17.1,Minimum,Minimum,Correct TS
AHICIF01,0,-18.7,10.1,3.3,-63,28.8,22,Minimum,Minimum,Correct TS
AHIJEH,0,-14.9,7.6,5.6,-63,22.6,20.6,Minimum,Minimum,Correct TS
AHIMUA,0,-9.6,8,7.4,-63,17.6,17.1,Minimum,Minimum,Correct TS
AHPAZP10,0,-13.4,9.9,4.8,-63,23.3,18.2,Minimum,Minimum,Correct TS
AHUHER,0,-10.7,15.8,15.3,-63,26.5,26,Minimum,Minimum,Correct TS
AJISOD,0,-2.8,17.4,11.6,-63,20.2,14.4,Minimum,Minimum,Correct TS
AJIYEX,0,-4.4,14,11.7,-63,18.4,16.1,Minimum,Minimum,Correct TS
AJIZAU,0,-4.7,13.6,11.4,-63,18.2,16,Minimum,Minimum,Correct TS
AJONEV,0,-6.9,4.4,7.8,-63,11.3,14.6,Minimum,Minimum,Correct TS
AJUCOY,0,-8.9,6,8.2,-63,14.9,17.1,Minimum,Minimum,Correct TS
AKAKOM,0,-8.2,7.4,8.8,-63,15.6,17,Minimum,Minimum,Correct TS
AKAWAK,0,-6.3,17.9,11.3,-63,24.2,17.6,Minimum,Minimum,Correct TS
AKAWER,0,-18.5,2.4,6.8,-63,20.9,25.3,Minimum,Minimum,Correct TS
AKEFII,0,-5.1,14.6,12.2,-63,19.7,17.3,Minimum,Minimum,Correct TS
