Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 2 (TSSig)
AADMPY10,0,-14.3,-25.5,8,-63,-11.2,22.2,Minimum,Minimum,Correct TS
ABALIA01,0,-4.5,8.6,11.6,-63,13,16.1,Minimum,Minimum,Correct TS
ABAMIB,0,-31,11.8,8.4,-63,42.8,39.4,Minimum,Minimum,Correct TS
ABAVUW,0,-0.5,-2.9,15.1,-63,-2.4,15.6,Minimum,Minimum,Correct TS
ABEJEX,0,-16,1,8.5,-63,17.1,24.6,Minimum,Minimum,Correct TS
ABENEB01,0,-4.4,15.7,12.8,-63,20,17.2,Minimum,Minimum,Correct TS
ABIDAS,0,-1.2,-8,15.7,-63,-6.8,17,Minimum,Minimum,Correct TS
ABIVAL,0,-10.4,5.9,10.2,-63,16.3,20.5,Minimum,Minimum,Correct TS
ABIVUD,0,-7.1,10.2,11.1,-63,17.4,18.2,Minimum,Minimum,Correct TS
ABIWIT,0,-13.4,-9.1,13.9,-63,4.4,27.4,Minimum,Minimum,Correct TS
ABOCOM,0,-13.2,-10,12,-63,3.2,25.3,Minimum,Minimum,Correct TS
ABOMOW,0,-6.5,-8.6,14.7,-63,-2.2,21.2,Minimum,Minimum,Correct TS
ABOQOA,0,-11.2,-5.6,13.2,-63,5.5,24.4,Minimum,Minimum,Correct TS
ABORUE,0,-24.2,-4.1,10.2,-63,20,34.4,Minimum,Minimum,Correct TS
ABOSOB,0,-7.7,4.4,9.8,-63,12.1,17.4,Minimum,Minimum,Correct TS
ABUFIP,0,-4,2.1,12.9,-63,6.1,16.9,Minimum,Minimum,Correct TS
ABUJUC,0,0.1,-11,22.1,-63,-11,22.1,Minimum,Minimum,Correct TS
ABULIT,0,-0.2,20,18.9,-63,20.2,19.1,Minimum,Minimum,Correct TS
ACACOY,0,-15.1,-9.9,11.9,-63,5.2,27,Minimum,Minimum,Correct TS
ACAJEV,0,-4.9,17.7,13.3,-63,22.6,18.2,Minimum,Minimum,Correct TS
ACAMIB01,0,-6.6,1,14.8,-63,7.6,21.4,Minimum,Minimum,Correct TS
ACAMUN01,0,-6.8,5.9,14.4,-63,12.8,21.2,Minimum,Minimum,Correct TS
ACANAC12,0,-4.8,20.1,13.9,-63,25,18.7,Minimum,Minimum,Correct TS
ACARBM02,0,-13.8,-11,21.7,-63,2.9,35.5,Minimum,Minimum,Correct TS
ACDHAL01,0,-3.9,11.5,12.1,-63,15.3,16,Minimum,Minimum,Correct TS
ACENEC,0,-16,-7.4,15.4,-63,8.6,31.4,Minimum,Minimum,Correct TS
ACEQIJ,0,-0.4,-0.8,22.7,-63,-0.5,23.1,Minimum,Minimum,Correct TS
ACEQIK,0,-1.3,-4.8,17.1,-63,-3.5,18.4,Minimum,Minimum,Correct TS
ACETOS,0,-6.2,-5.5,13.1,-63,0.7,19.3,Minimum,Minimum,Correct TS
ACETSC10,0,-8.6,11.4,10.4,-63,19.9,19,Minimum,Minimum,Correct TS
ACETTP,0,3.1,16.3,17.5,-63,16.3,17.5,Minimum,Minimum,Correct TS
ACETUA,0,-10.5,16.1,12.9,-63,26.6,23.4,Minimum,Minimum,Correct TS
ACIHEB,0,-6.2,1.2,11.2,-63,7.4,17.3,Minimum,Minimum,Correct TS
