Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
AADMPY10,0,-14.3,-25.5,8,-63,-11.2,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABALIA01,0,-4.5,8.6,11.6,-63,13,16.1,Minimum,Minimum,Correct TS,Correct TS
ABAMIB,0,-31,11.8,8.4,-63,42.8,39.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABANOI,0,-1.3,-7.2,19.7,-63,-5.9,21,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ABAVUW,0,-0.5,-2.9,15.1,-63,-2.4,15.6,Minimum,Minimum,Incorrect TS,Correct TS
ABEFIX,0,-26.7,-1.6,-5.6,-63,25.1,21.1,Not Minimum,Minimum,Correct TS,Correct TS
ABEJEX,0,-16,1,8.5,-63,17.1,24.6,Minimum,Minimum,Correct TS,Correct TS
ABEKEZ,0,-239365.1,-239343.9,-239345.1,-63,21.2,20,Not Minimum,Not Minimum,Correct TS,Correct TS
ABEMEA,0,-1.2,-2.5,11,-63,-1.3,12.2,Minimum,Not Minimum,Correct TS,Correct TS
ABENEB01,0,-4.4,15.7,12.8,-63,20,17.2,Minimum,Minimum,Correct TS,Correct TS
ABEQUW,0,0.5,0.1,14.1,-63,0.1,14.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ABEZEP,0,0.4,-1.7,20.3,-63,-1.7,20.3,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ABIDAS,0,-1.2,-8,15.7,-63,-6.8,17,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABIPIL,0,1.4,-9.4,22,-63,-9.4,22,Minimum,Not Minimum,Incorrect TS,Correct TS
ABIVAL,0,-10.4,5.9,10.2,-63,16.3,20.5,Minimum,Minimum,Correct TS,Correct TS
ABIVUD,0,-7.1,10.2,11.1,-63,17.4,18.2,Minimum,Minimum,Correct TS,Correct TS
ABIWIT,0,-13.4,-9.1,13.9,-63,4.4,27.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABIXAK,0,18.4,-18.7,22.5,-63,-18.7,22.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ABIZAP01,0,-18.5,-5.7,-5.6,-63,12.8,12.8,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ABOCOM,0,-13.2,-10,12,-63,3.2,25.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOHIL,0,-2.9,15.5,13.5,-63,18.3,16.4,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
ABOMOW,0,-6.5,-8.6,14.7,-63,-2.2,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOQOA,0,-11.2,-5.6,13.2,-63,5.5,24.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABORUE,0,-24.2,-4.1,10.2,-63,20,34.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOSAM,0,-12.6,-11.4,13.1,-63,1.2,25.8,Not Minimum,Minimum,Incorrect TS,Correct TS
ABOSOB,0,-7.7,4.4,9.8,-63,12.1,17.4,Minimum,Minimum,Correct TS,Correct TS
ABUFIP,0,-4,2.1,12.9,-63,6.1,16.9,Minimum,Minimum,Incorrect TS,Correct TS
ABUJUC,0,0.1,-11,22.1,-63,-11,22.1,Minimum,Minimum,Incorrect TS,Correct TS
ABUKAJ,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ABULIT,0,-0.2,20,18.9,-63,20.2,19.1,Minimum,Minimum,Correct TS,Correct TS
ABUWEC,0,-10.1,-51.5,2.1,-63,-41.4,12.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ACACIS,0,-14.2,-11.2,11.7,-63,3,25.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACACOY,0,-15.1,-9.9,11.9,-63,5.2,27,Minimum,Minimum,Incorrect TS,Correct TS
ACACUE,0,-4.4,17.4,15.6,-63,21.8,20,Not Minimum,Minimum,Correct TS,Correct TS
ACADOS,0,-11.8,-14.2,16.8,-63,-2.4,28.6,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ACAJEV,0,-4.9,17.7,13.3,-63,22.6,18.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACAMIB01,0,-6.6,1,14.8,-63,7.6,21.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACAMUN01,0,-6.8,5.9,14.4,-63,12.8,21.2,Minimum,Minimum,Incorrect TS,Correct TS
ACANAC12,0,-4.8,20.1,13.9,-63,25,18.7,Minimum,Minimum,Correct TS,Correct TS
ACARBM02,0,-13.8,-11,21.7,-63,2.9,35.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACDHAL01,0,-3.9,11.5,12.1,-63,15.3,16,Minimum,Minimum,Incorrect TS,Correct TS
ACENEC,0,-16,-7.4,15.4,-63,8.6,31.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACEQIJ,0,-0.4,-0.8,22.7,-63,-0.5,23.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACEQIK,0,-1.3,-4.8,17.1,-63,-3.5,18.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACETAE02,0,-8.1,2.4,5.4,-63,10.5,13.5,Minimum,Not Minimum,Correct TS,Correct TS
ACETOS,0,-6.2,-5.5,13.1,-63,0.7,19.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACETSC10,0,-8.6,11.4,10.4,-63,19.9,19,Minimum,Minimum,Correct TS,Correct TS
ACETTP,0,3.1,16.3,17.5,-63,16.3,17.5,Minimum,Minimum,Correct TS,Correct TS
ACETUA,0,-10.5,16.1,12.9,-63,26.6,23.4,Minimum,Minimum,Correct TS,Correct TS
ACETUY,0,-12.2,13.7,9,-63,25.9,21.2,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ACICAS,0,1,-14.3,21.3,-63,-14.3,21.3,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACICIA,0,-446.9,-459.8,-426.7,-63,-13,20.2,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACICIY,0,-33.4,-36.6,-16.7,-63,-3.2,16.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIDEV,0,-2.9,16.7,13.4,-63,19.6,16.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ACIHEB,0,-6.2,1.2,11.2,-63,7.4,17.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIJOM01,0,-24.6,-20.1,-9.3,-63,4.5,15.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIWIS,0,-11.7,13.8,10.4,-63,25.4,22.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIXAL,0,-14,-10.2,13.8,-63,3.7,27.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACLLEU,0,-3.1,2.4,15.3,-63,5.5,18.4,Minimum,Minimum,Incorrect TS,Correct TS
ACLTRY,0,-14.6,-9.9,12.8,-63,4.7,27.4,Minimum,Minimum,Correct TS,Correct TS
ACOGAA,0,-10237.9,-10248.5,-10213.9,-63,-10.6,24,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACOMUC01,0,-13.5,-12.9,13.1,-63,0.6,26.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACONIR,0,-13.1,-10.4,12.7,-63,2.6,25.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACOQIS,0,-3.9,-0.3,12.8,-63,3.6,16.7,Minimum,Minimum,Correct TS,Correct TS
ACPENC10,0,-2.1,8.1,8.9,-63,10.2,11,Minimum,Minimum,Correct TS,Correct TS
ACRLAC02,0,-13.9,-11.2,12.7,-63,2.7,26.6,Minimum,Minimum,Incorrect TS,Correct TS
ACSALA27,0,-13.1,-12.4,13.4,-63,0.7,26.5,Minimum,Minimum,Incorrect TS,Correct TS
ACSLCB10,0,0.9,2.7,18.2,-63,2.7,18.2,Minimum,Not Minimum,Incorrect TS,Correct TS
ACUFOT,0,-4.3,6.1,22.5,-63,10.5,26.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ACUGAG,0,0.5,-13.4,19.5,-63,-13.4,19.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACUWOL01,0,-9.9,-32.7,7,-63,-22.8,16.9,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACUZON,0,-4.9,217.4,12.9,-63,222.3,17.9,Not Minimum,Minimum,Incorrect TS,Correct TS
ACXTPY,0,-10,13,9.9,-63,22.9,19.9,Minimum,Not Minimum,Correct TS,Correct TS
ACYGLY12,0,-11.3,15.2,10.6,-63,26.5,21.9,Not Minimum,Minimum,Correct TS,Correct TS
ADAGAQ,0,-8.2,7.3,10.8,-63,15.6,19,Minimum,Minimum,Correct TS,Correct TS
ADALAS,0,-15.9,13.7,4.5,-63,29.5,20.3,Minimum,Minimum,Correct TS,Correct TS
ADANOL,0,-7.3,18.2,11.7,-63,25.6,19.1,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ADANUR,0,-6.4,-5.2,11.1,-63,1.2,17.5,Minimum,Minimum,Incorrect TS,Correct TS
ADAQEC,0,-2.7,-5.5,13.5,-63,-2.8,16.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADAVIK,0,-13.1,-10.2,14.4,-63,2.9,27.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADEHXL10,0,-6.8,18,13.2,-63,24.7,20,Minimum,Minimum,Incorrect TS,Correct TS
ADEJIC,0,-13,-10.9,14.9,-63,2.1,27.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ADEKOK,0,-15.6,2.1,4.5,-63,17.7,20.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADENIC,0,-14,-33.6,8.2,-63,-19.5,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ADENOS12,0,-12.7,-16,7.6,-63,-3.3,20.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADERIL,0,-2.7,-21.3,19.5,-63,-18.6,22.2,Minimum,Minimum,Incorrect TS,Incorrect TS
ADESOS,0,-6.3,17.4,12.8,-63,23.7,19,Minimum,Minimum,Correct TS,Correct TS
ADIBAR,0,-13.9,-9.2,13.1,-63,4.6,26.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIHOK,0,-12.2,-13.4,7.7,-63,-1.1,20,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIJAB,0,-7.1,-3.8,10.8,-63,3.3,18,Minimum,Minimum,Incorrect TS,Correct TS
ADINAD,0,-7,13.6,12.2,-63,20.6,19.2,Minimum,Minimum,Correct TS,Correct TS
ADINEH,0,-39.8,-56.7,-26.2,-63,-16.8,13.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIPAM10,0,-8.9,-5.2,9.3,-63,3.7,18.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIROV,0,-12.7,7.7,8.1,-63,20.4,20.8,Not Minimum,Minimum,Correct TS,Correct TS
ADLFUC,0,-1,-10.9,16.8,-63,-9.9,17.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADMHEP01,0,0.1,-5.8,23,-63,-5.8,23,Minimum,Minimum,Incorrect TS,Incorrect TS
