Identifier,Index,Chemical Name,Structure File,Coord Atoms,Freq,rmsd
GEPRAU,1,"bis(3,3'-(Nitro-N,N,O-azoxy)difurazanyl) ether",GEPRAU.mol,"[6, 9]",1,0.296090749
RABQUC,1,"8a-Methoxy-1,7-dimethyl-dihydro-imidazo(1,5-a)-1,3,5-triazine-2,4,6,8-tetraone",RABQUC.mol,"[14, 15]",1,0.317783455
HOYSEV,1,"3,3'-oxybis(4-(dinitromethyl)-1,2,5-oxadiazole)",HOYSEV.mol,"[20, 21]",1,0.318624694
OCATUI,1,"Ethyl 2-methyl-4-oxo-4,5-dihydro-1H-pyrrole-3-carboxylate",OCATUI.mol,"[9, 10]",1,0.333517503
XOMCAE,1,"N,N-bis(1H-Tetrazol-5-yl)amine",XOMCAE.mol,"[7, 8]",1,0.334343541
FIPXOR,1,"2-Dimethylamino-7,8-diphenyl-4,6-dihydropyrrolo(1,2-a)pyrimidine-4,6-dione",FIPXOR.mol,"[12, 13]",1,0.334753765
UFAGOY,1,"(E)-N-(1,3-Oxazolidin-2-ylidene)benzamide",UFAGOY.mol,"[22, 19]",1,0.33526355
BEKQEQ,1,"N'-[3,5,6-trifluoro-4-(phenylsulfonyl)pyridin-2-yl]benzenecarboximidamide",BEKQEQ.mol,"[18, 20]",1,0.336349658
SAPSAD,1,"(4aα,4bα,6bα,8aα,8bα,8cα)-3,4,4a,6b,7,8,8a,8c-Octahydro-1,5-dioxodicylopenta(cd,ij)-s-indacene-2,4b,6,8b(1H,5H)-tetracarboxylic acid methyl ester",SAPSAD.mol,"[33, 26]",1,0.337186086
PERGOL,1,"diethyl 2,2'-(3,5-dioxo-1-phenylimidazo[1,5-c]quinazoline-2,6(3H,5H)-diyl)diacetate benzene solvate",PERGOL.mol,"[1, 53]",1,0.340729122
FAGPOS,1,"Diethylammonium pentane-2,4-dionide",FAGPOS.mol,"[5, 2]",1,0.341017013
USEWAS,1,"diammonium 1H,1'H-5,5'-bitetrazole-1,1'-diolate",USEWAS.mol,"[5, 6]",1,0.342257095
RUMPUM,1,"4-amino-3',6'-bis(diethylamino)-3H-spiro[2-benzofuran-1,9'-xanthen]-3-one",RUMPUM.mol,"[64, 57]",1,0.343187866
VUWYER,1,"N,N'-Diacetyl-imidazolidinetrione",VUWYER.mol,"[5, 16]",1,0.343612142
WOBQAG,1,"8-Carbamoyl-3-methylimidazo(5,1-d)-1,2,3,5-tetrazin-4(3H)-one monohydrate",WOBQAG.mol,"[6, 7]",1,0.343845538
DEFFID,1,"8-Benzyl-4-thia-1,8-diazabicyclo(4.3.0)nonane-2,7,9-trione",DEFFID.mol,"[13, 15]",1,0.344875824
FOZLEM,1,"1,4-Dimethyl-5-aminotetrazolium 5-(nitroguanidinyl)tetrazolate",FOZLEM.mol,"[1, 7]",1,0.344947806
HIFWOI,1,"trans,trans-Dimethyl 2,2,6,6-tetramethyl-4-oxa-3,5-dioxoheptanedioate",HIFWOI.mol,"[9, 12]",1,0.345221855
DIHATO10,1,Aflatoxin B2,DIHATO10.mol,"[31, 32]",1,0.345924101
TUPBEN,1,"1,6,11,13a-tetrahydro-3H-pyrrolo[1',2':4,5]pyrazino[1,2-b]-isoquinoline-3,5,13(2H,5aH)-trione",TUPBEN.mol,"[7, 10]",1,0.346639866
