Ligand,Old Indexes,New Indexes,Deprotonation Type
AADMPY10,"[2, 16]","[2, 16]",No Deprotonation
ABALIA01,"[2, 5]","[2, 5]",No Deprotonation
ABAMIB,"[3, 6]","[3, 6]",No Deprotonation
ABANOI,"[20, 23]","[20, 22]",Double Deprotonation
ABAVUW,"[0, 12]","[0, 11]",Single Deprotonation
ABEFIX,"[0, 1]","[0, 1]",Single Deprotonation
ABEJEX,"[2, 4]","[2, 4]",No Deprotonation
ABEKEZ,"[1, 3]","[1, 3]",Single Deprotonation
ABEMEA,"[1, 6]","[1, 5]",Single Deprotonation
ABENEB01,"[3, 4]","[3, 4]",Single Deprotonation
ABEQUW,"[0, 3]","[0, 2]",Single Deprotonation
ABEZEP,"[1, 6]","[1, 5]",Double Deprotonation
ABIDAS,"[27, 28]","[27, 28]",No Deprotonation
ABIPIL,"[2, 4]","[2, 3]",Double Deprotonation
ABIVAL,"[35, 38]","[35, 38]",No Deprotonation
ABIVUD,"[0, 10]","[0, 10]",Single Deprotonation
ABIWIT,"[3, 17]","[3, 16]",Single Deprotonation
ABIZAP01,"[21, 22]","[21, 22]",No Deprotonation
ABOCOM,"[34, 35]","[34, 35]",No Deprotonation
ABOHIL,"[32, 37]","[32, 36]",Single Deprotonation
ABOMOW,"[0, 2]","[0, 1]",Single Deprotonation
ABOQOA,"[3, 5]","[3, 5]",Single Deprotonation
ABORUE,"[1, 3]","[1, 2]",Single Deprotonation
ABOSAM,"[0, 1]","[0, 1]",Single Deprotonation
ABOSOB,"[0, 3]","[0, 3]",No Deprotonation
ABUFIP,"[2, 3]","[2, 3]",Single Deprotonation
ABUJUC,"[4, 6]","[4, 5]",Double Deprotonation
ABUKAJ,"[0, 2]","[0, 1]",Double Deprotonation
ABULIT,"[0, 2]","[0, 2]",Single Deprotonation
ABUWEC,"[2, 3]","[2, 3]",Single Deprotonation
ACACIS,"[14, 15]","[14, 15]",No Deprotonation
ACACOY,"[14, 15]","[14, 15]",No Deprotonation
ACACUE,"[11, 12]","[11, 12]",Single Deprotonation
ACADOS,"[29, 30]","[29, 30]",No Deprotonation
ACAJEV,"[1, 7]","[1, 7]",Single Deprotonation
ACAMIB01,"[5, 6]","[5, 6]",Single Deprotonation
OYAPIP02,"[1, 12]","[1, 12]",Double Deprotonation
OYEKUZ,"[10, 15]","[10, 15]",No Deprotonation
OYEMAH,"[15, 17]","[15, 16]",Single Deprotonation
OYEVEV,"[3, 4]","[3, 4]",Single Deprotonation
OYEWUL01,"[1, 4]","[1, 4]",Single Deprotonation
OYIFOS,"[3, 5]","[3, 5]",No Deprotonation
OYIGEK02,"[1, 2]","[1, 2]",No Deprotonation
OYINUG,"[11, 14]","[11, 14]",No Deprotonation
OYIPAO,"[11, 14]","[11, 14]",No Deprotonation
OYIPES,"[11, 14]","[11, 14]",No Deprotonation
OYIPIW,"[1, 17]","[1, 17]",No Deprotonation
OYIPOC,"[17, 20]","[17, 20]",No Deprotonation
OYIVOJ,"[34, 38]","[34, 38]",Single Deprotonation
OYOGIU,"[34, 35]","[34, 35]",Single Deprotonation
OYOHAN,"[31, 35]","[31, 35]",No Deprotonation
OYOJAP,"[2, 24]","[2, 24]",Single Deprotonation
OYORIF,"[0, 3]","[0, 3]",No Deprotonation
OYOSAY,"[0, 1]","[0, 1]",No Deprotonation
OYUKAW,"[0, 2]","[0, 2]",No Deprotonation
IJEBIL,"[5, 8]","[5, 8]",No Deprotonation
IJEHEL,"[1, 3]","[1, 3]",Single Deprotonation
IJEPAO,"[2, 3]","[2, 3]",No Deprotonation
IJEWID,"[0, 1]","[0, 1]",No Deprotonation
IJEZEC,"[0, 20]","[0, 20]",No Deprotonation
IJOBIV,"[1, 2]","[1, 2]",Single Deprotonation
IJOMIG,"[0, 1]","[0, 1]",No Deprotonation
IJOXAH,"[1, 4]","[1, 4]",Single Deprotonation
IJOXEL,"[31, 33]","[31, 32]",Single Deprotonation
IJOYEM,"[22, 23]","[22, 23]",No Deprotonation
IJOZOX,"[0, 1]","[0, 1]",Single Deprotonation
IJUBIZ,"[4, 51]","[4, 51]",No Deprotonation
IJUDUN01,"[5, 7]","[5, 6]",Single Deprotonation
IJUFID,"[9, 26]","[9, 26]",No Deprotonation
IJUGUP,"[0, 1]","[0, 1]",Single Deprotonation
IJUKAA,"[2, 3]","[2, 3]",Single Deprotonation
IJUKEE,"[1, 4]","[1, 4]",No Deprotonation
IJUNOQ,"[9, 25]","[9, 25]",Single Deprotonation
IJUPOS,"[9, 30]","[9, 30]",Single Deprotonation
IJUTEO,"[3, 4]","[3, 4]",No Deprotonation
ABIXAK,"[0, 1]","[0, 1]",Double Deprotonation
ACAMUN01,"[19, 20]","[18, 19]",Single Deprotonation
ACLTRY,"[12, 13]","[12, 13]",Single Deprotonation
ADAQEC,"[0, 1]","[0, 1]",Single Deprotonation
AFAPAB,"[1, 3]","[1, 2]",Double Deprotonation
AFIDOK,"[28, 29]","[28, 29]",Double Deprotonation
AFUXOR,"[2, 6]","[2, 6]",No Deprotonation
AGLCAM,"[18, 19]","[16, 17]",Double Deprotonation
AHIMUA,"[30, 31]","[30, 31]",No Deprotonation
AJAGOJ,"[0, 2]","[0, 1]",Double Deprotonation
AKAWIS,"[20, 30]","[20, 29]",Single Deprotonation
ALAMET01,"[12, 29]","[12, 28]",Single Deprotonation
AMAYAQ,"[21, 22]","[21, 22]",Double Deprotonation
AMITDZ,"[3, 11]","[3, 11]",Single Deprotonation
ANONAL11,"[5, 50]","[5, 50]",No Deprotonation
APOLUN,"[3, 5]","[3, 4]",Double Deprotonation
AQITOL,"[34, 35]","[34, 35]",No Deprotonation
ARFMAD,"[6, 7]","[6, 7]",No Deprotonation
ASOSEG,"[1, 2]","[1, 2]",Single Deprotonation
ATOJIC,"[2, 3]","[2, 3]",Single Deprotonation
ATUQEN,"[0, 2]","[0, 1]",Single Deprotonation
AVUVIW,"[12, 16]","[12, 15]",Double Deprotonation
AWULAG,"[0, 5]","[0, 5]",No Deprotonation
AXEJAQ,"[29, 30]","[29, 30]",Single Deprotonation
AYECAJ,"[2, 8]","[2, 8]",No Deprotonation
AYUFEG,"[29, 31]","[29, 30]",Double Deprotonation
AZDCAR01,"[5, 6]","[5, 6]",No Deprotonation
BABXUA,"[1, 3]","[1, 2]",Double Deprotonation
BAFDIX,"[0, 3]","[0, 3]",Single Deprotonation
ASOTUX,"[0, 1]","[0, 1]",Double Deprotonation
ASOXAI,"[1, 7]","[1, 6]",Double Deprotonation
ASOZIS,"[2, 5]","[2, 5]",No Deprotonation
ASPARM06,"[7, 8]","[7, 8]",No Deprotonation
ASPLOL,"[14, 15]","[14, 15]",Double Deprotonation
ASUMUW,"[0, 3]","[0, 2]",Single Deprotonation
ASUPOT,"[1, 2]","[1, 2]",Single Deprotonation
ASUWOB02,"[1, 5]","[1, 4]",Single Deprotonation
ASUYAO,"[27, 31]","[27, 31]",No Deprotonation
ATALOY,"[1, 3]","[1, 2]",Single Deprotonation
ATASIX,"[3, 4]","[3, 4]",Double Deprotonation
ATAWIC,"[6, 9]","[6, 8]",Single Deprotonation
ATDZPY,"[8, 10]","[8, 10]",No Deprotonation
ATESUO,"[38, 39]","[38, 39]",Single Deprotonation
ATETCY10,"[0, 8]","[0, 8]",Single Deprotonation
ATEXOO,"[0, 9]","[0, 9]",No Deprotonation
ATIJUK,"[6, 7]","[6, 7]",Single Deprotonation
ATIKAR,"[3, 5]","[3, 4]",Single Deprotonation
ATIKEV,"[0, 6]","[0, 5]",Single Deprotonation
ATIREC,"[5, 9]","[5, 8]",Double Deprotonation
ATISUT,"[0, 2]","[0, 2]",Double Deprotonation
ATIYUZ,"[6, 7]","[6, 7]",No Deprotonation
ATMHYD,"[5, 11]","[5, 11]",No Deprotonation
EWATUS,"[42, 43]","[42, 43]",No Deprotonation
EWAXAD,"[3, 5]","[3, 4]",Double Deprotonation
EWEKAS,"[0, 11]","[0, 11]",No Deprotonation
EWEVIM02,"[0, 2]","[0, 1]",Single Deprotonation
EWINON,"[0, 1]","[0, 1]",Single Deprotonation
EWIQOS,"[3, 7]","[3, 6]",Single Deprotonation
EWIQUY,"[5, 6]","[4, 5]",Single Deprotonation
EWIREJ,"[0, 6]","[0, 5]",Single Deprotonation
EWITAH,"[2, 4]","[2, 3]",Single Deprotonation
EWITEL,"[5, 6]","[4, 5]",Single Deprotonation
EWITOV,"[33, 36]","[33, 35]",Double Deprotonation
EWITUB,"[1, 2]","[1, 2]",Single Deprotonation
EWIVEN,"[1, 2]","[1, 2]",Single Deprotonation
EWOCUP,"[6, 7]","[6, 7]",No Deprotonation
EWOFUR,"[0, 4]","[0, 4]",No Deprotonation
EWOSOZ,"[1, 2]","[1, 2]",Double Deprotonation
EWOVAN,"[1, 4]","[1, 3]",Single Deprotonation
EWOZOF,"[0, 1]","[0, 1]",Single Deprotonation
EWOZUL,"[6, 8]","[6, 7]",Double Deprotonation
UDIDIW,"[1, 2]","[1, 2]",No Deprotonation
UDIGIA,"[14, 15]","[14, 15]",No Deprotonation
UDOVIT,"[26, 27]","[25, 26]",Single Deprotonation
UDOWOA,"[1, 2]","[1, 2]",No Deprotonation
UDOWUG,"[0, 1]","[0, 1]",No Deprotonation
UDUPUH,"[0, 2]","[0, 2]",No Deprotonation
UDUQIU,"[2, 3]","[2, 3]",No Deprotonation
UDUVIZ,"[2, 4]","[2, 4]",No Deprotonation
UDUYOH,"[2, 3]","[2, 3]",Single Deprotonation
UDUZIC,"[2, 3]","[2, 3]",Single Deprotonation
UFACIQ,"[0, 2]","[0, 1]",Single Deprotonation
UFACOW,"[0, 3]","[0, 3]",Single Deprotonation
UFAGOY,"[19, 22]","[19, 21]",Single Deprotonation
UFALOF,"[0, 2]","[0, 1]",Single Deprotonation
UFAMAS,"[2, 3]","[2, 3]",Single Deprotonation
UFAXAC,"[0, 2]","[0, 1]",Double Deprotonation
UFAYUV,"[16, 33]","[16, 33]",No Deprotonation
UFEBIQ,"[1, 2]","[1, 2]",Single Deprotonation
UFEBOW,"[1, 2]","[1, 2]",Single Deprotonation
UFECAJ,"[0, 1]","[0, 1]",Single Deprotonation
UFECAL,"[21, 22]","[21, 22]",Single Deprotonation
