Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
AADMPY10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABALIA01,Minimum,Minimum,Correct TS,Correct TS
ABAMIB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABANOI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ABAVUW,Minimum,Minimum,Incorrect TS,Correct TS
ABEFIX,Not Minimum,Minimum,Correct TS,Correct TS
ABEJEX,Minimum,Minimum,Correct TS,Correct TS
ABEKEZ,Not Minimum,Not Minimum,Correct TS,Correct TS
ABEMEA,Minimum,Not Minimum,Correct TS,Correct TS
ABENEB01,Minimum,Minimum,Correct TS,Correct TS
ABEQUW,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ABEZEP,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ABIDAS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABIPIL,Minimum,Not Minimum,Incorrect TS,Correct TS
ABIVAL,Minimum,Minimum,Correct TS,Correct TS
ABIVUD,Minimum,Minimum,Correct TS,Correct TS
ABIWIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABIXAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ABIZAP01,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ABOCOM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOHIL,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
ABOMOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOQOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABORUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOSAM,Not Minimum,Minimum,Incorrect TS,Correct TS
ABOSOB,Minimum,Minimum,Correct TS,Correct TS
ABUFIP,Minimum,Minimum,Incorrect TS,Correct TS
ABUJUC,Minimum,Minimum,Incorrect TS,Correct TS
ABUKAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ABULIT,Minimum,Minimum,Correct TS,Correct TS
ABUWEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ACACIS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACACOY,Minimum,Minimum,Incorrect TS,Correct TS
ACACUE,Not Minimum,Minimum,Correct TS,Correct TS
ACADOS,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ACAJEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACAMIB01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACAMUN01,Minimum,Minimum,Incorrect TS,Correct TS
ACANAC12,Minimum,Minimum,Correct TS,Correct TS
ACARBM02,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACDHAL01,Minimum,Minimum,Incorrect TS,Correct TS
ACENEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACEQIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACEQIK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACETAE02,Minimum,Not Minimum,Correct TS,Correct TS
ACETOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACETSC10,Minimum,Minimum,Correct TS,Correct TS
ACETTP,Minimum,Minimum,Correct TS,Correct TS
ACETUA,Minimum,Minimum,Correct TS,Correct TS
ACETUY,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ACICAS,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACICIA,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACICIY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIDEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ACIHEB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIJOM01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIWIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACIXAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACLLEU,Minimum,Minimum,Incorrect TS,Correct TS
ACLTRY,Minimum,Minimum,Correct TS,Correct TS
ACOGAA,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACOMUC01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACONIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACOQIS,Minimum,Minimum,Correct TS,Correct TS
ACPENC10,Minimum,Minimum,Correct TS,Correct TS
ACRLAC02,Minimum,Minimum,Incorrect TS,Correct TS
ACSALA27,Minimum,Minimum,Incorrect TS,Correct TS
ACSLCB10,Minimum,Not Minimum,Incorrect TS,Correct TS
ACUFOT,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ACUGAG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACUWOL01,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACUZON,Not Minimum,Minimum,Incorrect TS,Correct TS
ACXTPY,Minimum,Not Minimum,Correct TS,Correct TS
ACYGLY12,Not Minimum,Minimum,Correct TS,Correct TS
ADAGAQ,Minimum,Minimum,Correct TS,Correct TS
ADALAS,Minimum,Minimum,Correct TS,Correct TS
ADANOL,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ADANUR,Minimum,Minimum,Incorrect TS,Correct TS
ADAQEC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADAVIK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADEHXL10,Minimum,Minimum,Incorrect TS,Correct TS
ADEJIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ADEKOK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADENIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ADENOS12,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADERIL,Minimum,Minimum,Incorrect TS,Incorrect TS
ADESOS,Minimum,Minimum,Correct TS,Correct TS
ADIBAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIHOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIJAB,Minimum,Minimum,Incorrect TS,Correct TS
ADINAD,Minimum,Minimum,Correct TS,Correct TS
ADINEH,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIPAM10,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADIROV,Not Minimum,Minimum,Correct TS,Correct TS
ADLFUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADMHEP01,Minimum,Minimum,Incorrect TS,Incorrect TS
ADOFEG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOGEG01,Minimum,Minimum,Incorrect TS,Correct TS
ADOKIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOSHC,Not Minimum,Minimum,Incorrect TS,Calc Fail
ADOTUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOXAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADOXEZ,Minimum,Minimum,Correct TS,Correct TS
ADPCPY,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ADRENC,Not Minimum,Minimum,Incorrect TS,Correct TS
ADRENL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ADRTAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ADUPIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ADUXON,Minimum,Not Minimum,Correct TS,Correct TS
ADUYUU,Minimum,Minimum,Correct TS,Correct TS
ADUZAB,Minimum,Not Minimum,Incorrect TS,Correct TS
AFABIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAFIX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAPAB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAPIH,Minimum,Minimum,Incorrect TS,Correct TS
AFAPUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFAXUC,Minimum,Minimum,Incorrect TS,Correct TS
AFAZAK,Minimum,Minimum,Correct TS,Correct TS
AFEBOC,Minimum,Minimum,Correct TS,Correct TS
AFENOP,Minimum,Minimum,Incorrect TS,Correct TS
AFEQEJ,Minimum,Minimum,Incorrect TS,Correct TS
AFEQIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEQOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEQOT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFERAG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AFEREJ,Minimum,Minimum,Incorrect TS,Correct TS
AFESEJ,Minimum,Minimum,Correct TS,Correct TS
