Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
AADMPY10,0,-15.4,-5.5,15,-61.4,9.9,30.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,Structure,Success Rate (%),Incorrect (%),,,Criteria
ABABIQ,0,-19.3,25.3,35.3,-61.4,44.7,54.6,Minimum,Minimum,Correct TS,Correct TS,,,,CuLI,84%,16%,,,Minimum
ABADIS02,0,-20.8,-4.8,17.3,-61.4,16,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,CuLpyr,89%,11%,,,Correct TS
ABALIA01,0,-18.8,3.5,18.3,-61.4,22.3,37.1,Not Minimum,Minimum,Correct TS,Correct TS,,,,TSOA,61%,39%,,,Not Minimum
ABANOI,0,-16.4,1.6,5.6,-61.4,18,22,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,TSSIG,83%,17%,,,Incorrect TS
ABATOO,0,-27.4,7.7,24,-61.4,35,51.4,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,Calc Fail
ABAVAC,0,-27,13.4,24.1,-61.4,40.4,51.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
ABAWAD,0,-26.9,1,22.8,-61.4,27.9,49.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ABEFIX,0,-85.5,-55.1,-44.8,-61.4,30.4,40.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,Number of ligand with both calculations failing,2129,,,,
ABEJEX01,0,-29,-10.3,15.9,-61.4,18.7,44.9,Minimum,Minimum,Correct TS,Correct TS,,,,Number of ligands with TSOA failing,7418,,,,
ABEKEZ,0,-2053.1,-2025,-2009.2,-61.4,28.1,43.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,Number of ligands with TSSig failing,3106,,,,
ABEMEA,0,-26.4,5.5,21.4,-61.4,31.9,47.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ABENEB01,0,-19,1.9,21.5,-61.4,20.9,40.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ABENIF,0,-5821.2,-5802.9,-5800.2,-61.4,18.3,21,Not Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
ABEQUW,0,-17.9,12.3,19.8,-61.4,30.2,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ABEZEP,0,-14.5,4.2,23.3,-61.4,18.7,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ABIDAS,0,-21.8,-3.3,20,-61.4,18.5,41.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ABIPEH,0,-12.5,8.8,6,-61.4,21.3,18.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ABIPIL,0,-15.3,16.5,5.7,-61.4,31.8,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ABIVAL,0,-11.4,-1.7,18.7,-61.4,9.7,30.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ABIVUD,0,-21.3,2.9,16.2,-61.4,24.1,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ABIWIT,0,-20.2,3.8,19,-61.4,24,39.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ABIWOA,0,-20.5,-24.2,-4.1,-61.4,-3.7,16.4,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ABIXAK,0,-12.9,6.3,15.7,-61.4,19.2,28.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ABIZAP01,0,-20.5,-2,11.9,-61.4,18.5,32.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ABOCOM,0,-18.6,7.2,17.4,-61.4,25.8,36.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ABODAZ,0,-20.1,5.4,16.7,-61.4,25.6,36.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
