Identifier,Index,Chemical Name,Structure File,Coord Atoms,Freq,rmsd
GEPRAU,1,"bis(3,3'-(Nitro-N,N,O-azoxy)difurazanyl) ether",GEPRAU.mol,"[6, 9]",1,0.292629443
HOYSEV,1,"3,3'-oxybis(4-(dinitromethyl)-1,2,5-oxadiazole)",HOYSEV.mol,"[20, 21]",1,0.297072596
XOMCAE,1,"N,N-bis(1H-Tetrazol-5-yl)amine",XOMCAE.mol,"[7, 8]",1,0.311638442
ZIBCOE,1,"Diaminoguanidinium 1'-hydroxy-1H,1'H-5,5'-bi-tetrazol-1-olate monohydrate",ZIBCOE.mol,"[7, 3]",1,0.322086427
IZISIV,1,"(Z)-ethyl (3-oxo-2,3-dihydro-1H-isoindol-1-ylidene)acetate",IZISIV.mol,"[22, 25]",1,0.323279944
TAWZOJ,1,"bis(1H-imidazol-3-ium) 1H,1'H-5,5'-bitetrazole-1,1'-diolate",TAWZOJ.mol,"[4, 11]",1,0.324748861
CESTAY,1,"dihydrazinylmethaniminium bis(3-nitro-1,2,4-oxadiazol-5-yl)amide",CESTAY.mol,"[7, 8]",1,0.325052051
OCATUI,1,"Ethyl 2-methyl-4-oxo-4,5-dihydro-1H-pyrrole-3-carboxylate",OCATUI.mol,"[9, 10]",1,0.326340277
RUMPUM,1,"4-amino-3',6'-bis(diethylamino)-3H-spiro[2-benzofuran-1,9'-xanthen]-3-one",RUMPUM.mol,"[64, 57]",1,0.330027996
WOBQAG,1,"8-Carbamoyl-3-methylimidazo(5,1-d)-1,2,3,5-tetrazin-4(3H)-one monohydrate",WOBQAG.mol,"[6, 7]",1,0.330103361
DIHATO10,1,Aflatoxin B2,DIHATO10.mol,"[31, 32]",1,0.333069027
IRADUC,1,"N-nitro-4-(5-(nitroimino)-4,5-dihydro-1H-1,2,4-triazol-3-yl)-1,2,5-oxadiazol-3-amine monohydrate",IRADUC.mol,"[9, 6]",1,0.333230803
AFLATC,1,Aflatoxin B1 chloroform solvate,AFLATC.mol,"[29, 30]",1,0.335661897
TUPBEN,1,"1,6,11,13a-tetrahydro-3H-pyrrolo[1',2':4,5]pyrazino[1,2-b]-isoquinoline-3,5,13(2H,5aH)-trione",TUPBEN.mol,"[7, 10]",1,0.341085383
HALKUC,1,"4-Anilino-2-(2,6-dioxopiperidin-3-yl)-1H-isoindole-1,3(2H)-dione",HALKUC.mol,"[18, 21]",1,0.341720001
FOZLEM,1,"1,4-Dimethyl-5-aminotetrazolium 5-(nitroguanidinyl)tetrazolate",FOZLEM.mol,"[1, 7]",1,0.341871465
FOMFAQ,1,"amino(2-((4-methyl-5-oxido-1,2,5-oxadiazol-3-yl)methylene)hydrazino)methaniminium 5-(4-amino-1,2,5-oxadiazol-3-yl)tetrazol-1-ide monohydrate",FOMFAQ.mol,"[2, 5]",1,0.343437116
CAHYES,1,"bis(5-amino-1-(2H-tetrazol-5-yl)-1H-1,2,4-triazol-4-ium) sulfate monohydrate",CAHYES.mol,"[14, 4]",1,0.343439219
FIPXOR,1,"2-Dimethylamino-7,8-diphenyl-4,6-dihydropyrrolo(1,2-a)pyrimidine-4,6-dione",FIPXOR.mol,"[12, 13]",1,0.345314376
SAPSAD,1,"(4aα,4bα,6bα,8aα,8bα,8cα)-3,4,4a,6b,7,8,8a,8c-Octahydro-1,5-dioxodicylopenta(cd,ij)-s-indacene-2,4b,6,8b(1H,5H)-tetracarboxylic acid methyl ester",SAPSAD.mol,"[33, 26]",1,0.346237824
HIVSUB,1,Ethyl 3-amino-1H-pyrazole-4-carboxylate,HIVSUB.mol,"[11, 7]",1,0.347602374
MENDUF,1,Ethyl 1-acetyl-3-amino-1H-pyrazole-4-carboxylate,MENDUF.mol,"[16, 3]",1,0.347716867
UFAGOY01,1,"N-(1,3-Oxazolidin-2-ylidene)benzamide",UFAGOY01.mol,"[22, 19]",1,0.349098625
IJUVIS,1,"2-(But-3-en-1-yloxycarbonyl)-9,9-dimethyl-9H-(1,3)thiazolo(3,2-a)indol-4-ium-3-olate",IJUVIS.mol,"[15, 18]",1,0.350629561
NABSUI,1,"5-amino-3-(4-amino-1,2,5-oxadiazol-3-yl)-1H-pyrazole-4-carbonitrile",NABSUI.mol,"[10, 9]",1,0.351792625
PEPQUX,1,"3,5-dioxo-1-(2-hydroxy-5-methoxyphenyl)-1H-imidazo[3,4-b]isoindole monohydrate",PEPQUX.mol,"[3, 6]",1,0.354094917
SECBEI,1,"2,3-Dimethoxy-8-azagona-1,3,5(10),13-tetraene-12,17-dione",SECBEI.mol,"[40, 41]",1,0.355277185
BIVXEJ,1,"2,2,8,9-Tetramethyl-1,2-dihydropurine-6-carboxamide",BIVXEJ.mol,"[6, 10]",1,0.355851904
DUBGOZ,1,"4-amino-2-benzyl-2-methyl-6-(naphthalen-2-yl)-1,3-dioxo-2,3-dihydro-1H-indene-5-carbonitrile",DUBGOZ.mol,"[48, 46]",1,0.355967866
NEKRUT,1,"3-[(hydroxyimino)methyl]-2H-furo[2,3-c]pyran-2-one",NEKRUT.mol,"[6, 2]",1,0.356029227
KIYQEO,1,"1-(5-(2-(Trifluoromethyl)phenyl)-1,3,4-thiadiazol-2-yl)guanidinium chloride",KIYQEO.mol,"[2, 25]",1,0.357062476
HIFWOI,1,"trans,trans-Dimethyl 2,2,6,6-tetramethyl-4-oxa-3,5-dioxoheptanedioate",HIFWOI.mol,"[9, 12]",1,0.35780341
STIZOL,1,1-Methyl-3-guanidino-6-hydroxymethylpyrazin-2-one chloride,STIZOL.mol,"[3, 17]",1,0.358900076
MXOXFC,1,"Dimethyl 2,5-dimethoxy-3-oxo-2,3-dihydro-furan-2,4-dicarboxylate",MXOXFC.mol,"[11, 15]",1,0.359360464
BOWZES,1,(Z)-N-Benzyl-α-methoxycarbonylmethanimine N-oxide,BOWZES.mol,"[6, 3]",1,0.35940295
VIQYUS,1,"bis(ammonium) 5-[4-(dinitromethanidyl)-2-oxo-1,2,5-oxadiazol-3-yl]tetrazol-1-ide",VIQYUS.mol,"[14, 11]",1,0.360871147
JAWVAE,1,"6H,7H-(1)Benzopyrano(4,3-b)(1)benzopyran-6,7-dione",JAWVAE.mol,"[11, 8]",1,0.361465104
POJTOZ,1,Ethyl 5-(4-methoxyphenyl)-6-(2-(4-methoxyphenyl)vinyl)-2-oxo-2H-pyran-3-carboxylate,POJTOZ.mol,"[50, 49]",1,0.361826656
VAGMOF,1,"1-Naphthol(2,3-d)(cis,cisoid,cis-tricyclo(6.3.0.02,6)undec-4-ene-3,11-dione)",VAGMOF.mol,"[19, 16]",1,0.362346382
PEZPOB,1,"N,N',N'',N'''-4H,4'H-3,3'-Bi-1,2,4-triazole-4,4',5,5'-tetrayltetraacetamide dihydrate",PEZPOB.mol,"[13, 19]",1,0.362512103
ROWJEU,1,1-Hydroxy-6-methoxy-9H-fluoren-9-one,ROWJEU.mol,"[23, 24]",1,0.362606196
IGEGEI,1,ethyl 7-((4-methoxyphenyl)ethynyl)-2-oxo-2H-chromene-3-carboxylate,IGEGEI.mol,"[38, 39]",1,0.362701592
FAGPOS,1,"Diethylammonium pentane-2,4-dionide",FAGPOS.mol,"[5, 2]",1,0.364514336
QUSKOG,1,"2-cyclohexyl-4,7-dihydroxy-1H-isoindole-1,3(2H)-dione",QUSKOG.mol,"[15, 16]",1,0.364662408
KAVFES,1,"Hydrazinium 1-amino-4-ethoxycarbonyl-1H-1,2,3-triazole-5-thiol",KAVFES.mol,"[5, 8]",1,0.365840676
BUYHIO,1,3-(Di-isopropylamino)-12-hydroxyandrost-5-en-17-one,BUYHIO.mol,"[2, 6]",1,0.366204036
HIHCEH,1,"4,4,5,5-Tetramethyl-2-(1H-1,2,3-triazol-4-yl)-4,5-dihydro-1H-imidazole-3-oxide-1-oxyl",HIHCEH.mol,"[3, 8]",1,0.368344367
LAFSES,1,Dimethyl (diphenylsulfanylidene)malonate,LAFSES.mol,"[33, 34]",1,0.368801339
IMEFAH,1,N'-(3-Hydroxypyridine-2-yl)thienyl-2-carboximidamide,IMEFAH.mol,"[8, 13]",1,0.369075203
QIMFAT,1,"Methyl 4-amino-2,3-dihydro-1,3-dioxo-6-methoxy-1H-pyrrolo(3,4-c)pyridine-7-carboxylate",QIMFAT.mol,"[4, 7]",1,0.369389391
GOSFIG,1,"ethyl 6-methyl-5-[(4-methylphenyl)carbamoyl]-2-oxo-1,2-dihydropyridine-3-carboxylate",GOSFIG.mol,"[3, 32]",1,0.369750167
MESHUO,1,3-(2-aminophenyl)-5-cyano-2-isoxazoline,MESHUO.mol,"[20, 17]",1,0.371312792
