Ligand,Old Indexes,New Indexes,Deprotonation Type
IHIWEE,"[3, 17]","[3, 17]",No Deprotonation
OCUJEE,"[9, 14]","[9, 14]",No Deprotonation
VOPWEF,"[1, 4]","[1, 4]",Single Deprotonation
VICGOE,"[2, 3]","[2, 3]",No Deprotonation
NEXGUU,"[0, 19]","[0, 19]",Single Deprotonation
TASFIF,"[1, 9]","[1, 8]",Single Deprotonation
PILROR,"[3, 5]","[3, 5]",Single Deprotonation
SEGFIT,"[1, 3]","[1, 3]",Single Deprotonation
HICSET,"[9, 20]","[9, 19]",Single Deprotonation
ROHXAP,"[1, 3]","[1, 3]",No Deprotonation
PABCOM,"[7, 8]","[7, 8]",Double Deprotonation
PASMIF,"[1, 2]","[1, 2]",No Deprotonation
YOKHIP,"[1, 2]","[1, 2]",Single Deprotonation
ZIHTOZ,"[1, 2]","[1, 2]",Double Deprotonation
SASBEU,"[20, 22]","[20, 21]",Single Deprotonation
IXIWES,"[0, 1]","[0, 1]",Single Deprotonation
YOKBAD,"[0, 1]","[0, 1]",Single Deprotonation
LUWNIB,"[44, 46]","[44, 45]",Single Deprotonation
VULQOJ,"[2, 3]","[2, 3]",Single Deprotonation
INEMOD,"[6, 8]","[6, 8]",No Deprotonation
XASQIS,"[2, 4]","[2, 3]",Single Deprotonation
HINQUQ,"[0, 3]","[0, 3]",No Deprotonation
LUJJAC,"[7, 9]","[7, 9]",Double Deprotonation
PAKBEJ,"[7, 8]","[7, 8]",No Deprotonation
TAJWUW,"[0, 10]","[0, 10]",No Deprotonation
CIRVUV,"[2, 3]","[2, 3]",Single Deprotonation
JOGKAU,"[8, 9]","[8, 9]",No Deprotonation
YOKJOY,"[0, 2]","[0, 2]",No Deprotonation
QIMSOX,"[0, 2]","[0, 1]",Single Deprotonation
EBICOI,"[2, 15]","[2, 14]",Single Deprotonation
KOYTIB,"[4, 6]","[4, 6]",No Deprotonation
POYWIK,"[0, 1]","[0, 1]",Single Deprotonation
UREPAJ,"[40, 42]","[40, 42]",No Deprotonation
CBTANP,"[15, 16]","[15, 16]",Double Deprotonation
XOTCEQ,"[0, 6]","[0, 6]",No Deprotonation
HIJZAC,"[1, 2]","[1, 2]",Single Deprotonation
BAXZEG,"[3, 5]","[3, 5]",Single Deprotonation
BOQFOC,"[2, 3]","[2, 3]",Single Deprotonation
KISSAI,"[1, 6]","[1, 6]",No Deprotonation
OJELAS,"[0, 6]","[0, 5]",Single Deprotonation
EHUZOX,"[43, 45]","[43, 44]",Double Deprotonation
OYAHON,"[1, 3]","[1, 3]",No Deprotonation
BICLUW,"[4, 7]","[4, 7]",No Deprotonation
CUVCAY,"[3, 5]","[3, 4]",Single Deprotonation
GAHTEP01,"[0, 2]","[0, 2]",Single Deprotonation
WOCJAB,"[4, 5]","[4, 5]",Single Deprotonation
QETRIR,"[0, 4]","[0, 4]",No Deprotonation
JESVAF,"[0, 1]","[0, 1]",Single Deprotonation
FAMFEH01,"[7, 11]","[7, 11]",Single Deprotonation
ROSYIK,"[0, 1]","[0, 1]",Single Deprotonation
TUKROJ,"[2, 3]","[2, 3]",No Deprotonation
NESVEN,"[6, 8]","[6, 8]",Single Deprotonation
PIZQUN,"[0, 2]","[0, 1]",Double Deprotonation
ERUCOK,"[19, 29]","[19, 29]",Single Deprotonation
HAMVAL,"[1, 2]","[1, 2]",Single Deprotonation
SAPKOM,"[21, 23]","[21, 23]",Single Deprotonation
GOPNOR,"[46, 52]","[46, 52]",No Deprotonation
TABPUJ,"[50, 51]","[50, 51]",No Deprotonation
LEVSEN,"[28, 29]","[28, 29]",No Deprotonation
JAZVIP10,"[13, 14]","[13, 14]",Double Deprotonation
HISCIW,"[2, 6]","[2, 6]",Single Deprotonation
GIJNUK,"[30, 31]","[30, 31]",Single Deprotonation
IJOXAH,"[1, 4]","[1, 4]",Single Deprotonation
JOCXEG,"[8, 12]","[8, 12]",Double Deprotonation
UHAPID,"[0, 4]","[0, 4]",No Deprotonation
TUWBAO,"[6, 15]","[6, 15]",No Deprotonation
HIYZEX,"[1, 3]","[1, 2]",Single Deprotonation
HOKNUT,"[4, 6]","[4, 6]",Single Deprotonation
LUCFEU,"[1, 5]","[1, 4]",Single Deprotonation
IHATET,"[18, 19]","[18, 19]",No Deprotonation
CBOHAZ04,"[0, 3]","[0, 3]",No Deprotonation
ZEJPAI,"[0, 2]","[0, 2]",No Deprotonation
PECVAU,"[0, 8]","[0, 8]",Single Deprotonation
NADPAK,"[3, 5]","[3, 4]",Double Deprotonation
MIFWII,"[4, 7]","[4, 7]",No Deprotonation
OXAMID04,"[3, 7]","[3, 6]",Single Deprotonation
HOPCEX,"[1, 3]","[1, 2]",Single Deprotonation
YIZRAA,"[0, 9]","[0, 9]",No Deprotonation
YUQWUD,"[6, 10]","[6, 10]",No Deprotonation
TIMYUJ,"[1, 3]","[1, 3]",No Deprotonation
BIPPEV,"[0, 1]","[0, 1]",Single Deprotonation
OXTETK,"[1, 4]","[1, 4]",No Deprotonation
RUGSIW06,"[29, 30]","[29, 30]",No Deprotonation
KHFLAC01,"[7, 11]","[6, 10]",Single Deprotonation
MUYROO,"[1, 4]","[1, 3]",Single Deprotonation
CODBAZ,"[1, 3]","[1, 3]",No Deprotonation
QIXBEE,"[17, 19]","[17, 18]",Single Deprotonation
VABKOY,"[2, 4]","[2, 4]",Single Deprotonation
CUPDIB,"[1, 2]","[1, 2]",Single Deprotonation
LUGBOG,"[31, 36]","[31, 36]",No Deprotonation
HEYREI,"[0, 16]","[0, 16]",No Deprotonation
EHAHAY,"[2, 31]","[2, 31]",Single Deprotonation
EKUYER,"[0, 1]","[0, 1]",Single Deprotonation
LOYCOR,"[14, 17]","[14, 17]",No Deprotonation
TAQHOL,"[2, 3]","[2, 3]",No Deprotonation
OKUGEG,"[22, 24]","[22, 23]",Single Deprotonation
VASGED,"[1, 2]","[1, 2]",Single Deprotonation
DOGGUB,"[8, 9]","[8, 9]",Single Deprotonation
LALMUK,"[54, 56]","[54, 55]",Single Deprotonation
AZEPEA,"[0, 5]","[0, 5]",No Deprotonation
BUJRED,"[8, 9]","[8, 9]",Double Deprotonation
EKEKOU,"[3, 12]","[3, 11]",Single Deprotonation
QACLUE,"[23, 26]","[23, 26]",No Deprotonation
GODPIY,"[7, 10]","[7, 10]",No Deprotonation
EYOGAA,"[2, 4]","[2, 4]",No Deprotonation
CORTIC,"[52, 53]","[51, 52]",Single Deprotonation
UDEWEF,"[4, 7]","[4, 7]",No Deprotonation
GAPYOL,"[0, 4]","[0, 4]",Single Deprotonation
TUTSIL,"[0, 2]","[0, 1]",Single Deprotonation
UFIQOP,"[1, 3]","[1, 3]",Single Deprotonation
PEWNUC,"[2, 7]","[2, 7]",Single Deprotonation
WOQVON,"[0, 15]","[0, 15]",Single Deprotonation
SESZUM,"[47, 48]","[47, 48]",Single Deprotonation
PUJYEZ,"[0, 1]","[0, 1]",Single Deprotonation
HXURID,"[24, 25]","[23, 24]",Single Deprotonation
TUMQUQ,"[2, 4]","[2, 3]",Single Deprotonation
DIVLUS,"[0, 6]","[0, 6]",No Deprotonation
JOCQEX,"[2, 3]","[2, 3]",Double Deprotonation
FUWTEW,"[22, 23]","[22, 23]",Double Deprotonation
YETMUI,"[1, 3]","[1, 2]",Single Deprotonation
QUHZEB,"[15, 18]","[15, 18]",Single Deprotonation
BEQWEZ,"[0, 14]","[0, 14]",Single Deprotonation
QUJHEL,"[1, 9]","[1, 9]",Single Deprotonation
QEBBEG,"[1, 6]","[1, 6]",No Deprotonation
IQOGIG,"[0, 10]","[0, 10]",Single Deprotonation
SOQSOI,"[0, 8]","[0, 8]",No Deprotonation
SEFSOL,"[6, 9]","[6, 9]",No Deprotonation
OCAKEJ,"[4, 6]","[4, 5]",Single Deprotonation
CINROG,"[2, 5]","[2, 5]",No Deprotonation
DONNIF,"[15, 17]","[15, 16]",Single Deprotonation
CUWGIK,"[16, 17]","[16, 17]",Single Deprotonation
MIKDIT,"[47, 48]","[47, 48]",Single Deprotonation
NAZMIL,"[1, 3]","[1, 2]",Single Deprotonation
KUGCUK,"[1, 3]","[1, 3]",Single Deprotonation
WOFXEU,"[2, 3]","[2, 3]",Double Deprotonation
NEHBIO,"[28, 29]","[28, 29]",Single Deprotonation
WIMHEF,"[6, 7]","[6, 7]",Double Deprotonation
PARLIE,"[0, 1]","[0, 1]",Single Deprotonation
XASVAP,"[0, 9]","[0, 8]",Double Deprotonation
ZEDRIL,"[4, 19]","[3, 17]",Double Deprotonation
HOLNUS,"[56, 57]","[56, 57]",Single Deprotonation
ABIZAP01,"[21, 22]","[21, 22]",No Deprotonation
USUHEW,"[2, 4]","[2, 4]",Single Deprotonation
MUDGEA,"[0, 5]","[0, 5]",Single Deprotonation
RIHYIS,"[36, 37]","[35, 36]",Single Deprotonation
XOTYUB01,"[0, 1]","[0, 1]",Single Deprotonation
SAVBEZ,"[1, 3]","[1, 3]",No Deprotonation
XEKYES,"[18, 20]","[18, 19]",Double Deprotonation
XAZHOW,"[4, 7]","[4, 7]",Single Deprotonation
GEYZIT,"[4, 6]","[4, 6]",Double Deprotonation
MOXCTS10,"[54, 55]","[53, 54]",Single Deprotonation
FAPLUD,"[3, 8]","[3, 8]",Single Deprotonation
BIHKEK,"[3, 4]","[3, 4]",Double Deprotonation
MUCXAM,"[5, 8]","[5, 8]",No Deprotonation
QOQDEG,"[0, 12]","[0, 11]",Double Deprotonation
REPXOC,"[0, 3]","[0, 2]",Single Deprotonation
FRANAC03,"[1, 2]","[1, 2]",Single Deprotonation
HYPRCX,"[15, 18]","[13, 16]",Double Deprotonation
