Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
AADMPY10,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ABABIQ,Minimum,Minimum,Correct TS,Correct TS
ABALIA01,Not Minimum,Minimum,Correct TS,Correct TS
ABANOI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ABATOO,Minimum,Minimum,Incorrect TS,Correct TS
ABAVAC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ABAWAD,Minimum,Minimum,Correct TS,Correct TS
ABEFIX,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ABEJEX01,Minimum,Minimum,Correct TS,Correct TS
ABEKEZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABEMEA,Minimum,Minimum,Correct TS,Correct TS
ABENEB01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABEQUW,Minimum,Minimum,Correct TS,Correct TS
ABEZEP,Minimum,Minimum,Correct TS,Correct TS
ABIDAS,Minimum,Minimum,Correct TS,Correct TS
ABIPEH,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ABIPIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ABIVAL,Minimum,Minimum,Correct TS,Correct TS
ABIVUD,Minimum,Minimum,Correct TS,Correct TS
ABIWIT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABIWOA,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ABIXAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABIZAP01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOCOM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ABODAZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOMOW,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ABOQOA,Minimum,Minimum,Incorrect TS,Correct TS
ABOSAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ABOSOB,Not Minimum,Minimum,Correct TS,Correct TS
ABUJAI01,Minimum,Minimum,Correct TS,Correct TS
ABULIT07,Minimum,Minimum,Incorrect TS,Correct TS
ABUWEC,Not Minimum,Minimum,Correct TS,Correct TS
ACACIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACACOY,Minimum,Minimum,Correct TS,Correct TS
ACADOS,Minimum,Not Minimum,Correct TS,Correct TS
ACAJEV,Minimum,Not Minimum,Correct TS,Correct TS
ACALIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACANAC11,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ACANAU,Minimum,Minimum,Correct TS,Correct TS
ACARBM02,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACCITR10,Minimum,Minimum,Correct TS,Correct TS
ACDHAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ACEGAR,Minimum,Minimum,Correct TS,Correct TS
ACENAY,Minimum,Minimum,Correct TS,Correct TS
ACENEC,Minimum,Minimum,Incorrect TS,Correct TS
ACENIG,Minimum,Minimum,Correct TS,Correct TS
ACEQIJ,Minimum,Minimum,Incorrect TS,Incorrect TS
ACEQIK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ACETOS,Minimum,Minimum,Correct TS,Correct TS
ACETSC10,Minimum,Minimum,Correct TS,Correct TS
