Ligand,Starting_Materials (CuLI) / kcal/mol,Ligand_Exchange (CuLpip) / kcal/mol,Relative_Energy_TSOA / kcal/mol,Relative_Energy_TSSig / kcal/mol,Products (CuLI) / kcal/mol,Activation_Energy_TSOA / kcal/mol,Activation_Energy_TSSig / kcal/mol
WELSUD,0.0,2.9,7.7,8.4,-62.7,7.7,8.4
UBOJUS,0.0,0.4,18.5,13.3,-62.7,18.5,13.3
PUTYUA,0.0,-0.5,13.2,13.7,-62.7,13.7,14.2
BEYPOL,0.0,-10.1,19.4,13.1,-62.7,29.4,23.2
BOXPEL,0.0,-13.5,11.6,11.5,-62.7,25.1,25.0
SODRUA,0.0,-14.0,14.0,9.0,-62.7,28.0,23.0
ZZZLWW03,0.0,-0.2,18.7,12.6,-62.7,18.9,12.8
ATOMED,0.0,7.5,13.6,11.0,-62.7,13.6,11.0
MELTEF,0.0,-3.9,15.6,11.5,-62.7,19.5,15.4
KEVSUB,0.0,-12.2,17.5,14.9,-62.7,29.7,27.1
CAFMIF,0.0,-14.3,18.2,15.5,-62.7,32.4,29.7
XITCIM,0.0,-2.1,20.4,9.0,-62.7,22.4,11.1
YORBAL,0.0,-2.6,18.3,13.0,-62.7,20.9,15.5
NADVUN,0.0,-9.0,9.8,13.2,-62.7,18.8,22.1
PUKKEM,0.0,-4.7,20.5,14.5,-62.7,25.2,19.1
AVIYAG,0.0,-14.1,12.8,11.8,-62.7,26.9,25.9
HUKPUY,0.0,-8.7,14.4,12.9,-62.7,23.1,21.6
WEGNON,0.0,-12.8,16.3,10.0,-62.7,29.1,22.8
EFAJOM,0.0,-6.7,8.4,20.4,-62.7,15.1,27.1
CIVVEK,0.0,-29.0,2.2,10.3,-62.7,31.2,39.3
FUCKOD01,0.0,-8.1,12.0,10.6,-62.7,20.1,18.8
UDEGUH,0.0,-15.0,-24.9,8.0,-62.7,-9.9,23.0
COJTUQ,0.0,-5.7,14.7,13.2,-62.7,20.4,18.9
ELUFUN,0.0,-16.8,6.8,5.5,-62.7,23.6,22.3
WIBNAY,0.0,-26.6,10.3,10.8,-62.7,36.9,37.4
BUNGIA01,0.0,-4.6,19.5,11.4,-62.7,24.1,16.0
ULUHUE,0.0,-14.6,7.4,9.9,-62.7,22.0,24.6
VEKTOW,0.0,-6.6,36.8,15.8,-62.7,43.4,22.4
DOFCUW,0.0,-6.2,9.2,10.4,-62.7,15.4,16.6
XIFKON01,0.0,-12.4,13.8,10.5,-62.7,26.2,22.9
VILZEV,0.0,-13.7,11.0,11.9,-62.7,24.7,25.6
GAQZAB,0.0,-15.9,-2.7,6.9,-62.7,13.2,22.7
REXDUW,0.0,-8.6,15.2,17.8,-62.7,23.8,26.3
GAPNIW,0.0,-8.3,6.5,8.2,-62.7,14.9,16.5
BUKNEA,0.0,-17.1,6.8,6.0,-62.7,23.9,23.0
GUZZAD,0.0,1.4,16.7,11.8,-62.7,16.7,11.8
CIPMUK,0.0,-7.2,7.9,7.7,-62.7,15.1,14.9
POPJEK,0.0,-12.3,13.7,8.5,-62.7,26.1,20.9
BEKKOU,0.0,-15.6,13.0,12.1,-62.7,28.6,27.6
VUXRAH,0.0,-10.2,12.5,14.5,-62.7,22.8,24.7
VANCET,0.0,-8.7,12.5,11.2,-62.7,21.3,20.0
POXPEX,0.0,-12.1,18.1,12.6,-62.7,30.2,24.7
MIRNIN,0.0,-4.5,20.1,12.5,-62.7,24.6,17.1
SOHRIQ01,0.0,-1.0,20.3,12.9,-62.7,21.3,13.8
QERCEW,0.0,-10.2,10.1,10.3,-62.7,20.3,20.5
AROJAU,0.0,-3.8,24.8,14.5,-62.7,28.6,18.3
TUHXAV01,0.0,-8.3,9.9,12.1,-62.7,18.2,20.4
PETNIO,0.0,-4.2,13.0,12.8,-62.7,17.2,17.0
OLUVIC,0.0,-4.6,19.2,14.3,-62.7,23.8,18.9
HTCDOD,0.0,-5.2,21.8,13.9,-62.7,27.1,19.1
