Ligand,Starting_Materials (CuLI) / kcal/mol,Ligand_Exchange (CuLpip) / kcal/mol,Relative_Energy_TSOA / kcal/mol,Relative_Energy_TSSig / kcal/mol,Products (CuLI) / kcal/mol,Activation_Energy_TSOA / kcal/mol,Activation_Energy_TSSig / kcal/mol
WELSUD,0.0,2.7,7.1,11.7,-70.3,7.1,11.7
UBOJUS,0.0,-2.0,16.0,15.4,-70.3,18.0,17.4
PUTYUA,0.0,-4.1,12.5,17.9,-70.3,16.5,22.0
BEYPOL,0.0,-11.6,15.3,15.8,-70.3,27.0,27.4
BOXPEL,0.0,-15.5,10.5,14.4,-70.3,26.0,29.9
SODRUA,0.0,-13.9,15.0,13.4,-70.3,28.9,27.3
ZZZLWW03,0.0,-1.7,17.0,14.6,-70.3,18.7,16.4
ATOMED,0.0,4.6,10.8,14.0,-70.3,10.8,14.0
MELTEF,0.0,-5.8,13.6,14.8,-70.3,19.4,20.6
KEVSUB,0.0,-15.5,15.7,17.7,-70.3,31.1,33.2
CAFMIF,0.0,-16.1,15.9,17.8,-70.3,32.0,33.9
XITCIM,0.0,-5.1,16.2,10.5,-70.3,21.3,15.6
YORBAL,0.0,-5.9,15.7,14.6,-70.3,21.6,20.5
NADVUN,0.0,-9.1,14.7,12.1,-70.3,23.8,21.2
PUKKEM,0.0,-7.6,17.7,16.2,-70.3,25.3,23.8
AVIYAG,0.0,-18.4,10.4,13.7,-70.3,28.8,32.1
HUKPUY,0.0,-8.6,15.0,19.4,-70.3,23.6,28.0
WEGNON,0.0,-13.6,14.3,13.7,-70.3,27.9,27.4
EFAJOM,0.0,-6.6,10.7,15.1,-70.3,17.3,21.7
CIVVEK,0.0,-37.0,2.6,14.0,-70.3,39.6,51.0
FUCKOD01,0.0,-7.3,12.9,16.1,-70.3,20.2,23.4
UDEGUH,0.0,-16.4,-29.3,12.6,-70.3,-13.0,28.9
COJTUQ,0.0,-9.3,13.2,15.2,-70.3,22.5,24.5
ELUFUN,0.0,-14.1,11.4,9.6,-70.3,25.4,23.7
WIBNAY,0.0,-29.1,12.0,12.8,-70.3,41.1,41.9
BUNGIA01,0.0,-7.3,13.7,13.7,-70.3,20.9,21.0
ULUHUE,0.0,-10.2,12.7,18.9,-70.3,22.9,29.1
VEKTOW,0.0,-7.3,39.0,17.0,-70.3,46.3,24.3
DOFCUW,0.0,-2.2,14.6,15.1,-70.3,16.9,17.3
XIFKON01,0.0,-14.8,10.7,12.3,-70.3,25.5,27.1
VILZEV,0.0,-16.1,9.1,14.8,-70.3,25.1,30.9
GAQZAB,0.0,-15.8,-0.8,9.4,-70.3,15.0,25.2
REXDUW,0.0,-7.3,12.8,20.7,-70.3,20.1,28.0
GAPNIW,0.0,-9.0,9.0,12.2,-70.3,18.1,21.2
BUKNEA,0.0,-12.6,11.0,13.8,-70.3,23.6,26.4
GUZZAD,0.0,-5.7,13.8,15.1,-70.3,19.5,20.7
CIPMUK,0.0,-9.2,6.9,11.4,-70.3,16.1,20.6
POPJEK,0.0,-12.5,14.5,12.9,-70.3,27.0,25.3
BEKKOU,0.0,-14.8,12.5,17.5,-70.3,27.2,32.3
VUXRAH,0.0,-4.5,19.8,22.7,-70.3,24.3,27.2
VANCET,0.0,-9.2,10.5,14.2,-70.3,19.7,23.4
POXPEX,0.0,-15.6,15.7,13.3,-70.3,31.3,29.0
MIRNIN,0.0,-7.6,16.7,15.0,-70.3,24.3,22.5
SOHRIQ01,0.0,-5.6,17.4,14.5,-70.3,23.0,20.1
QERCEW,0.0,-6.5,13.6,17.6,-70.3,20.1,24.1
AROJAU,0.0,-8.0,21.4,16.1,-70.3,29.4,24.1
TUHXAV01,0.0,-6.1,10.8,16.3,-70.3,16.9,22.4
PETNIO,0.0,-5.4,16.3,15.4,-70.3,21.8,20.8
OLUVIC,0.0,-8.1,17.5,15.8,-70.3,25.7,23.9
HTCDOD,0.0,-7.1,19.6,15.9,-70.3,26.7,23.0
