Ligand,Starting_Materials (CuLI) / kcal/mol,Ligand_Exchange (CuLpip) / kcal/mol,Relative_Energy_TSOA / kcal/mol,Relative_Energy_TSSig / kcal/mol,Products (CuLI) / kcal/mol,Activation_Energy_TSOA / kcal/mol,Activation_Energy_TSSig / kcal/mol
WELSUD,0.0,-6.1,-3.5,2.4,-66.2,2.6,8.5
UBOJUS,0.0,-7.4,5.3,6.4,-66.2,12.7,13.8
PUTYUA,0.0,-9.7,0.7,6.2,-66.2,10.4,15.9
BEYPOL,0.0,-16.3,5.2,5.4,-66.2,21.6,21.7
BOXPEL,0.0,-19.4,1.0,5.4,-66.2,20.4,24.9
SODRUA,0.0,-21.0,1.9,2.8,-66.2,23.0,23.8
ZZZLWW03,0.0,-7.7,7.0,5.9,-66.2,14.7,13.6
ATOMED,0.0,-2.2,0.6,3.7,-66.2,2.8,5.9
MELTEF,0.0,-11.4,3.6,5.0,-66.2,15.0,16.4
KEVSUB,0.0,-19.2,6.2,8.4,-66.2,25.4,27.5
CAFMIF,0.0,-20.8,5.5,7.8,-66.2,26.3,28.6
XITCIM,0.0,-10.5,6.4,1.9,-66.2,17.0,12.4
YORBAL,0.0,-11.1,4.6,4.1,-66.2,15.7,15.1
NADVUN,0.0,-16.3,-1.2,1.7,-66.2,15.1,18.0
PUKKEM,0.0,-13.0,7.0,6.4,-66.2,20.0,19.4
AVIYAG,0.0,-20.8,1.4,4.4,-66.2,22.1,25.2
HUKPUY,0.0,-15.5,2.7,7.0,-66.2,18.2,22.5
WEGNON,0.0,-20.8,3.4,3.3,-66.2,24.2,24.1
EFAJOM,0.0,-13.5,-2.4,4.7,-66.2,11.1,18.1
CIVVEK,0.0,-34.2,-7.9,2.7,-66.2,26.2,36.8
FUCKOD01,0.0,-15.5,0.0,3.8,-66.2,15.5,19.2
UDEGUH,0.0,-24.8,-33.4,1.6,-66.2,-8.6,26.4
COJTUQ,0.0,-13.0,2.8,5.6,-66.2,15.8,18.6
ELUFUN,0.0,-24.5,-4.0,-1.5,-66.2,20.5,23.0
WIBNAY,0.0,-32.5,-0.4,3.4,-66.2,32.1,35.9
BUNGIA01,0.0,-12.1,4.4,4.4,-66.2,16.5,16.6
ULUHUE,0.0,-23.1,-2.9,2.2,-66.2,20.1,25.3
VEKTOW,0.0,-14.5,25.9,8.0,-66.2,40.4,22.5
DOFCUW,0.0,-13.5,-0.9,3.9,-66.2,12.6,17.4
XIFKON01,0.0,-19.5,1.3,2.6,-66.2,20.7,22.1
VILZEV,0.0,-20.1,-0.8,5.0,-66.2,19.3,25.1
GAQZAB,0.0,-24.2,-14.5,-0.7,-66.2,9.7,23.4
REXDUW,0.0,-16.1,6.0,9.9,-66.2,22.1,26.0
GAPNIW,0.0,-16.1,-4.9,1.1,-66.2,11.2,17.3
BUKNEA,0.0,-23.7,-3.7,-0.2,-66.2,19.9,23.5
GUZZAD,0.0,-11.9,4.1,5.1,-66.2,16.1,17.1
CIPMUK,0.0,-14.5,-3.5,1.7,-66.2,11.0,16.2
POPJEK,0.0,-19.6,1.7,2.8,-66.2,21.3,22.4
BEKKOU,0.0,-22.5,0.4,4.8,-66.2,22.8,27.3
VUXRAH,0.0,-18.1,2.6,7.8,-66.2,20.7,25.9
VANCET,0.0,-17.1,0.4,4.2,-66.2,17.4,21.3
POXPEX,0.0,-19.2,5.3,4.6,-66.2,24.5,23.8
MIRNIN,0.0,-12.2,6.4,5.3,-66.2,18.6,17.5
SOHRIQ01,0.0,-10.1,7.9,5.3,-66.2,18.0,15.4
QERCEW,0.0,-16.6,-0.8,4.5,-66.2,15.8,21.1
AROJAU,0.0,-11.4,11.7,6.6,-66.2,23.1,17.9
TUHXAV01,0.0,-15.6,-1.7,5.6,-66.2,13.9,21.2
PETNIO,0.0,-12.1,2.9,4.1,-66.2,14.9,16.1
OLUVIC,0.0,-12.9,7.4,7.0,-66.2,20.3,19.9
HTCDOD,0.0,-13.2,9.0,6.3,-66.2,22.1,19.5
