Ligand,Starting_Materials (CuLI) / kcal/mol,Ligand_Exchange (CuLpip) / kcal/mol,Relative_Energy_TSOA / kcal/mol,Relative_Energy_TSSig / kcal/mol,Products (CuLI) / kcal/mol,Activation_Energy_TSOA / kcal/mol,Activation_Energy_TSSig / kcal/mol
WELSUD,0.0,-3.0,0.6,6.3,-67.8,3.6,9.3
UBOJUS,0.0,-5.1,9.1,10.1,-67.8,14.2,15.2
PUTYUA,0.0,-7.1,5.1,11.1,-67.8,12.2,18.1
BEYPOL,0.0,-14.1,9.0,9.7,-67.8,23.1,23.8
BOXPEL,0.0,-17.7,4.7,9.1,-67.8,22.4,26.9
SODRUA,0.0,-18.0,6.6,7.2,-67.8,24.6,25.1
ZZZLWW03,0.0,-5.0,10.6,9.5,-67.8,15.6,14.5
ATOMED,0.0,-0.0,4.3,7.9,-67.8,4.3,7.9
MELTEF,0.0,-8.9,7.3,9.1,-67.8,16.2,18.0
KEVSUB,0.0,-17.7,9.8,12.3,-67.8,27.5,29.9
CAFMIF,0.0,-18.9,9.5,12.0,-67.8,28.4,30.8
XITCIM,0.0,-8.0,10.1,5.5,-67.8,18.1,13.5
YORBAL,0.0,-8.7,8.6,8.3,-67.8,17.3,17.0
NADVUN,0.0,-13.1,4.5,5.9,-67.8,17.6,19.0
PUKKEM,0.0,-10.7,11.0,10.4,-67.8,21.7,21.1
AVIYAG,0.0,-19.7,4.8,8.3,-67.8,24.5,28.0
HUKPUY,0.0,-12.3,7.5,12.2,-67.8,19.8,24.5
WEGNON,0.0,-17.7,7.4,7.5,-67.8,25.1,25.2
EFAJOM,0.0,-10.2,2.4,9.1,-67.8,12.5,19.3
CIVVEK,0.0,-35.1,-4.4,7.3,-67.8,30.7,42.4
FUCKOD01,0.0,-11.9,4.7,8.8,-67.8,16.7,20.7
UDEGUH,0.0,-22.1,-32.5,6.1,-67.8,-10.4,28.2
COJTUQ,0.0,-11.5,6.7,9.5,-67.8,18.2,21.1
ELUFUN,0.0,-20.4,1.3,2.8,-67.8,21.7,23.2
WIBNAY,0.0,-31.6,4.0,7.2,-67.8,35.7,38.8
BUNGIA01,0.0,-10.1,7.8,8.3,-67.8,17.9,18.4
ULUHUE,0.0,-18.1,3.0,8.6,-67.8,21.1,26.7
VEKTOW,0.0,-11.5,30.9,11.6,-67.8,42.4,23.2
DOFCUW,0.0,-7.9,5.3,8.7,-67.8,13.1,16.5
XIFKON01,0.0,-17.4,4.8,6.6,-67.8,22.2,24.0
VILZEV,0.0,-18.4,3.0,9.0,-67.8,21.5,27.4
GAQZAB,0.0,-20.1,-9.2,3.5,-67.8,10.9,23.7
REXDUW,0.0,-12.6,9.4,14.2,-67.8,22.0,26.8
GAPNIW,0.0,-13.0,0.1,5.6,-67.8,13.1,18.6
BUKNEA,0.0,-18.9,1.6,5.5,-67.8,20.6,24.4
GUZZAD,0.0,-9.3,7.7,9.3,-67.8,16.9,18.5
CIPMUK,0.0,-12.2,0.6,5.7,-67.8,12.7,17.9
POPJEK,0.0,-16.5,6.3,6.9,-67.8,22.8,23.5
BEKKOU,0.0,-19.1,4.9,9.9,-67.8,23.9,29.0
VUXRAH,0.0,-12.8,9.0,13.7,-67.8,21.8,26.5
VANCET,0.0,-13.6,4.2,8.4,-67.8,17.8,22.0
POXPEX,0.0,-17.6,9.2,8.2,-67.8,26.8,25.8
MIRNIN,0.0,-10.3,10.3,9.3,-67.8,20.6,19.5
SOHRIQ01,0.0,-8.3,11.3,9.1,-67.8,19.6,17.4
QERCEW,0.0,-11.8,5.0,10.1,-67.8,16.8,21.9
AROJAU,0.0,-9.6,15.1,10.5,-67.8,24.7,20.1
TUHXAV01,0.0,-11.5,2.7,10.1,-67.8,14.2,21.5
PETNIO,0.0,-9.1,7.8,8.7,-67.8,16.8,17.8
OLUVIC,0.0,-10.8,11.2,10.5,-67.8,22.0,21.4
HTCDOD,0.0,-10.7,12.7,10.2,-67.8,23.4,20.9
