Ligand,Starting_Materials (CuLI) / kcal/mol,Ligand_Exchange (CuLpip) / kcal/mol,Relative_Energy_TSOA / kcal/mol,Relative_Energy_TSSig / kcal/mol,Products (CuLI) / kcal/mol,Activation_Energy_TSOA / kcal/mol,Activation_Energy_TSSig / kcal/mol
WELSUD,0.0,5.0,11.8,15.4,-66.8,11.8,15.4
UBOJUS,0.0,-2.6,19.0,17.6,-66.8,21.6,20.2
PUTYUA,0.0,-4.1,18.6,23.9,-66.8,22.7,28.0
BEYPOL,0.0,-11.3,18.8,20.5,-66.8,30.2,31.8
BOXPEL,0.0,-15.7,15.3,18.6,-66.8,31.0,34.3
SODRUA,0.0,-13.9,20.6,18.4,-66.8,34.4,32.2
ZZZLWW03,0.0,-1.6,20.0,17.4,-66.8,21.6,19.0
ATOMED,0.0,3.9,13.7,18.0,-66.8,13.7,18.0
MELTEF,0.0,-6.1,17.6,19.4,-66.8,23.7,25.5
KEVSUB,0.0,-16.0,20.2,22.4,-66.8,36.2,38.4
CAFMIF,0.0,-16.6,20.9,22.1,-66.8,37.6,38.8
XITCIM,0.0,-4.6,21.0,14.7,-66.8,25.6,19.3
YORBAL,0.0,-5.6,19.6,18.7,-66.8,25.1,24.3
NADVUN,0.0,-8.3,21.3,16.7,-66.8,29.5,24.9
PUKKEM,0.0,-7.6,23.5,20.3,-66.8,31.1,27.9
AVIYAG,0.0,-19.5,14.9,18.2,-66.8,34.4,37.7
HUKPUY,0.0,-8.8,20.7,25.3,-66.8,29.5,34.1
WEGNON,0.0,-13.0,17.9,18.6,-66.8,30.9,31.6
EFAJOM,0.0,-7.0,15.2,20.0,-66.8,22.2,27.0
CIVVEK,0.0,-37.6,5.9,19.1,-66.8,43.5,56.7
FUCKOD01,0.0,-6.3,20.0,22.5,-66.8,26.3,28.7
UDEGUH,0.0,-17.0,-30.6,18.0,-66.8,-13.6,35.0
COJTUQ,0.0,-9.5,18.5,19.7,-66.8,28.0,29.3
ELUFUN,0.0,-7.4,17.9,15.4,-66.8,25.4,22.9
WIBNAY,0.0,-30.8,17.1,15.3,-66.8,48.0,46.1
BUNGIA01,0.0,-7.5,17.7,18.0,-66.8,25.2,25.5
ULUHUE,0.0,1.8,20.2,34.2,-66.8,20.2,34.2
VEKTOW,0.0,-2.3,40.2,20.6,-66.8,42.5,22.8
DOFCUW,0.0,-1.9,23.0,19.2,-66.8,24.8,21.0
XIFKON01,0.0,-15.0,15.1,16.9,-66.8,30.2,31.9
VILZEV,0.0,-16.2,13.9,19.6,-66.8,30.1,35.8
GAQZAB,0.0,-13.1,5.4,13.2,-66.8,18.5,26.3
REXDUW,0.0,0.2,14.9,26.6,-66.8,14.9,26.6
GAPNIW,0.0,-8.6,14.0,16.5,-66.8,22.6,25.1
BUKNEA,0.0,-9.4,17.3,21.7,-66.8,26.7,31.2
GUZZAD,0.0,-5.7,17.8,19.6,-66.8,23.5,25.3
CIPMUK,0.0,-9.8,11.5,15.3,-66.8,21.3,25.1
POPJEK,0.0,-12.2,20.1,17.5,-66.8,32.2,29.6
BEKKOU,0.0,-14.8,15.2,21.4,-66.8,30.0,36.2
VUXRAH,0.0,3.3,29.3,30.8,-66.8,29.3,30.8
VANCET,0.0,-6.4,14.3,18.8,-66.8,20.7,25.2
POXPEX,0.0,-16.9,20.4,16.5,-66.8,37.3,33.4
MIRNIN,0.0,-8.5,21.7,19.5,-66.8,30.2,28.0
SOHRIQ01,0.0,-6.0,21.3,18.2,-66.8,27.3,24.3
QERCEW,0.0,-6.0,20.4,23.6,-66.8,26.4,29.6
AROJAU,0.0,-9.8,25.3,19.0,-66.8,35.1,28.9
TUHXAV01,0.0,-3.1,15.8,21.7,-66.8,18.9,24.7
PETNIO,0.0,-5.0,20.6,20.9,-66.8,25.6,25.9
OLUVIC,0.0,-8.4,20.6,17.8,-66.8,29.1,26.3
HTCDOD,0.0,-6.1,24.6,20.5,-66.8,30.7,26.6
