Ligand,Starting_Materials (CuLI) / kcal/mol,Ligand_Exchange (CuLpip) / kcal/mol,Relative_Energy_TSOA / kcal/mol,Relative_Energy_TSSig / kcal/mol,Products (CuLI) / kcal/mol,Activation_Energy_TSOA / kcal/mol,Activation_Energy_TSSig / kcal/mol
WELSUD,0.0,-2.7,-0.8,6.6,-69.2,1.9,9.3
UBOJUS,0.0,-3.9,10.1,11.1,-69.2,14.0,15.1
PUTYUA,0.0,-7.5,5.9,10.9,-69.2,13.4,18.3
BEYPOL,0.0,-14.2,9.7,9.5,-69.2,24.0,23.8
BOXPEL,0.0,-16.9,4.5,8.9,-69.2,21.5,25.8
SODRUA,0.0,-18.1,5.0,7.1,-69.2,23.1,25.1
ZZZLWW03,0.0,-4.6,11.6,10.4,-69.2,16.1,15.0
ATOMED,0.0,0.5,4.6,8.5,-69.2,4.6,8.5
MELTEF,0.0,-8.2,7.0,9.1,-69.2,15.2,17.3
KEVSUB,0.0,-16.3,10.5,12.3,-69.2,26.8,28.6
CAFMIF,0.0,-18.1,9.5,12.4,-69.2,27.5,30.4
XITCIM,0.0,-7.4,10.0,6.0,-69.2,17.4,13.5
YORBAL,0.0,-8.3,9.7,9.9,-69.2,18.0,18.2
NADVUN,0.0,-13.3,3.8,6.4,-69.2,17.1,19.7
PUKKEM,0.0,-9.5,11.1,11.2,-69.2,20.6,20.7
AVIYAG,0.0,-18.3,5.1,8.6,-69.2,23.4,26.8
HUKPUY,0.0,-12.6,5.5,11.3,-69.2,18.1,23.9
WEGNON,0.0,-17.6,6.2,8.0,-69.2,23.8,25.5
EFAJOM,0.0,-10.5,-0.3,8.2,-69.2,10.3,18.8
CIVVEK,0.0,-35.1,-3.3,7.8,-69.2,31.8,42.9
FUCKOD01,0.0,-12.4,3.8,8.4,-69.2,16.1,20.8
UDEGUH,0.0,-21.1,-30.6,6.8,-69.2,-9.4,27.9
COJTUQ,0.0,-10.0,7.4,10.4,-69.2,17.4,20.4
ELUFUN,0.0,-21.5,1.8,3.3,-69.2,23.3,24.9
WIBNAY,0.0,-31.2,3.0,7.3,-69.2,34.2,38.6
BUNGIA01,0.0,-9.2,8.3,8.8,-69.2,17.5,18.0
ULUHUE,0.0,-20.2,0.2,6.9,-69.2,20.4,27.1
VEKTOW,0.0,-11.5,30.8,13.6,-69.2,42.3,25.2
DOFCUW,0.0,-10.3,3.4,8.1,-69.2,13.7,18.4
XIFKON01,0.0,-17.0,6.7,7.4,-69.2,23.8,24.4
VILZEV,0.0,-17.3,3.4,9.3,-69.2,20.7,26.5
GAQZAB,0.0,-20.3,-9.3,4.0,-69.2,11.0,24.3
REXDUW,0.0,-12.9,9.9,15.1,-69.2,22.8,28.0
GAPNIW,0.0,-12.8,-1.0,6.0,-69.2,11.9,18.9
BUKNEA,0.0,-20.4,-0.6,4.3,-69.2,19.8,24.7
GUZZAD,0.0,-8.9,7.6,9.3,-69.2,16.5,18.2
CIPMUK,0.0,-11.2,-0.6,6.0,-69.2,10.6,17.3
POPJEK,0.0,-16.4,4.8,7.0,-69.2,21.2,23.4
BEKKOU,0.0,-19.3,4.7,10.2,-69.2,24.0,29.6
VUXRAH,0.0,-14.9,6.2,12.0,-69.2,21.1,26.9
VANCET,0.0,-14.4,3.4,8.4,-69.2,17.8,22.8
POXPEX,0.0,-15.8,10.4,9.2,-69.2,26.2,25.0
MIRNIN,0.0,-9.1,10.4,10.1,-69.2,19.4,19.2
SOHRIQ01,0.0,-7.5,14.0,10.1,-69.2,21.4,17.6
QERCEW,0.0,-13.7,1.9,8.0,-69.2,15.6,21.8
AROJAU,0.0,-9.4,18.2,12.6,-69.2,27.6,22.0
TUHXAV01,0.0,-12.4,1.1,9.9,-69.2,13.5,22.2
PETNIO,0.0,-9.2,6.7,9.0,-69.2,15.9,18.2
OLUVIC,0.0,-10.4,12.1,11.5,-69.2,22.5,21.9
HTCDOD,0.0,-9.1,13.5,11.4,-69.2,22.6,20.5
