Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
AROJAU,-2.9019,-2.0515,0.2178,-0.4323,-0.1389,-0.1833,2.1873,2.8299,3.2214,2.9480,28.8094,7.3489,7.0900,7.2054,0.7829,0.5358,0.4179,3.1994,4.1583,1.4381,1.2846,1.4355,6.4241,12.5852,4.1588,4.2107,4.2156,9.7729,1.9171,1.9601,1.9520,1.9627,1.9810,3.1616,3.8834,1.3740,1.2957,1.2136,0.0940,0.0101,0.0248,0.0232,0.0161,0.0198,3.1336,3.9672,1.3769,1.2254,1.3649,0.0824,0.0200,0.0084,0.0225,0.0145,0.0170
ATOMED,-3.1765,-1.9926,0.4997,-0.3996,-0.7321,-0.5503,2.6825,2.8620,1.9457,2.0274,28.9939,7.2503,8.5331,8.3586,0.8014,0.4515,0.6232,3.2086,4.1154,1.3407,1.6010,1.1737,6.2765,12.5118,4.2413,4.1353,4.1352,9.7120,1.9825,1.9817,1.9919,1.7835,1.9723,3.5408,4.7892,1.6405,1.4425,1.7062,0.4021,0.0901,0.0425,0.1213,0.0466,0.1015,3.4980,4.6580,1.4755,1.6862,1.4964,0.3943,0.0749,0.0993,0.0635,0.0981,0.0584
AVIYAG,-2.6478,-1.2604,0.3023,-0.4808,-0.4944,-0.8350,1.6476,2.7474,2.1159,1.9643,28.8963,7.3531,8.3790,8.5613,0.7833,0.0000,0.6763,3.2127,4.1934,1.2751,1.3574,1.5609,6.5457,12.3889,4.0952,4.1896,4.1042,9.7631,1.8955,1.9780,1.9565,1.9803,1.9528,3.5504,4.6338,1.4367,1.4856,1.7114,0.3102,0.0766,0.0519,0.0748,0.0414,0.0655,3.5296,4.8568,1.5198,1.6984,1.6387,0.4486,0.0959,0.0964,0.0872,0.1015,0.0676
BEKKOU,-3.4322,-2.7994,0.2943,-0.3830,0.1735,-0.5653,2.2585,2.8767,3.2070,1.9456,28.8128,7.3250,7.0205,8.4914,0.8368,0.7599,0.3751,3.1976,4.1083,1.4078,1.3535,1.3470,6.4012,12.5636,4.1909,4.2079,4.1648,9.7408,1.9038,1.9751,1.9557,1.9436,1.9627,3.1521,3.5442,1.3061,1.1703,1.0677,0.1302,0.0159,0.0248,0.0407,0.0257,0.0231,3.5247,4.6907,1.4996,1.5156,1.6755,0.3498,0.0794,0.0654,0.0724,0.0670,0.0655
BEYPOL,-3.0645,-2.1065,0.2350,-0.4692,-0.2526,-0.2030,1.7788,2.8067,2.9008,3.2613,28.8657,7.3598,7.2678,7.2597,0.8361,0.0000,0.6794,3.2056,4.1907,1.3450,1.3204,1.5254,6.5664,12.4254,4.1201,4.1891,4.1162,9.7732,1.9152,1.9711,1.9553,1.9725,1.9592,3.1733,4.0040,1.4343,1.2613,1.3085,0.0753,0.0173,0.0128,0.0170,0.0144,0.0137,3.1505,3.9654,1.3531,1.3316,1.2806,0.0871,0.0135,0.0164,0.0187,0.0137,0.0248
BOXPEL,-2.9822,0.0717,0.2915,-0.4645,-0.6123,-0.5519,1.5605,2.7807,2.0670,2.0212,28.7900,7.3413,8.5660,8.4551,0.8174,0.5729,0.0000,3.1981,4.1913,1.4735,1.4576,1.2602,6.5662,12.3769,4.1449,4.1672,4.0648,9.7655,1.8825,1.9643,1.9529,1.9875,1.9782,3.4926,4.7506,1.6536,1.6222,1.4748,0.3691,0.0622,0.0853,0.0897,0.0471,0.0848,3.5437,4.7313,1.5508,1.5883,1.5922,0.2769,0.0422,0.0689,0.0556,0.0482,0.0620
BUKNEA,-3.7790,-3.1278,0.3589,-0.3629,0.1756,-0.5115,2.1749,2.9476,3.1866,2.0678,28.7704,7.3259,6.9900,8.4872,0.8676,0.7060,0.2954,3.2088,4.0786,1.4499,1.4298,1.1990,6.3983,12.5100,4.2287,4.1749,4.1064,9.7329,1.8771,2.0062,1.9770,1.9269,1.9457,3.1397,3.5581,1.3017,1.0943,1.1622,0.1266,0.0201,0.0226,0.0285,0.0267,0.0288,3.5185,4.6312,1.4887,1.5806,1.5619,0.3619,0.0879,0.0900,0.0521,0.0887,0.0433
BUNGIA01,-2.6632,-1.2135,0.3766,-0.4603,-0.7155,-0.5434,1.8745,2.7625,2.0109,1.9386,28.8652,7.3764,8.5251,8.4640,0.7979,0.5341,0.3311,3.2156,4.1710,1.5365,1.4495,1.1850,6.4169,12.4276,4.1892,4.1541,4.0843,9.7788,1.8945,1.9824,1.9767,1.9758,1.9495,3.5080,4.7794,1.5605,1.5995,1.6194,0.4281,0.0861,0.0632,0.1099,0.0727,0.0963,3.5103,4.6426,1.4954,1.5479,1.5994,0.3905,0.0634,0.0732,0.1005,0.0585,0.0949
CAFMIF,-2.8178,-0.5687,0.2896,-0.4685,-0.4437,-0.7255,1.6834,2.7739,2.1247,1.9120,28.8780,7.3383,8.4153,8.5350,0.8118,0.0000,0.6796,3.2061,4.1879,1.2054,1.3714,1.6112,6.5597,12.3903,4.0656,4.1618,4.1630,9.7604,1.9461,1.9531,1.8810,1.9681,2.0122,3.5379,4.6470,1.4527,1.6883,1.5060,0.2588,0.0277,0.0632,0.0594,0.0456,0.0629,3.5256,4.8258,1.4036,1.7026,1.7195,0.3741,0.0989,0.0920,0.0469,0.0960,0.0403
CIPMUK,-2.9647,-1.6805,0.3843,-0.4398,-0.4473,-0.4872,1.7750,2.7994,2.1133,2.1350,28.7516,7.3656,8.4342,8.4977,0.8360,0.3106,0.4091,3.1978,4.1676,1.4352,1.4696,1.2627,6.3806,12.4379,4.1520,4.1583,4.1277,9.7972,1.9398,1.9181,1.9707,1.9786,1.9900,3.4974,4.6119,1.5311,1.6024,1.4783,0.3381,0.0673,0.0650,0.0728,0.0593,0.0736,3.4804,4.6240,1.4731,1.6484,1.5025,0.3828,0.0949,0.0840,0.0561,0.0913,0.0566
