Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
AROJAU,-4.0005,-1.5339,-0.1516,-0.1025,0.2139,0.1620,2.3001,3.0259,3.3282,2.9626,29.2306,7.3069,7.0671,7.2348,0.9226,0.5816,0.4685,3.0129,3.8450,1.3213,1.2106,1.3132,6.3842,12.5424,4.1440,4.1965,4.2018,10.2248,2.0036,2.0404,2.0388,2.0489,2.0931,2.9647,3.5451,1.2338,1.1707,1.1406,0.2568,0.0310,0.0627,0.0597,0.0409,0.0626,2.9434,3.6523,1.2524,1.1545,1.2454,0.2243,0.0541,0.0288,0.0567,0.0346,0.0501
ATOMED,-4.3219,-1.3545,-0.0019,-0.0941,0.0067,0.1157,2.5716,3.0136,1.9247,2.0941,29.0005,7.3296,8.5674,8.3666,0.8899,0.3855,0.6050,3.0213,3.8292,1.2745,1.4387,1.1160,6.3074,12.5058,4.2296,4.1328,4.1434,10.1881,2.0790,2.0756,2.0837,1.8920,2.0578,3.3692,4.5517,1.5323,1.4074,1.6121,0.0674,0.0149,0.0038,0.0220,0.0076,0.0190,3.3403,4.4490,1.4268,1.5770,1.4452,0.0879,0.0157,0.0267,0.0111,0.0243,0.0101
AVIYAG,-4.0695,-0.3168,-0.1243,-0.1426,0.1426,-0.0734,1.7338,2.9999,2.1271,1.8719,29.2045,7.3152,8.3315,8.6275,0.8957,0.0000,0.7696,3.0266,3.8770,1.1976,1.2847,1.3947,6.5411,12.3806,4.0914,4.1845,4.1046,10.2024,1.9937,2.0512,2.0529,2.0542,2.0503,3.3860,4.3970,1.3576,1.4504,1.5890,0.0686,0.0213,0.0074,0.0160,0.0084,0.0155,3.3688,4.6298,1.4543,1.6232,1.5523,0.0702,0.0140,0.0194,0.0092,0.0176,0.0099
BEKKOU,-4.3491,-2.1993,-0.0935,-0.0953,0.1171,0.0776,2.2530,3.1175,3.2706,2.0369,29.0913,7.2724,7.0139,8.4468,1.0035,0.6782,0.3409,3.0125,3.8318,1.3111,1.2694,1.2513,6.3975,12.5437,4.1803,4.2036,4.1599,10.1518,1.9853,2.0603,2.0363,2.0380,2.0318,3.0797,3.4429,1.2853,1.1212,1.0365,0.3265,0.0470,0.0539,0.0975,0.0621,0.0660,3.3666,4.4815,1.4418,1.4659,1.5739,0.0688,0.0227,0.0093,0.0109,0.0114,0.0144
BEYPOL,-4.3151,-1.5307,-0.0379,-0.1285,0.1042,0.1573,1.8520,3.0289,2.8205,3.3222,29.2681,7.2828,7.4041,7.0800,0.9244,0.0000,0.7406,3.0200,3.8701,1.2513,1.2466,1.3722,6.5099,12.3915,4.1087,4.1758,4.1069,10.1362,1.9882,2.0305,2.0437,2.0384,2.0355,2.9849,3.6921,1.3244,1.1847,1.1831,0.2015,0.0466,0.0290,0.0482,0.0394,0.0383,2.9550,3.6278,1.2154,1.2410,1.1714,0.2413,0.0457,0.0387,0.0597,0.0352,0.0621
BOXPEL,-4.3467,0.5369,-0.0320,-0.1390,0.0379,0.0044,1.6486,2.9984,2.0789,2.0316,29.1208,7.3244,8.4549,8.4724,0.8917,0.6711,0.0000,3.0179,3.8775,1.3489,1.3478,1.1808,6.5513,12.3670,4.1426,4.1637,4.0607,10.1133,1.9768,2.0193,2.0105,2.0636,2.0431,3.3393,4.5408,1.5537,1.5285,1.4586,0.0764,0.0060,0.0170,0.0192,0.0111,0.0231,3.4014,4.5242,1.4741,1.4933,1.5568,0.0642,0.0088,0.0189,0.0135,0.0093,0.0137
BUKNEA,-4.5863,-2.7443,-0.0217,-0.0883,0.1269,0.1681,2.1712,3.1497,3.2120,2.1165,29.0679,7.2826,6.9558,8.3737,1.0000,0.6689,0.2605,3.0196,3.8230,1.3606,1.3308,1.1316,6.3992,12.4940,4.2167,4.1733,4.1040,10.1281,1.9802,2.0836,2.0281,2.0312,2.0049,3.0726,3.4506,1.2944,1.0380,1.1182,0.3164,0.0618,0.0480,0.0739,0.0649,0.0678,3.3602,4.3934,1.4590,1.4850,1.4494,0.0723,0.0239,0.0153,0.0064,0.0204,0.0064
BUNGIA01,-3.9128,-0.6168,-0.1334,-0.1304,0.0425,0.1226,1.7886,2.9607,1.9818,2.0315,29.0447,7.3850,8.5171,8.4228,0.8641,0.5393,0.2475,3.0280,3.8660,1.4057,1.3382,1.1221,6.4396,12.4312,4.1914,4.1527,4.0870,10.2623,2.0091,2.0783,2.0542,2.0937,2.0270,3.3430,4.5363,1.4691,1.5261,1.5412,0.0731,0.0142,0.0131,0.0188,0.0105,0.0164,3.3564,4.4395,1.4001,1.4942,1.5452,0.0757,0.0118,0.0122,0.0238,0.0098,0.0180
CAFMIF,-4.2439,0.4302,-0.0933,-0.1417,0.0580,-0.0926,1.7504,2.9820,2.1201,1.9619,29.1479,7.3720,8.3892,8.5060,0.8640,0.0000,0.7571,3.0239,3.8771,1.1464,1.2872,1.4434,6.5535,12.3822,4.0627,4.1586,4.1610,10.1572,2.0047,2.0190,1.9843,2.0462,2.1029,3.4063,4.4636,1.3796,1.5948,1.4892,0.0662,0.0055,0.0203,0.0160,0.0078,0.0165,3.3772,4.6365,1.3854,1.6236,1.6275,0.0736,0.0163,0.0172,0.0051,0.0298,0.0053
CIPMUK,-4.2008,-0.8451,-0.1055,-0.1181,0.1806,0.1835,1.7759,3.0457,2.1361,2.1498,28.9902,7.3392,8.3421,8.3803,0.9683,0.2607,0.3784,3.0161,3.8599,1.3277,1.3381,1.1941,6.4007,12.4480,4.1536,4.1626,4.1319,10.2564,2.0340,2.0053,2.0596,2.0691,2.0884,3.3445,4.3940,1.4533,1.5308,1.4100,0.0750,0.0147,0.0190,0.0147,0.0122,0.0143,3.3278,4.4036,1.4404,1.5505,1.4127,0.0790,0.0242,0.0164,0.0078,0.0219,0.0088
CIVVEK,-5.0042,-1.5296,-0.0477,0.1677,0.1239,0.0606,1.7107,3.2170,2.0981,2.9641,28.9520,7.0744,8.4557,7.1639,0.5122,0.5088,0.4136,2.9123,3.6006,1.2018,1.1145,1.2844,6.3272,12.3889,4.1101,4.1327,4.1461,10.3314,2.0489,2.0629,2.0512,2.0650,2.1033,3.3403,4.4550,1.4495,1.4528,1.5526,0.0751,0.0200,0.0066,0.0160,0.0101,0.0224,3.0070,3.6186,1.1741,1.3769,1.0676,0.2884,0.0433,0.0655,0.0569,0.0529,0.0697
COJTUQ,-4.0731,0.3090,-0.1680,-0.1269,-0.0053,0.0547,1.7397,2.9669,3.1039,1.9853,29.0402,7.3911,7.4686,8.4355,0.8632,0.3446,0.3644,3.0264,3.8628,1.3051,1.1717,1.3860,6.4411,12.4651,4.1813,4.1621,4.1217,10.2616,2.0461,2.0141,2.0555,2.0727,2.0731,3.0192,3.8170,1.3701,1.1620,1.2849,0.1584,0.0435,0.0224,0.0187,0.0271,0.0467,3.3527,4.5150,1.4617,1.6026,1.4507,0.0720,0.0182,0.0172,0.0051,0.0258,0.0058
DOFCUW,-3.4914,-2.6374,-0.1796,-0.1104,-0.0981,0.1712,2.0554,3.0396,1.8472,2.0703,29.1510,7.2929,8.6366,8.4113,0.9208,0.6771,0.3126,3.0126,3.8501,1.2023,1.3840,1.2638,6.4352,12.4913,4.1404,4.1771,4.1738,10.2527,2.0243,2.0298,2.0581,2.0644,2.0761,3.3942,4.6329,1.5142,1.4729,1.6457,0.0665,0.0198,0.0102,0.0118,0.0108,0.0140,3.3522,4.3905,1.3508,1.5673,1.4724,0.0802,0.0143,0.0172,0.0196,0.0091,0.0199
EFAJOM,-4.0922,-2.1991,-0.1263,-0.1175,0.1505,0.1730,1.8624,3.0442,2.1058,2.0900,29.0383,7.3314,8.4479,8.3897,0.9612,0.4994,0.2532,3.0152,3.8584,1.3654,1.3516,1.1414,6.4083,12.4792,4.1712,4.1729,4.1350,10.2385,1.9887,2.0686,2.0504,2.0644,2.0664,3.3228,4.4383,1.3977,1.4854,1.5552,0.0826,0.0190,0.0158,0.0172,0.0142,0.0163,3.3420,4.4030,1.4214,1.4916,1.4900,0.0760,0.0218,0.0166,0.0084,0.0195,0.0097
ELUFUN,-4.5323,-2.8263,-0.0097,-0.0593,0.1540,0.1120,2.5243,3.1931,3.1356,3.2816,29.1197,7.2385,7.0991,7.0115,0.9901,0.5183,0.6393,3.0163,3.7920,1.2383,1.3505,1.2031,6.3733,12.5447,4.1315,4.2262,4.1870,10.0913,2.0262,1.9646,2.0627,2.0070,2.0309,3.0000,3.5285,1.1538,1.3076,1.0672,0.2883,0.0371,0.0668,0.0707,0.0460,0.0677,3.0286,3.5179,1.3145,1.0899,1.1135,0.3142,0.0666,0.0445,0.0736,0.0484,0.0812
