Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
AROJAU,-3.0194,-2.0796,-0.0950,-0.0851,0.2011,0.1654,2.5427,3.1412,3.3441,3.0028,29.3132,7.2829,7.0594,7.2504,0.9603,0.6492,0.5102,3.0217,3.8188,1.3043,1.2140,1.3005,6.4111,12.5659,4.1551,4.2019,4.2090,10.1176,1.9790,2.0270,2.0183,2.0292,2.0641,2.9677,3.5536,1.2372,1.1716,1.1448,0.2580,0.0313,0.0622,0.0594,0.0418,0.0632,2.9499,3.6361,1.2463,1.1540,1.2358,0.2304,0.0542,0.0292,0.0571,0.0360,0.0539
ATOMED,-3.2493,-1.9787,0.0062,-0.0810,0.0259,0.1184,2.7236,3.0895,1.9338,2.0890,29.1159,7.3331,8.5580,8.3477,0.9262,0.4264,0.6555,3.0301,3.8065,1.2697,1.4172,1.1196,6.3284,12.5245,4.2309,4.1418,4.1517,10.1403,2.0702,2.0686,2.0780,1.8695,2.0540,3.3745,4.5264,1.5182,1.4050,1.6031,0.0682,0.0156,0.0039,0.0221,0.0075,0.0191,3.3445,4.4408,1.4301,1.5682,1.4426,0.0891,0.0160,0.0262,0.0115,0.0252,0.0102
AVIYAG,-2.7804,-1.2409,-0.1463,-0.1373,0.1547,-0.0565,1.7702,3.0452,2.1290,1.8549,29.3370,7.2930,8.3097,8.6166,0.9024,0.0000,0.8093,3.0344,3.8632,1.1964,1.2799,1.3869,6.5891,12.3981,4.0966,4.1857,4.1158,10.1588,1.9774,2.0481,2.0442,2.0500,2.0391,3.3905,4.3806,1.3537,1.4485,1.5783,0.0684,0.0209,0.0076,0.0160,0.0085,0.0154,3.3762,4.6044,1.4507,1.6079,1.5458,0.0712,0.0144,0.0192,0.0095,0.0178,0.0102
BEKKOU,-3.4880,-2.7780,-0.0550,-0.0676,0.0843,0.0870,2.4712,3.2503,3.2481,2.0469,29.1974,7.2321,7.0285,8.4319,1.0367,0.7763,0.3910,3.0230,3.7921,1.2975,1.2636,1.2310,6.4248,12.5694,4.1879,4.2102,4.1713,10.0604,1.9736,2.0404,2.0166,2.0084,2.0213,3.0826,3.4722,1.2931,1.1308,1.0483,0.3274,0.0467,0.0536,0.0982,0.0631,0.0657,3.3711,4.4665,1.4343,1.4664,1.5658,0.0698,0.0221,0.0097,0.0114,0.0123,0.0144
BEYPOL,-3.1968,-2.0996,-0.0315,-0.1189,0.1158,0.1529,1.9128,3.0901,2.8477,3.3397,29.3930,7.2630,7.4021,7.0722,0.9275,0.0000,0.7801,3.0284,3.8519,1.2477,1.2455,1.3588,6.5469,12.4115,4.1167,4.1772,4.1176,10.0727,1.9693,2.0267,2.0273,2.0231,2.0264,2.9907,3.6711,1.3155,1.1804,1.1752,0.2048,0.0480,0.0291,0.0481,0.0395,0.0400,2.9610,3.6212,1.2110,1.2394,1.1708,0.2461,0.0472,0.0385,0.0609,0.0366,0.0629
BOXPEL,-3.1100,-0.0219,-0.0534,-0.1336,0.0500,0.0188,1.6908,3.0535,2.1168,2.0534,29.2556,7.3047,8.4246,8.4507,0.9093,0.7160,0.0000,3.0256,3.8638,1.3413,1.3417,1.1808,6.5996,12.3833,4.1477,4.1704,4.0653,10.0701,1.9616,2.0126,2.0040,2.0556,2.0363,3.3456,4.5202,1.5430,1.5180,1.4591,0.0786,0.0062,0.0179,0.0198,0.0113,0.0234,3.4055,4.5054,1.4673,1.4847,1.5534,0.0645,0.0087,0.0187,0.0137,0.0097,0.0137
BUKNEA,-3.8073,-3.1004,0.0193,-0.0531,0.0969,0.1674,2.3643,3.2800,3.1789,2.1285,29.1574,7.2398,6.9456,8.3648,1.0286,0.7507,0.3096,3.0308,3.7753,1.3367,1.3013,1.1374,6.4251,12.5152,4.2200,4.1823,4.1129,10.0400,1.9476,2.0784,2.0220,2.0037,1.9883,3.0747,3.4791,1.2987,1.0420,1.1383,0.3160,0.0618,0.0479,0.0742,0.0654,0.0668,3.3629,4.3903,1.4544,1.4880,1.4478,0.0734,0.0236,0.0161,0.0065,0.0207,0.0065
BUNGIA01,-2.7375,-1.2090,-0.1191,-0.1206,0.0544,0.1255,1.9679,3.0329,1.9995,2.0460,29.1534,7.3658,8.5020,8.4081,0.9014,0.5974,0.3039,3.0360,3.8480,1.3905,1.3323,1.1252,6.4806,12.4487,4.1966,4.1599,4.0922,10.1894,1.9853,2.0641,2.0493,2.0846,2.0061,3.3480,4.5179,1.4617,1.5193,1.5369,0.0744,0.0145,0.0131,0.0187,0.0113,0.0168,3.3603,4.4303,1.3985,1.4938,1.5381,0.0779,0.0125,0.0134,0.0233,0.0100,0.0186
CAFMIF,-2.9468,-0.5129,-0.1126,-0.1361,0.0672,-0.0750,1.8105,3.0414,2.1381,2.0033,29.2714,7.3589,8.3662,8.4696,0.8910,0.0000,0.7909,3.0319,3.8630,1.1478,1.2837,1.4314,6.5982,12.3984,4.0664,4.1629,4.1691,10.1156,1.9955,2.0132,1.9689,2.0399,2.0980,3.4097,4.4510,1.3756,1.5880,1.4874,0.0661,0.0055,0.0200,0.0161,0.0082,0.0163,3.3844,4.6109,1.3865,1.6091,1.6153,0.0745,0.0168,0.0174,0.0052,0.0294,0.0057
CIPMUK,-3.0655,-1.6297,-0.0921,-0.1081,0.1855,0.1867,1.9826,3.1323,2.1641,2.1749,29.0896,7.3236,8.3125,8.3558,1.0167,0.3105,0.4385,3.0238,3.8419,1.3202,1.3278,1.1939,6.4400,12.4703,4.1615,4.1711,4.1376,10.1816,2.0201,1.9834,2.0510,2.0544,2.0726,3.3482,4.3832,1.4515,1.5208,1.4109,0.0770,0.0154,0.0186,0.0148,0.0128,0.0153,3.3314,4.3943,1.4400,1.5462,1.4080,0.0815,0.0238,0.0177,0.0085,0.0226,0.0089
CIVVEK,-3.6036,-2.1391,-0.0431,0.1664,0.1353,0.0654,1.9146,3.3389,2.1288,2.9913,29.0583,7.1529,8.4293,7.1479,0.5512,0.5749,0.4491,2.9211,3.5930,1.2000,1.1170,1.2760,6.3728,12.4078,4.1159,4.1406,4.1512,10.2623,2.0414,2.0383,2.0470,2.0561,2.0796,3.3447,4.4375,1.4444,1.4532,1.5399,0.0765,0.0201,0.0068,0.0165,0.0108,0.0222,3.0137,3.6047,1.1684,1.3715,1.0648,0.2906,0.0440,0.0651,0.0575,0.0539,0.0701
COJTUQ,-2.7750,-0.5068,-0.1869,-0.1200,-0.0034,0.0690,1.8681,3.0279,3.1247,2.0208,29.1761,7.3747,7.4614,8.4018,0.8988,0.3823,0.4007,3.0339,3.8477,1.3004,1.1715,1.3757,6.4892,12.4883,4.1871,4.1707,4.1305,10.2092,2.0351,1.9962,2.0472,2.0636,2.0671,3.0258,3.8049,1.3641,1.1616,1.2793,0.1617,0.0442,0.0230,0.0187,0.0279,0.0480,3.3580,4.4937,1.4609,1.5913,1.4414,0.0735,0.0186,0.0176,0.0054,0.0258,0.0061
