Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
AROJAU,-3.3684,-1.8308,-0.1184,-0.0983,0.2046,0.1609,2.4139,3.0747,3.3283,2.9832,29.2545,7.3306,7.0828,7.2784,0.9390,0.6166,0.4889,3.0195,3.8350,1.3142,1.2125,1.3083,6.3983,12.5557,4.1503,4.1996,4.2058,10.1642,1.9894,2.0322,2.0266,2.0376,2.0783,2.9680,3.5508,1.2367,1.1709,1.1431,0.2571,0.0310,0.0623,0.0595,0.0414,0.0628,2.9486,3.6450,1.2496,1.1546,1.2409,0.2273,0.0540,0.0289,0.0569,0.0354,0.0521
ATOMED,-3.6903,-1.6937,0.0095,-0.0911,0.0131,0.1136,2.6496,3.0449,1.8986,2.0690,29.0496,7.3633,8.5830,8.3665,0.9059,0.4058,0.6325,3.0281,3.8199,1.2721,1.4296,1.1181,6.3174,12.5157,4.2301,4.1376,4.1480,10.1568,2.0742,2.0712,2.0802,1.8761,2.0552,3.3737,4.5406,1.5258,1.4067,1.6081,0.0676,0.0153,0.0039,0.0220,0.0075,0.0190,3.3442,4.4467,1.4292,1.5733,1.4442,0.0883,0.0158,0.0263,0.0113,0.0247,0.0102
AVIYAG,-3.3088,-0.8244,-0.1326,-0.1438,0.1464,-0.0689,1.7337,3.0081,2.1066,1.8235,29.2657,7.3307,8.3302,8.6431,0.8931,0.0000,0.7844,3.0330,3.8724,1.1976,1.2826,1.3922,6.5682,12.3895,4.0940,4.1849,4.1106,10.1746,1.9833,2.0490,2.0473,2.0516,2.0434,3.3899,4.3896,1.3555,1.4498,1.5843,0.0683,0.0210,0.0075,0.0160,0.0084,0.0154,3.3747,4.6192,1.4532,1.6157,1.5502,0.0704,0.0142,0.0192,0.0094,0.0177,0.0100
BEKKOU,-3.8072,-2.5205,-0.0669,-0.0842,0.0973,0.0793,2.3692,3.1830,3.2391,2.0233,29.1335,7.2850,7.0335,8.4531,1.0184,0.7369,0.3692,3.0202,3.8131,1.3047,1.2670,1.2413,6.4111,12.5590,4.1851,4.2073,4.1667,10.0964,1.9785,2.0483,2.0242,2.0201,2.0253,3.0828,3.4596,1.2908,1.1261,1.0426,0.3268,0.0466,0.0537,0.0978,0.0628,0.0658,3.3705,4.4755,1.4381,1.4669,1.5705,0.0692,0.0223,0.0095,0.0111,0.0119,0.0144
BEYPOL,-3.6321,-1.8401,-0.0325,-0.1282,0.1073,0.1524,1.8626,3.0471,2.8249,3.3268,29.3238,7.3048,7.4277,7.1031,0.9218,0.0000,0.7600,3.0266,3.8641,1.2501,1.2465,1.3675,6.5304,12.4017,4.1129,4.1762,4.1126,10.1001,1.9771,2.0280,2.0343,2.0306,2.0301,2.9898,3.6824,1.3206,1.1827,1.1791,0.2032,0.0474,0.0291,0.0481,0.0394,0.0392,2.9599,3.6255,1.2134,1.2409,1.1712,0.2436,0.0464,0.0385,0.0602,0.0359,0.0626
BOXPEL,-3.6132,0.2690,-0.0401,-0.1402,0.0404,0.0091,1.6531,3.0141,2.0852,2.0277,29.1860,7.3432,8.4533,8.4712,0.8970,0.6928,0.0000,3.0242,3.8730,1.3463,1.3453,1.1814,6.5780,12.3752,4.1451,4.1671,4.0630,10.0866,1.9666,2.0153,2.0064,2.0592,2.0392,3.3443,4.5324,1.5489,1.5238,1.4596,0.0773,0.0061,0.0174,0.0195,0.0112,0.0231,3.4051,4.5158,1.4710,1.4894,1.5554,0.0642,0.0087,0.0188,0.0136,0.0095,0.0137
BUKNEA,-4.0975,-2.9442,0.0090,-0.0714,0.1078,0.1639,2.2795,3.2166,3.1730,2.1085,29.1004,7.2893,6.9569,8.3799,1.0118,0.7185,0.2900,3.0280,3.7979,1.3475,1.3149,1.1355,6.4112,12.5064,4.2185,4.1788,4.1091,10.0731,1.9589,2.0806,2.0244,2.0155,1.9937,3.0752,3.4676,1.2976,1.0396,1.1304,0.3159,0.0616,0.0479,0.0741,0.0652,0.0671,3.3630,4.3943,1.4570,1.4882,1.4491,0.0727,0.0236,0.0157,0.0064,0.0205,0.0064
BUNGIA01,-3.1863,-0.9485,-0.1225,-0.1295,0.0450,0.1212,1.8688,2.9842,1.9666,2.0242,29.0958,7.4035,8.5273,8.4248,0.8799,0.5682,0.2777,3.0344,3.8594,1.3996,1.3358,1.1240,6.4624,12.4402,4.1939,4.1564,4.0899,10.2197,1.9942,2.0706,2.0511,2.0884,2.0153,3.3474,4.5288,1.4660,1.5235,1.5394,0.0736,0.0143,0.0130,0.0187,0.0109,0.0166,3.3601,4.4361,1.3993,1.4946,1.5422,0.0768,0.0121,0.0129,0.0235,0.0099,0.0183
CAFMIF,-3.4821,-0.0860,-0.0999,-0.1427,0.0603,-0.0872,1.7658,3.0000,2.1168,1.9682,29.2061,7.3934,8.3839,8.5011,0.8758,0.0000,0.7696,3.0304,3.8723,1.1475,1.2858,1.4391,6.5784,12.3905,4.0647,4.1607,4.1651,10.1305,1.9992,2.0152,1.9738,2.0423,2.1000,3.4095,4.4583,1.3774,1.5926,1.4884,0.0659,0.0055,0.0200,0.0160,0.0080,0.0164,3.3828,4.6255,1.3864,1.6168,1.6222,0.0738,0.0165,0.0172,0.0051,0.0294,0.0055
CIPMUK,-3.4995,-1.2808,-0.0967,-0.1176,0.1806,0.1823,1.8681,3.0768,2.1381,2.1493,29.0354,7.3648,8.3331,8.3764,0.9883,0.2870,0.4081,3.0223,3.8540,1.3248,1.3347,1.1945,6.4221,12.4594,4.1576,4.1670,4.1348,10.2149,2.0257,1.9927,2.0546,2.0618,2.0801,3.3479,4.3896,1.4529,1.5262,1.4105,0.0758,0.0151,0.0187,0.0147,0.0125,0.0148,3.3312,4.4002,1.4406,1.5492,1.4104,0.0801,0.0240,0.0170,0.0081,0.0222,0.0088
