Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
AROJAU,-6.8531,1.9162,-0.3224,-0.0330,0.2500,0.1408,1.3112,2.5941,3.0890,2.6911,28.6818,7.6007,7.3621,7.5164,0.6910,0.2919,0.2527,2.9920,3.8201,1.3290,1.1793,1.3118,6.3032,12.6310,4.1619,4.2317,4.2375,10.3843,2.0487,2.0661,2.0707,2.0722,2.1266,2.9539,3.5380,1.2337,1.1778,1.1266,0.2395,0.0277,0.0617,0.0571,0.0379,0.0551,2.9313,3.7072,1.2728,1.1615,1.2728,0.2036,0.0529,0.0251,0.0548,0.0314,0.0394
ATOMED,-6.1585,2.0520,-0.1867,-0.0390,-0.0614,0.1066,1.5673,2.5647,1.5915,1.8790,28.5335,7.6492,8.7934,8.5664,0.6098,0.1683,0.3550,2.9976,3.8233,1.2697,1.4771,1.0764,6.2525,12.6233,4.2935,4.1575,4.1723,10.3050,2.0932,2.0898,2.0950,1.9652,2.0618,3.3573,4.6361,1.5864,1.4138,1.6360,0.0632,0.0127,0.0034,0.0209,0.0076,0.0186,3.3276,4.4792,1.4146,1.6038,1.4608,0.0800,0.0145,0.0264,0.0100,0.0199,0.0092
AVIYAG,-7.0434,2.8009,-0.1727,-0.0739,0.0832,-0.1095,1.1330,2.5961,1.9270,1.5583,28.7205,7.6445,8.5117,8.8644,0.6405,0.0000,0.5063,3.0050,3.8538,1.1751,1.2702,1.4085,6.4176,12.4649,4.1123,4.2341,4.1185,10.2863,2.0285,2.0560,2.0688,2.0617,2.0713,3.3777,4.4668,1.3822,1.4644,1.6201,0.0669,0.0213,0.0069,0.0155,0.0076,0.0156,3.3521,4.6890,1.4631,1.6567,1.5692,0.0640,0.0117,0.0199,0.0078,0.0162,0.0083
BEKKOU,-7.0239,1.2760,-0.2634,-0.0318,0.1994,0.0327,1.3872,2.6951,3.0640,1.8055,28.6593,7.5784,7.1240,8.6283,0.8077,0.3584,0.1704,2.9886,3.8182,1.3076,1.2542,1.2564,6.3183,12.6195,4.2110,4.2415,4.1670,10.3209,2.0234,2.0906,2.0658,2.0797,2.0615,3.0671,3.3860,1.2757,1.0999,1.0104,0.3135,0.0448,0.0531,0.0939,0.0577,0.0640,3.3541,4.5446,1.4664,1.4732,1.6049,0.0635,0.0233,0.0078,0.0094,0.0090,0.0140
BEYPOL,-7.1718,1.9987,-0.1413,-0.0557,0.0550,0.1628,1.3016,2.6607,2.5956,3.0395,28.7783,7.6093,7.6232,7.3558,0.7495,0.0000,0.5015,2.9985,3.8423,1.2337,1.2243,1.3843,6.4078,12.4849,4.1257,4.2304,4.1288,10.2446,2.0260,2.0380,2.0703,2.0562,2.0541,2.9771,3.7609,1.3511,1.1973,1.2125,0.1908,0.0430,0.0284,0.0476,0.0385,0.0333,2.9422,3.6564,1.2361,1.2408,1.1796,0.2209,0.0387,0.0386,0.0539,0.0309,0.0587
BOXPEL,-7.2810,2.5387,-0.0801,-0.0618,0.0080,-0.0640,1.1967,2.6610,1.8059,1.8046,28.7254,7.6217,8.6742,8.6500,0.7533,0.4370,0.0000,2.9966,3.8458,1.3500,1.3409,1.1549,6.4325,12.4461,4.1793,4.1922,4.0746,10.1973,2.0098,2.0334,2.0234,2.0757,2.0550,3.3234,4.5958,1.5830,1.5566,1.4563,0.0675,0.0045,0.0140,0.0172,0.0102,0.0216,3.3964,4.6008,1.5043,1.5284,1.5681,0.0614,0.0084,0.0189,0.0129,0.0079,0.0133
BUKNEA,-7.1566,0.5090,-0.1977,-0.0469,0.1973,0.1418,1.2602,2.6612,2.9714,1.9228,28.6407,7.6296,7.1061,8.5244,0.7718,0.3387,0.1076,2.9934,3.8337,1.3883,1.3549,1.0905,6.3242,12.5600,4.2732,4.1804,4.1064,10.3093,2.0593,2.0982,2.0385,2.0726,2.0407,3.0635,3.3987,1.2915,1.0192,1.0880,0.3067,0.0587,0.0451,0.0722,0.0610,0.0697,3.3500,4.4357,1.4667,1.4922,1.4768,0.0671,0.0240,0.0124,0.0056,0.0191,0.0060
BUNGIA01,-6.8826,2.6709,-0.2248,-0.0646,0.0007,0.0882,1.0289,2.5610,1.7115,1.8219,28.5950,7.6822,8.7086,8.5921,0.6196,0.2986,0.1065,3.0066,3.8446,1.4284,1.3305,1.0858,6.3289,12.5149,4.2395,4.1756,4.0998,10.3775,2.0600,2.0939,2.0597,2.1077,2.0562,3.3316,4.5963,1.4994,1.5421,1.5549,0.0665,0.0130,0.0124,0.0183,0.0082,0.0147,3.3410,4.4972,1.4315,1.5024,1.5633,0.0683,0.0098,0.0095,0.0243,0.0087,0.0160
CAFMIF,-7.2287,2.7734,-0.1467,-0.0671,0.0019,-0.1098,1.2582,2.6444,1.9456,1.6690,28.7631,7.6414,8.5420,8.7420,0.7251,0.0000,0.5160,3.0016,3.8492,1.1132,1.2702,1.4659,6.4382,12.4678,4.0786,4.1906,4.1985,10.2363,2.0232,2.0297,2.0158,2.0575,2.1101,3.4023,4.5267,1.4041,1.6241,1.4985,0.0636,0.0051,0.0202,0.0149,0.0066,0.0167,3.3581,4.6812,1.3720,1.6561,1.6532,0.0656,0.0137,0.0148,0.0039,0.0293,0.0040
CIPMUK,-7.0987,2.4950,-0.1919,-0.0467,0.1407,0.1507,1.0450,2.6292,1.9146,1.9189,28.5708,7.6398,8.5222,8.5666,0.7188,0.1130,0.1848,2.9962,3.8323,1.3223,1.3424,1.1675,6.3011,12.5240,4.1754,4.1914,4.1571,10.3635,2.0549,2.0459,2.0734,2.0836,2.1057,3.3325,4.4528,1.4690,1.5590,1.4248,0.0685,0.0134,0.0191,0.0139,0.0102,0.0119,3.3168,4.4556,1.4459,1.5699,1.4398,0.0713,0.0242,0.0136,0.0061,0.0198,0.0075
