Ligand,HOMO Energy (eV),LUMO Energy (eV),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2)
AROJAU,-3.1033,-2.1486,0.4738,-1.0069,-0.6598,-0.6202,2.4060,2.8985,3.3871,2.9349,28.8370,7.2862,6.9978,6.9662,0.8906,0.5866,0.4460,3.2080,4.1789,1.4501,1.2844,1.4444,6.3434,12.5175,4.1415,4.1889,4.1871,9.6653,1.9025,1.9394,1.9236,1.9378,1.9620,3.1665,3.8701,1.3735,1.2843,1.2123,0.6232,0.0843,0.1384,0.1486,0.1048,0.1471,3.1349,3.9136,1.3623,1.2068,1.3445,0.5718,0.1269,0.0870,0.1386,0.0961,0.1232
ATOMED,-3.3556,-2.0200,0.5853,-0.9915,-0.6697,-0.5303,2.5232,2.7671,1.8840,1.8344,28.7654,7.2714,8.4900,8.3970,0.7836,0.3519,0.4994,3.2210,4.1612,1.3578,1.6163,1.1871,6.2615,12.4948,4.2312,4.1326,4.1310,9.6584,1.9753,1.9707,1.9865,1.7611,1.9647,3.5446,4.8093,1.6551,1.4442,1.7100,0.3158,0.0711,0.0288,0.0958,0.0354,0.0847,3.5089,4.6861,1.4830,1.6990,1.5042,0.3352,0.0649,0.0855,0.0492,0.0888,0.0468
AVIYAG,-2.7987,-1.1812,0.3706,-1.0545,-0.4740,-0.7857,1.3650,2.5079,2.0491,1.6716,28.7318,7.4260,8.3208,8.6222,0.6719,0.0000,0.5047,3.2232,4.2284,1.2869,1.3717,1.5698,6.5423,12.3721,4.0901,4.1812,4.1009,9.7150,1.8837,1.9716,1.9481,1.9704,1.9412,3.5544,4.6619,1.4459,1.4926,1.7234,0.2577,0.0677,0.0396,0.0611,0.0331,0.0562,3.5336,4.8903,1.5259,1.7153,1.6491,0.3618,0.0765,0.0813,0.0647,0.0848,0.0544
BEKKOU,-3.5738,-2.8506,0.4902,-0.9731,-0.3414,-0.5119,2.1645,2.9706,3.1239,1.8602,28.6160,7.2675,7.1495,8.4526,0.8985,0.6506,0.2827,3.2082,4.1330,1.4154,1.3581,1.3595,6.3491,12.5068,4.1711,4.1948,4.1409,9.6539,1.8951,1.9572,1.9345,1.9186,1.9485,3.1401,3.5133,1.2957,1.1536,1.0640,0.6881,0.1165,0.1233,0.1736,0.1255,0.1492,3.5318,4.7049,1.5042,1.5194,1.6813,0.2751,0.0674,0.0474,0.0575,0.0542,0.0487
BEYPOL,-3.2543,-2.1581,0.4364,-1.0322,-0.6430,-0.6234,1.8060,2.7152,2.7307,3.5304,28.7841,7.3503,7.2084,7.0657,0.8199,0.0000,0.6926,3.2157,4.2134,1.3533,1.3249,1.5353,6.4916,12.3894,4.1094,4.1771,4.1028,9.6827,1.8997,1.9570,1.9354,1.9522,1.9383,3.1742,3.9951,1.4228,1.2643,1.3080,0.4738,0.1034,0.0735,0.1168,0.0870,0.0931,3.1365,3.8989,1.3388,1.3060,1.2542,0.5880,0.1142,0.0993,0.1469,0.0907,0.1369
BOXPEL,-3.1387,0.3807,0.3759,-1.0439,-0.5962,-0.5408,1.2724,2.6041,1.8386,1.8572,28.6210,7.3758,8.5525,8.4756,0.7119,0.3916,0.0000,3.2100,4.2241,1.4855,1.4694,1.2691,6.5525,12.3558,4.1370,4.1595,4.0593,9.7159,1.8721,1.9553,1.9433,1.9755,1.9697,3.5038,4.7715,1.6663,1.6348,1.4704,0.3209,0.0482,0.0744,0.0792,0.0431,0.0761,3.5548,4.7593,1.5626,1.6030,1.5937,0.2267,0.0359,0.0569,0.0450,0.0381,0.0508
BUKNEA,-3.8974,-3.1755,0.5441,-0.9465,-0.4115,-0.4538,2.0576,2.8897,3.2452,1.9938,28.5272,7.3624,7.1670,8.4536,0.8245,0.6261,0.2353,3.2195,4.1090,1.4614,1.4404,1.2072,6.3442,12.4626,4.2111,4.1605,4.0910,9.6491,1.8618,1.9871,1.9649,1.9063,1.9291,3.1389,3.5596,1.2966,1.0981,1.1649,0.7130,0.1553,0.1145,0.1546,0.1429,0.1457,3.5277,4.6398,1.4837,1.5878,1.5682,0.2864,0.0729,0.0674,0.0392,0.0758,0.0311
BUNGIA01,-2.7636,-1.2078,0.4399,-1.0328,-0.6710,-0.5145,1.6943,2.6018,1.8931,1.8905,28.6924,7.4224,8.4728,8.4175,0.7478,0.4057,0.2630,3.2259,4.2084,1.5518,1.4601,1.1965,6.4159,12.4131,4.1838,4.1481,4.0813,9.7311,1.8841,1.9709,1.9690,1.9641,1.9429,3.5149,4.8060,1.5704,1.6088,1.6269,0.3501,0.0697,0.0538,0.0876,0.0579,0.0811,3.5234,4.6706,1.5084,1.5568,1.6054,0.3205,0.0539,0.0560,0.0821,0.0477,0.0807
CAFMIF,-2.9945,-0.4330,0.3646,-1.0468,-0.4507,-0.7191,1.3965,2.5986,1.9996,1.6413,28.6824,7.3761,8.4298,8.5893,0.7100,0.0000,0.4888,3.2177,4.2224,1.2165,1.3831,1.6228,6.5533,12.3712,4.0606,4.1553,4.1553,9.7109,1.9366,1.9447,1.8709,1.9606,1.9980,3.5526,4.6800,1.4649,1.7090,1.5061,0.2182,0.0220,0.0555,0.0532,0.0356,0.0519,3.5363,4.8595,1.4026,1.7193,1.7377,0.3232,0.0850,0.0801,0.0357,0.0870,0.0355
CIPMUK,-3.0846,-1.6017,0.4499,-1.0267,-0.4299,-0.4617,1.6333,2.7005,2.1000,2.0527,28.5983,7.3923,8.3815,8.4460,0.8231,0.2442,0.3083,3.2098,4.2054,1.4486,1.4841,1.2727,6.3767,12.4210,4.1484,4.1508,4.1218,9.7524,1.9312,1.9088,1.9640,1.9683,1.9801,3.5091,4.6344,1.5401,1.6080,1.4862,0.2864,0.0568,0.0584,0.0607,0.0502,0.0604,3.4934,4.6476,1.4720,1.6603,1.5152,0.3207,0.0808,0.0698,0.0435,0.0814,0.0453
