Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABALIA01,81.37,234.46,1.88,9.46,9.23,38.1,28.1,17.3,655.09,-3.0857,-2.4538,2.03,2.01,1.88,0.3334,-0.4189,-0.0662,-0.6442,2.0611,2.8236,3.1432,2.0514,28.8563,7.3564,7.0158,8.528,0.8244,0.5137,0.4267,3.217,1.2646,1.2975,1.5661,6.3921,12.4848,4.1535,4.2049,4.1264,9.7896,1.9,1.9706,1.9733,1.9868,1.959,1.2638,1.4072,0.0124,0.0288,0.0249,0.0171,0.0321,1.5276,1.521,1.6606,0.4138,0.0839,0.067,0.1032,0.0615,0.0983,13
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-3.2721,-2.5463,2,2.03,1.84,0.3699,-0.4039,-0.6355,-0.0937,2.093,2.8682,2.0821,3.0352,28.7557,7.3418,8.5341,7.2118,0.8375,0.434,0.4963,3.2033,1.3917,1.4353,1.2989,6.3777,12.4966,4.1708,4.1716,4.1542,9.7558,1.8919,1.9642,1.9793,1.9849,1.9354,1.5034,1.5362,0.082,0.0769,0.0805,0.078,0.09,1.2593,1.4467,1.0997,0.1129,0.0148,0.0275,0.0306,0.014,0.0261,17.1
ABIVUD,82.61,196.09,2.14,9.42,6.41,35.2,25.7,14.5,570.84,-2.9835,-2.4858,1.97,1.97,1.85,0.2307,-0.4134,-0.1509,-0.2176,2.2701,2.8571,3.1869,2.9926,28.801,7.3545,7.1065,7.2362,0.7931,0.5402,0.5285,3.2074,1.3463,1.5474,1.2375,6.4278,12.5866,4.1939,4.2053,4.1875,9.7549,1.9621,1.9467,1.9836,1.9482,1.9144,1.2097,1.4477,0.0157,0.0154,0.0292,0.0106,0.0209,1.3966,1.1226,1.4,0.1109,0.0304,0.011,0.0248,0.0148,0.0299,17.4
ABOSOB,81.68,232.57,1.9,8.26,10.35,37.6,27.1,17,669.56,-3.2271,-2.5816,2.04,1.99,1.86,0.3349,-0.4022,-0.0612,-0.6477,2.0962,2.8537,3.114,2.0749,28.8141,7.3491,7.009,8.5343,0.8152,0.5166,0.4436,3.2107,1.4162,1.4013,1.2996,6.388,12.5024,4.1309,4.2076,4.1639,9.7748,1.9355,1.9721,1.9811,1.9602,1.9258,1.2216,1.4412,0.0167,0.0288,0.0256,0.0168,0.0276,1.518,1.5486,1.6443,0.4188,0.0855,0.0772,0.0835,0.0866,0.086,12.1
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-2.7247,-1.871,2,2.04,1.9,0.3479,-0.4459,-0.1855,-0.555,1.9969,2.7898,2.8991,1.9835,28.8388,7.358,7.2212,8.4705,0.7607,0.4805,0.3591,3.2177,1.2891,1.4114,1.4552,6.4082,12.4549,4.0954,4.1988,4.1607,9.7889,1.9276,1.9577,1.9623,1.9756,1.9657,1.2204,1.3367,0.0234,0.0117,0.0086,0.0252,0.0108,1.4488,1.6953,1.5134,0.3801,0.0833,0.099,0.0505,0.1033,0.044,25
ACETSC10,78.63,211.89,1.75,5.64,6.33,34.4,23.1,10.4,447.62,-3.0244,-1.2577,2.02,2.18,1.87,0.2494,-0.4537,-0.0575,-0.6322,1.8317,2.7957,3.2562,2.023,28.8635,7.3572,7.1048,8.5404,0.8315,0.5176,0.2802,3.2014,1.3177,1.2762,1.5842,6.4556,12.4831,4.1533,4.1874,4.1424,9.8119,1.9299,1.9657,1.9559,1.9821,1.9784,1.1913,1.411,0.0179,0.0267,0.0194,0.0265,0.0276,1.5897,1.5484,1.6031,0.3578,0.079,0.0566,0.0753,0.066,0.0808,19.9
ACETUA,64.39,162.2,2.31,6.59,10.67,26.9,19.9,12.9,627.89,-3.133,-2.9061,2.02,2.06,1.82,0.4339,-0.3825,-0.5609,-0.5634,2.0379,2.8934,1.9165,1.9928,28.8047,7.3443,8.5316,8.517,0.8145,0.4734,0.4581,3.2035,1.4054,1.4235,1.2726,6.4121,12.418,4.1383,4.1679,4.1118,9.736,1.9096,1.9592,1.98,1.9484,1.9388,1.5425,1.6349,0.0687,0.0795,0.0848,0.0538,0.1,1.5913,1.4774,1.6245,0.3384,0.0652,0.0662,0.0799,0.0508,0.0764,26.6
ACETUY,76.62,170.2,1.62,7.79,7.36,32.4,23.1,16.6,589.12,-2.6807,-1.0654,2.57,1.89,1.87,0.303,-0.4668,-0.4661,-0.817,1.725,2.7683,2.0329,1.8655,28.9538,7.3513,8.4272,8.5403,0.7739,0,0.7125,3.2116,1.4894,1.3978,1.2931,6.5153,12.4102,4.1111,4.2068,4.0923,9.7715,1.9308,1.9734,1.9572,1.9743,1.9356,1.4749,1.495,0.0658,0.049,0.0668,0.0456,0.0861,1.5486,1.7011,1.6273,0.3976,0.0725,0.0818,0.0824,0.0986,0.0623,25.9
ACLTRY,46.19,130.77,2.09,9.07,9.55,19.6,14.3,10.9,632.01,-2.9745,-0.954,3.08,1.86,1.84,0.2993,-0.4669,-0.5547,-0.6079,1.5552,2.7747,2.0059,2.0328,28.7747,7.3433,8.4705,8.5558,0.8215,0,0.5496,3.2041,1.5962,1.4061,1.1859,6.5624,12.3718,4.1664,4.1626,4.0428,9.7666,1.8656,1.9719,1.9714,1.9926,1.9651,1.6119,1.6378,0.031,0.07,0.0646,0.0357,0.0712,1.5838,1.522,1.6422,0.3773,0.0924,0.058,0.0776,0.0659,0.0834,4.7
ACPENC10,91.63,237.83,1.55,5.78,7.06,47.1,32.8,16.7,511.75,-3.0585,-2.521,2.17,1.96,1.88,0.5187,-0.394,-0.5085,-0.5248,2.2119,2.8417,1.9849,2.0423,28.7951,7.3193,8.4197,8.4915,0.8311,0.2698,0.4443,3.2144,1.2876,1.4199,1.3983,6.2889,12.4425,4.1496,4.1234,4.1695,9.7498,1.9599,1.9125,1.9687,1.9742,1.9345,1.4671,1.5135,0.0812,0.0534,0.0704,0.0541,0.0722,1.5823,1.5288,1.5368,0.3869,0.0683,0.0642,0.09,0.0703,0.0941,10.2
