Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
ABALIA01,81.37,-3.0857,0.3334,2.0611,6.3921,12.4848,9.7896,1.9,1.521,0.0839,13
ABEJEX,81.54,-3.2721,0.3699,2.093,6.3777,12.4966,9.7558,1.8919,1.4467,0.0148,17.1
ABIVUD,82.61,-2.9835,0.2307,2.2701,6.4278,12.5866,9.7549,1.9621,1.1226,0.0304,17.4
ABOSOB,81.68,-3.2271,0.3349,2.0962,6.388,12.5024,9.7748,1.9355,1.5486,0.0855,12.1
ACANAC12,83.31,-2.7247,0.3479,1.9969,6.4082,12.4549,9.7889,1.9276,1.6953,0.0833,25
ACETSC10,78.63,-3.0244,0.2494,1.8317,6.4556,12.4831,9.8119,1.9299,1.5484,0.079,19.9
ACETUA,64.39,-3.133,0.4339,2.0379,6.4121,12.418,9.736,1.9096,1.4774,0.0652,26.6
ACETUY,76.62,-2.6807,0.303,1.725,6.5153,12.4102,9.7715,1.9308,1.7011,0.0725,25.9
ACLTRY,46.19,-2.9745,0.2993,1.5552,6.5624,12.3718,9.7666,1.8656,1.522,0.0924,4.7
ACPENC10,91.63,-3.0585,0.5187,2.2119,6.2889,12.4425,9.7498,1.9599,1.5288,0.0683,10.2
ADALAS,53.33,-3.2494,0.2545,1.7867,6.5473,12.4358,9.7623,1.9178,1.3779,0.0092,29.5
ADINAD,95.14,-2.8398,0.451,2.2948,6.3619,12.4864,9.7006,1.9609,1.3993,0.1038,20.6
AFAZAK,82.48,-3.3576,0.1858,2.1357,6.4273,12.6084,9.7785,1.938,1.2105,0.0222,19.1
AFEBOC,88.93,-2.8928,0.3501,1.7495,6.3886,12.4478,9.8135,1.9317,1.5864,0.0712,17.4
AFESEJ,73.06,-2.5823,0.331,1.7047,6.5141,12.3858,9.7691,1.9273,1.5131,0.0626,31.8
AFETOU,102.25,-3.0356,0.4652,2.3452,6.3518,12.4913,9.6917,1.9736,1.4233,0.0962,21.7
AFISIS,87.27,-2.853,0.4627,2.3918,6.3462,12.5185,9.6726,1.933,1.5733,0.0756,13.7
AFUTDZ10,71.59,-3.2885,0.2316,1.8365,6.5635,12.4661,9.7388,1.9567,1.3673,0.0156,32.8
AFUVEE,79.84,-3.0561,0.3146,1.9528,6.4085,12.4883,9.7887,1.931,1.4196,0.0158,16
AGADIX,79.88,-3.0647,0.3182,1.9558,6.4068,12.4867,9.7882,1.9221,1.4057,0.012,14.5
AGAKIE,97.61,-3.1626,0.3869,1.9316,6.3547,12.4857,9.7727,1.9266,1.6126,0.0941,14.7
AGIDOM,80.98,-3.1289,0.2631,1.9136,6.4544,12.502,9.7805,1.901,1.5467,0.0754,28.2
AHICIF01,76.51,-2.7515,0.1774,1.8311,6.5353,12.5101,9.7772,1.94,1.4679,0.0232,28.8
AHPAZP10,81.64,-3.7375,0.2865,2.3995,6.4031,12.6055,9.7049,1.9194,1.2062,0.0195,23.3
AJIYEX,85.23,-2.6969,0.4015,1.93,6.4051,12.4233,9.77,1.9053,1.5491,0.0619,18.4
AJIZAU,85.07,-2.7173,0.4036,1.9335,6.404,12.4231,9.7694,1.9099,1.5414,0.0614,18.2
AKAWAK,80.91,-2.9388,0.1557,1.986,6.4608,12.5667,9.8168,1.9139,1.2076,0.0206,24.2
ALAMET01,81.28,-2.5418,0.2649,1.9216,6.4237,12.4944,9.817,1.9749,1.6478,0.0659,36.9
ALODAH,84.99,-3.5018,0.3776,2.2735,6.3704,12.5496,9.7024,1.8912,1.5933,0.0749,17
ALOLIW,80.74,-2.6996,0.2214,1.8463,6.4748,12.5016,9.8023,1.9395,1.213,0.0178,24.8
ANAGUT,81.56,-3.2888,0.3331,2.1005,6.3912,12.5031,9.7726,1.9223,1.4267,0.0162,16.5
ANITUN,68.83,-3.2128,0.2407,1.8116,6.5558,12.44,9.7635,1.8842,1.3524,0.0124,31.6
ANITUO,93.91,-3.2863,0.4101,2.3159,6.3514,12.5311,9.7075,1.8929,1.2954,0.014,13.5
ANOVEG,93.58,-3.1611,0.476,2.1696,6.3276,12.4888,9.7077,1.9287,1.5537,0.0974,18.5
APAKUZ,93.01,-3.9891,0.5898,2.3888,6.2829,12.5015,9.6258,1.984,1.4315,0.1061,27.4
AQINAP,87.85,-3.5609,0.4099,2.1184,6.3759,12.4733,9.7408,1.9154,1.6293,0.0812,13
AQOPIG,75.87,-3.5241,0.2402,1.9035,6.3614,12.5445,9.8538,1.9881,1.3,0.02,36.8
ARADED,81.81,-3.0448,0.2316,1.9537,6.4513,12.5324,9.7847,1.9061,1.2913,0.0159,26.2
ARANOW,85.85,-3.2362,0.4214,2.263,6.3775,12.4876,9.7136,1.9136,1.6201,0.0592,19
ARFIMP10,80.32,-2.4493,0.1076,1.7398,6.5315,12.5285,9.8323,1.9336,1.4973,0.0064,26.5
AROJAU,82.02,-2.9019,0.2178,2.1873,6.4241,12.5852,9.7729,1.9171,1.2254,0.02,28.7
ASEFOU,63.26,-2.8703,0.4031,1.9066,6.439,12.3931,9.7649,1.9133,1.6845,0.0604,17.4
ASOLOL,87.93,-3.3394,0.4727,2.0097,6.3667,12.4144,9.7462,1.9627,1.5123,0.0781,15.2
ATMHYD,81.84,-3.166,0.4571,1.9462,6.3789,12.4035,9.7605,1.8921,1.5992,0.0548,12
ATOKAX,82.12,-3.5923,0.3074,2.0987,6.4494,12.5035,9.7397,1.9038,1.5036,0.0765,25.2
ATOMED,90.06,-3.1765,0.4997,2.6825,6.2765,12.5118,9.712,1.9825,1.6862,0.0749,13.7
ATUWAN,83.23,-3.7978,0.4583,2.076,6.344,12.4786,9.7191,1.9365,1.4779,0.0724,14.5
ATZTHD10,70.6,-3.0847,0.207,1.7448,6.5816,12.449,9.7624,1.9518,1.4057,0.0154,33.7
AVAJAK,94.41,-2.4558,0.2543,1.9689,6.4083,12.5237,9.8137,1.906,1.6094,0.0744,20.8
AVAJIR,86.9,-2.7392,0.3198,2.0242,6.3819,12.4773,9.821,1.922,1.3325,0.0175,22.1
AVIYAG,74.91,-2.6478,0.3023,1.6476,6.5457,12.3889,9.7631,1.8955,1.6984,0.0959,27
AWAZUV,99.81,-3.1802,0.3169,1.7989,6.3481,12.4925,9.8425,1.9693,1.3092,0.0285,36
AWULEK,81.79,-3.1665,0.32,2.0767,6.3949,12.5056,9.7794,1.9243,1.437,0.0187,13.8
AXIHOG,83.94,-2.7351,0.4451,2.0729,6.3687,12.4358,9.7504,1.9611,1.6744,0.0841,18.7
AYANEV,94.82,-3.3756,0.4604,1.9579,6.3722,12.4234,9.7441,1.9182,1.5876,0.0681,15.9
AYUZID,84.36,-3.6922,0.3098,2.1263,6.4189,12.5377,9.7336,1.9088,1.3458,0.0091,19.4
AZIWUD,65.41,-2.9167,0.2631,2.0522,6.4573,12.5042,9.7754,1.9564,1.2738,0.0115,34.6
BACJEX,100.8,-3.1343,0.4898,2.1417,6.3175,12.4832,9.7095,1.9609,1.6117,0.0764,17
BACJOG,79.1,-2.9349,0.1272,1.9618,6.4624,12.5892,9.8212,1.9217,1.3382,0.0144,26.3
BACTEF,81.75,-3.5175,0.2997,2.0732,6.4571,12.4992,9.744,1.9148,1.5464,0.0716,25.4
BACTIJ,81.43,-3.4623,0.2882,2.0667,6.4659,12.5023,9.7436,1.9013,1.142,0.0197,28.7
BADQEF,91.7,-2.4448,0.0637,2.0544,6.4838,12.6072,9.8453,1.9558,1.2054,0.0196,26.5
BALPUC,100.59,-2.7235,0.3598,2.0635,6.3515,12.4933,9.7954,1.9533,1.7443,0.0523,20.4
BANFIG,77.82,-3.1512,0.3582,1.7222,6.4219,12.4257,9.7941,1.9181,1.5341,0.014,15.8
BAPHUV,88.15,-2.6634,0.4071,1.961,6.3878,12.438,9.7672,1.9075,1.6094,0.0822,19.7
BAPREQ,81.63,-3.1988,0.1818,2.1092,6.4368,12.5966,9.7848,1.9503,1.3905,0.0187,20.5
BAZZUZ,82,-2.7203,0.346,2.0335,6.4126,12.4561,9.7853,1.8974,1.4009,0.0068,18
BECWAJ,79.71,-3.1092,0.3285,1.988,6.4037,12.4892,9.7785,1.9224,1.4099,0.016,13
BEGRUA,69.11,-3.4615,0.2729,1.8743,6.5454,12.448,9.7337,1.9054,1.2348,0.0249,31
BEGSEL,68.74,-3.4756,0.2746,1.8776,6.5448,12.4479,9.7327,1.9007,1.4825,0.0704,32.8
BEJLUX,85.7,-3.5249,0.4065,1.9547,6.3665,12.4616,9.7654,1.9352,1.4914,0.0721,14.6
BEKKOU,84.74,-3.4322,0.2943,2.2585,6.4012,12.5636,9.7408,1.9038,1.5156,0.0794,28.7
