Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-3.2721,-2.5463,2,2.03,1.84,0.3699,-0.4039,-0.6355,-0.0937,2.093,2.8682,2.0821,3.0352,28.7557,7.3418,8.5341,7.2118,0.8375,0.434,0.4963,3.2033,4.1259,1.3917,1.4353,1.2989,6.3777,12.4966,4.1708,4.1716,4.1542,9.7558,1.8919,1.9642,1.9793,1.9849,1.9354,3.5187,4.7095,1.5034,1.5362,1.6699,0.4074,0.082,0.0769,0.0805,0.078,0.09,3.175,3.8058,1.2593,1.4467,1.0997,0.1129,0.0148,0.0275,0.0306,0.014,0.0261,24.6
ABIVAL,86.5,187.43,1.56,8.54,8.8,31.2,23,17.4,648.43,-3.6038,-3.1022,1.92,2.03,1.83,0.5107,-0.3511,-0.5863,-0.6135,2.1751,2.9584,2.0442,1.9676,28.7362,7.3108,8.5077,8.4975,0.8779,0.5367,0.4141,3.2142,4.061,1.4006,1.3649,1.2955,6.3466,12.435,4.1926,4.1499,4.0925,9.7077,1.9034,1.9588,1.9798,1.961,1.9047,3.5061,4.707,1.5296,1.61,1.5674,0.3732,0.0731,0.0588,0.1012,0.0565,0.0835,3.5213,4.6875,1.4775,1.5918,1.6182,0.4047,0.0663,0.0797,0.1047,0.0677,0.0864,20.5
ABIWIT,46.8,131.51,2.41,10.85,9.88,19.5,15,13.3,731.62,-2.9414,-1.4183,1.86,3.05,1.85,0.3087,-0.4732,-0.5911,-0.5456,1.5348,2.7639,2.0847,1.9787,28.7796,7.3584,8.5543,8.4409,0.8042,0.563,0,3.2088,4.1903,1.3881,1.3895,1.4127,6.5619,12.3612,4.1286,4.1601,4.0725,9.7682,1.8795,1.9723,1.9597,1.9807,1.976,3.4836,4.7436,1.5868,1.6762,1.4806,0.3639,0.059,0.086,0.0875,0.0476,0.0838,3.5417,4.7187,1.5742,1.5561,1.5884,0.2851,0.0445,0.0511,0.076,0.042,0.0715,27.4
ABOCOM,47.11,134,3.26,7.67,11.3,21,15.7,12.5,724.83,-2.9612,-1.1259,3.04,1.86,1.84,0.3047,-0.4705,-0.556,-0.6098,1.5682,2.7686,1.9547,2.0436,28.7969,7.3567,8.4573,8.5412,0.8176,0,0.5864,3.2071,4.1889,1.5004,1.4111,1.2774,6.5625,12.3669,4.1364,4.1733,4.0573,9.7659,1.8778,1.9743,1.9603,1.987,1.9666,3.5474,4.737,1.5798,1.5718,1.5854,0.2716,0.0412,0.0557,0.0678,0.0395,0.0673,3.4897,4.7505,1.6006,1.6628,1.4871,0.3696,0.0652,0.0851,0.0867,0.0482,0.0844,25.3
ABOMOW,79.71,185.45,2.91,7.93,9.83,35.9,27.5,20.1,716.55,-2.637,-1.2619,1.96,2.21,1.88,0.3048,-0.463,-0.8279,-0.6222,1.7612,2.7375,1.8227,2.064,28.9208,7.3551,8.5501,8.5004,0.7248,0.6151,0.2583,3.2078,4.1795,1.5655,1.3084,1.3057,6.4606,12.4429,4.101,4.1834,4.1585,9.7918,1.9684,1.9692,1.9233,1.9504,1.9805,3.5566,4.8587,1.6401,1.5277,1.691,0.4126,0.0887,0.0632,0.0991,0.0799,0.0817,3.5357,4.6954,1.5079,1.606,1.5815,0.3911,0.0757,0.0674,0.0974,0.0675,0.0832,21.2
ABOQOA,60.21,185.84,1.99,7.12,6.35,31.2,25.6,13.4,509.08,-2.9549,-0.8957,3.53,1.88,1.87,0.2214,-0.4755,-0.4659,-0.2371,1.7399,2.7782,2.1461,2.9974,28.9169,7.3532,8.4294,7.2685,0.8088,0,0.6803,3.2045,4.1987,1.6284,1.3992,1.1712,6.5902,12.4148,4.1506,4.2302,4.0339,9.7737,1.8986,1.9838,1.9782,1.9937,1.9194,3.5311,4.6516,1.4658,1.6703,1.5154,0.2833,0.0521,0.0745,0.0493,0.0492,0.0581,3.1625,3.9937,1.3489,1.3542,1.2905,0.081,0.0134,0.0157,0.0168,0.0134,0.0217,24.4
ABORUE,84.58,258.97,2.3,9.57,8.05,42.9,31.1,21.1,670.29,-3.3787,-1.605,1.91,2.11,1.97,0.2161,-0.3475,-0.1487,-0.1479,1.7739,2.8585,3.2473,3.1021,28.7764,7.4184,7.0191,7.1565,0.516,0.6033,0.3573,3.1822,4.082,1.3916,1.294,1.3963,6.4261,12.4986,4.1517,4.1742,4.1728,9.8592,1.972,1.9389,1.9822,1.9698,1.9964,3.1607,3.8643,1.3712,1.1837,1.3094,0.1237,0.0299,0.0161,0.0306,0.0147,0.0323,3.1626,3.8991,1.2442,1.4481,1.2068,0.0862,0.0132,0.0172,0.025,0.0122,0.0185,34.4
ABUJUC,85.58,185.26,2.12,9.33,7.71,33.8,26.2,17.5,633.08,-1.8228,0.4088,2.03,2.05,1.94,0.2685,-0.4793,-0.886,-0.8864,1.8306,2.7143,1.6927,1.8942,28.9245,7.4131,8.5748,8.5316,0.7009,0.4794,0.4683,3.2285,4.1754,1.538,1.2883,1.3491,6.4498,12.4807,4.1685,4.1629,4.1493,9.801,1.8823,1.9668,1.9861,1.9881,1.9777,3.5654,4.8791,1.7042,1.4578,1.717,0.4416,0.1103,0.0617,0.0969,0.0693,0.1034,3.5713,4.9041,1.5798,1.6641,1.6602,0.411,0.071,0.0814,0.0706,0.108,0.08,22.1
ABULIT,86.92,197.04,1.62,6.79,7.25,34.3,22.4,12.7,495.99,-2.5542,-1.4199,2,2,1.91,0.3349,-0.4629,0.1119,-0.6829,1.9972,2.7552,3.0711,1.9379,28.8536,7.3834,7.0151,8.5285,0.7649,0.5033,0.4433,3.2172,4.1728,1.2393,1.4197,1.5138,6.4146,12.4662,4.0884,4.199,4.1787,9.7843,1.9522,1.9581,1.946,1.9563,1.9717,3.1757,3.5938,1.2491,1.2149,1.1298,0.1186,0.026,0.02,0.0263,0.0294,0.0169,3.5231,4.7479,1.5046,1.6978,1.5454,0.4119,0.0971,0.0936,0.0667,0.0895,0.065,19.1
ACACOY,48.46,134.95,1.65,6.59,8.8,20.2,13.6,9.1,498.48,-2.9848,-1.4331,2.97,1.84,1.83,0.3121,-0.4621,-0.5623,-0.615,1.583,2.7961,1.9258,2.1257,28.7519,7.335,8.569,8.5792,0.8235,0,0.5441,3.2,4.1873,1.5438,1.4489,1.1945,6.5496,12.3801,4.1642,4.1634,4.0525,9.7581,1.877,1.9635,1.9625,1.9816,1.9735,3.5412,4.7231,1.5891,1.5804,1.5535,0.2979,0.0456,0.0745,0.0725,0.0407,0.0646,3.4796,4.7429,1.6284,1.637,1.4774,0.3925,0.0643,0.091,0.0897,0.0595,0.0879,27
