Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
MUSNET,192.9,42.7,-2.5046,-0.6527,1.89,-0.4689,2.7223,28.9256,7.3337,0.7232,9.794,1.9465,0.0903,1.1939,18.5
HABVAK,168.34,29.7,-2.9558,-1.6524,1.87,-0.4688,2.7817,28.8876,7.3577,0.8109,9.7844,1.95,0.0211,1.4856,27.9
IWUVIH,204.14,34.1,-3.6939,-3.0311,1.8,-0.3863,2.9301,28.7929,7.2888,0.8763,9.7148,1.9698,0.0245,1.6821,24.4
UDEGUH,213.14,44,-4.3111,-2.5526,1.76,-0.3221,3.1023,28.9319,7.2841,1.0266,9.6285,1.968,0.0761,1.5923,23.1
DAYNUN,167.68,30.3,-2.6205,-0.8133,1.88,-0.4759,2.754,28.9308,7.3765,0.7875,9.7771,1.9031,0.0697,1.5143,22.8
HOGZIN,168.67,27.6,-2.6409,0.133,1.88,-0.4704,2.7503,28.8957,7.3759,0.7835,9.7755,1.9583,0.09,1.4999,24.6
XALNEF,216.09,46.1,-4.6914,-3.797,1.81,-0.2114,3.1026,28.736,7.1723,1.0016,9.5829,1.9871,0.085,1.5083,12.8
NAMYIJ,199.9,39.5,-2.6363,-0.7204,1.89,-0.4793,2.7771,28.9253,7.3952,0.7838,9.7878,1.9364,0.0143,1.4979,22.7
IDIRAP,215.44,38.5,-2.499,-0.8241,1.91,-0.445,2.7134,28.863,7.3398,0.7232,9.8057,1.9864,0.0705,1.1874,17.9
OKATAW,192.13,32.7,-3.3444,-2.2696,1.8,-0.4255,2.874,28.6831,7.33,0.8656,9.745,1.9633,0.0735,1.2842,16.6
OTOFEK,167.61,30.9,-2.6129,-0.7855,1.89,-0.4775,2.7533,28.9368,7.3632,0.791,9.7779,1.9765,0.0872,1.6261,21.6
OMEMEA,171.68,28.9,-3.0124,-1.6596,1.84,-0.4491,2.8063,28.8663,7.3401,0.8239,9.7639,1.9667,0.026,1.5589,23.3
UVAYIA,169.91,28,-2.5471,0.0417,1.88,-0.4677,2.7462,28.9208,7.3627,0.7691,9.775,1.9712,0.1063,1.5442,22.2
MOFMUS,214.64,35.4,-3.8266,-3.1232,1.81,-0.3725,2.9662,28.7992,7.2703,0.8974,9.7305,1.971,0.0283,1.6998,24.9
XIKLOU,169.66,27.2,-3.5422,-3.0045,1.81,-0.4061,2.8934,28.6632,7.3336,0.8616,9.7601,1.9814,0.0709,1.6293,21
PYRZOM01,171.3,28.8,-2.9061,-0.9726,1.87,-0.4626,2.7852,28.9015,7.3614,0.809,9.7813,1.9475,0.0278,1.5944,22.9
YUSQIO,207.84,37.1,-2.6225,-1.027,1.88,-0.4802,2.7761,28.969,7.3718,0.7718,9.7934,1.9908,0.0124,1.3853,35.4
FEHZIE,172.9,29.1,-3.0237,-1.6541,1.85,-0.4496,2.8017,28.8771,7.3448,0.8268,9.7675,1.9534,0.0293,1.5022,23.9
