Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABALIA01,81.37,234.46,1.88,9.46,9.23,38.1,28.1,17.3,655.09,-4.1452,-1.9518,2.03,2.01,1.88,-0.1241,-0.1186,0.1274,0.1358,2.0201,2.9924,3.1695,2.0769,29.0845,7.379,7.0061,8.4403,0.8742,0.5164,0.3844,3.0236,3.8568,1.228,1.4301,6.3914,12.4618,4.1457,4.2,4.116,10.2706,1.9934,2.0807,2.0608,2.0659,2.0698,1.346,0.3012,0.0343,0.0677,0.0624,0.0469,1.4168,1.4774,0.0773,0.0162,0.0076,0.0205,0.0104,14
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-4.2291,-2.0731,2,2.03,1.84,-0.1046,-0.1062,0.1359,0.0817,2.1326,3.0843,2.101,3.0413,29.0917,7.2969,8.4446,7.167,0.9804,0.4103,0.4738,3.0158,3.8465,1.3315,1.2126,6.3857,12.484,4.1665,4.1638,4.1537,10.2345,1.9832,2.0783,2.0534,2.0654,2.0542,1.4593,0.0768,0.0233,0.0118,0.0122,0.0146,1.1426,1.3911,0.298,0.0354,0.0743,0.0718,0.0379,17
ABIVUD,82.61,196.09,2.14,9.42,6.41,35.2,25.7,14.5,570.84,-3.9098,-1.9631,1.97,1.97,1.85,-0.1182,-0.097,0.2112,0.0037,2.3914,3.0657,3.2344,3.0095,29.2036,7.3034,7.1336,7.1581,0.9429,0.5234,0.6032,3.0169,3.8355,1.4106,1.1664,6.3933,12.5457,4.1805,4.1863,4.1789,10.1788,2.0523,2.0277,2.0385,2.0307,2.0296,1.3435,0.2519,0.0392,0.0466,0.0685,0.0303,1.2958,1.0758,0.2858,0.0686,0.0277,0.0612,0.0424,20
ABOSOB,81.68,232.57,1.9,8.26,10.35,37.6,27.1,17,669.56,-4.1643,-2.1092,2.04,1.99,1.86,-0.1254,-0.1061,0.129,0.1362,2.1501,3.0626,3.1655,2.0881,29.122,7.3344,7.017,8.439,0.9517,0.5227,0.4111,3.0188,3.8461,1.3096,1.2171,6.3904,12.4821,4.1242,4.2012,4.1567,10.2526,2.0187,2.068,2.0656,2.0368,2.0635,1.3759,0.3018,0.0424,0.0707,0.0622,0.0479,1.4346,1.4658,0.0781,0.0239,0.0123,0.0119,0.016,11.3
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-3.859,-1.3684,2,2.04,1.9,-0.1394,-0.1168,0.133,0.1274,1.9774,2.9845,2.9873,2.0441,29.1155,7.3486,7.1929,8.3931,0.8611,0.5691,0.2554,3.0265,3.8562,1.3112,1.3338,6.4094,12.4352,4.0903,4.1926,4.1523,10.2945,2.0248,2.056,2.0691,2.038,2.1067,1.2806,0.2208,0.0693,0.0358,0.0238,0.0651,1.438,1.5669,0.0755,0.0167,0.0204,0.0029,0.0319,26.1
ACETSC10,78.63,211.89,1.75,5.64,6.33,34.4,23.1,10.4,447.62,-4.2808,-0.4462,2.02,2.18,1.87,-0.1242,-0.1184,0.137,0.1005,1.9057,3.0313,3.2481,2.0636,29.1288,7.3264,7.0178,8.4412,0.9186,0.5497,0.257,3.0167,3.861,1.21,1.4161,6.4294,12.4604,4.144,4.1829,4.1335,10.2341,2.0197,2.0507,2.0425,2.0588,2.0624,1.3556,0.3072,0.0509,0.0618,0.0499,0.0721,1.48,1.4988,0.0714,0.018,0.0074,0.0174,0.0102,20.8
ACETUA,64.39,162.2,2.31,6.59,10.67,26.9,19.9,12.9,627.89,-3.9015,-2.7837,2.02,2.06,1.82,-0.0904,-0.1191,0.0828,0.0674,1.8795,3.0779,1.9737,1.9841,29.1115,7.3109,8.5022,8.4866,0.9736,0.4324,0.3564,3.0139,3.8549,1.3348,1.1965,6.444,12.4148,4.1359,4.1659,4.113,10.2312,1.9977,2.0726,2.0462,2.0442,2.0705,1.5562,0.0703,0.006,0.0184,0.0156,0.0098,1.4831,1.4324,0.0693,0.0129,0.0096,0.0216,0.0093,25.6
ACETUY,76.62,170.2,1.62,7.79,7.36,32.4,23.1,16.6,589.12,-4.1377,-0.358,2.57,1.89,1.87,-0.1597,-0.1344,0.1356,-0.1093,1.752,2.9737,2.0985,1.9176,29.1365,7.3879,8.3819,8.586,0.8345,0,0.7482,3.0249,3.8697,1.3083,1.2051,6.5148,12.4036,4.1097,4.2008,4.0931,10.2409,2.0217,2.0432,2.06,2.0745,2.0415,1.4738,0.0687,0.0203,0.0051,0.0149,0.0085,1.4816,1.6272,0.07,0.0124,0.02,0.0104,0.0162,26.5
ACLTRY,46.19,130.77,2.09,9.07,9.55,19.6,14.3,10.9,632.01,-4.3346,-0.3178,3.08,1.86,1.84,-0.0272,-0.1417,-0.0044,0.0525,1.6333,2.995,2.0003,2.0789,29.1153,7.3355,8.4862,8.4529,0.8915,0,0.6516,3.0223,3.8781,1.3131,1.1281,6.5486,12.3614,4.1627,4.1571,4.0416,10.1168,1.9657,2.027,2.0352,2.0756,2.0133,1.5319,0.0642,0.0009,0.0171,0.0159,0.0078,1.498,1.4583,0.0778,0.0157,0.0133,0.0202,0.0125,11.7
ACPENC10,91.63,237.83,1.55,5.78,7.06,47.1,32.8,16.7,511.75,-3.9735,-2.1238,2.17,1.96,1.88,-0.1415,-0.1123,0.18,0.1555,2.0066,2.9808,2.1007,2.0775,28.93,7.3749,8.3682,8.4019,0.8785,0.1987,0.3973,3.0247,3.8506,1.3229,1.3089,6.3429,12.4494,4.1522,4.1292,4.168,10.3488,2.0737,2.074,2.0816,2.0716,2.0479,1.4455,0.0733,0.0209,0.0108,0.0165,0.0105,1.4748,1.4731,0.078,0.0129,0.0102,0.0246,0.0101,7.1
