Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-4.2291,-2.0731,2,2.03,1.84,-0.1046,-0.1062,0.1359,0.0817,2.1326,3.0843,2.101,3.0413,29.0917,7.2969,8.4446,7.167,0.9804,0.4103,0.4738,3.0158,1.3023,1.3315,1.2126,6.3857,12.484,4.1665,4.1638,4.1537,10.2345,1.9832,2.0783,2.0534,2.0654,2.0542,1.4185,1.4593,0.0768,0.0233,0.0118,0.0122,0.0146,1.1426,1.3911,1.0437,0.298,0.0354,0.0743,0.0718,0.0379,26.8
ABIWIT,46.8,131.51,2.41,10.85,9.88,19.5,15,13.3,731.62,-4.3497,-0.6325,1.86,3.05,1.85,-0.0281,-0.1412,0.0532,0.0099,1.6505,3.0095,2.0879,2.0104,29.1323,7.316,8.457,8.4664,0.9133,0.6689,0,3.0256,1.2868,1.3018,1.2878,6.5491,12.3525,4.1257,4.157,4.0699,10.1261,1.974,2.0369,2.0207,2.0505,2.044,1.4924,1.577,0.0776,0.0068,0.0194,0.0176,0.0109,1.4741,1.4945,1.5516,0.0642,0.0082,0.0099,0.0222,0.0077,32.9
ABOCOM,47.11,134,3.26,7.67,11.3,21,15.7,12.5,724.83,-4.3487,-0.4192,3.04,1.86,1.84,-0.035,-0.1405,-0.0059,0.0423,1.6664,3.0181,2.0151,2.0679,29.125,7.3184,8.4756,8.4581,0.9248,0,0.6668,3.0243,1.3645,1.3201,1.1911,6.5507,12.3578,4.134,4.1702,4.0536,10.1262,1.9789,2.0315,2.0203,2.0601,2.0354,1.4807,1.4987,0.0638,0.0077,0.0116,0.0208,0.0076,1.5061,1.5646,1.4684,0.077,0.0068,0.0187,0.0175,0.0109,30.6
ABOMOW,79.71,185.45,2.91,7.93,9.83,35.9,27.5,20.1,716.55,-4.0573,-0.5459,1.96,2.21,1.88,-0.1824,-0.1269,-0.1071,0.1135,1.7577,2.9614,1.8571,2.0258,29.0975,7.3721,8.6252,8.4543,0.8246,0.6356,0.2031,3.0208,1.4034,1.2399,1.2208,6.4629,12.443,4.1006,4.1826,4.1598,10.2762,2.0555,2.0487,2.0491,2.0366,2.0863,1.5573,1.4707,0.0685,0.0187,0.0095,0.0157,0.0105,1.4287,1.5186,1.5006,0.0717,0.0146,0.0173,0.0141,0.0119,26.3
ABOQOA,60.21,185.84,1.99,7.12,6.35,31.2,25.6,13.4,509.08,-4.3078,0.0812,3.53,1.88,1.87,-0.0465,-0.1254,0.0928,0.0604,1.8589,3.0225,2.1483,3.0619,29.3354,7.2843,8.3785,7.1523,0.917,0,0.775,3.0209,1.4428,1.3105,1.1147,6.5395,12.3907,4.14,4.2182,4.0324,10.116,1.9958,2.0273,2.0449,2.0602,1.9878,1.4187,1.5666,0.0672,0.0114,0.0225,0.0104,0.0122,1.2303,1.294,1.1833,0.2266,0.0438,0.0377,0.0483,0.0395,28.8
ABORUE,84.58,258.97,2.3,9.57,8.05,42.9,31.1,21.1,670.29,-5.0402,-0.9788,1.91,2.11,1.97,-0.108,0.0564,0.0609,0.243,1.9966,3.2565,3.3132,3.1995,29.1244,7.1458,7.0073,7.2013,0.6235,0.6738,0.4181,2.9561,1.285,1.176,1.2646,6.3768,12.466,4.1391,4.164,4.1629,10.2649,2.0487,2.0302,2.0561,2.0523,2.0777,1.2556,1.1282,0.3215,0.07,0.0433,0.0813,0.0413,1.1121,1.3172,1.1184,0.2312,0.0331,0.0464,0.0579,0.0337,40.8
ABUJUC,85.58,185.26,2.12,9.33,7.71,33.8,26.2,17.5,633.08,-3.5397,0.9756,2.03,2.05,1.94,-0.2811,-0.1335,-0.1301,-0.1575,1.9447,2.9343,1.728,1.7961,29.1502,7.4009,8.6928,8.661,0.7948,0.4897,0.4777,3.0332,1.3927,1.2213,1.2495,6.4503,12.4905,4.1695,4.1642,4.1568,10.3401,2.0075,2.0732,2.08,2.0996,2.0798,1.6107,1.4241,0.0685,0.0178,0.0054,0.0161,0.0094,1.5115,1.586,1.5876,0.0675,0.0135,0.0182,0.0095,0.0162,31.1
ABULIT,86.92,197.04,1.62,6.79,7.25,34.3,22.4,12.7,495.99,-3.8073,-0.8883,2,2,1.91,-0.1512,-0.125,0.0386,0.0483,1.9787,2.9646,3.0961,1.9736,29.0764,7.3739,7.0621,8.5264,0.8605,0.5334,0.3827,3.027,1.1685,1.317,1.3775,6.4169,12.4636,4.0842,4.2032,4.1762,10.2703,2.0295,2.0468,2.0519,2.0259,2.1163,1.2531,1.1973,0.307,0.0715,0.0533,0.0631,0.0673,1.4475,1.6027,1.4644,0.0736,0.0198,0.0173,0.0077,0.0196,24.7
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-3.859,-1.3684,2,2.04,1.9,-0.1394,-0.1168,0.133,0.1274,1.9774,2.9845,2.9873,2.0441,29.1155,7.3486,7.1929,8.3931,0.8611,0.5691,0.2554,3.0265,1.2111,1.3112,1.3338,6.4094,12.4352,4.0903,4.1926,4.1523,10.2945,2.0248,2.056,2.0691,2.038,2.1067,1.1481,1.2806,0.2208,0.0693,0.0358,0.0238,0.0651,1.438,1.5669,1.4255,0.0755,0.0167,0.0204,0.0029,0.0319,22.8
ACARBM02,46.54,132.95,1.65,3.03,5.79,20.6,11.7,4.6,371.98,-4.1608,0.9086,3.1,1.85,1.88,-0.1556,-0.1392,-0.1919,-0.2359,1.8377,2.9969,1.7634,2.8117,29.3116,7.2905,8.6305,7.4787,0.8357,0,0.8618,3.0256,1.1948,1.4117,1.27,6.5986,12.4269,4.1606,4.1547,4.1117,10.1297,1.9729,1.9981,2.0259,2.0852,2.0475,1.5662,1.6403,0.0579,0.0036,0.0165,0.0146,0.0075,1.4202,1.3293,1.2323,0.1523,0.0309,0.024,0.0325,0.0185,44.1
ACENEC,40.27,127.5,2.85,6.15,13.07,20.4,16,11.2,663.04,-4.246,-0.2199,1.88,4.7,1.87,-0.0675,-0.1334,-0.1002,0.0307,1.7486,2.9841,3.1268,2.1019,29.2471,7.3087,7.3778,8.4318,0.8568,0.751,0,3.022,1.266,1.224,1.3843,6.5694,12.3971,4.1865,4.1284,4.0822,10.1006,1.96,2.0527,2.0326,2.032,2.0232,1.2943,1.3384,0.1563,0.0257,0.045,0.0313,0.0254,1.423,1.5655,1.5106,0.0667,0.0106,0.0181,0.014,0.0099,38.2
