Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABALIA01,81.37,234.46,1.88,9.46,9.23,38.1,28.1,17.3,655.09,-3.1382,-2.4338,2.03,2.01,1.88,-0.0823,-0.0936,0.1143,0.1421,2.2577,3.1022,3.1762,2.1012,29.1681,7.3602,6.9878,8.4251,0.9085,0.5663,0.4544,3.0337,1.1984,1.2302,1.3925,6.4199,12.4858,4.1538,4.205,4.1269,10.1763,1.9684,2.0534,2.0516,2.0622,2.0406,1.3414,0.3028,0.0353,0.0681,0.062,0.0456,1.4075,1.4783,0.0789,0.0171,0.008,0.0207,0.0107,9.1
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-3.3309,-2.5299,2,2.03,1.84,-0.0563,-0.0804,0.1428,0.0662,2.3574,3.2016,2.1275,3.0448,29.1731,7.2669,8.4294,7.1591,1.0043,0.4824,0.5344,3.0258,1.2892,1.3158,1.205,6.4138,12.5072,4.1722,4.1735,4.1615,10.135,1.9615,2.0523,2.0507,2.0578,2.0126,1.461,0.0781,0.0225,0.0121,0.0126,0.016,1.1601,1.3815,0.3,0.0378,0.0749,0.071,0.0374,14.1
ABIVUD,82.61,196.09,2.14,9.42,6.41,35.2,25.7,14.5,570.84,-3.0051,-2.4515,1.97,1.97,1.85,-0.0543,-0.0719,0.1861,0.0153,2.6129,3.1821,3.2394,3.0588,29.2788,7.2698,7.1458,7.1184,0.9727,0.6112,0.6378,3.0269,1.2583,1.3695,1.1721,6.4179,12.5661,4.1859,4.1968,4.1834,10.07,2.0383,2.0093,2.0352,2.0085,1.9787,1.3317,0.2516,0.04,0.0463,0.0682,0.0298,1.2812,1.0799,0.2886,0.0689,0.0279,0.0618,0.0433,14.2
ABOSOB,81.68,232.57,1.9,8.26,10.35,37.6,27.1,17,669.56,-3.2617,-2.5632,2.04,1.99,1.86,-0.0743,-0.0751,0.114,0.1413,2.3948,3.1909,3.1696,2.1124,29.1915,7.3089,7.0016,8.4252,0.978,0.5807,0.4856,3.0296,1.2919,1.3051,1.2064,6.4173,12.507,4.1332,4.2087,4.1651,10.1498,2.0098,2.0449,2.0643,2.0215,2.0093,1.3708,0.3033,0.0447,0.071,0.0614,0.047,1.4384,1.468,0.0797,0.023,0.0128,0.0124,0.0175,8.6
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-2.7895,-1.8795,2,2.04,1.9,-0.0944,-0.0992,0.1357,0.128,2.1969,3.0785,3.0264,2.0579,29.1947,7.3285,7.196,8.3833,0.8854,0.6015,0.3204,3.0354,1.2079,1.3053,1.3162,6.4391,12.4514,4.0939,4.1977,4.1598,10.2037,2.0067,2.0363,2.0584,2.0339,2.0684,1.2731,0.2259,0.0717,0.0374,0.0251,0.065,1.4406,1.568,0.0775,0.0173,0.0226,0.003,0.031,19.9
ACETSC10,78.63,211.89,1.75,5.64,6.33,34.4,23.1,10.4,447.62,-3.1412,-1.2432,2.02,2.18,1.87,-0.1221,-0.11,0.1304,0.1126,2.0473,3.1065,3.2714,2.097,29.2461,7.3146,6.9856,8.4107,0.9533,0.5902,0.2931,3.0245,1.233,1.2095,1.4019,6.4684,12.4859,4.1531,4.1869,4.1459,10.1675,1.9989,2.0426,2.0269,2.0484,2.0509,1.3518,0.31,0.0525,0.0618,0.0516,0.0712,1.4712,1.4972,0.0725,0.0181,0.0076,0.0176,0.0107,16.6
ACETUA,64.39,162.2,2.31,6.59,10.67,26.9,19.9,12.9,627.89,-3.1437,-2.8982,2.02,2.06,1.82,0.0064,-0.0715,0.0968,0.0815,2.1855,3.245,2.001,2.021,29.1716,7.2461,8.4725,8.4584,0.9982,0.5193,0.4498,3.027,1.2924,1.3136,1.187,6.4648,12.4322,4.141,4.1712,4.1201,10.0963,1.9936,2.0347,2.0465,2.0133,2.0081,1.5466,0.0713,0.0061,0.0184,0.0161,0.0103,1.4848,1.4298,0.0702,0.0129,0.0101,0.0215,0.0096,21.1
ACETUY,76.62,170.2,1.62,7.79,7.36,32.4,23.1,16.6,589.12,-2.8315,-1.0848,2.57,1.89,1.87,-0.1824,-0.1278,0.1478,-0.0917,1.8313,3.0324,2.113,1.9396,29.2692,7.3704,8.3578,8.5561,0.8601,0,0.7875,3.0329,1.3505,1.3007,1.2035,6.563,12.4244,4.1211,4.2014,4.1019,10.1947,2.0073,2.0393,2.0516,2.0694,2.0271,1.4726,0.0691,0.0202,0.0052,0.015,0.0089,1.477,1.6117,0.0706,0.0128,0.0195,0.0107,0.0164,20.9
ACLTRY,46.19,130.77,2.09,9.07,9.55,19.6,14.3,10.9,632.01,-3.1025,-0.9588,3.08,1.86,1.84,-0.0477,-0.1358,0.0092,0.0642,1.6738,3.0487,2.0239,2.1113,29.2486,7.3164,8.4663,8.4212,0.9102,0,0.6929,3.0302,1.4248,1.3086,1.1303,6.5963,12.3772,4.1696,4.1629,4.0447,10.0738,1.9482,2.023,2.03,2.0657,2.0069,1.5231,0.0645,0.001,0.0175,0.0163,0.0077,1.4882,1.4519,0.08,0.0159,0.0136,0.0201,0.0135,1.4
ACPENC10,91.63,237.83,1.55,5.78,7.06,47.1,32.8,16.7,511.75,-3.1271,-2.5307,2.17,1.96,1.88,-0.0739,-0.0831,0.1865,0.1484,2.3456,3.1073,2.1249,2.0685,28.9742,7.3508,8.3455,8.3929,0.9162,0.2505,0.4642,3.0345,1.214,1.2978,1.2996,6.3667,12.4697,4.1593,4.1341,4.1763,10.2372,2.0571,2.0203,2.0707,2.07,2.0192,1.4429,0.0742,0.0207,0.0108,0.0167,0.0112,1.4799,1.4752,0.0798,0.0141,0.0107,0.0242,0.0099,6.2
