Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABEJEX,81.54,223.81,2.68,7.74,9.92,39.6,29.2,18.3,680.73,-3.3309,-2.5299,2,2.03,1.84,-0.0563,-0.0804,0.1428,0.0662,2.3574,3.2016,2.1275,3.0448,29.1731,7.2669,8.4294,7.1591,1.0043,0.4824,0.5344,3.0258,1.2892,1.3158,1.205,6.4138,12.5072,4.1722,4.1735,4.1615,10.135,1.9615,2.0523,2.0507,2.0578,2.0126,1.4209,1.461,0.0781,0.0225,0.0121,0.0126,0.016,1.1601,1.3815,1.0454,0.3,0.0378,0.0749,0.071,0.0374,25.5
ABIWIT,46.8,131.51,2.41,10.85,9.88,19.5,15,13.3,731.62,-3.1048,-1.3841,1.86,3.05,1.85,-0.0491,-0.1355,0.0646,0.0247,1.687,3.0578,2.1165,2.0286,29.2651,7.2944,8.4285,8.4465,0.9235,0.7135,0,3.0336,1.2818,1.2971,1.2834,6.5983,12.3664,4.1289,4.1612,4.0763,10.084,1.9574,2.0314,2.0144,2.0429,2.038,1.483,1.5665,0.0797,0.007,0.02,0.0183,0.0115,1.4647,1.4884,1.5477,0.0644,0.0083,0.0102,0.0218,0.0076,26.6
ABOCOM,47.11,134,3.26,7.67,11.3,21,15.7,12.5,724.83,-3.1112,-1.0892,3.04,1.86,1.84,-0.0553,-0.1346,0.0084,0.0542,1.712,3.0697,2.0325,2.1007,29.2535,7.298,8.4588,8.4306,0.9401,0,0.7119,3.0322,1.356,1.3149,1.1905,6.5989,12.3729,4.1397,4.1749,4.0584,10.0832,1.9625,2.0268,2.0142,2.0517,2.028,1.4721,1.4916,0.0641,0.0077,0.0119,0.0205,0.0076,1.4957,1.5539,1.469,0.0792,0.007,0.0194,0.0182,0.0115,25.1
ABOMOW,79.71,185.45,2.91,7.93,9.83,35.9,27.5,20.1,716.55,-2.7715,-1.2248,1.96,2.21,1.88,-0.1994,-0.1226,-0.0878,0.1259,1.8728,3.0235,1.8741,2.0397,29.2341,7.3639,8.5994,8.4364,0.8601,0.6809,0.2361,3.0284,1.3974,1.2359,1.2181,6.5114,12.4655,4.1131,4.1872,4.1653,10.2222,2.0476,2.0429,2.0275,2.0277,2.0766,1.5499,1.4666,0.0689,0.0184,0.0097,0.0159,0.0108,1.4251,1.5088,1.4955,0.0728,0.0146,0.017,0.0144,0.0127,20.7
ABOQOA,60.21,185.84,1.99,7.12,6.35,31.2,25.6,13.4,509.08,-3.0868,-0.8295,3.53,1.88,1.87,-0.0552,-0.1202,0.1016,0.0613,1.8693,3.0768,2.1691,3.0718,29.4718,7.2755,8.3568,7.1114,0.9234,0,0.7799,3.0286,1.4316,1.3059,1.1173,6.5797,12.4061,4.1496,4.2203,4.0363,10.0691,1.9797,2.0244,2.0379,2.0525,1.9746,1.4167,1.5596,0.0672,0.0114,0.0221,0.0104,0.0126,1.2263,1.2908,1.1777,0.2305,0.0454,0.0378,0.0495,0.0399,24.2
ABORUE,84.58,258.97,2.3,9.57,8.05,42.9,31.1,21.1,670.29,-3.4071,-1.5959,1.91,2.11,1.97,-0.1005,0.0555,0.058,0.2398,2.1507,3.3328,3.3243,3.2155,29.2431,7.1447,7.0045,7.2066,0.6572,0.7229,0.4615,2.9634,1.2807,1.176,1.2605,6.4141,12.4849,4.1427,4.1728,4.1693,10.2012,2.0396,2.0131,2.0488,2.0361,2.0636,1.2538,1.1288,0.3218,0.0694,0.0432,0.0816,0.0422,1.1135,1.3106,1.1201,0.2334,0.0338,0.0464,0.0582,0.0341,31.7
ABUJUC,85.58,185.26,2.12,9.33,7.71,33.8,26.2,17.5,633.08,-2.0302,0.4465,2.03,2.05,1.94,-0.3056,-0.1271,-0.1105,-0.1371,2.0772,2.9834,1.7538,1.8284,29.286,7.3801,8.6643,8.6373,0.8155,0.5302,0.5183,3.0408,1.3816,1.2192,1.2477,6.5016,12.5172,4.1765,4.1715,4.1692,10.2865,1.9866,2.0611,2.073,2.0941,2.0717,1.599,1.4235,0.0691,0.0179,0.0057,0.0164,0.0096,1.5069,1.5732,1.5775,0.0679,0.0137,0.018,0.0097,0.0162,21.5
ABULIT,86.92,197.04,1.62,6.79,7.25,34.3,22.4,12.7,495.99,-2.6431,-1.4398,2,2,1.91,-0.1217,-0.1131,0.0248,0.0605,2.1858,3.0405,3.0776,1.9896,29.1725,7.3566,7.0462,8.5156,0.8911,0.607,0.442,3.0348,1.1693,1.3096,1.3646,6.4533,12.4807,4.0894,4.2096,4.1817,10.1874,2.0178,2.0307,2.0415,2.017,2.0805,1.2594,1.1906,0.3092,0.0713,0.054,0.064,0.0681,1.4482,1.6,1.4483,0.0747,0.0194,0.018,0.0079,0.0199,20.1
ACANAC12,83.31,208.05,2.31,5.62,6.48,40.5,28.8,14.2,496.49,-2.7895,-1.8795,2,2.04,1.9,-0.0944,-0.0992,0.1357,0.128,2.1969,3.0785,3.0264,2.0579,29.1947,7.3285,7.196,8.3833,0.8854,0.6015,0.3204,3.0354,1.2079,1.3053,1.3162,6.4391,12.4514,4.0939,4.1977,4.1598,10.2037,2.0067,2.0363,2.0584,2.0339,2.0684,1.1494,1.2731,0.2259,0.0717,0.0374,0.0251,0.065,1.4406,1.568,1.4163,0.0775,0.0173,0.0226,0.003,0.031,19.1
ACARBM02,46.54,132.95,1.65,3.03,5.79,20.6,11.7,4.6,371.98,-2.8224,0.3883,3.1,1.85,1.88,-0.182,-0.1359,-0.1768,-0.2296,1.8568,3.0368,1.7901,2.8215,29.4601,7.2784,8.6098,7.4168,0.835,0,0.8808,3.0334,1.194,1.4033,1.2673,6.6444,12.4468,4.1665,4.1603,4.12,10.0905,1.9598,1.9896,2.0182,2.0798,2.0431,1.5571,1.6323,0.0583,0.0037,0.0166,0.0145,0.0077,1.4106,1.3234,1.2279,0.1577,0.0318,0.0251,0.0334,0.0194,32.7
