Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFre,Ea
BUTLUX,60.8,-12.83,155.48,2.05,5.4,7.93,24.7,19.4,13.2,604.75,-4.0541,-2.7597,1.93,2.42,-0.07,0.61,2.52,1.86,3.38,47.11,0.3527,-0.0578,-0.3695,-0.6577,-0.1359,3.106,3.2044,0.8241,2.1036,2.8781,29.3412,5.2617,25.5004,8.3604,7.1497,0.7082,0.4728,0,0.4726,0.1019,2.9055,1.0011,0.9501,1.1066,3.8484,3.655,3.8923,3.921,10.0528,2.0141,2.0116,2.0045,2.0173,2.0053,6.3451,12.6372,4.2845,4.243,4.1097,9.665,1.8607,2.0009,1.9502,1.8901,1.963,1.5303,1.6237,1.5232,0.489,0.0808,0.0693,1.3342,1.4515,1.1279,0.0807,0.0126,0.0106,-133.41,6.1
GAQZAB,68.63,4.49,199.87,3.57,9.04,8.52,34.3,27.8,19.4,750.25,-3.4422,-2.6583,2.04,2.62,0.11,-0.45,2.53,2,2.37,70.22,0.3526,-0.1715,0.1761,-0.6765,-0.0918,2.7332,3.5401,1.3345,2.0045,2.9448,28.9513,5.7228,25.1219,8.5672,7.1589,0.711,0.4076,0.5817,0.3716,0.1044,2.9197,1.0411,1.0331,1.0853,3.7528,3.476,3.7664,3.6888,10.14,2.0405,2.0351,2.0233,2.0257,2.0154,6.3385,12.5734,4.2144,4.2117,4.1473,9.7355,1.9989,1.9456,2.0078,1.9137,1.8696,1.5898,1.4792,1.6407,0.4645,0.0706,0.0611,1.2795,1.2316,1.2831,0.1115,0.0228,0.0152,-137.51,13.2
FODTEX,61.04,4.24,244.15,2.49,9.35,7.97,50.5,44.7,29.7,757.59,-3.7095,-1.7672,2.09,2.35,-0.05,-0.28,2.97,2.01,2.47,82.55,0.3036,-0.1685,-0.2671,-0.2058,-0.1819,2.5802,3.9365,0.8414,2.896,2.9593,28.8507,6.1876,25.5155,7.1272,7.052,0.1932,0.5439,0.4821,0.3695,0.1055,2.9099,1.1152,1.0315,1.0178,3.8313,3.8867,3.8919,3.5452,10.112,2.0054,2.0208,2.0283,2.0153,2.0421,6.3287,12.5794,4.193,4.2367,4.1497,9.7883,1.9049,1.9933,1.9594,1.9285,2.0023,1.4236,1.3826,1.1661,0.0772,0.0232,0.0096,1.2988,1.4305,1.1844,0.0826,0.0184,0.0097,-152,109.4
HUBTON,75.59,5.21,178.75,2.93,10.35,6.93,34.7,26.5,17.1,685.29,-3.3463,-2.5272,2.08,2.43,-0.07,-0.26,2.61,2,2.3,74.2,0.2113,-0.2148,0.1382,-0.0954,-0.3955,2.7328,3.7761,1.3353,3.2388,2.9362,28.9235,5.9919,25.1321,7.1181,7.6838,0.5588,0.4983,0.689,0.3736,0.1067,2.9258,1.1298,1.0667,1.0001,3.7524,3.8809,3.8482,3.2222,10.158,2.0106,2.0314,2.0356,2.0243,2.0561,6.3405,12.6781,4.2713,4.1994,4.2075,9.7701,1.8824,1.9897,1.9979,1.9627,1.9373,1.2243,1.1958,1.4209,0.0911,0.0247,0.022,1.2575,1.6085,1.2708,0.0594,0.0169,0.0181,-109.78,11.1
UJIBEV,60.03,2.27,168.02,2.65,5.23,7.43,28.2,23.8,13.2,572.93,-2.4235,-1.4694,1.99,2.39,-0.03,-0.12,2.6,2.5,2.18,67.25,0.2036,-0.2173,0.1887,-0.2423,-0.4313,2.2598,3.5639,1.3682,3.0204,2.669,28.914,5.825,25.1651,7.0954,7.203,0.4947,0,0.7974,0.4409,0.1082,2.9349,1.0248,1.0385,1.1294,3.7037,3.3249,3.7427,3.8351,10.2048,2.0662,2.0372,2.0202,2.0653,2.0159,6.4031,12.5685,4.2838,4.1908,4.0939,9.8249,1.9819,1.9896,1.9737,1.9128,1.9669,1.3587,1.4279,1.2037,0.0829,0.017,0.0091,1.4843,1.4481,1.1472,0.0754,0.0108,0.0105,-81.4,27.4
CIYVOX,69.42,11.55,166.44,3.12,8.69,6.79,33.7,29.8,19,712.01,-3.3424,-2.6883,2.05,2.57,-0.06,-0.43,2.56,2.07,2.36,70.41,0.2318,-0.1885,0.1346,-0.0165,-0.1069,2.7413,3.6436,1.3488,2.9948,2.7139,29.0049,5.7628,25.1493,6.9343,7.1618,0.6179,0.3668,0.5721,0.4675,0.1085,2.9291,1.0306,1.0596,1.0788,3.7565,3.4966,3.787,3.6699,10.1553,2.037,2.0432,2.0278,2.0314,2.0159,6.3788,12.6316,4.272,4.2308,4.1288,9.7578,2.0155,1.9664,1.9744,1.8837,1.9179,1.0725,1.3718,1.2279,0.1541,0.0295,0.0372,1.0663,1.2287,1.4487,0.1158,0.028,0.0408,-157.81,13.9
DELZAW,74.91,6.73,193.54,2.13,6.58,6.38,35,24.1,10.6,543.44,-2.6964,-1.7691,2.04,2.45,-0.08,-0.27,2.68,2.14,2.18,76.73,0.2897,-0.2297,0.2224,-0.2245,-0.4997,2.547,3.8567,1.2966,2.8653,1.98,28.9919,5.9869,25.134,7.2206,8.43,0.4111,0.3915,0.8737,0.5242,0.1154,2.923,1.1009,1.0451,1.0653,3.7162,3.7055,3.7141,3.4702,10.1716,2.0272,2.047,2.0463,2.0244,2.0267,6.3733,12.5558,4.256,4.1515,4.1483,9.7812,1.9832,1.988,1.9864,1.9214,1.9022,1.3081,1.4124,1.2411,0.0751,0.0171,0.0101,1.4764,1.5492,1.6135,0.3286,0.0795,0.0856,-61.6,26.4
WEJWEQ,71.51,7.7,205.65,2.08,9.19,6.74,37,34.5,24.6,726.95,-2.9057,-2.1619,2.08,2.62,-0.03,-0.41,2.58,2.14,2.28,71.4,0.3297,-0.1982,0.1734,-0.5121,-0.2997,2.5798,3.5936,1.3296,2.0144,2.8612,28.9574,5.7713,25.1696,8.4012,7.4539,0.612,0.2836,0.6167,0.3499,0.1195,2.9268,0.9934,1.0395,1.1469,3.7356,3.2506,3.766,3.9098,10.1646,2.0562,2.0222,2.0125,2.0654,2.0083,6.339,12.5526,4.2704,4.1804,4.1017,9.7788,2.0031,1.995,1.9919,1.8596,1.9292,1.4559,1.4739,1.6802,0.4155,0.0523,0.0617,1.5276,1.2947,1.2022,0.0761,0.0086,0.011,-127.48,19.8
TOQMUH01,60.16,2.58,168.09,1.72,5.96,6.6,28.5,21.5,10.4,537.96,-2.7334,-1.7343,1.95,2.44,0.03,-0.21,2.59,2.32,2.21,69.61,0.2182,-0.2178,0.1825,-0.1463,-0.106,2.4683,3.6047,1.3671,3.2386,2.7019,28.9421,5.8398,25.1494,7.0286,7.0406,0.5283,0.178,0.737,0.4624,0.1204,2.9317,1.0285,1.0501,1.1172,3.7159,3.3675,3.7833,3.7643,10.1865,2.0499,2.0445,2.0199,2.0546,2.0176,6.3828,12.592,4.286,4.2076,4.0985,9.8071,2.0017,1.9909,1.9625,1.8974,1.9546,1.2445,1.4535,1.2036,0.0922,0.0165,0.0097,1.3546,1.4211,1.0507,0.1027,0.0224,0.0138,-148.44,24.4
OXABOG,72.15,6.52,245.78,2.21,8.36,8.55,35.1,30.7,21.9,817.98,-3.2319,-2.5196,2.1,2.53,-0.1,-0.41,2.61,1.96,2.35,73.89,0.3123,-0.2031,0.1245,-0.6221,-0.0511,2.7878,3.857,1.3179,2.0247,3.0269,28.9799,6.0376,25.1616,8.4418,6.9728,0.596,0.5561,0.7648,0.3857,0.1245,2.9238,1.0906,1.0687,1.0281,3.7563,3.725,3.8237,3.4158,10.1547,2.014,2.0616,2.0305,2.0172,2.0314,6.3172,12.6279,4.2557,4.187,4.1851,9.7426,1.8483,1.9951,2.0113,1.9381,1.9498,1.4947,1.5187,1.6599,0.4342,0.0765,0.0835,1.2386,1.2311,1.2727,0.1138,0.0273,0.0155,-151.34,11.5
ENEBOQ,82.94,-11.77,170.43,1.7,8.49,9.04,28.9,20.2,14,681.25,-2.71,-1.8303,2.01,2.52,-0.1,0.61,2.59,2.26,2.22,70.85,0.2654,-0.2087,0.201,-0.1222,-0.5977,2.427,3.6765,1.3618,3.2274,2.0382,28.9567,5.8899,25.1377,7.0163,8.4623,0.5475,0.2388,0.7564,0.4699,0.1264,2.9311,1.0199,1.0366,1.1303,3.7189,3.2889,3.7763,3.8386,10.1763,2.0529,2.0371,2.0145,2.0603,2.0116,6.3609,12.5655,4.2743,4.1844,4.1068,9.8082,2.0056,1.9874,1.9586,1.8949,1.9617,1.2477,1.4286,1.1828,0.0966,0.0197,0.0096,1.5121,1.5001,1.6984,0.3378,0.0353,0.0486,-126.84,28.2
KIRPUY,82.78,-11.73,170.1,1.82,5.02,9.09,28.8,19.3,10.1,560.21,-2.731,-1.8345,2.02,2.51,-0.1,0.61,2.59,2.25,2.22,70.84,0.2653,-0.2081,0.1949,-0.1332,-0.5979,2.4315,3.6498,1.3568,3.2378,2.0329,28.9535,5.8789,25.1427,7.0372,8.4663,0.5478,0.2429,0.7494,0.459,0.1301,2.9313,1.0149,1.0422,1.1289,3.7202,3.2877,3.7756,3.8454,10.1761,2.0548,2.0367,2.0137,2.0602,2.0107,6.3614,12.5676,4.2783,4.1829,4.1065,9.8057,2.0109,1.9873,1.9575,1.8878,1.9623,1.258,1.4292,1.1828,0.0959,0.0198,0.0092,1.5113,1.5031,1.697,0.3373,0.0349,0.0467,-128.6,27.8
GUDQUR,107.89,-8.53,196.05,3.98,9.25,10.2,32.5,25.1,18,760.46,-3.3122,-2.6676,2.02,2.4,-0.07,-0.3,2.54,2,2.33,71.27,0.3844,-0.1781,0.1708,-0.5211,-0.5487,2.8469,3.6772,1.3498,1.9457,1.957,29.1104,5.8403,25.1305,8.4455,8.4312,0.6958,0.4594,0.5984,0.4601,0.1352,2.9167,0.986,1.0461,1.1356,3.7443,3.2498,3.786,3.9013,10.1478,2.0496,2.0239,2.0092,2.0574,2.0078,6.3132,12.5619,4.267,4.1753,4.1196,9.7404,2.0041,1.9935,1.9603,1.8416,1.9409,1.5776,1.4304,1.6277,0.3933,0.045,0.0528,1.4939,1.4941,1.6583,0.3871,0.0543,0.0542,-122.29,13.5
NIGVIK,74.56,5.2,191.18,2.11,8.16,7.4,36.9,27.6,17.1,608.71,-3.3891,-2.4672,2.15,2.36,-0.13,-0.2,2.61,2,2.31,74.36,0.2206,-0.2201,0.1314,-0.1535,-0.379,2.6898,3.7913,1.3317,3.0608,2.9503,28.9,5.9552,25.129,7.091,7.6824,0.5574,0.4629,0.716,0.322,0.1366,2.9252,1.1228,1.0791,1.0012,3.7536,3.8633,3.8645,3.2286,10.1586,2.0099,2.04,2.034,2.0227,2.0519,6.3413,12.6645,4.2779,4.1827,4.2039,9.7735,1.8897,1.987,2.0072,1.9327,1.957,1.2584,1.2395,1.397,0.0915,0.0222,0.0242,1.2362,1.6087,1.2734,0.0606,0.0184,0.017,-102.9,9.6
QIXMIU,72.78,1.64,194.12,2.32,8.92,8.59,33.7,26.5,16.7,708.09,-3.4548,-2.4857,2.01,2.51,0.09,-0.34,2.54,2.02,2.32,71.48,0.3352,-0.188,0.2065,-0.6485,-0.1005,2.747,3.5085,1.3533,2.0413,2.9189,28.9812,5.7329,25.1241,8.4511,7.1999,0.68,0.3959,0.6293,0.4334,0.137,2.9196,1.0198,1.0388,1.1164,3.7385,3.3689,3.7451,3.7871,10.1539,2.0532,2.0314,2.0168,2.0372,2.0152,6.3324,12.5819,4.2411,4.2143,4.1265,9.7505,2.0002,1.9591,2.0041,1.8947,1.8925,1.5553,1.4809,1.6712,0.4347,0.0542,0.062,1.3214,1.2163,1.2601,0.111,0.0237,0.0134,-116.95,13.7
DANJOS,88.61,11.08,209.09,3.83,7.19,8,38.5,33.1,20,661.88,-2.9645,-2.2196,1.96,2.43,-0.03,-0.45,2.74,1.94,2.3,80.1,0.3772,-0.2063,0.0474,-0.8386,-0.1476,2.7753,3.8935,1.191,1.6445,3.0977,28.9539,5.8423,25.2164,8.4574,7.082,0.3713,0.523,0.8715,0.6158,0.1389,2.9173,1.1232,1.0852,0.9823,3.767,3.918,3.8614,3.2534,10.1528,2.0107,2.0241,2.0423,2.0251,2.0506,6.3172,12.5881,4.2148,4.2152,4.1581,9.7175,1.9741,1.9936,1.9962,1.9211,1.8325,1.6388,1.5427,1.6606,0.4665,0.0859,0.0677,1.3127,1.2038,1.3613,0.0851,0.0163,0.028,-114.89,17.6
OCANOV,74.22,0.38,194.29,2.29,10.22,10.32,33.4,25.4,17.5,803.29,-3.5557,-2.5266,2.05,2.49,0.14,-0.35,2.54,2.01,2.33,71.18,0.3284,-0.1809,0.206,-0.6026,-0.1044,2.7392,3.5328,1.3625,2.0324,2.8455,28.982,5.7482,25.1085,8.4447,7.1667,0.6889,0.4162,0.6302,0.394,0.1435,2.9181,1.0345,1.0336,1.1013,3.7435,3.4322,3.742,3.7286,10.1478,2.0466,2.0342,2.0212,2.0297,2.016,6.336,12.5821,4.2241,4.2084,4.1495,9.7535,1.9921,1.951,2.01,1.9167,1.8835,1.5739,1.4785,1.6398,0.3965,0.0482,0.0539,1.2971,1.2344,1.2684,0.1092,0.0221,0.0145,-121.34,13.9
LUGXUJ,72.95,2.08,194.32,2.62,10.27,7.93,33.8,26.6,17.2,717.46,-3.5087,-2.555,2.01,2.48,0.09,-0.33,2.55,2.02,2.31,71.58,0.3346,-0.1873,0.2114,-0.6644,-0.0941,2.7455,3.5057,1.3516,2.0392,2.8552,28.9827,5.7251,25.1242,8.461,7.1687,0.6791,0.3946,0.6383,0.4265,0.1435,2.9192,1.0209,1.0398,1.114,3.7375,3.3659,3.7591,3.772,10.1542,2.0512,2.0329,2.0174,2.0376,2.0151,6.3296,12.583,4.2372,4.2145,4.1314,9.7528,2.0079,1.9569,2.0064,1.8931,1.8886,1.5644,1.4774,1.6695,0.4467,0.0488,0.0619,1.3068,1.2264,1.2603,0.1112,0.0228,0.0131,-119.66,14.7
SIHPAC,71.9,5.81,167.37,1.91,10.48,8.17,30.3,22.5,14.9,710.64,-3.6885,-3.2089,2.06,2.38,-0.1,-0.24,2.58,2,2.35,72.37,0.299,-0.1927,0.1233,-0.7391,-0.3292,2.8041,3.8045,1.3347,1.9162,2.997,28.963,5.9464,25.1261,8.5275,7.6243,0.5995,0.4941,0.6384,0.3615,0.1463,2.9238,1.0963,1.0683,1.014,3.7615,3.8092,3.779,3.3764,10.1506,2.0187,2.0248,2.033,2.0335,2.0406,6.3119,12.6522,4.2737,4.1787,4.1998,9.7368,1.9984,1.8663,1.9694,1.9293,1.9734,1.5124,1.4479,1.7393,0.5218,0.0913,0.1109,1.2526,1.5529,1.2701,0.0607,0.0138,0.0182,-126.39,14
XOGWEX,78.83,16.61,188.17,3.02,9.76,6.45,35.3,28.3,18.3,703.13,-3.1188,-3.1225,1.93,2.42,-0.06,-0.39,2.57,2.06,2.27,72.56,0.3421,-0.2075,0.1835,-0.7307,-0.1102,2.7704,3.5581,1.3223,1.9845,2.8275,28.9418,5.7696,25.1499,8.4615,7.0543,0.6099,0.3768,0.6835,0.5419,0.1467,2.9241,1.0466,1.0489,1.0945,3.7323,3.4742,3.7864,3.6602,10.1634,2.0401,2.0476,2.0273,2.0312,2.0173,6.3158,12.5901,4.2304,4.2183,4.1414,9.752,2.0044,1.9676,1.9815,1.9018,1.8968,1.5826,1.4381,1.7559,0.4469,0.0481,0.0668,1.2863,1.2414,1.2669,0.1121,0.0183,0.0192,-144.37,23.6
BANFIG,75.78,1.9,164.05,2.53,6.66,9.02,26.9,17,9.7,619.13,-3.1877,-3.1856,2.04,2.4,-0.05,-0.16,2.57,2.02,2.32,72.27,0.3235,-0.1919,0.1623,-0.627,-0.3374,2.653,3.719,1.3408,2.0751,2.7545,28.8922,5.8204,25.1122,8.4685,7.6211,0.6297,0.4359,0.6692,0.3996,0.1478,2.9197,0.9986,1.0406,1.1396,3.7499,3.2394,3.8033,3.896,10.1492,2.0492,2.0247,2.0114,2.0558,2.0081,6.3223,12.5999,4.2602,4.2179,4.1218,9.7543,1.9944,1.9898,1.9927,1.8668,1.9106,1.5186,1.501,1.6752,0.4263,0.056,0.0651,1.3343,1.3452,1.3318,0.0793,0.0194,0.0138,-115.18,15.8
