Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
BUTLUX,60.8,-12.83,155.48,2.05,-4.0541,-2.7597,0.3527,-0.0578,0.8241,2.1036,5.2617,7.1497,0.1019,1.0011,10.0528,6.3451,12.6372,9.665,1.4515,0.0106,6.1
GAQZAB,68.63,4.49,199.87,3.57,-3.4422,-2.6583,0.3526,-0.1715,1.3345,2.0045,5.7228,7.1589,0.1044,1.0411,10.14,6.3385,12.5734,9.7355,1.2316,0.0152,13.2
FODTEX,61.04,4.24,244.15,2.49,-3.7095,-1.7672,0.3036,-0.1685,0.8414,2.896,6.1876,7.052,0.1055,1.1152,10.112,6.3287,12.5794,9.7883,1.4305,0.0097,109.4
HUBTON,75.59,5.21,178.75,2.93,-3.3463,-2.5272,0.2113,-0.2148,1.3353,3.2388,5.9919,7.6838,0.1067,1.1298,10.158,6.3405,12.6781,9.7701,1.6085,0.0181,11.1
UJIBEV,60.03,2.27,168.02,2.65,-2.4235,-1.4694,0.2036,-0.2173,1.3682,3.0204,5.825,7.203,0.1082,1.0248,10.2048,6.4031,12.5685,9.8249,1.4481,0.0105,27.4
CIYVOX,69.42,11.55,166.44,3.12,-3.3424,-2.6883,0.2318,-0.1885,1.3488,2.9948,5.7628,7.1618,0.1085,1.0306,10.1553,6.3788,12.6316,9.7578,1.2287,0.0408,13.9
DELZAW,74.91,6.73,193.54,2.13,-2.6964,-1.7691,0.2897,-0.2297,1.2966,2.8653,5.9869,8.43,0.1154,1.1009,10.1716,6.3733,12.5558,9.7812,1.5492,0.0856,26.4
WEJWEQ,71.51,7.7,205.65,2.08,-2.9057,-2.1619,0.3297,-0.1982,1.3296,2.0144,5.7713,7.4539,0.1195,0.9934,10.1646,6.339,12.5526,9.7788,1.2947,0.011,19.8
TOQMUH01,60.16,2.58,168.09,1.72,-2.7334,-1.7343,0.2182,-0.2178,1.3671,3.2386,5.8398,7.0406,0.1204,1.0285,10.1865,6.3828,12.592,9.8071,1.4211,0.0138,24.4
OXABOG,72.15,6.52,245.78,2.21,-3.2319,-2.5196,0.3123,-0.2031,1.3179,2.0247,6.0376,6.9728,0.1245,1.0906,10.1547,6.3172,12.6279,9.7426,1.2311,0.0155,11.5
ENEBOQ,82.94,-11.77,170.43,1.7,-2.71,-1.8303,0.2654,-0.2087,1.3618,3.2274,5.8899,8.4623,0.1264,1.0199,10.1763,6.3609,12.5655,9.8082,1.5001,0.0486,28.2
KIRPUY,82.78,-11.73,170.1,1.82,-2.731,-1.8345,0.2653,-0.2081,1.3568,3.2378,5.8789,8.4663,0.1301,1.0149,10.1761,6.3614,12.5676,9.8057,1.5031,0.0467,27.8
GUDQUR,107.89,-8.53,196.05,3.98,-3.3122,-2.6676,0.3844,-0.1781,1.3498,1.9457,5.8403,8.4312,0.1352,0.986,10.1478,6.3132,12.5619,9.7404,1.4941,0.0542,13.5
NIGVIK,74.56,5.2,191.18,2.11,-3.3891,-2.4672,0.2206,-0.2201,1.3317,3.0608,5.9552,7.6824,0.1366,1.1228,10.1586,6.3413,12.6645,9.7735,1.6087,0.017,9.6
QIXMIU,72.78,1.64,194.12,2.32,-3.4548,-2.4857,0.3352,-0.188,1.3533,2.0413,5.7329,7.1999,0.137,1.0198,10.1539,6.3324,12.5819,9.7505,1.2163,0.0134,13.7
DANJOS,88.61,11.08,209.09,3.83,-2.9645,-2.2196,0.3772,-0.2063,1.191,1.6445,5.8423,7.082,0.1389,1.1232,10.1528,6.3172,12.5881,9.7175,1.2038,0.028,17.6
OCANOV,74.22,0.38,194.29,2.29,-3.5557,-2.5266,0.3284,-0.1809,1.3625,2.0324,5.7482,7.1667,0.1435,1.0345,10.1478,6.336,12.5821,9.7535,1.2344,0.0145,13.9
LUGXUJ,72.95,2.08,194.32,2.62,-3.5087,-2.555,0.3346,-0.1873,1.3516,2.0392,5.7251,7.1687,0.1435,1.0209,10.1542,6.3296,12.583,9.7528,1.2264,0.0131,14.7
SIHPAC,71.9,5.81,167.37,1.91,-3.6885,-3.2089,0.299,-0.1927,1.3347,1.9162,5.9464,7.6243,0.1463,1.0963,10.1506,6.3119,12.6522,9.7368,1.5529,0.0182,14
XOGWEX,78.83,16.61,188.17,3.02,-3.1188,-3.1225,0.3421,-0.2075,1.3223,1.9845,5.7696,7.0543,0.1467,1.0466,10.1634,6.3158,12.5901,9.752,1.2414,0.0192,23.6
BANFIG,75.78,1.9,164.05,2.53,-3.1877,-3.1856,0.3235,-0.1919,1.3408,2.0751,5.8204,7.6211,0.1478,0.9986,10.1492,6.3223,12.5999,9.7543,1.3452,0.0138,15.8
DUZGEK,73.56,4.88,188.79,2.3,-3.2055,-2.568,0.2986,-0.1928,1.3664,1.9646,5.8867,7.582,0.1495,1.0151,10.1593,6.3261,12.6097,9.7656,1.4804,0.0107,12.3
YEHCOD,104.05,-8,193.35,2.6,-3.6125,-2.7402,0.38,-0.1668,1.3425,1.9923,5.8326,8.408,0.1546,0.9876,10.1372,6.3126,12.5748,9.7326,1.5501,0.0533,12.2
CPIPCL,57.38,4.02,141.78,1.82,-2.7057,-1.7383,0.3427,-0.214,1.3923,1.9171,5.84,8.4812,0.1554,1.0262,10.1851,6.3547,12.5049,9.7977,1.5347,0.0442,26.1
COKSUR,78.74,8.54,179.11,1.71,-3.6104,-2.3307,0.3444,-0.064,0.7731,2.014,5.1985,7.0474,0.1557,0.9778,10.0632,6.3403,12.6689,9.6464,1.3725,0.0102,2.6
YEXQUQ,77.01,3.77,168.5,1.7,-3.657,-3.0107,0.3361,-0.1927,1.3386,2.074,5.7814,6.8987,0.1562,0.9898,10.1506,6.3167,12.5869,9.7602,1.4444,0.0152,23
TOHGAY01,71.43,8.49,187.13,3.31,-3.4316,-2.5973,0.2291,-0.2051,1.3728,3.2377,5.8086,7.0296,0.1589,1.017,10.171,6.3616,12.6271,9.7822,1.2968,0.0187,39.9
LOHLUR,74.57,-0.48,193.48,2.17,-3.4743,-2.4845,0.3239,-0.1873,1.3541,2.0424,5.7195,7.1862,0.1591,1.0266,10.1534,6.3344,12.5894,9.7523,1.252,0.0126,14
WEQCON,74.06,0.09,194.04,2.61,-3.5576,-2.5851,0.3294,-0.1895,1.3585,2.0409,5.7129,7.2142,0.1593,1.03,10.155,6.3314,12.5869,9.7523,1.2043,0.0156,14.1
EBICOI,61.66,3.17,189.42,2.4,-2.6636,-1.6599,0.2107,-0.2248,1.336,3.1698,5.9181,7.2386,0.16,1.0485,10.1887,6.3826,12.588,9.8187,1.4054,0.0108,25.9
TOLPOB,74,3.38,203.42,1.76,-2.9252,-1.9922,0.2944,-0.2227,1.3713,2.0115,6.0644,7.2967,0.1626,1.0823,10.1766,6.3337,12.5626,9.8093,1.5426,0.015,13.3
KATGAO,73.38,6.33,238.97,2.29,-3.4274,-3.0945,0.3007,-0.1978,1.3271,2.0107,5.9524,6.9539,0.1645,1.1064,10.1449,6.3204,12.6333,9.7456,1.2519,0.0192,11.8
AWAZUV,76.36,21.63,199.69,4.57,-2.7288,-1.7125,0.3288,-0.2189,1.3319,1.9456,5.765,7.0272,0.1645,1.0524,10.1908,6.3322,12.5497,9.7893,1.2265,0.0212,36
IPUWAS,75.23,-0.2,195.34,3.15,-3.5643,-2.4936,0.3246,-0.1822,1.3562,2.0077,5.7328,7.1838,0.1659,1.0105,10.1511,6.3347,12.5871,9.7536,1.2356,0.0132,14.1
JULREN,78.44,0.81,194.89,2.08,-2.5423,-1.6815,0.2845,-0.2179,1.3655,2.8786,5.8996,8.4145,0.1663,1.0284,10.1913,6.3535,12.5579,9.804,1.4782,0.0498,28.1
LOFZUD,74.38,-1.62,193.04,4.06,-3.5068,-2.5008,0.3248,-0.1861,1.3535,1.9998,5.7109,7.1923,0.1664,1.0581,10.153,6.334,12.5884,9.7528,1.2024,0.0166,15.3
SOGSUC,77.83,8.52,215.24,3.4,-3.1849,-2.4936,0.3585,-0.1822,1.3004,1.7098,5.8021,8.3719,0.1691,1.0342,10.1463,6.3332,12.5565,9.7517,1.5155,0.0608,7.4
XOYHIC,79.83,6.08,214.25,3.34,-3.5669,-2.8682,0.3139,-0.1917,1.3345,2.9361,5.9078,8.4144,0.1696,1.0008,10.1474,6.3155,12.6113,9.7593,1.4678,0.0601,20.7
WIKRAL,90.49,-3.34,183.63,2.84,-2.7133,-1.7083,0.259,-0.2098,1.3405,3.0683,5.8295,8.4164,0.1712,1.0175,10.1822,6.3579,12.5846,9.7986,1.4629,0.0508,27.3
WAXKOY,78.7,3.29,196.23,4.55,-3.9892,-3.4603,0.3404,-0.1744,1.3422,2.0207,5.6775,6.8633,0.1712,0.9807,10.1421,6.311,12.6022,9.7464,1.4231,0.013,26.8
CAGZAO,95.58,0.87,185.02,4.62,-3.3168,-3.1842,0.3834,-0.1694,1.3388,1.9615,5.866,8.417,0.1718,0.9883,10.1441,6.3005,12.5745,9.7416,1.4642,0.0659,16
KACKII,101.44,0.29,214.28,2.12,-3.4673,-2.8448,0.3809,-0.1652,1.3152,2.0628,5.8271,8.5257,0.1725,0.9811,10.1382,6.3045,12.5888,9.7259,1.477,0.0664,15.4
KAJFUA,85.98,-1.22,176.99,1.7,-2.857,-2.3159,0.3144,-0.2171,1.4138,2.0906,5.8796,7.035,0.1725,1.0321,10.1757,6.3179,12.5427,9.825,1.4062,0.0094,32.9
LISHUT03,77.97,3.62,208.58,3.93,-2.5422,-1.5985,0.2849,-0.2115,1.3269,2.909,5.856,8.5053,0.1777,1.0107,10.1982,6.3636,12.5641,9.7874,1.4719,0.0597,23.1
TIXSAU01,59.64,3.32,156.57,2.12,-3.751,-2.4135,0.3884,-0.0636,0.7878,2.0263,5.1621,8.4671,0.1781,0.9403,10.0568,6.338,12.6409,9.6327,1.5242,0.0487,4.2
ABEJEX,72.62,1.34,195.01,3.1,-2.9595,-2.5175,0.3288,-0.2095,1.3558,1.9973,5.7785,7.2149,0.1794,1.0245,10.1657,6.3389,12.5575,9.7747,1.248,0.0143,17.1
MEMTOO,76.32,-1.87,196.29,2.66,-3.5726,-2.536,0.3187,-0.1852,1.353,1.9975,5.7278,7.1891,0.1815,1.0443,10.1529,6.3344,12.5927,9.7541,1.2061,0.0161,13.8
TUPDIS,72.94,1.03,197.23,2.85,-2.9564,-2.5646,0.3233,-0.206,1.3557,1.9839,5.769,7.2188,0.1817,1.0162,10.1613,6.3367,12.5677,9.7723,1.2619,0.0149,16.2
MEFNIW,77.28,7.38,169.73,2.83,-3.7038,-2.3723,0.3765,-0.0616,0.8091,1.7725,5.2477,8.3376,0.1818,0.9623,10.0636,6.3337,12.6629,9.6269,1.5127,0.0639,-5.5
MOFQED,67.21,6.33,184.53,4.22,-2.6034,-1.9908,0.3626,-0.1817,1.4472,1.7292,5.758,8.4462,0.182,1.0011,10.1737,6.3441,12.4997,9.7936,1.5599,0.0906,15.1
