Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-N,Cu-C,C-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
JUJPIQ,79.95,-1.09,218.07,1.86,6.81,8.61,36.8,28,15.3,649,-3.713,-2.5209,2.14,2.07,0.2,-0.12,1.98,3.2,2.24,77.04,92.27,104.67,0.1771,-0.3041,-0.1368,0.0655,-0.109,-0.1406,1.9892,2.5975,3.3796,1.2214,3.1836,3.0063,28.8021,7.2493,5.6951,25.2348,7.2342,7.0852,0.2578,0.8329,0.6069,0.3016,0.4778,2.936,0.9883,1.106,1.0082,3.2449,1.2901,1.2569,1.4353,3.7467,3.5705,3.9254,3.5304,10.1616,2.0178,2.0673,2.0145,2.0364,2.0256,6.4113,12.5452,4.1489,4.1539,4.2423,9.8664,1.9742,1.96,1.98,1.9816,1.9706,1.284,1.322,1.2715,0.0845,0.0118,0.015,0.0158,0.0102,1.4166,1.0776,1.3503,0.111,0.0224,0.0113,0.0134,-183.89,59.4
IMENAR,83.05,1.94,206.17,2.38,6.28,5.83,38.8,26.7,12.3,555.29,-3.5211,-2.5859,1.99,2.02,0.01,-0.07,1.97,3.14,2.27,78.76,88.83,99.95,0.2713,-0.2928,-0.1268,0.1024,-0.0906,-0.6111,2.3331,2.6487,3.4421,1.3336,3.1171,1.9035,28.8134,7.2454,5.7482,25.2202,7.1774,8.4427,0.4286,0.7434,0.5916,0.4638,0.4071,2.9378,1.0049,1.1043,0.9843,3.2425,1.2779,1.2777,1.4187,3.7356,3.4734,3.9002,3.6122,10.1761,2.0254,2.0738,2.0167,2.0401,2.0201,6.3391,12.5817,4.1737,4.1747,4.2333,9.8079,1.9545,1.9804,1.9449,1.9673,1.9608,1.3653,1.2567,1.2191,0.0935,0.0154,0.0157,0.0227,0.0139,1.5543,1.6495,1.5102,0.3787,0.0523,0.0741,0.0492,-234.43,46.2
HEGHEH,93.52,-1.38,198.95,1.93,9.09,8.61,37.2,32.6,23.8,721.56,-2.7492,-1.6498,1.96,2.01,-0.04,0,1.97,3.22,2.17,75.69,90.17,99.77,0.3837,-0.3274,-0.1745,0.1025,-0.6945,-0.6781,2.0175,2.5957,3.39,1.1854,1.938,2.0334,28.818,7.2576,5.7468,25.2399,8.5514,8.5509,0.2087,0.8859,0.6159,0.5404,0.4026,2.9378,1.0084,1.0805,1.0514,3.2421,1.2813,1.2674,1.4605,3.7246,3.3832,3.9067,3.7065,10.1765,2.0253,2.0724,2.0134,2.0486,2.0167,6.3282,12.4713,4.1081,4.1514,4.2119,9.8168,1.9577,1.9505,1.98,1.9659,1.9627,1.605,1.6982,1.4716,0.4081,0.0305,0.0903,0.1166,0.0493,1.6003,1.6575,1.4704,0.4404,0.0455,0.0859,0.0596,-95.88,45
EVOXOE,80.53,-0.25,208.97,2.46,8.01,10.13,36.3,26.4,14.6,671.02,-3.8953,-2.9559,2.15,1.96,-0.05,0.02,1.96,3.17,2.3,80.66,88.76,103.03,0.2622,-0.2767,-0.1094,0.1334,-0.0237,-0.6255,2.372,2.6665,3.5985,1.4379,3.1356,2.1404,28.8392,7.2394,5.8253,25.1796,7.1209,8.5289,0.5329,0.7345,0.5919,0.3957,0.5185,2.9358,0.968,1.1311,0.979,3.2422,1.342,1.2025,1.4125,3.7353,3.6059,3.8876,3.4685,10.1693,2.0206,2.0582,2.0182,2.0421,2.0303,6.3394,12.5861,4.2098,4.1326,4.2437,9.8123,1.9651,1.9039,2.0042,1.995,1.9441,1.3765,1.212,1.1491,0.1181,0.0247,0.021,0.0284,0.0136,1.5145,1.6516,1.5276,0.4295,0.0576,0.0896,0.066,-268.82,44.7
KUQVOI,84.07,1.79,232.19,2,5.64,6.73,39.5,27.2,11.1,540.25,-3.5935,-1.5477,2.13,1.96,-0.11,0.02,1.94,3.22,2.19,67.21,94.18,107.16,0.2791,-0.2969,-0.158,0.0383,-0.6199,-0.214,1.9903,2.6379,3.4433,1.122,2.0126,3.0033,28.908,7.2376,5.7289,25.271,8.4789,7.1845,0,0.9057,0.6569,0.2985,0.5619,2.9326,0.9906,1.0874,1.0456,3.2391,1.3174,1.222,1.4409,3.7404,3.4716,3.8309,3.7649,10.154,2.0317,2.0492,2.0183,2.0398,2.0151,6.4246,12.4945,4.0965,4.166,4.232,9.8018,1.9706,1.9566,1.9673,1.9726,1.9348,1.5497,1.6761,1.4853,0.3795,0.0456,0.079,0.0973,0.0435,1.3678,1.2138,1.3948,0.0779,0.0141,0.0106,0.0084,-146.01,40.1
ZAHNOO,85.66,1.89,182.13,2.06,6.3,10.06,35,20.7,11.7,656.53,-3.0739,-1.7063,2.2,1.95,0,-0.01,1.93,3.27,2.17,64.64,94.53,106.96,0.3631,-0.3206,-0.1679,0.0879,-0.7178,-0.4459,1.9109,2.6087,3.3602,1.0773,1.955,2.7335,28.8753,7.2889,5.6998,25.2767,8.5386,7.6067,0,0.9376,0.6695,0.2747,0.6219,2.9356,1.0681,1.0277,1.0365,3.2439,1.2571,1.3438,1.3986,3.7304,3.5979,3.855,3.5774,10.1515,2.0274,2.0556,2.0194,2.0234,2.0257,6.3979,12.4175,4.1043,4.1266,4.1866,9.8215,1.9839,1.9113,1.9602,1.9752,1.9909,1.5958,1.6942,1.4621,0.4223,0.0478,0.1038,0.1059,0.0629,1.3506,1.3863,1.3592,0.0626,0.0103,0.0184,0.0126,-120.91,39
REQHOM,80.86,14.05,183.62,1.7,6.68,9.41,36.2,21.3,11.8,654.68,-3.3673,-2.8907,2.06,2.22,-0.16,-0.24,2,3.06,2.27,78.74,88.12,95.62,0.3681,-0.2738,-0.1262,0.1905,-0.5232,-0.5314,2.499,2.614,3.4081,1.4392,1.866,1.9657,28.9926,7.2429,5.7451,25.1963,8.3865,8.4162,0.5414,0.6898,0.5473,0.3911,0.2549,2.9368,0.9705,1.1136,1.0092,3.252,1.3458,1.1937,1.4071,3.7086,3.6438,3.7984,3.466,10.1926,2.0342,2.0597,2.0354,2.0366,2.0266,6.2895,12.5264,4.1942,4.1411,4.1911,9.8161,1.9699,1.889,1.981,1.9823,1.9938,1.5017,1.4813,1.6615,0.3474,0.0915,0.0772,0.0551,0.0696,1.6425,1.5356,1.4425,0.3979,0.0593,0.0823,0.0822,-258.62,38.6
TOVVEH,64.42,-2.2,183.72,1.1,8.49,6.14,28.3,19,13.9,617.87,-3.1271,-1.5481,2.06,2.05,0.05,0.05,1.89,3.1,2.23,78.24,86.54,98.11,0.3019,-0.3143,-0.147,0.1392,-0.5894,-0.5934,2.1916,2.6358,3.3762,1.37,1.908,1.9033,28.9771,7.276,5.7265,25.2453,8.4714,8.472,0.4227,0.7417,0.6685,0.423,0.4537,2.9376,0.9725,1.1229,1.0183,3.2307,1.3817,1.2482,1.3735,3.7139,3.7402,3.9107,3.2815,10.2145,2.0229,2.0408,2.0201,2.0723,2.0585,6.3494,12.5008,4.1705,4.146,4.1842,9.8479,1.9706,1.9726,1.9495,1.9644,1.9908,1.5341,1.4794,1.7067,0.337,0.064,0.0487,0.0894,0.057,1.5407,1.6338,1.5471,0.3413,0.0571,0.0572,0.0524,-136.14,38.2
SUJTUO,79.13,1.89,219.05,2.87,6.7,7.62,39.8,30.1,17.1,621.18,-3.795,-2.9121,2.11,2.08,0.02,-0.1,1.99,3.12,2.26,76.76,92.33,100.96,0.148,-0.295,-0.1278,0.0944,-0.0633,-0.1273,2.0958,2.6103,3.4099,1.288,3.1774,3.2125,28.8054,7.2333,5.7145,25.2126,7.0263,7.0887,0.3407,0.7866,0.5962,0.387,0.3961,2.9357,0.9994,1.1085,0.9857,3.2458,1.2766,1.276,1.4203,3.7428,3.4494,3.9156,3.6356,10.1622,2.0209,2.067,2.0143,2.0409,2.0192,6.4064,12.5894,4.2024,4.1658,4.2212,9.8562,1.9694,1.9666,1.9841,1.977,1.9591,1.3173,1.1977,1.259,0.1206,0.0199,0.0153,0.0274,0.0223,1.27,1.2355,1.3713,0.0906,0.0206,0.0088,0.0103,-229.52,37.9
WIBNAY,79.55,1.87,228.34,2.27,7,6.99,39.5,30.6,17.3,612.79,-3.8104,-2.9265,2.09,2.11,-0.11,0.05,1.99,3.14,2.26,77.34,92.18,101.93,0.1436,-0.2949,-0.1258,0.0905,-0.13,-0.0627,2.1044,2.6232,3.4241,1.2869,3.1859,3.186,28.8207,7.2309,5.7153,25.2155,7.0779,7.0065,0.3421,0.7798,0.6012,0.3846,0.4053,2.9358,0.9969,1.0962,0.9988,3.2453,1.295,1.261,1.4171,3.7445,3.3956,3.9212,3.6865,10.1617,2.0206,2.0601,2.0151,2.0484,2.0175,6.4066,12.5923,4.2176,4.1635,4.2112,9.8575,1.9791,1.9627,1.9868,1.9714,1.9575,1.3314,1.2579,1.2881,0.0897,0.0215,0.0118,0.0212,0.0117,1.3377,1.163,1.2744,0.1207,0.0213,0.0158,0.0259,-231.27,37.5
