Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,PC_Buried_Volume_35A,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-N,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_Cu,Atomic_Population_I,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_dyz,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,ImgFreq,Ea
BARKIO10,84.25,15.74,244.94,54,27.4,-3.0659,-1.2512,2.07,2.04,98.2,103.98,0.4091,-0.2685,-0.1472,0.0252,1.03,2.6764,28.8424,25.3307,0,0.881,0.5363,3.2525,1.2024,1.3145,1.4226,3.7503,3.7231,4.1958,9.8473,1.2378,0.0174,1.4858,1.6914,0.4251,-153.01,68.8
AZECIR,81.04,-1.39,200.57,40.1,8.1,-3.2889,-1.6182,2.13,1.89,86.43,97.55,0.2836,-0.3072,-0.1298,0.1569,1.3547,2.8336,29.0329,25.2013,0.4478,0.7219,0.6554,3.2298,1.3316,1.2121,1.4558,3.7197,3.8888,4.2436,9.7882,1.2825,0.0144,1.1211,1.1378,0.3803,-171.51,66.8
RAKRAY,84.27,10.71,184.54,32.2,18.9,-3.3813,-2.6513,1.98,1.97,88.87,100.98,0.3733,-0.2893,-0.133,0.0786,1.2978,1.873,28.8369,25.25,0.3814,0.7646,0.606,3.2438,1.2856,1.2875,1.3961,3.7379,3.8866,4.2075,9.7951,1.5629,0.0957,1.5715,1.6881,0.4606,-232.94,64.5
ELATES,66.07,-4.66,205.46,45.9,16.5,-2.4378,-1.1852,2.19,1.97,87.75,84.57,0.1338,-0.3234,-0.1677,0.1279,1.2633,2.5965,29.0554,25.2306,0.3685,0.8299,0.5612,3.2355,1.3051,1.2296,1.4793,3.702,3.8618,4.2115,9.9016,1.3554,0.0129,1.4334,1.1612,0.0865,-91.13,63.5
ODUWIT,76.93,4.51,210.71,46.7,13.9,-1.6301,-1.0045,2.23,2.11,88.82,80.38,0.2635,-0.2981,-0.1611,0.1045,1.2499,1.7498,29.1743,25.3458,0.4971,0.6689,0.4323,3.2625,1.3485,1.1698,1.446,3.6923,3.5929,4.2055,9.8911,1.7159,0.0871,1.6142,1.6404,0.486,-101.79,62.2
DIYZEQ,109.75,-17.44,205.48,39.5,20.3,-3.2568,-1.7796,2.26,1.95,86.95,93.23,0.3286,-0.2968,-0.156,0.1822,1.4122,1.9191,28.8281,25.2476,0.4118,0.7468,0.5835,3.2378,1.3364,1.2214,1.4233,3.6727,3.6419,4.1634,9.8475,1.5356,0.1159,1.6811,1.5658,0.3825,-137.23,60.8
HOSMOS,85.41,3.51,192.95,43.2,25.9,-3.4043,-1.8048,2.04,1.98,89.89,101.62,0.4022,-0.3209,-0.1617,0.1699,1.2652,1.9227,28.8204,25.2119,0.2798,0.8526,0.6365,3.2457,1.263,1.2948,1.4425,3.7188,3.8885,4.1981,9.8367,1.5261,0.0812,1.6173,1.4253,0.4108,-121.29,60
FOJNAT,83.73,4.66,183.4,36.6,16.6,-3.4175,-1.968,2.06,1.97,88.16,101.42,0.434,-0.3072,-0.1601,0.1397,1.2877,2.0175,28.7745,25.2509,0.2717,0.8179,0.6191,3.2474,1.2678,1.291,1.425,3.7049,3.5273,4.1908,9.8213,1.4807,0.0871,1.6473,1.5958,0.3817,-156.16,59.6
QIJNUV,86.73,-12.94,190.85,32.2,15.1,-3.7804,-2.6374,2.01,1.95,87.16,99.1,0.132,-0.2841,-0.1066,0.1064,1.4064,2.9582,28.972,25.1946,0.5366,0.6851,0.6019,3.2413,1.3794,1.1962,1.3906,3.7351,3.7992,4.2612,9.8041,1.1662,0.0172,1.3932,1.2195,0.0667,-275.68,58.5
MUMNOZ,83.49,1.51,197.99,33.1,17.5,-3.3588,-1.7915,1.95,1.95,86.09,95.42,0.2092,-0.3171,-0.1473,0.2158,1.5174,3.1651,28.9118,25.1508,0.4682,0.7477,0.6025,3.2366,1.3375,1.2519,1.4147,3.686,3.485,4.2488,9.8341,1.094,0.025,1.5835,1.6867,0.3629,-144.43,57.6
