Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_px,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L1_dx2y2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dz2,ImgFre,Ea
ABALIA01,78.33,2.65,228.51,2.15,9.67,10.11,36.5,27.6,17.2,732.55,-4.24,-1.7515,2.19,2.09,-0.1,-0.08,2.63,2.14,2.23,74.27,-0.4446,-0.2973,0.5302,0.1584,0.1707,2.7032,3.5384,1.3733,2.9453,2.0577,29.2009,5.4613,7.075,8.4113,0.5801,0.2822,0.6186,0.3031,0.3455,2.7701,0.9716,0.9613,1.0264,3.5759,3.49,3.6348,3.5839,10.1615,2.0309,2.0439,2.0271,2.0342,2.0254,6.3164,12.592,4.2496,4.1869,4.1556,10.5358,2.0367,2.122,2.1777,2.0947,2.1048,1.1,0.2978,0.0424,0.0737,0.0391,0.0763,1.3934,1.4644,0.0744,0.0141,0.01,-120.54,14
ABEJEX,72.62,1.34,195.01,3.1,9.05,9.51,33.5,27,17.6,747.88,-4.126,-1.9336,2.1,2.42,0.02,-0.24,2.6,2.18,2.23,72.28,-0.3801,-0.2829,0.564,0.1591,0.0885,2.5685,3.4102,1.37,2.0788,2.8198,29.0828,5.4234,8.4086,7.2512,0.5677,0.2237,0.6203,0.2998,0.143,2.7684,0.9275,0.9643,1.0444,3.5724,3.2214,3.7217,3.7462,10.1516,2.0353,2.0361,2.0125,2.0506,2.0172,6.334,12.5424,4.2451,4.1793,4.118,10.5035,2.1712,2.1014,2.0594,2.0677,2.1037,1.3928,0.0732,0.0177,0.0047,0.0264,0.0039,1.3241,1.1272,0.2852,0.0255,0.0419,-118.51,17
ABIVUD,81.12,3.01,199.02,1.64,10.2,6.33,34.9,25.9,14.7,646.58,-4.2418,-1.8552,2.08,2.01,-0.1,-0.05,2.58,1.99,2.29,73.79,-0.4752,-0.2814,0.4722,0.2431,0.0207,3.1344,3.2953,1.2947,3.126,2.9954,29.275,5.3186,7.1227,7.097,0.6202,0.2849,0.512,0.3621,0.5307,2.762,1.0761,0.9687,0.8871,3.5882,3.8448,3.7701,3.15,10.1528,2.0132,2.0225,2.0464,2.0178,2.0528,6.3067,12.6678,4.2327,4.2222,4.213,10.5003,2.1401,2.1355,2.1355,2.0883,2.001,1.2221,0.2437,0.0355,0.0732,0.0213,0.0758,1.2986,1.3123,0.278,0.025,0.0265,-115.57,20
ABOSOB,75.63,4.37,213.24,2.5,8.26,11.13,33.9,25.7,16.6,736.46,-4.2725,-1.7985,2.31,2.1,-0.2,-0.1,2.64,2.03,2.25,76.19,-0.3989,-0.3013,0.5011,0.1598,0.1708,2.6866,3.5503,1.3249,2.94,2.0561,29.1407,5.4846,7.1051,8.4102,0.5646,0.3257,0.5978,0.2041,0.3422,2.7655,1.035,0.9703,0.9522,3.5903,3.7052,3.7403,3.289,10.1518,2.0161,2.0497,2.0329,2.0158,2.0373,6.3125,12.5917,4.2534,4.1727,4.1656,10.4944,2.0167,2.129,2.185,2.0847,2.079,1.1078,0.2904,0.0416,0.0707,0.0483,0.0655,1.4234,1.4327,0.074,0.0143,0.0107,-84.11,11.3
ACANAC12,79.61,6.5,174.07,3.26,7.18,5.94,39.1,30.4,14.4,563.09,-4.1654,-1.25,2.1,2.11,-0.1,-0.12,2.58,2.08,2.21,73.69,-0.441,-0.2953,0.5563,0.1153,0.1694,2.7409,3.3617,1.3292,2.7352,2.0604,29.1493,5.4002,7.4755,8.3439,0.5337,0.2313,0.5929,0.4418,0.2729,2.7599,0.97,0.9549,1.0145,3.5563,3.4377,3.7476,3.519,10.1585,2.0348,2.0445,2.0268,2.0304,2.022,6.3034,12.581,4.2483,4.1795,4.1532,10.5562,2.1704,2.1281,2.1378,2.0641,2.0558,1.3001,0.2125,0.0733,0.0177,0.0635,0.017,1.3985,1.4314,0.0728,0.0207,0.0094,-91.74,26.1
ACETSC10,73.7,5.11,202.01,1.86,6.21,7.01,32,22.1,10.4,553.99,-4.11,-1.0291,2.25,2.21,-0.16,-0.12,2.67,2.28,2.17,73.69,-0.4077,-0.3088,0.5801,0.1489,0.1126,2.2683,3.7497,1.3393,3.0007,2.0469,29.0171,5.6499,7.091,8.4364,0.3974,0.2128,0.7799,0.2523,0.2492,2.7719,0.9636,0.9666,1.0257,3.5591,3.4718,3.6992,3.509,10.1568,2.036,2.0402,2.0298,2.0322,2.0186,6.3318,12.5325,4.2515,4.1641,4.1169,10.5431,2.1479,2.1562,2.0948,2.0995,2.0448,1.2525,0.3008,0.0357,0.0833,0.0596,0.0509,1.4667,1.4264,0.0706,0.0183,0.0097,-145.65,20.8
ACETUA,65.6,-1.43,163.74,2.57,5.97,10.28,26.4,19.6,13.3,709.09,-3.7846,-2.5543,2.09,1.94,-0.02,0.09,2.57,2.2,2.19,71.49,-0.4135,-0.3003,0.5659,0.0938,0.1204,2.5204,3.4906,1.3574,1.9423,2.0218,29.1056,5.4806,8.4868,8.4522,0.5474,0.203,0.6605,0.3206,0.4907,2.7645,0.9219,0.9231,1.1019,3.5484,3.1408,3.715,3.8365,10.1671,2.0554,2.0237,2.0111,2.0663,2.0107,6.3099,12.5684,4.2559,4.1846,4.1278,10.5349,2.1732,2.1039,2.113,2.0864,2.0584,1.4889,0.0694,0.0078,0.0257,0.009,0.0178,1.4204,1.5446,0.0755,0.0062,0.0093,-133.22,25.6
ACETUY,80.05,5.03,172.07,1.9,8.45,7.2,32,24.4,17.7,665.11,-3.8582,-0.8664,2.23,2.04,-0.16,-0.11,2.63,2.32,2.18,71.5,-0.4485,-0.294,0.5412,0.1837,-0.1124,2.2862,3.5008,1.2748,2.0938,1.8225,29.0445,5.5535,8.3639,8.6325,0.3764,0.1292,0.739,0.1953,0.4864,2.7731,0.9705,0.944,1.0325,3.5609,3.4595,3.7111,3.5346,10.1674,2.042,2.0405,2.0332,2.0334,2.0183,6.3451,12.5445,4.2496,4.1521,4.1428,10.5586,2.1584,2.1416,2.1111,2.0987,2.0488,1.4681,0.0726,0.014,0.0199,0.0086,0.0166,1.6522,1.3673,0.0655,0.0159,0.0086,-156.62,26.5
ACLTRY,60.43,2.31,152.38,3.04,6.79,11.49,23.5,16.1,12,729.22,-5.0299,-1.629,2.37,1.93,-0.26,0.16,2.53,1.84,3.34,48.44,-0.3272,-0.169,-0.0848,0.0574,0.0943,3.0313,2.8883,0.7077,1.9593,2.0563,29.2826,5.0914,8.4998,8.4318,0.7915,0.2406,-0.1565,0.2086,0.6002,2.7623,0.8825,0.8926,1.0653,3.6807,3.6255,3.8495,3.8701,10.0521,2.0159,2.0093,2.0031,2.0193,2.0046,6.3434,12.613,4.2907,4.2336,4.0887,10.3702,2.04,2.1339,2.0921,2.0818,2.0225,1.5014,0.066,0.0072,0.0241,0.0081,0.0181,1.4751,1.5299,0.0744,0.0049,0.0086,-143.08,11.7
ACPENC10,96.05,0.34,185.6,2.69,6.89,7.12,32.8,26.5,16.6,613.4,-4.0169,-2.0176,2.26,2.07,-0.19,-0.03,2.57,2.11,2.26,71.99,-0.3932,-0.2763,0.5452,0.1783,0.1997,2.5296,3.3756,1.3351,2.1071,2.1007,29.0362,5.3585,8.3605,8.3735,0.5968,0.2829,0.5624,0.1872,0.2651,2.7646,0.9608,0.9391,1.0307,3.575,3.3715,3.7433,3.5966,10.146,2.0338,2.0422,2.019,2.0309,2.0201,6.3214,12.559,4.2364,4.1888,4.1338,10.5125,2.1587,2.1132,2.0922,2.0755,2.0729,1.4497,0.0711,0.0175,0.0193,0.0084,0.0227,1.3963,1.4303,0.0732,0.0191,0.0088,-110.09,7.1
