Ligand,Bite Angle (Â°),Change in Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Î”Cu-L1 (A),D_Cu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),C-I (A),Cu-I-C (Â°),I-C-N (Â°),C-N-Cu (Â°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),ImgFreq,Ea
IYAYAK,100.27,-2.82,211.75,3.58,6.43,9.35,40.7,29.3,15.6,650.32,-4.3923,-1.5857,1.91,2,-0.08,-0.07,2.72,1.97,3.1,2.25,76.6,89.69,98.88,-0.4085,0.0439,-0.2803,0.4032,-0.0799,-0.0056,2.4522,3.0112,3.5649,1.289,1.9696,2.9015,28.99,7.2497,5.6179,25.2155,8.538,7.0383,0.3496,0.6059,0.619,0.4347,2.7892,2.869,0.8979,1.0731,0.898,3.0267,1.1944,1.1882,1.2975,3.5905,3.5259,3.8587,3.4389,10.1625,2.0197,2.0655,2.014,2.0393,2.024,6.3529,12.5684,4.1623,4.1991,4.207,10.4869,2.1119,2.1161,1.9834,2.1544,2.121,1.6671,1.5513,1.4092,0.0767,0.0049,0.0178,0.02,0.009,1.2761,1.0351,1.1404,0.3586,0.0789,0.0491,0.0925,0.0656,-218.56,-25.3
ATETCY10,80.46,2.6,205.63,2.18,10.35,9.81,34.4,26.3,21.8,751.66,-4.4122,-2.1745,2.22,1.97,-0.14,0.03,2.86,1.94,3.15,2.19,75.9,90.23,102.33,-0.29,0.0247,-0.316,0.4651,0.1454,-0.0543,2.1389,3.0108,3.5686,1.3,1.9881,3.092,29.0732,7.2727,5.5768,25.1875,8.4424,7.4171,0.2498,0.6913,0.2251,0.595,2.7868,2.8888,0.9381,0.9941,0.9567,3.0214,1.1949,1.1763,1.3292,3.59,3.6928,3.8154,3.249,10.1662,2.0171,2.0358,2.0252,2.0466,2.0415,6.3705,12.451,4.1218,4.1139,4.2154,10.4682,2.0853,2.0496,2.0906,2.1396,2.1032,1.3841,1.6073,1.4287,0.0718,0.0053,0.0187,0.0197,0.0088,1.1613,1.3974,1.2505,0.1487,0.045,0.0332,0.0204,0.0285,-152.37,0.9
WEYXIJ,69.5,-11.35,190.98,1.97,9.33,6.3,41.2,30.8,16.3,656.68,-3.7348,-0.4176,2.04,2.2,0.92,-0.31,3.46,1.96,3.29,2.18,66.98,93.34,105.78,-0.2655,0.0151,-0.3347,0.2629,-0.3754,-0.1625,2.1281,2.9639,3.4436,1.152,3.4197,1.6978,29.3078,7.2402,5.5668,25.2144,5.85,8.6546,0,0.612,0.8215,0.3046,2.7938,2.911,0.9389,0.961,1.0111,3.0341,1.159,1.2033,1.3437,3.6517,3.3045,3.8863,3.7324,10.1433,2.028,2.0507,2.0077,2.0444,2.0126,6.4792,12.4484,4.0394,4.1809,4.2282,10.3377,2.0568,2.0759,2.0787,2.0529,2.0734,0.801,0.9342,1.1809,0.5522,0.1504,0.101,0.0967,0.1139,1.5977,1.5219,1.5434,0.0682,0.0142,0.0082,0.0199,0.0114,-107.89,3
QATCIY,75.88,-1.3,190.88,2.22,9.27,7.64,42.5,33.6,22.5,712.75,-4.2955,-2.4886,2.37,1.98,0.03,-0.06,2.69,1.98,3.08,2.28,75.89,89.1,99.25,-0.3893,0.0696,-0.2691,0.3623,0.1603,-0.0569,2.3101,3.0138,3.5495,1.267,2.0725,1.7294,29.0095,7.1872,5.6252,25.2785,8.3369,8.7096,0.3664,0.6077,0.1411,0.5876,2.7864,2.8533,0.8876,1.0579,0.9077,3.0267,1.2368,1.1387,1.2773,3.5907,3.5519,3.7298,3.5719,10.1736,2.0334,2.0638,2.0332,2.0263,2.017,6.3621,12.4888,4.1988,4.1026,4.1874,10.5381,2.1185,2.0851,2.1114,2.1185,2.1046,1.3386,1.5831,1.4759,0.0703,0.001,0.0131,0.0235,0.008,1.6357,1.4719,1.4969,0.0672,0.0104,0.0107,0.0212,0.0096,-281.61,4.3
LIBNUH,96.2,3.11,202.41,1.7,9.37,14.5,31.8,20.8,12,793.97,-3.2615,-1.059,1.88,1.97,-0.01,-0.05,3.45,1.97,3.22,2.2,65.34,94.33,103.77,-0.3032,0.0373,-0.3337,0.2067,-0.1494,0.047,2.1147,3.0102,3.5191,1.1307,2.9731,1.9439,29.0833,7.2313,5.6078,25.2706,7.4589,8.5169,0,0.6225,0.8182,0.3566,2.7949,2.9051,0.9307,1.0416,0.9327,3.0342,1.1566,1.2364,1.2891,3.6631,3.3304,3.8884,3.7451,10.1482,2.0238,2.0603,2.0077,2.0432,2.0132,6.4141,12.5205,4.0944,4.2315,4.1946,10.3683,2.0345,2.104,2.0678,2.0507,2.1113,0.9942,1.4604,1.3699,0.147,0.0107,0.0277,0.049,0.0139,1.4703,1.6158,1.4298,0.0743,0.0057,0.0201,0.0196,0.0089,-130.54,5.9
DABTAB,92.16,2.74,241.11,3.68,9.22,7.83,39.5,33.8,22.9,800.33,-4.5408,-1.3858,1.94,2.24,0.06,-0.21,2.62,1.97,3.17,2.27,80.63,89.21,101.33,-0.4049,0.0376,-0.2657,0.4761,0.1534,0.188,2.1868,2.9926,3.5988,1.4047,3.2143,2.1324,29.0348,7.2531,5.5916,25.1883,7.0746,8.3769,0.4697,0.5914,0.6097,0.23,2.7902,2.862,0.8951,1.0948,0.8722,3.0299,1.2226,1.1823,1.2794,3.5768,3.442,3.8208,3.499,10.1636,2.02,2.0692,2.0155,2.0379,2.0209,6.3501,12.5775,4.2064,4.1652,4.206,10.477,2.058,2.1365,2.1143,2.0967,2.0715,1.1552,1.1035,1.2518,0.294,0.0545,0.0409,0.0638,0.0314,1.3824,1.5507,1.4533,0.0719,0.0033,0.0137,0.0228,0.0087,-206.16,8.3
TEBRID,84.72,-3.6,213.71,2.08,6.06,6.52,36.5,26.1,12.7,586.98,-4.2539,-1.1383,1.85,2.06,0.16,-0.1,2.48,1.97,3.19,2.34,82.76,85.34,98.66,-0.5214,0.0304,-0.2212,0.4502,0.1976,0.0601,2.4567,2.937,3.6738,1.4321,3.1693,1.9877,29.0964,7.2723,5.6851,25.2147,7.0749,8.4193,0.5861,0.5338,0.601,0.3929,2.7955,2.847,0.8807,1.1066,0.8597,3.0423,1.2737,1.1472,1.2628,3.5569,3.4192,3.8316,3.5398,10.1776,2.0206,2.0771,2.0183,2.0391,2.0225,6.3432,12.6675,4.2365,4.1942,4.2368,10.5102,2.0603,2.1729,2.1263,2.0655,2.0853,1.1712,1.1683,1.2201,0.2635,0.0433,0.0334,0.0805,0.0322,1.4716,1.5631,1.4662,0.0701,0.0068,0.0166,0.0214,0.0084,-221.07,8.5
XUNMAU,102.11,-2.25,198.75,3.45,7.38,7.27,42.3,34.4,19.8,684.88,-3.8049,-0.5125,2,2.08,0.03,-0.06,2.81,1.97,3.19,2.18,78.59,88.74,97.88,-0.4329,0.0006,-0.3094,0.4428,-0.0384,-0.0856,1.9558,2.9118,3.575,1.2953,1.8081,1.619,28.9655,7.304,5.6326,25.1635,8.63,8.5379,0.2855,0.6077,0.47,0.2862,2.7936,2.9081,0.917,1.0555,0.9356,3.0299,1.2083,1.1858,1.3327,3.5792,3.3907,3.8623,3.5258,10.1758,2.0228,2.0791,2.0135,2.0398,2.0207,6.3552,12.5111,4.1327,4.1599,4.2185,10.5663,2.0772,2.1466,2.1085,2.0942,2.1398,1.4905,1.6412,1.4532,0.0692,0.0104,0.0219,0.0095,0.0155,1.6566,1.5658,1.3113,0.0984,0.0063,0.0207,0.031,0.0122,-95.82,9.8
GAQBIL,77.44,-5.92,204.14,2.79,9.55,8.47,36.6,28.6,18.3,699.72,-4.6128,-3.4032,2.26,1.94,0.05,0.07,2.62,2.01,3.09,2.25,78.46,91.71,101.76,-0.3914,0.079,-0.29,0.4923,0.1012,0.1712,2.0934,3.0166,3.6185,1.4647,2.911,2.1401,28.9652,7.2477,5.6104,25.1515,7.2517,8.4161,0.5524,0.5684,0.2328,0.4739,2.7853,2.8566,0.8673,1.0652,0.924,3.0226,1.2063,1.1407,1.2932,3.5639,3.507,3.797,3.4537,10.1637,2.0232,2.0585,2.0225,2.0382,2.0212,6.3496,12.5401,4.1981,4.1151,4.2269,10.5015,2.0861,2.0903,2.1312,2.1364,2.0574,1.245,1.2231,1.0947,0.2963,0.0702,0.0409,0.0731,0.0425,1.4094,1.5794,1.4234,0.0819,0.0133,0.0181,0.02,0.0134,-330.31,10.2
KIKLAS,78.51,1.77,227.97,1.7,7.68,8.08,39.9,26.2,15.5,617.09,-4.4074,-1.7484,1.8,2.35,0.18,-0.38,2.49,1.95,3.14,2.33,81.25,86.21,99,-0.4691,0.0447,-0.2253,0.4698,0.2455,0.0445,2.5668,2.9866,3.6087,1.429,3.3297,1.9822,29.0532,7.2401,5.6395,25.2052,6.9968,8.4423,0.5713,0.5548,0.7543,0.2071,2.7923,2.8427,0.8824,1.1069,0.8534,3.0353,1.247,1.1793,1.2463,3.5546,3.4525,3.8107,3.5258,10.1635,2.0214,2.0676,2.0166,2.0387,2.0192,6.3468,12.6256,4.2344,4.1674,4.2238,10.4963,2.0604,2.0775,2.1602,2.1062,2.0921,1.1062,1.1493,1.2434,0.2872,0.0453,0.0455,0.0819,0.0371,1.4581,1.5666,1.4788,0.0648,0.0064,0.0177,0.0171,0.0081,-250.53,10.3
