Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_px,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L1_dx2y2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dz2,ImgFre,Ea
ABALIA01,78.33,2.65,228.51,2.15,9.67,10.11,36.5,27.6,17.2,732.55,-3.2706,-2.3588,2.19,2.09,-0.1,-0.08,2.63,2.14,2.23,74.27,-0.4043,-0.3144,0.4941,0.1565,0.182,2.9444,3.4337,1.4045,2.9607,2.0667,29.2878,5.4712,7.0772,8.4013,0.6452,0.2909,0.5404,0.3314,0.3884,2.7791,0.9817,0.9614,1.0245,3.5807,3.5008,3.6309,3.5943,10.1745,2.0344,2.0477,2.0283,2.0357,2.0284,6.3358,12.6139,4.2532,4.1948,4.1659,10.4543,2.0004,2.1148,2.1663,2.076,2.0969,1.0999,0.2973,0.042,0.0745,0.0384,0.0757,1.3882,1.4583,0.0756,0.0143,0.0106,-120.54,9.1
ABEJEX,72.62,1.34,195.01,3.1,9.05,9.51,33.5,27,17.6,747.88,-3.1536,-2.5123,2.1,2.42,0.02,-0.24,2.6,2.18,2.23,72.28,-0.3377,-0.2993,0.5386,0.1685,0.0837,2.8353,3.3498,1.4079,2.0896,2.8266,29.1563,5.4591,8.3904,7.2563,0.6339,0.2513,0.546,0.3355,0.1818,2.7766,0.9293,0.9691,1.0466,3.5778,3.2447,3.71,3.7429,10.1625,2.0373,2.0385,2.0137,2.0545,2.0185,6.3614,12.562,4.2483,4.1868,4.1269,10.4139,2.1372,2.0912,2.043,2.0473,2.0952,1.3902,0.0742,0.0182,0.0049,0.0262,0.0041,1.3135,1.138,0.2859,0.0261,0.0418,-118.51,14.1
ABIVUD,81.12,3.01,199.02,1.64,10.2,6.33,34.9,25.9,14.7,646.58,-3.3797,-2.4639,2.08,2.01,-0.1,-0.05,2.58,1.99,2.29,73.79,-0.4262,-0.299,0.4448,0.2314,0.0354,3.3686,3.22,1.3162,3.1333,3.0334,29.3691,5.3268,7.1379,7.0706,0.6573,0.2732,0.4557,0.4147,0.5496,2.7706,1.0737,0.9783,0.8911,3.5935,3.8412,3.759,3.1759,10.163,2.0149,2.0242,2.0482,2.0188,2.0568,6.324,12.6838,4.234,4.2275,4.2222,10.4181,2.131,2.1269,2.1181,2.0578,1.9842,1.2162,0.2447,0.0357,0.0736,0.0214,0.0756,1.2768,1.3067,0.2808,0.026,0.0265,-115.57,14.2
ABOSOB,75.63,4.37,213.24,2.5,8.26,11.13,33.9,25.7,16.6,736.46,-3.2624,-2.4193,2.31,2.1,-0.2,-0.1,2.64,2.03,2.25,76.19,-0.361,-0.3194,0.4659,0.16,0.1827,2.9119,3.4353,1.3547,2.9579,2.0652,29.231,5.5035,7.1,8.3955,0.6235,0.3278,0.5265,0.2244,0.3832,2.7746,1.0396,0.9718,0.9554,3.595,3.7056,3.7333,3.3124,10.1643,2.0179,2.0539,2.0337,2.0168,2.0421,6.3303,12.6125,4.2564,4.1798,4.1763,10.4179,1.9887,2.1223,2.1731,2.0654,2.0683,1.1075,0.2894,0.0412,0.0714,0.0473,0.0649,1.4173,1.4264,0.0752,0.0143,0.0114,-84.11,8.6
ACANAC12,79.61,6.5,174.07,3.26,7.18,5.94,39.1,30.4,14.4,563.09,-3.173,-1.9219,2.1,2.11,-0.1,-0.12,2.58,2.08,2.21,73.69,-0.3958,-0.3121,0.5272,0.1234,0.179,3.0287,3.3233,1.367,2.7369,2.0647,29.2418,5.4346,7.4921,8.3184,0.5895,0.2546,0.5348,0.4809,0.3088,2.7679,0.9686,0.9647,1.0155,3.5617,3.4506,3.7361,3.5275,10.1714,2.0377,2.0473,2.0287,2.0336,2.0241,6.3258,12.5989,4.2519,4.1854,4.1616,10.4708,2.1611,2.1114,2.1199,2.0369,2.0416,1.2893,0.2165,0.0731,0.0184,0.0651,0.0172,1.3978,1.4254,0.074,0.0209,0.0101,-91.74,19.9
ACETSC10,73.7,5.11,202.01,1.86,6.21,7.01,32,22.1,10.4,553.99,-3.0618,-1.7002,2.25,2.21,-0.16,-0.12,2.67,2.28,2.17,73.69,-0.3692,-0.3226,0.5502,0.1493,0.126,2.5351,3.7028,1.3805,3.0432,2.0731,29.0927,5.6727,7.0664,8.41,0.4593,0.2572,0.726,0.2803,0.2802,2.7788,0.9632,0.9728,1.025,3.5642,3.481,3.691,3.5185,10.1701,2.0391,2.043,2.0316,2.0358,2.0205,6.3596,12.5529,4.2532,4.173,4.1266,10.4565,2.135,2.1456,2.0799,2.0684,2.0277,1.247,0.3008,0.0355,0.0836,0.0588,0.0511,1.4597,1.4231,0.0717,0.0184,0.0101,-145.65,16.6
ACETUA,65.6,-1.43,163.74,2.57,5.97,10.28,26.4,19.6,13.3,709.09,-3.0892,-2.8073,2.09,1.94,-0.02,0.09,2.57,2.2,2.19,71.49,-0.3615,-0.312,0.5568,0.1079,0.136,2.7922,3.4525,1.3914,1.9495,2.0436,29.2015,5.52,8.4648,8.4231,0.5914,0.1984,0.6046,0.3756,0.572,2.772,0.9234,0.9316,1.0989,3.5544,3.1515,3.6997,3.8342,10.1763,2.0577,2.0254,2.0126,2.0694,2.0112,6.3328,12.5864,4.2564,4.1909,4.1391,10.4419,2.1502,2.0892,2.1007,2.0544,2.0474,1.4814,0.0704,0.0083,0.0253,0.009,0.0182,1.4181,1.5228,0.0766,0.0064,0.0092,-133.22,21.1
ACETUY,80.05,5.03,172.07,1.9,8.45,7.2,32,24.4,17.7,665.11,-2.7434,-1.5319,2.23,2.04,-0.16,-0.11,2.63,2.32,2.18,71.5,-0.4089,-0.309,0.5039,0.1948,-0.0929,2.5551,3.4757,1.3121,2.1073,1.8371,29.1178,5.5988,8.3429,8.6151,0.4408,0.1705,0.6789,0.2242,0.5249,2.781,0.969,0.9524,1.0321,3.566,3.4705,3.705,3.5442,10.1839,2.0469,2.0432,2.036,2.0372,2.0205,6.3755,12.5657,4.2529,4.1602,4.1526,10.4675,2.148,2.1305,2.0947,2.0632,2.0311,1.4608,0.0734,0.014,0.02,0.009,0.0169,1.641,1.366,0.0657,0.016,0.0086,-156.62,20.9
ACLTRY,60.43,2.31,152.38,3.04,6.79,11.49,23.5,16.1,12,729.22,-3.9045,-2.3321,2.37,1.93,-0.26,0.16,2.53,1.84,3.34,48.44,-0.3266,-0.1839,-0.0819,0.0746,0.1119,3.0223,2.7495,0.7225,1.9653,2.0702,29.4006,5.0678,8.4779,8.4055,0.7993,0.1388,-0.1703,0.2357,0.618,2.7697,0.8899,0.8991,1.0619,3.6856,3.6147,3.8463,3.8683,10.0593,2.0175,2.0117,2.0036,2.0213,2.005,6.358,12.6212,4.288,4.2364,4.0969,10.3468,2.0371,2.1281,2.0864,2.0775,2.0176,1.4944,0.0665,0.0075,0.0238,0.008,0.0183,1.464,1.5153,0.0758,0.0053,0.0086,-143.08,1.4
ACPENC10,96.05,0.34,185.6,2.69,6.89,7.12,32.8,26.5,16.6,613.4,-2.9745,-2.6758,2.26,2.07,-0.19,-0.03,2.57,2.11,2.26,71.99,-0.3551,-0.2921,0.5205,0.1894,0.2051,2.7596,3.3191,1.3609,2.1186,2.1118,29.1095,5.3857,8.3291,8.3634,0.6477,0.2994,0.4942,0.2149,0.2943,2.7727,0.961,0.9474,1.0312,3.5805,3.3874,3.7296,3.6027,10.156,2.0354,2.0447,2.0207,2.0338,2.0214,6.3456,12.5775,4.2402,4.195,4.1423,10.4318,2.1403,2.1009,2.0738,2.053,2.0639,1.4486,0.0722,0.0183,0.0195,0.0085,0.0224,1.3973,1.4305,0.0749,0.0199,0.0092,-110.09,6.2
