Ligand,Bite Angle (Â°),Change in Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),D_Cu-L1 (A),D_Cu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),C-I (A),Cu-I-C (Â°),I-C-N (Â°),C-N-Cu (Â°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(s),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),ImgFreq,Ea
ABEJEX,73.74,0.22,214.66,3.11,7.84,10.3,43.4,31.2,19.2,731.7,-3.3864,-2.5498,2.19,2.14,-0.08,0.03,2.85,1.97,3.19,2.18,77.24,91.09,100.63,-0.3207,0.0278,-0.3208,0.4373,0.1585,0.1024,2.2411,3.0806,3.5855,1.3302,2.0813,2.9563,29.0938,7.2512,5.6988,25.1542,8.4148,7.1667,0.3004,0.6938,0.2801,0.4095,2.7991,2.9067,0.9346,1.0022,0.9699,3.0361,1.2091,1.1976,1.2844,3.5959,3.2482,3.8462,3.6817,10.1687,2.0285,2.0556,2.0144,2.0544,2.0158,6.3803,12.4799,4.1725,4.1211,4.1864,10.4602,2.0782,2.131,2.0925,2.0648,2.0938,1.4498,1.3766,0.0727,0.0224,0.0156,0.0074,0.0201,3.0163,1.2453,1.1323,0.297,0.0905,0.046,0.0557,0.0637,-154.31,25.5
ABIVAL,83.87,9.52,183.15,1.82,9.12,9.33,30.4,22.6,17.2,751.3,-3.8556,-3.1854,1.94,2.1,-0.02,-0.12,2.64,1.95,3.07,2.3,76.39,88.51,98.89,-0.2618,0.058,-0.257,0.3974,0.1662,0.1443,2.433,3.1288,3.5616,1.3942,2.0994,2.0226,29.0187,7.2174,5.6993,25.2203,8.3762,8.4383,0.5006,0.6624,0.5703,0.3361,2.7967,2.8563,1.0189,0.9536,0.8838,3.0339,1.148,1.2422,1.2654,3.6068,3.6376,3.7176,3.4563,10.164,2.034,2.0497,2.0334,2.0225,2.0243,6.3847,12.5131,4.1301,4.192,4.191,10.3636,2.1201,2.0893,2.0002,2.0661,2.0879,1.4003,1.4174,0.0808,0.0059,0.0234,0.0194,0.0113,3.3547,1.6073,1.3983,0.0753,0.0054,0.0196,0.0188,0.011,-301.65,21
ABIWIT,63,0.16,156.12,4.22,6.79,12.51,24.8,18.5,15,810.74,-3.1579,-1.4808,2.1,2.09,-0.03,0,2.59,1.94,3.13,2.23,80.72,88.1,96.21,-0.4013,0.0112,-0.2832,0.4701,0.0849,0.0957,2.2148,3.0189,3.5048,1.4622,2.0061,1.9741,29.1485,7.3091,5.6708,25.1647,8.4736,8.4755,0.5826,0.6519,0.4223,0.4276,2.8041,2.8954,0.9155,1.0757,0.9042,3.0389,1.2183,1.1919,1.2934,3.5615,3.3964,3.8275,3.5161,10.2012,2.0263,2.091,2.0199,2.0396,2.0244,6.4007,12.5453,4.1976,4.1442,4.2034,10.4551,2.057,2.1351,2.0841,2.0837,2.0952,1.4408,1.4585,0.0707,0.008,0.0119,0.0232,0.0086,3.3631,1.4661,1.556,0.0714,0.0169,0.0046,0.0185,0.0087,-117.17,26.6
ABOCOM,62.33,0.29,154.41,3.65,7.93,10.21,25.8,17.4,13.9,816.92,-3.1551,-1.4345,2.11,2.12,0,-0.03,2.64,1.93,3.12,2.21,79.42,88.61,96.75,-0.3753,0.0107,-0.2937,0.4539,0.0742,0.0707,2.1677,3.0312,3.5168,1.4088,1.9539,1.9901,29.151,7.2943,5.6753,25.1688,8.4762,8.4707,0.5005,0.674,0.434,0.4212,2.8025,2.8991,0.9306,1.0537,0.9148,3.0357,1.1968,1.2083,1.3,3.5708,3.4043,3.8287,3.5213,10.195,2.0268,2.0874,2.0192,2.0381,2.0235,6.4152,12.5166,4.1763,4.1445,4.1958,10.4433,2.0546,2.1253,2.075,2.0872,2.1012,1.4528,1.5619,0.0702,0.0168,0.0041,0.0184,0.0084,3.3752,1.5791,1.4593,0.0695,0.0081,0.0132,0.0214,0.0084,-113.37,25.1
ABOMOW,82.89,0.66,178.69,3.42,8.57,10.09,32.7,26.2,20.2,784.93,-2.732,-1.3067,1.97,2.13,-0.03,-0.06,2.73,1.94,3.22,2.18,81.14,88.28,98.06,-0.4034,-0.0041,-0.311,0.4337,-0.0783,0.1417,2.2573,3.0131,3.5442,1.3597,1.8474,2.0309,29.1426,7.3116,5.6835,25.1786,8.6151,8.4443,0.3981,0.6783,0.6454,0.2964,2.805,2.921,0.9393,1.029,0.9527,3.037,1.2008,1.1982,1.3236,3.5741,3.4276,3.8464,3.4919,10.2006,2.0273,2.0929,2.0188,2.0365,2.025,6.4178,12.546,4.162,4.1542,4.2298,10.4394,2.0607,2.1194,2.0816,2.0823,2.0954,1.6313,1.4706,0.0695,0.0094,0.011,0.0224,0.0084,3.3536,1.5897,1.4379,0.0753,0.0021,0.0166,0.0231,0.0084,-73.47,20.7
ABOQOA,79.17,-1.7,187.5,2.65,6.62,7.18,32.1,24.5,13.5,613.51,-3.3104,-1.3315,2.3,1.96,0.02,-0.01,2.94,1.96,3.14,2.19,73.9,91.31,99.68,-0.2706,0.0216,-0.3247,0.3471,0.1794,0.0816,2.0677,3.0867,3.5913,1.2368,2.0746,3.0268,29.2822,7.2435,5.7164,25.2053,8.3659,7.1736,0.2045,0.6825,0.1733,0.7225,2.7997,2.9071,0.8885,1.0876,0.931,3.0358,1.2134,1.1865,1.2955,3.619,3.5448,3.8617,3.4387,10.1676,2.0204,2.0643,2.017,2.0399,2.0259,6.4659,12.4616,4.1254,4.1652,4.171,10.3429,2.061,2.0656,2.0485,2.1018,2.066,1.4412,1.4102,0.0723,0.0128,0.0108,0.0217,0.0094,2.9976,1.2425,1.1531,0.2197,0.0338,0.0329,0.0589,0.0208,-131.96,24.2
ABORUE,82.37,-0.27,220.15,3.18,9.5,8.16,40.4,31.4,21.5,729.26,-3.4274,-1.793,1.97,2.08,-0.03,0,2.74,1.99,3.29,2.22,82.48,89.94,105.57,-0.4,0.0421,-0.2998,0.441,0.0779,0.2347,2.585,3.0374,3.6687,1.4106,3.212,3.1426,29.1811,7.2852,5.7129,25.1617,6.99,7.2513,0.4256,0.5905,0.6143,0.4551,2.8022,2.8913,0.8809,1.1014,0.909,3.0409,1.2455,1.1355,1.2883,3.5839,3.5425,3.8297,3.4003,10.1801,2.0219,2.0683,2.0182,2.0402,2.0314,6.3848,12.6147,4.1699,4.189,4.2558,10.4003,2.0795,2.0646,2.1112,2.105,2.04,1.1672,1.3035,0.3177,0.0693,0.034,0.0863,0.0444,2.9638,1.1614,1.1439,0.2399,0.0456,0.0334,0.0661,0.0317,-147.07,31.7
ABUJUC,88.72,0.23,188.12,2.92,9.84,8.17,34,25.8,17.3,729.99,-2.3117,-1.4228,1.99,2,-0.01,-0.03,2.56,1.95,3.1,2.31,78.71,84.45,90.54,-0.5131,0.0134,-0.2551,0.3078,-0.0899,-0.1132,2.6522,3.0015,3.4587,1.3714,1.7538,1.8331,29.0982,7.2757,5.7359,25.325,8.6662,8.6182,0.5875,0.6268,0.5152,0.5441,2.8162,2.8938,0.9204,1.0307,0.9426,3.043,1.2048,1.2063,1.2897,3.5855,3.4014,3.8503,3.5956,10.2326,2.0277,2.1213,2.0203,2.0376,2.0257,6.3857,12.6454,4.1998,4.2135,4.2321,10.4816,2.0776,2.1497,2.0952,2.0915,2.0677,1.6353,1.5108,0.0713,0.0122,0.0071,0.0214,0.0084,3.3934,1.6,1.39,0.0704,0.0028,0.0158,0.0194,0.0079,-99.17,21.5
ABULIT,83.95,14.71,189.65,1.87,6.99,6.27,34.7,23.2,12.9,571.68,-3.0284,-1.5072,2.1,1.96,-0.19,-0.07,2.67,2,3.19,2.19,81.15,88.35,97.08,-0.3835,0.0134,-0.3048,0.4833,0.0348,0.0765,2.3821,2.9853,3.5076,1.4579,2.9526,1.9987,29.0753,7.3484,5.6734,25.14,7.0355,8.4791,0.4873,0.627,0.4288,0.5082,2.8025,2.9081,0.9296,1.0339,0.9446,3.0455,1.2088,1.1917,1.3021,3.5583,3.3707,3.8362,3.5265,10.1988,2.0267,2.0908,2.0176,2.0408,2.0229,6.3993,12.5487,4.1574,4.1535,4.2378,10.4353,2.0548,2.1518,2.0869,2.0638,2.0779,1.3235,1.1184,0.3059,0.0567,0.0433,0.0764,0.0623,3.3478,1.6361,1.4075,0.0769,0.0127,0.0204,0.0125,0.0186,-108.02,20.1
ACACOY,62.67,0.03,155.56,1.88,5.26,9.86,23.9,14.8,9.1,606.58,-3.2113,-1.5229,2.13,2.06,0,-0.01,2.63,1.93,3.11,2.21,79.52,88.45,96.36,-0.3625,0.0097,-0.2929,0.4676,0.0567,0.0881,2.135,3.0202,3.5003,1.4313,1.9124,2.0216,29.1155,7.3108,5.6695,25.1561,8.5346,8.4677,0.5179,0.668,0.3439,0.4645,2.8023,2.8991,0.8985,1.0817,0.9189,3.0363,1.2291,1.1734,1.3036,3.5689,3.4309,3.8435,3.4686,10.1943,2.0244,2.0858,2.0169,2.0419,2.0253,6.405,12.5231,4.1934,4.1329,4.1969,10.4341,2.0655,2.0928,2.0807,2.1017,2.0935,1.4743,1.5591,0.0699,0.0137,0.0027,0.0198,0.0089,3.3674,1.5853,1.4463,0.0704,0.0062,0.011,0.0253,0.0086,-117.29,26.7
