Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-2.9673,-2.0627,1.94,1.97,1.91,0.4225,-0.2459,-0.6447,-0.5774,1.8823,2.9129,2.0487,1.9912,28.7213,7.2933,8.532,8.4934,0.6261,0.5029,0.4238,3.1672,3.9965,1.2883,1.2732,1.4351,6.3428,12.4432,4.1692,4.1093,4.1647,9.7915,1.9377,1.9622,1.9475,1.968,1.9762,3.5095,4.7205,1.5079,1.5755,1.6372,0.4146,0.0848,0.0609,0.1067,0.0629,0.0995,3.5057,4.7186,1.4941,1.6168,1.6077,0.3531,0.0738,0.0823,0.0508,0.0793,0.0669,44.7
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-3.4679,-1.5291,1.94,1.99,1.92,0.3119,-0.2402,-0.7269,-0.0825,1.8819,2.9955,2.0866,3.1129,28.7824,7.2577,8.5673,7.1019,0.632,0.5527,0.444,3.1667,3.9918,1.403,1.2166,1.3721,6.3838,12.4867,4.1594,4.1773,4.15,9.8176,1.9609,1.935,1.9865,1.9797,1.9555,3.5127,4.8053,1.559,1.6068,1.6395,0.4089,0.0823,0.0861,0.0797,0.0808,0.08,3.1877,3.7759,1.1911,1.3603,1.2245,0.1188,0.0291,0.0178,0.0295,0.0231,0.0194,31.9
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-3.1305,-1.9612,1.96,2.02,1.91,0.4108,-0.2445,-0.5836,-0.6293,1.8724,2.9736,2.0056,1.9804,28.7883,7.2668,8.4549,8.509,0.6511,0.4682,0.4256,3.1652,3.9973,1.27,1.3569,1.3704,6.3466,12.4373,4.0597,4.1883,4.1892,9.8053,1.9733,1.9662,1.9264,1.9502,1.9893,3.4966,4.7212,1.5396,1.5347,1.6469,0.3658,0.0746,0.075,0.0762,0.0678,0.0723,3.5144,4.7124,1.5221,1.5205,1.6698,0.4025,0.0984,0.0643,0.0726,0.0943,0.073,30.2
ABEZEP,109.32,208.18,2.27,8.68,8.16,40.1,28.8,19.4,621.68,-2.3296,-0.0195,1.97,2.04,1.96,0.3843,-0.2377,-0.7666,-0.7301,1.9096,2.8683,1.9826,1.9643,28.8788,7.2663,8.5828,8.5628,0.5696,0.5685,0.501,3.1721,3.983,1.3228,1.3687,1.2915,6.3352,12.449,4.1588,4.1591,4.131,9.8315,1.931,1.9599,1.9778,1.9779,1.9849,3.5277,4.8263,1.63,1.5621,1.6342,0.4126,0.0811,0.0844,0.074,0.0897,0.0833,3.5387,4.8109,1.6198,1.7514,1.4398,0.3804,0.0337,0.1001,0.1008,0.0525,0.0935,18.7
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-3.9646,-3.0245,1.98,2,1.97,0.5931,-0.2029,-0.5471,-0.5901,2.3943,2.9355,2.0258,2.0285,28.8183,7.2237,8.4511,8.4728,0.5127,0.5329,0.455,3.1726,3.9492,1.3838,1.2512,1.3142,6.2648,12.4041,4.168,4.1441,4.0921,9.738,1.9397,1.9329,1.9633,1.9554,1.9467,3.5143,4.6646,1.5184,1.5978,1.5484,0.3681,0.0726,0.059,0.1001,0.0524,0.0841,3.5152,4.6758,1.4599,1.606,1.6099,0.399,0.0673,0.0717,0.1015,0.0764,0.0821,9.7
ABOMOW,80.77,187.18,2.83,7.85,9.79,36.5,27.9,20.3,695.94,-2.9799,-1.2428,1.92,2.23,1.88,0.3659,-0.2489,-0.8204,-0.6168,1.7463,2.9791,1.8396,2.0725,28.8768,7.285,8.5599,8.499,0.6749,0.6685,0.2592,3.1603,4.0043,1.1929,1.4035,1.4079,6.431,12.4138,4.0611,4.1811,4.1716,9.7894,1.9693,1.9717,1.9104,1.9519,1.9862,3.5498,4.8622,1.6411,1.5269,1.6942,0.4084,0.0878,0.0618,0.0994,0.0769,0.0825,3.5368,4.6985,1.5084,1.6175,1.5725,0.3815,0.072,0.0678,0.0939,0.0676,0.0802,18.1
ABUJAI01,83.84,184.64,1.52,5.68,7.95,28.7,18.8,12.4,500.59,-3.3262,-2.8672,1.96,1.99,1.88,0.4511,-0.2487,-0.5934,-0.591,1.929,2.9331,2.1114,2.0942,28.7389,7.3054,8.5025,8.5044,0.6747,0.5163,0.4742,3.1646,4.0016,1.3811,1.4245,1.1959,6.3465,12.4287,4.1492,4.1776,4.1019,9.7737,1.9275,1.9669,1.9757,1.9145,1.9891,3.5211,4.6838,1.5131,1.6809,1.4899,0.3884,0.0617,0.0727,0.0949,0.0513,0.1079,3.5255,4.684,1.5718,1.5154,1.5967,0.3815,0.0793,0.0605,0.0909,0.0521,0.0987,16.5
ACEGAR,87.61,209.53,1.52,9.22,9.46,48.2,36.9,22.9,726.47,-4.0566,-2.6613,2.08,2.1,1.91,0.5174,-0.2217,-0.4743,-0.4008,2.056,3.0548,1.9431,2.1254,28.8055,7.2381,8.4225,8.3413,0.7197,0.3547,0.3276,3.161,3.9801,1.3382,1.4165,1.2254,6.2751,12.4147,4.1856,4.1415,4.0876,9.7928,1.9339,1.9668,1.9583,1.9613,1.9726,3.4926,4.6145,1.5269,1.582,1.5056,0.3671,0.0785,0.0766,0.0704,0.0629,0.0786,3.4953,4.561,1.425,1.5546,1.5814,0.3445,0.0935,0.0786,0.0364,0.0969,0.0392,11.3
ACNAQU01,84.07,181.79,1.54,4.89,9.36,28.3,16.9,10.9,503.05,-4.4483,-4.0162,1.97,2.08,1.84,0.5234,-0.2351,-0.4954,-0.4793,2.0263,2.9917,2.1309,2.0951,28.6936,7.3159,8.4709,8.4322,0.7496,0.5589,0.43,3.1686,3.9843,1.4056,1.3841,1.1946,6.3401,12.4066,4.1397,4.1563,4.1105,9.7299,1.9456,1.9694,1.9814,1.8601,1.9733,3.5153,4.6216,1.4274,1.6846,1.5096,0.3585,0.0602,0.0695,0.0882,0.0509,0.0897,3.5305,4.6093,1.4921,1.5298,1.5874,0.3396,0.0753,0.0453,0.0809,0.0507,0.0875,12.5
ACSALA19,62.89,158.86,1.94,5.82,9.26,26.5,19.6,12.2,509.49,-3.2176,-1.6236,2.05,2.12,1.86,0.3959,-0.2578,-0.5614,-0.5567,1.6693,2.9264,1.903,1.976,28.8375,7.3221,8.5377,8.5246,0.6823,0.4412,0.4019,3.1598,4.0138,1.2403,1.3333,1.4402,6.4314,12.3594,4.1073,4.1297,4.1225,9.8133,1.9151,1.9727,1.9692,1.9746,1.9817,3.5193,4.6672,1.5965,1.6037,1.467,0.375,0.0623,0.0763,0.0852,0.0465,0.1046,3.5345,4.7008,1.5316,1.5122,1.657,0.3214,0.0622,0.07,0.0701,0.0477,0.0715,22.6
ADALAS,50.66,174.15,1.66,5.18,6.58,28.3,18.7,8.8,407.08,-4.4916,-1.7921,2.93,1.93,1.88,0.3514,-0.2611,-0.5783,-0.1804,1.5596,3.0109,2.0467,3.2136,28.7554,7.3086,8.484,7.3464,0.7143,0,0.6013,3.1631,4.0172,1.3483,1.2956,1.3733,6.5005,12.3423,4.0482,4.244,4.0501,9.8058,1.9579,1.986,1.9579,1.972,1.932,3.5528,4.7522,1.5669,1.6273,1.558,0.2733,0.0599,0.05,0.0547,0.0503,0.0584,3.1356,3.9645,1.259,1.4183,1.2872,0.0803,0.0212,0.0165,0.0183,0.0121,0.0123,17.3
ADAQEC,94.14,197.35,1.58,12.1,8,31.3,22.3,14.3,639.7,-2.9613,-1.8751,1.94,1.94,1.92,0.4228,-0.2465,-0.613,-0.6826,1.8932,2.9007,2.0695,2.0458,28.7044,7.2869,8.4752,8.5556,0.6113,0.4583,0.5141,3.1685,3.9964,1.3497,1.4223,1.2244,6.3424,12.451,4.1414,4.1919,4.1178,9.7837,1.9553,1.944,1.9495,1.9433,1.9916,3.5047,4.6807,1.4939,1.543,1.6438,0.4276,0.1139,0.0675,0.079,0.0855,0.0816,3.5135,4.77,1.5898,1.5891,1.5911,0.3991,0.0907,0.0801,0.0727,0.0785,0.0772,18.2
ADUPIY,77.78,169.86,1.86,8.97,9.51,28.7,20.9,14.2,682.01,-4.3251,-2.2504,1.93,2.43,1.88,0.3353,-0.2707,-0.0759,-0.5672,1.7424,2.951,3.1845,2.0445,28.8216,7.3183,7.0818,8.5054,0.7326,0.6549,0.1557,3.1664,4.0244,1.4278,1.3276,1.2689,6.4693,12.3905,4.1229,4.1964,4.0712,9.8048,1.9166,1.9814,1.9664,1.9694,1.9711,3.1706,3.788,1.2821,1.3707,1.1352,0.1173,0.0153,0.0307,0.0213,0.0179,0.0321,3.5417,4.6846,1.5291,1.5047,1.6508,0.3409,0.0775,0.0555,0.0676,0.0563,0.0841,32.5
