Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
KOSCAZ01,79.33,199.49,36.4,-4.2559,1.77,2.61,0.518,-0.1985,-0.1289,2.3598,3.0126,28.7746,7.1434,0.5297,0.7317,0.1011,3.1625,6.2745,12.4602,4.1807,9.7472,1.985,1.5582,1.5593,0.4358,0.0882,1.1675,-2.1
ZOWJUQ,79.53,199.74,36.5,-4.1352,1.78,2.6,0.5049,-0.2007,-0.1292,2.3331,3.0062,28.7921,7.1464,0.5266,0.7256,0.1017,3.1631,6.2769,12.4596,4.1783,9.7585,1.9848,1.5673,1.5511,0.4344,0.0899,1.1678,0.6
XATWUK,79.75,170.63,19.9,-3.5616,1.87,2.56,0.3576,-0.257,-0.4356,1.6333,2.9411,28.8623,7.2636,0.6833,0.7114,0.102,3.1607,6.4958,12.3777,4.1913,9.7689,1.9835,1.6927,1.6358,0.3995,0.0851,1.4856,23.6
RIZYAD,80.34,177.3,26.6,-3.677,1.88,2.57,0.4,-0.2568,-0.557,1.7124,2.9564,28.8186,7.2623,0.6903,0.6539,0.105,3.1588,6.4609,12.3666,4.0834,9.7725,1.8947,1.4071,1.7012,0.4125,0.0638,1.5882,24.3
HIVLAA01,58.26,201.03,26.8,-3.8856,1.9,2.55,0.2816,-0.2778,-0.1279,1.676,2.9668,28.8169,7.2995,0.7004,0.6032,0.1063,3.1661,6.5243,12.3931,4.0862,9.8011,1.9475,1.4272,1.1947,0.0819,0.0234,1.4094,12.5
KOJCAQ,80.45,171.41,24.3,-3.6293,1.87,2.54,0.3811,-0.2569,-0.4853,1.6094,2.9493,28.8271,7.2658,0.6915,0.6775,0.11,3.1595,6.4788,12.3658,4.0935,9.7743,1.9174,1.4272,1.6893,0.3897,0.0554,1.5404,26
TUKNAR,92.41,188.55,26.1,-3.2857,1.89,2.47,0.3632,-0.25,-0.5946,1.6684,2.9737,28.8941,7.2379,0.6938,0.696,0.1145,3.1591,6.4723,12.3854,4.2007,9.7791,1.9808,1.7071,1.6585,0.3947,0.0885,1.5401,24.9
RUPFIU,74.55,211.43,38.4,-3.5597,1.92,2.49,0.3439,-0.2641,-0.5195,1.7579,2.9758,28.8923,7.2645,0.7154,0.6365,0.1155,3.1644,6.4736,12.4013,4.1872,9.7813,1.983,1.4292,1.1262,0.0758,0.027,1.5325,26.5
AYUTOE,82.72,195.74,35.8,-4.1411,1.79,2.4,0.4676,-0.2131,-0.1715,2.3641,2.9732,28.8014,7.1501,0.5136,0.6896,0.1213,3.168,6.2696,12.4868,4.1892,9.776,1.9947,1.6181,1.5457,0.4408,0.0813,1.1645,1.2
ROXLAU,75.97,173.49,25.4,-3.7776,1.88,2.38,0.5,-0.2301,-0.3321,1.9834,2.8964,28.6965,7.2437,0.4713,0.4941,0.1226,3.1842,6.2834,12.3947,4.1417,9.822,1.9883,1.5323,1.6126,0.422,0.0573,1.2399,-1.2
GOJBUC,78.88,171.65,19.6,-3.7693,1.91,2.45,0.3163,-0.2639,-0.6344,1.7187,2.9416,28.8567,7.2984,0.6966,0.6433,0.1228,3.1662,6.4853,12.3895,4.0765,9.8088,1.9124,1.373,1.4647,0.0637,0.0107,1.5223,31.2
RAFVOM,76.58,194.29,27.1,-3.7837,1.87,2.42,0.499,-0.2334,-0.3312,1.9825,2.8848,28.7172,7.2434,0.4504,0.4916,0.1269,3.1866,6.281,12.3923,4.1536,9.8277,1.983,1.5573,1.5828,0.4276,0.0594,1.2481,-0.9
JOXKOY,81.4,174.15,19.5,-3.4141,1.87,2.46,0.3411,-0.2557,-0.766,1.6294,2.937,28.8582,7.2605,0.6667,0.6731,0.1274,3.1601,6.4933,12.3966,4.1893,9.769,1.9862,1.6988,1.6314,0.407,0.0822,1.3625,20.7
VINVOG,78.43,200.83,28,-4.1057,1.78,2.39,0.4839,-0.213,-0.2031,2.1433,2.9969,28.6591,7.1633,0.5229,0.5767,0.1289,3.1666,6.2837,12.468,4.1895,9.7644,1.9969,1.6304,1.5849,0.4662,0.065,1.1806,-9.2
UWIHIT,79.07,190.73,23.9,-4.3426,1.89,2.49,0.3532,-0.2709,-0.5702,1.7834,2.9714,28.806,7.3011,0.7439,0.6897,0.129,3.1645,6.4688,12.3924,4.0917,9.7856,1.9233,1.2341,1.2957,0.096,0.0156,1.6528,25.2
COQNAX,76.06,195.05,33.2,-3.5397,1.93,2.45,0.3224,-0.2657,-0.4762,1.7196,2.9756,28.8309,7.2799,0.6782,0.6207,0.1313,3.1657,6.4815,12.3962,4.1677,9.7999,1.9766,1.4034,1.1553,0.0784,0.0284,1.5435,25
XIKLOU,77.38,172.66,17.6,-3.9987,1.84,2.44,0.4548,-0.2222,-0.3115,2.0739,2.9416,28.7264,7.2302,0.5155,0.5648,0.1334,3.1716,6.2845,12.4471,4.1702,9.8136,1.9921,1.6636,1.5053,0.4085,0.082,1.09,-15.4
ZIKMUD,102.71,198.32,21.4,-3.9076,1.81,2.44,0.4934,-0.2092,-0.4258,2.1981,2.9726,28.8097,7.1515,0.507,0.6597,0.1349,3.1681,6.2765,12.4533,4.1807,9.7768,1.9785,1.6916,1.5098,0.3956,0.0814,1.6177,6.5
PUKDUW,61.2,220.84,33.4,-3.7524,1.92,2.38,0.2757,-0.262,-0.1168,1.8225,2.9965,28.8874,7.2689,0.735,0.5816,0.1377,3.1622,6.4886,12.4265,4.1285,9.8093,1.9338,1.3869,1.1968,0.0814,0.0276,1.3441,4.8
