Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(s),Orbital Charge L1(p),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(s),Orbital Charge L2(p),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-2.9673,-2.0627,1.94,1.97,1.91,0.4225,-0.2459,-0.6447,-0.5774,1.8823,2.9129,2.0487,1.9912,28.7213,7.2933,8.532,8.4934,0.6261,0.5029,0.4238,3.1672,3.9965,1.2883,1.2732,1.4351,6.3428,12.4432,4.1692,4.1093,4.1647,9.7915,1.9377,1.9622,1.9475,1.968,1.9762,3.5095,4.7205,1.5079,1.5755,1.6372,0.4146,0.0848,0.0609,0.1067,0.0629,0.0995,3.5057,4.7186,1.4941,1.6168,1.6077,0.3531,0.0738,0.0823,0.0508,0.0793,0.0669,54.6
ABATOO,97.54,216.4,2.7,4.49,10.2,34.9,21.7,11.6,531.87,-3.0344,-1.3775,1.92,1.96,1.93,0.295,-0.2361,-0.7232,0.1439,1.969,2.9822,2.0723,3.1659,28.8185,7.2592,8.5811,6.9468,0.6143,0.5674,0.516,3.1669,3.9861,1.3602,1.2234,1.4026,6.3763,12.5209,4.1737,4.2245,4.1227,9.8078,1.964,1.935,1.9396,1.9798,1.9894,3.5134,4.7973,1.6146,1.5935,1.5892,0.4124,0.0951,0.0782,0.0723,0.0848,0.082,3.1361,3.5887,1.0751,1.3526,1.161,0.1312,0.0383,0.024,0.0217,0.0299,0.0173,51.4
ABAWAD,97.6,216.44,2.77,5.74,10.62,34.9,22.1,13.1,601.64,-3.0622,-1.3625,1.92,1.96,1.93,0.2913,-0.2373,-0.7245,0.1428,1.9731,2.98,2.0748,3.1677,28.8246,7.2609,8.5829,6.9428,0.6155,0.5718,0.5142,3.1665,3.9877,1.3966,1.2162,1.3749,6.3777,12.5233,4.1535,4.2253,4.1445,9.8077,1.9443,1.932,1.9595,1.9841,1.9879,3.5135,4.7982,1.5783,1.6047,1.6152,0.4129,0.0848,0.0831,0.0803,0.0796,0.0851,3.136,3.5902,1.1376,1.3446,1.108,0.1311,0.0296,0.0234,0.0307,0.0264,0.021,49.7
ABEJEX01,78.87,218.94,2.9,7.91,9.37,38.1,29,18.4,648.15,-3.9072,-2.6235,2.21,1.96,1.88,0.4099,-0.2531,-0.0805,-0.6182,1.7822,2.9628,3.0007,2.1379,28.7257,7.2825,7.2104,8.5419,0.7113,0.2882,0.4849,3.1615,4.0105,1.377,1.405,1.2285,6.3965,12.3939,4.1242,4.1429,4.1269,9.7996,1.9391,1.9383,1.9589,1.983,1.9803,3.1811,3.786,1.2499,1.2843,1.2517,0.1134,0.0135,0.0292,0.0194,0.0302,0.0213,3.5036,4.7103,1.5322,1.5145,1.6636,0.4043,0.1048,0.0802,0.0789,0.0743,0.0662,44.9
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-3.4679,-1.5291,1.94,1.99,1.92,0.3119,-0.2402,-0.7269,-0.0825,1.8819,2.9955,2.0866,3.1129,28.7824,7.2577,8.5673,7.1019,0.632,0.5527,0.444,3.1667,3.9918,1.403,1.2166,1.3721,6.3838,12.4867,4.1594,4.1773,4.15,9.8176,1.9609,1.935,1.9865,1.9797,1.9555,3.5127,4.8053,1.559,1.6068,1.6395,0.4089,0.0823,0.0861,0.0797,0.0808,0.08,3.1877,3.7759,1.1911,1.3603,1.2245,0.1188,0.0291,0.0178,0.0295,0.0231,0.0194,47.8
ABENEB01,93.83,194.92,1.6,4.5,8.64,30,19.4,10.5,461.47,-2.9735,-1.9256,1.98,1.95,1.93,0.4052,-0.2478,-0.5094,-0.6752,1.7493,2.8981,2.1147,2.0349,28.6978,7.2924,8.5071,8.5605,0.613,0.387,0.4988,3.1694,3.9969,1.3644,1.424,1.2086,6.35,12.4372,4.1328,4.1958,4.1086,9.8077,1.9278,1.962,1.9663,1.971,1.9806,3.493,4.6508,1.5318,1.602,1.517,0.3655,0.0838,0.0787,0.06,0.0785,0.0646,3.5113,4.7651,1.5434,1.6245,1.5972,0.3987,0.0935,0.0644,0.0732,0.0817,0.086,40.4
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-3.1305,-1.9612,1.96,2.02,1.91,0.4108,-0.2445,-0.5836,-0.6293,1.8724,2.9736,2.0056,1.9804,28.7883,7.2668,8.4549,8.509,0.6511,0.4682,0.4256,3.1652,3.9973,1.27,1.3569,1.3704,6.3466,12.4373,4.0597,4.1883,4.1892,9.8053,1.9733,1.9662,1.9264,1.9502,1.9893,3.4966,4.7212,1.5396,1.5347,1.6469,0.3658,0.0746,0.075,0.0762,0.0678,0.0723,3.5144,4.7124,1.5221,1.5205,1.6698,0.4025,0.0984,0.0643,0.0726,0.0943,0.073,37.7
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-3.9646,-3.0245,1.98,2,1.97,0.5931,-0.2029,-0.5471,-0.5901,2.3943,2.9355,2.0258,2.0285,28.8183,7.2237,8.4511,8.4728,0.5127,0.5329,0.455,3.1726,3.9492,1.3838,1.2512,1.3142,6.2648,12.4041,4.168,4.1441,4.0921,9.738,1.9397,1.9329,1.9633,1.9554,1.9467,3.5143,4.6646,1.5184,1.5978,1.5484,0.3681,0.0726,0.059,0.1001,0.0524,0.0841,3.5152,4.6758,1.4599,1.606,1.6099,0.399,0.0673,0.0717,0.1015,0.0764,0.0821,30.1
ABIVUD,82.83,196.96,2.16,9.46,6.28,34.9,25.5,14.5,559.31,-3.4723,-2.6227,2,1.97,1.9,0.2271,-0.2701,-0.1109,-0.2216,2.0186,2.9479,3.2205,3.008,28.8113,7.3035,7.0879,7.2523,0.6632,0.4588,0.5506,3.1701,4.0193,1.4244,1.2806,1.3143,6.4349,12.5338,4.1802,4.1728,4.1808,9.8043,1.9713,1.9428,1.9817,1.9602,1.9482,3.1726,3.845,1.183,1.4592,1.2028,0.0934,0.0156,0.0175,0.0268,0.0122,0.0213,3.1888,3.9224,1.3938,1.1154,1.4132,0.1104,0.0341,0.0106,0.022,0.0154,0.0283,37.5
ABIXAK,102.03,201.86,2.86,7.24,7.5,40.2,30.9,19.7,581.37,-1.5163,0.197,1.96,2.01,1.92,0.3285,-0.2359,-0.941,-0.9258,1.9508,2.8646,1.7933,1.8263,28.8483,7.2577,8.5683,8.4911,0.5561,0.5658,0.526,3.1678,3.982,1.2409,1.3908,1.3504,6.3681,12.4965,4.121,4.1988,4.1767,9.8069,1.9533,1.9227,1.9773,1.972,1.9816,3.5683,4.9046,1.7521,1.5057,1.6468,0.4681,0.1017,0.0664,0.1129,0.0714,0.1157,3.5661,4.9362,1.674,1.6099,1.6523,0.4235,0.0986,0.0714,0.1024,0.0707,0.0804,28.6
