Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
HANNUF,79.65,170.44,2.2,5.36,11.46,30.8,22.1,12.7,555.69,-3.4435,-0.404,1.86,2.59,1.85,0.3637,-0.2581,-0.796,-0.4261,1.6173,2.949,1.9012,2.1373,28.8293,7.2473,8.5697,8.4102,0.6859,0.6642,0.1001,3.1589,1.4115,1.4091,1.1949,6.4937,12.3768,4.1718,4.1205,4.0846,9.7658,1.9206,1.9379,1.9592,1.9653,1.9828,1.6822,1.6916,1.4877,0.4026,0.0734,0.0886,0.0944,0.0618,0.0843,1.5394,1.613,1.4768,0.2708,0.0502,0.07,0.0515,0.0633,0.0358,46.8
XATWUK,79.75,170.63,1.92,8.56,10.94,29,19.9,12.1,637.94,-3.5616,-0.4619,1.87,2.56,1.86,0.3576,-0.257,-0.7913,-0.4356,1.6333,2.9411,1.9677,2.1574,28.8623,7.2636,8.551,8.4,0.6833,0.7114,0.102,3.1607,1.3129,1.3736,1.3268,6.4958,12.3777,4.1043,4.1913,4.0822,9.7689,1.8876,1.9835,1.9786,1.9812,1.9381,1.5323,1.6927,1.6358,0.3995,0.0773,0.0851,0.0758,0.101,0.0603,1.4591,1.4856,1.6861,0.2768,0.0626,0.0436,0.0654,0.0405,0.0647,49
FAYPAX,78.58,172.44,2.45,6.01,7.04,34,27.6,16.6,514.44,-3.4636,-1.0044,1.86,2.55,1.85,0.3956,-0.2544,-0.7378,-0.4098,1.6779,3.0356,1.9804,2.1732,28.8473,7.2333,8.5735,8.3709,0.6996,0.6965,0.1025,3.1571,1.4079,1.4055,1.2003,6.4662,12.3732,4.1464,4.1692,4.0576,9.765,1.8777,1.9788,1.9789,1.977,1.9527,1.7206,1.6913,1.3829,0.4173,0.0724,0.0931,0.0899,0.0622,0.0997,1.5441,1.5244,1.5417,0.2773,0.0535,0.0411,0.0637,0.041,0.0781,57.7
CIMSUP,54.99,175.58,1.7,13.82,9.99,28.8,20.7,14.5,734.15,-4.0405,-2.0709,1.91,2.68,1.88,0.2967,-0.2779,-0.1439,-0.6928,1.7052,2.9411,3.1286,1.9901,28.8698,7.3024,7.181,8.5671,0.6906,0.6823,0.1034,3.1659,1.238,1.3546,1.439,6.549,12.3661,4.1214,4.1453,4.0994,9.7882,1.9172,1.9625,1.9591,1.9776,1.9717,1.3728,1.356,1.15,0.1119,0.0108,0.0275,0.0318,0.0145,0.0272,1.5678,1.7184,1.5013,0.3381,0.0448,0.0796,0.0823,0.0513,0.0801,44
RIZYAD,80.34,177.3,2.53,8.12,8.65,35,26.6,19.2,613.3,-3.677,-1.3749,1.88,2.57,1.85,0.4,-0.2568,-0.7646,-0.557,1.7124,2.9564,1.9567,2.1228,28.8186,7.2623,8.5594,8.4465,0.6903,0.6539,0.105,3.1588,1.2527,1.3983,1.3637,6.4609,12.3666,4.1397,4.0834,4.1435,9.7725,1.9576,1.8947,1.9637,1.9811,1.9754,1.7121,1.4071,1.7012,0.4125,0.1,0.0638,0.0975,0.055,0.0963,1.5506,1.5882,1.5544,0.3151,0.0495,0.0734,0.0599,0.0575,0.0748,42.9
ZOWJEA,79.46,200.29,2.56,7.71,8.46,41,36.5,23.2,590.96,-4.2997,-3.2468,1.77,2.6,1.92,0.5228,-0.1963,-0.5523,-0.1285,2.3904,3.0249,2.2195,3.0025,28.7816,7.1398,8.5013,7.0588,0.5352,0.7414,0.1052,3.1615,1.2445,1.3479,1.3592,6.2717,12.4634,4.204,4.1837,4.0757,9.742,1.9766,1.9917,1.9867,1.8531,1.9339,1.5288,1.5818,1.5386,0.4371,0.0709,0.087,0.0923,0.0904,0.0965,1.298,1.1669,1.4764,0.0991,0.0219,0.0129,0.0203,0.0248,0.0192,20.9
ZEPFAE,80.1,170.97,2.01,9.15,11.53,28.9,20.2,12.3,641.94,-3.5879,-1.2615,1.87,2.56,1.86,0.3568,-0.2577,-0.7923,-0.4289,1.6249,2.939,1.9309,2.1466,28.8534,7.2649,8.5556,8.3917,0.6799,0.6993,0.1058,3.1606,1.3198,1.3774,1.3169,6.4963,12.3775,4.1162,4.1766,4.0847,9.7694,1.8806,1.9787,1.976,1.9824,1.9517,1.5545,1.7035,1.6059,0.3971,0.0801,0.0829,0.0808,0.0926,0.0608,1.4491,1.4843,1.6924,0.2749,0.0656,0.0432,0.0625,0.0422,0.0615,48.6
NALCYS17,75.05,210.95,2.12,5.25,6,44.7,31.6,12.8,457.08,-3.8493,-0.7069,1.91,2.5,1.88,0.3009,-0.2655,-0.2383,-0.4877,1.9549,3.0022,2.7816,2.0439,28.9127,7.2617,7.2379,8.4,0.7237,0.6399,0.1081,3.1627,1.3266,1.4153,1.2796,6.4712,12.4452,4.178,4.1903,4.0768,9.7827,1.8829,1.973,1.973,1.9839,1.9698,1.4175,1.4336,1.1564,0.0778,0.0072,0.0252,0.0148,0.0124,0.0181,1.4717,1.5302,1.6403,0.3129,0.0603,0.049,0.0707,0.0492,0.0838,53.4
DOPYUE,89.29,181.83,2.08,4.18,7.13,33.5,21.3,10.2,425.08,-3.1804,0.2445,1.88,2.43,1.88,0.3538,-0.2521,-0.9123,-0.7818,1.613,2.9396,1.8738,1.7738,28.8276,7.2662,8.5516,8.5602,0.6656,0.6667,0.1096,3.161,1.2151,1.3727,1.4201,6.4827,12.3908,4.1065,4.1695,4.1148,9.7727,1.8878,1.9688,1.9694,1.9834,1.9633,1.4435,1.7401,1.7476,0.4262,0.1302,0.0872,0.047,0.1129,0.0489,1.432,1.656,1.7389,0.4028,0.0955,0.1074,0.051,0.1133,0.0355,44
KOJCAQ,80.45,171.41,2.91,9.53,10.18,28.9,24.3,19,713.34,-3.6293,-1.5299,1.87,2.54,1.85,0.3811,-0.2569,-0.6742,-0.4853,1.6094,2.9493,1.8767,2.1608,28.8271,7.2658,8.6089,8.4171,0.6915,0.6775,0.11,3.1595,1.2206,1.3967,1.3969,6.4788,12.3658,4.114,4.0935,4.1583,9.7743,1.9564,1.9174,1.9452,1.9835,1.9718,1.6633,1.4272,1.6893,0.3897,0.0922,0.0554,0.0888,0.0593,0.0939,1.5378,1.5404,1.5717,0.2924,0.0476,0.0644,0.0592,0.0486,0.0726,46
