Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
HANNUF,79.65,30.8,-3.4435,-0.404,2.59,0.3637,-0.2581,-0.796,1.6173,2.949,28.8293,7.2473,0.6859,3.1589,6.4937,9.7658,1.9206,46.8
XATWUK,79.75,29,-3.5616,-0.4619,2.56,0.3576,-0.257,-0.7913,1.6333,2.9411,28.8623,7.2636,0.6833,3.1607,6.4958,9.7689,1.8876,49
FAYPAX,78.58,34,-3.4636,-1.0044,2.55,0.3956,-0.2544,-0.7378,1.6779,3.0356,28.8473,7.2333,0.6996,3.1571,6.4662,9.765,1.8777,57.7
CIMSUP,54.99,28.8,-4.0405,-2.0709,2.68,0.2967,-0.2779,-0.1439,1.7052,2.9411,28.8698,7.3024,0.6906,3.1659,6.549,9.7882,1.9172,44
RIZYAD,80.34,35,-3.677,-1.3749,2.57,0.4,-0.2568,-0.7646,1.7124,2.9564,28.8186,7.2623,0.6903,3.1588,6.4609,9.7725,1.9576,42.9
ZOWJEA,79.46,41,-4.2997,-3.2468,2.6,0.5228,-0.1963,-0.5523,2.3904,3.0249,28.7816,7.1398,0.5352,3.1615,6.2717,9.742,1.9766,20.9
ZEPFAE,80.1,28.9,-3.5879,-1.2615,2.56,0.3568,-0.2577,-0.7923,1.6249,2.939,28.8534,7.2649,0.6799,3.1606,6.4963,9.7694,1.8806,48.6
NALCYS17,75.05,44.7,-3.8493,-0.7069,2.5,0.3009,-0.2655,-0.2383,1.9549,3.0022,28.9127,7.2617,0.7237,3.1627,6.4712,9.7827,1.8829,53.4
DOPYUE,89.29,33.5,-3.1804,0.2445,2.43,0.3538,-0.2521,-0.9123,1.613,2.9396,28.8276,7.2662,0.6656,3.161,6.4827,9.7727,1.8878,44
KOJCAQ,80.45,28.9,-3.6293,-1.5299,2.54,0.3811,-0.2569,-0.6742,1.6094,2.9493,28.8271,7.2658,0.6915,3.1595,6.4788,9.7743,1.9564,46
DIYTIQ,80.71,30.7,-3.5599,-1.357,2.56,0.3725,-0.2564,-0.7861,1.6438,2.9381,28.8324,7.2597,0.6796,3.1595,6.4823,9.7712,1.9622,44
BABFUI,79.43,26.8,-4.3513,-3.2374,2.55,0.4269,-0.2667,-0.5536,1.6727,2.9838,28.6899,7.2942,0.732,3.1621,6.4419,9.7758,1.9643,42.9
ENUXAN,80.15,31.5,-3.6139,-0.6969,2.52,0.3724,-0.2573,-0.8098,1.6215,2.9454,28.8358,7.2669,0.6853,3.1605,6.482,9.7726,1.8849,44.7
ETYTAC,55.91,44.8,-3.1385,-1.2738,2.57,0.4294,-0.1564,-0.6112,1.8579,3.1446,28.8202,7.2394,0.5975,3.1577,6.3158,9.8154,1.9689,48.8
JIGDAE,81.97,29.4,-4.1752,-2.4389,2.56,0.3634,-0.2244,-0.0472,2.2052,2.9888,28.8698,7.1873,0.5691,3.1677,6.3511,9.7935,1.9525,30.1
KEVSUB,80.71,31.2,-3.6272,-0.7358,2.52,0.3712,-0.2568,-0.8093,1.6056,2.9448,28.838,7.2702,0.6896,3.1602,6.483,9.7734,1.8749,47.6
WIJQUE,77.11,33.8,-5.4852,-2.8407,2.55,0.355,-0.1734,-0.0865,1.6679,3.1851,28.7053,7.2634,0.6508,3.1566,6.454,9.8157,1.9692,51.6
XEZLET,61.1,28.6,-3.9449,-1.6354,2.43,0.2886,-0.2773,-0.1753,1.6711,2.9762,28.8101,7.3029,0.7235,3.1653,6.5144,9.8043,1.9444,35.4
RUPFIU,74.55,42.1,-3.5597,-1.1238,2.49,0.3439,-0.2641,-0.1696,1.7579,2.9758,28.8923,7.2645,0.7154,3.1644,6.4736,9.7813,1.8849,43.5
RELJOH,79.44,30.4,-3.5174,-0.4146,2.53,0.3724,-0.2576,-0.7818,1.6275,2.9426,28.8533,7.2629,0.6856,3.1605,6.4847,9.7733,1.8776,45.6
LIQHOK,79.96,29.2,-4.1747,-1.7833,2.57,0.3465,-0.2666,-0.1145,1.6849,2.9684,28.8172,7.3063,0.7316,3.1636,6.4752,9.8003,1.9213,41.9
MAYDEY,79.45,31.6,-3.3846,-0.8784,2.5,0.3639,-0.2551,-0.7833,1.6717,2.9949,28.9153,7.2705,0.7089,3.1581,6.4811,9.7713,1.8694,46.8
YEHVUE,81.38,31.6,-3.4131,0.3136,2.49,0.3534,-0.2568,-0.8283,1.6342,2.9308,28.8468,7.2615,0.6692,3.1608,6.4907,9.7699,1.903,46.1
AYUTOE,82.72,42.8,-4.1411,-3.0019,2.4,0.4676,-0.2131,-0.553,2.3641,2.9732,28.8014,7.1501,0.5136,3.168,6.2696,9.776,1.9496,21.8
KIGNIZ,56.31,26.7,-3.6538,0.3503,2.62,0.2709,-0.2747,-0.2672,1.5795,2.9226,28.8501,7.2935,0.6594,3.1682,6.5625,9.792,1.9274,45.8
VUXCOG,77.32,30.1,-3.713,-1.5051,2.51,0.3042,-0.2655,-0.1766,1.6539,2.9415,28.8617,7.2985,0.6909,3.1661,6.5076,9.8009,1.9098,44.4
NABGIJ,81.83,31.9,-3.3238,0.3601,2.48,0.3511,-0.2567,-0.8334,1.6472,2.9351,28.8482,7.2684,0.6628,3.1613,6.4891,9.7711,1.904,47.8
WOQGUH,84.87,59.9,-4.8516,-2.2787,2.4,0.55,-0.1594,-0.5057,3.2449,3.1472,29.2707,6.9918,0.6676,3.1381,6.2079,9.7165,1.992,17.2
JOXKOY,81.4,29.3,-3.4141,0.2917,2.46,0.3411,-0.2557,-0.8431,1.6294,2.937,28.8582,7.2605,0.6667,3.1601,6.4933,9.769,1.8743,44.9
