Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-4.4131,-1.5043,1.94,1.97,1.91,-0.1023,0.0471,0.106,0.0445,1.7696,3.0546,2.0223,1.982,28.9714,7.2223,8.503,8.457,0.7522,0.3905,0.4231,2.9904,1.2073,1.228,1.2773,6.3765,12.461,4.1737,4.1118,4.1755,10.2645,2.0203,2.0638,2.0509,2.0605,2.069,1.5001,1.5543,0.079,0.0162,0.0116,0.022,0.0104,1.4515,1.537,1.5356,0.0718,0.0212,0.0148,0.0086,0.016,43.7
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-4.8826,-0.8849,1.94,1.99,1.92,-0.0813,0.0619,0.0366,0.115,1.9264,3.1249,2.0242,3.119,29.0652,7.1601,8.5243,7.1307,0.7478,0.5699,0.4252,2.9891,1.2862,1.149,1.2659,6.3775,12.4899,4.1575,4.1829,4.1495,10.2137,2.0376,2.0237,2.0561,2.0562,2.0402,1.5281,1.5361,0.0742,0.0193,0.0127,0.0138,0.0135,1.0965,1.2902,1.1512,0.2932,0.0591,0.0508,0.0646,0.065,34.2
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-4.5908,-1.3363,1.96,2.02,1.91,-0.1194,0.0483,0.058,0.1187,1.743,3.0627,1.9967,2.024,28.9603,7.2397,8.4332,8.4696,0.7494,0.4721,0.3149,2.9905,1.1811,1.2374,1.2934,6.3773,12.45,4.0615,4.1952,4.1934,10.2918,2.0381,2.0499,2.0537,2.031,2.1191,1.4661,1.5769,0.0731,0.0202,0.0138,0.0121,0.0142,1.4713,1.4506,1.5336,0.075,0.0233,0.0121,0.0077,0.0222,29.5
ABEZEP,109.32,208.18,2.27,8.68,8.16,40.1,28.8,19.4,621.68,-3.9482,0.6551,1.97,2.04,1.96,-0.1655,0.0586,-0.0153,-0.006,1.7909,3.0194,1.9015,1.9461,28.9971,7.2296,8.588,8.5676,0.6828,0.4685,0.4055,2.9934,1.2319,1.2653,1.204,6.3626,12.4645,4.166,4.1642,4.1343,10.3381,2.0424,2.0571,2.0899,2.0741,2.0746,1.4854,1.5548,0.0713,0.0133,0.0172,0.0141,0.0133,1.5191,1.6376,1.4071,0.0689,0.0044,0.0187,0.0186,0.0083,20.8
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-4.8213,-2.5871,1.98,2,1.97,0.0123,0.0935,0.1505,0.1473,2.2193,2.9348,2.0956,2.0747,28.8747,7.2122,8.3831,8.4026,0.5475,0.4648,0.3836,2.9947,1.2969,1.1662,1.2053,6.3139,12.416,4.1685,4.1498,4.0978,10.2575,2.0635,2.0601,2.0339,2.0774,2.0226,1.5271,1.4837,0.0793,0.0147,0.0129,0.0232,0.0098,1.36,1.5367,1.5266,0.079,0.0125,0.0143,0.0224,0.0133,9.3
ABOMOW,80.77,187.18,2.83,7.85,9.79,36.5,27.9,20.3,695.94,-4.5607,-0.5295,1.92,2.23,1.88,-0.1028,0.0401,-0.1062,0.1091,1.7076,3.0835,1.8725,2.0211,29.0699,7.1934,8.6221,8.4545,0.7835,0.6735,0.1871,2.9864,1.1424,1.2848,1.2911,6.445,12.412,4.0589,4.1802,4.1729,10.2454,2.0491,2.0483,2.0314,2.023,2.0936,1.4717,1.6199,0.0701,0.0185,0.0098,0.0163,0.0105,1.4302,1.5275,1.4926,0.0714,0.0142,0.0179,0.0136,0.0121,20.8
ABUJAI01,83.84,184.64,1.52,5.68,7.95,28.7,18.8,12.4,500.59,-4.7327,-2.3172,1.96,1.99,1.88,-0.0456,0.0376,0.121,0.1211,1.7402,3.063,2.0757,2.0771,28.9431,7.2384,8.4479,8.4489,0.7815,0.409,0.4078,2.9902,1.3011,1.2794,1.1391,6.3805,12.4355,4.1531,4.1811,4.1013,10.2293,2.0215,2.0547,2.0416,2.0411,2.0704,1.5921,1.4357,0.0771,0.0089,0.0181,0.018,0.0093,1.4588,1.4745,1.5091,0.0749,0.0153,0.0075,0.0188,0.0098,19.1
ACEGAR,87.61,209.53,1.52,9.22,9.46,48.2,36.9,22.9,726.47,-5.322,-1.9724,2.08,2.1,1.91,-0.1082,0.0623,0.1782,0.2306,1.8155,3.1049,2.0734,2.1659,28.9367,7.1751,8.3735,8.2714,0.7886,0.3157,0.2272,2.9878,1.2401,1.2782,1.185,6.3244,12.4343,4.192,4.1496,4.0927,10.3492,2.074,2.0555,2.0795,2.0735,2.0668,1.5261,1.4322,0.0742,0.0172,0.0147,0.0174,0.0114,1.4048,1.457,1.48,0.0782,0.0218,0.0196,0.0055,0.0256,10.8
ACNAQU01,84.07,181.79,1.54,4.89,9.36,28.3,16.9,10.9,503.05,-5.4926,-3.5591,1.97,2.08,1.84,0.0374,0.0273,0.2061,0.2087,1.8599,3.1197,2.1553,2.1513,28.9176,7.2145,8.3675,8.3489,0.8592,0.4459,0.3615,2.9915,1.3039,1.2844,1.1399,6.3725,12.4043,4.1403,4.1554,4.1085,10.1855,2.0248,2.0568,2.0514,1.9887,2.0639,1.5851,1.4495,0.0806,0.0112,0.0195,0.0177,0.01,1.3758,1.4872,1.4884,0.0753,0.0185,0.0069,0.0169,0.0098,16.7
ACSALA19,62.89,158.86,1.94,5.82,9.26,26.5,19.6,12.2,509.49,-4.8712,-0.9197,2.05,2.12,1.86,-0.0112,0.0349,0.0739,0.0605,1.6607,3.122,1.9516,1.9644,29.0534,7.177,8.5175,8.5036,0.8364,0.4075,0.3377,2.9855,1.168,1.2776,1.2779,6.4344,12.3556,4.1032,4.1268,4.1256,10.2209,2.0131,2.0448,2.0495,2.0424,2.0711,1.5191,1.4618,0.0688,0.0036,0.0155,0.0162,0.0093,1.4486,1.4485,1.5958,0.0675,0.0136,0.0134,0.0175,0.0091,23.6
