Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-4.4131,-1.5043,1.94,1.97,1.91,-0.1023,0.0471,0.106,0.0445,1.7696,3.0546,2.0223,1.982,28.9714,7.2223,8.503,8.457,0.7522,0.3905,0.4231,2.9904,1.2073,1.228,1.2773,6.3765,12.461,4.1737,4.1118,4.1755,10.2645,2.0203,2.0638,2.0509,2.0605,2.069,1.4138,1.5001,0.079,0.0162,0.0116,0.022,0.0104,1.4515,1.537,1.5356,0.0718,0.0212,0.0148,0.0086,0.016,59.9
ABATOO,97.54,216.4,2.7,4.49,10.2,34.9,21.7,11.6,531.87,-4.6497,-0.7378,1.92,1.96,1.93,-0.1244,0.0618,0.0351,0.0495,2.0165,3.1053,2.0183,3.184,29.0898,7.1736,8.5264,6.9885,0.722,0.5822,0.5194,2.9885,1.2692,1.1557,1.2745,6.3727,12.5339,4.1727,4.2383,4.123,10.2175,2.0486,2.0234,2.017,2.0684,2.0602,1.5252,1.522,0.0768,0.019,0.0118,0.016,0.0143,1.0438,1.348,1.1269,0.3381,0.0883,0.0621,0.0525,0.0852,58.3
ABAWAD,97.6,216.44,2.77,5.74,10.62,34.9,22.1,13.1,601.64,-4.649,-0.727,1.92,1.96,1.93,-0.1252,0.0618,0.0348,0.0495,2.0201,3.1058,2.0185,3.1845,29.0921,7.1713,8.5273,6.9878,0.7242,0.5837,0.519,2.9883,1.2793,1.1509,1.2691,6.3728,12.5345,4.1516,4.2385,4.1443,10.2177,2.0286,2.0212,2.0376,2.064,2.0663,1.4909,1.5305,0.0768,0.0189,0.0125,0.0158,0.0133,1.1106,1.3377,1.0707,0.3378,0.0711,0.06,0.0718,0.0703,56.5
ABEJEX01,78.87,218.94,2.9,7.91,9.37,38.1,29,18.4,648.15,-5.2948,-2.0192,2.21,1.96,1.88,-0.0321,0.0406,0.0951,0.1505,1.7702,3.1016,2.9342,2.148,29.0069,7.2062,7.2096,8.4303,0.8284,0.2571,0.4998,2.9863,1.285,1.2759,1.1625,6.4021,12.3949,4.1202,4.1517,4.123,10.2349,2.0381,2.0298,2.0333,2.0626,2.0711,1.1672,1.199,0.2936,0.0425,0.0825,0.0464,0.0682,1.4452,1.4518,1.5387,0.0783,0.0243,0.0107,0.0136,0.014,51.5
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-4.8826,-0.8849,1.94,1.99,1.92,-0.0813,0.0619,0.0366,0.115,1.9264,3.1249,2.0242,3.119,29.0652,7.1601,8.5243,7.1307,0.7478,0.5699,0.4252,2.9891,1.2862,1.149,1.2659,6.3775,12.4899,4.1575,4.1829,4.1495,10.2137,2.0376,2.0237,2.0561,2.0562,2.0402,1.4768,1.5281,0.0742,0.0193,0.0127,0.0138,0.0135,1.0965,1.2902,1.1512,0.2932,0.0591,0.0508,0.0646,0.065,53.8
ABENEB01,93.83,194.92,1.6,4.5,8.64,30,19.4,10.5,461.47,-4.5727,-1.3035,1.98,1.95,1.93,-0.0884,0.0487,0.1274,0.0542,1.6909,3.0472,2.0827,2.0149,28.963,7.2082,8.4136,8.5212,0.7534,0.3276,0.4622,2.9918,1.2785,1.288,1.1461,6.3806,12.4546,4.1377,4.2042,4.1127,10.2529,2.0344,2.0435,2.0536,2.0557,2.0657,1.4735,1.5388,0.0773,0.0227,0.0143,0.0126,0.0147,1.4708,1.5493,1.4999,0.0759,0.0185,0.0151,0.0128,0.0158,47
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-4.5908,-1.3363,1.96,2.02,1.91,-0.1194,0.0483,0.058,0.1187,1.743,3.0627,1.9967,2.024,28.9603,7.2397,8.4332,8.4696,0.7494,0.4721,0.3149,2.9905,1.1811,1.2374,1.2934,6.3773,12.45,4.0615,4.1952,4.1934,10.2918,2.0381,2.0499,2.0537,2.031,2.1191,1.4761,1.4661,0.0731,0.0202,0.0138,0.0121,0.0142,1.4713,1.4506,1.5336,0.075,0.0233,0.0121,0.0077,0.0222,44.4
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-4.8213,-2.5871,1.98,2,1.97,0.0123,0.0935,0.1505,0.1473,2.2193,2.9348,2.0956,2.0747,28.8747,7.2122,8.3831,8.4026,0.5475,0.4648,0.3836,2.9947,1.2969,1.1662,1.2053,6.3139,12.416,4.1685,4.1498,4.0978,10.2575,2.0635,2.0601,2.0339,2.0774,2.0226,1.4083,1.5271,0.0793,0.0147,0.0129,0.0232,0.0098,1.36,1.5367,1.5266,0.079,0.0125,0.0143,0.0224,0.0133,36.6
ABIVUD,82.83,196.96,2.16,9.46,6.28,34.9,25.5,14.5,559.31,-4.5248,-1.9659,2,1.97,1.9,-0.0812,0.0406,0.2371,-0.0026,2.1317,3.0908,3.278,3.0363,29.1901,7.1699,7.1112,7.1795,0.7854,0.4776,0.6141,2.9907,1.2908,1.1852,1.2447,6.3929,12.5065,4.168,4.1637,4.1748,10.1815,2.0434,2.0207,2.0361,2.0396,2.0418,1.0583,1.3403,0.2531,0.0388,0.049,0.0632,0.0358,1.3017,1.0681,1.3017,0.283,0.0732,0.0275,0.056,0.0451,44.8
ABIXAK,102.03,201.86,2.86,7.24,7.5,40.2,30.9,19.7,581.37,-3.1216,0.9168,1.96,2.01,1.92,-0.2391,0.0578,-0.165,-0.1847,1.8516,3.0329,1.7581,1.7412,29.0595,7.1706,8.688,8.6556,0.7106,0.5055,0.4169,2.989,1.1684,1.272,1.2571,6.3925,12.514,4.1244,4.2089,4.1808,10.3324,2.0562,2.0283,2.0949,2.0673,2.0857,1.652,1.4614,0.067,0.0138,0.0074,0.0192,0.0079,1.5858,1.5485,1.5756,0.0687,0.0143,0.0138,0.0163,0.0108,48.9
