Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-2.9789,-2.0261,1.94,1.97,1.91,-0.0777,0.0477,0.1123,0.057,2.0272,3.109,2.0441,2.0188,29.0832,7.1834,8.4871,8.4252,0.8076,0.4663,0.4725,2.9967,1.2055,1.2255,1.272,6.4181,12.4791,4.179,4.1165,4.1836,10.1803,2.0072,2.0438,2.0266,2.0499,2.0529,1.4974,1.5507,0.0809,0.0171,0.0116,0.0219,0.0111,1.4476,1.5325,1.5246,0.0731,0.0207,0.0153,0.009,0.0167,34.4
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-3.448,-1.51,1.94,1.99,1.92,-0.0658,0.0624,0.0517,0.1084,2.1232,3.1713,2.0563,3.1153,29.1868,7.127,8.5033,7.1277,0.7938,0.6346,0.4876,2.9952,1.2803,1.1497,1.262,6.4171,12.5075,4.1626,4.1888,4.1561,10.141,2.0287,2.0066,2.0494,2.0436,2.0127,1.5254,1.527,0.0753,0.019,0.0129,0.0141,0.0143,1.0988,1.2832,1.1551,0.2952,0.0602,0.0509,0.0648,0.0642,26.5
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-3.1448,-1.9509,1.96,2.02,1.91,-0.0995,0.0489,0.0718,0.1271,1.986,3.1187,2.0327,2.0423,29.0597,7.2138,8.3982,8.4529,0.8051,0.5174,0.3689,2.9969,1.1811,1.2333,1.2878,6.4172,12.4673,4.0683,4.2011,4.198,10.2147,2.0357,2.041,2.0243,2.0194,2.0943,1.4609,1.5646,0.0745,0.0199,0.0142,0.0123,0.0149,1.4709,1.4395,1.5308,0.0769,0.0231,0.0126,0.0081,0.0225,24.1
ABEZEP,109.32,208.18,2.27,8.68,8.16,40.1,28.8,19.4,621.68,-2.4477,-0.0271,1.97,2.04,1.96,-0.1673,0.059,0,0.0095,1.9962,3.0742,1.9244,1.959,29.1203,7.2035,8.5697,8.5541,0.7406,0.5221,0.4519,2.9996,1.2276,1.2612,1.2023,6.4063,12.4853,4.1708,4.172,4.1425,10.2755,2.0208,2.0415,2.0798,2.067,2.0664,1.4737,1.551,0.0726,0.0135,0.017,0.0142,0.0138,1.5077,1.6302,1.4041,0.07,0.0045,0.0193,0.0189,0.0085,14.4
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-3.9149,-2.9667,1.98,2,1.97,0.0664,0.103,0.1473,0.1489,2.5044,2.9849,2.0932,2.0804,28.9682,7.1645,8.3715,8.3872,0.589,0.5407,0.4486,2.9988,1.2855,1.1657,1.2027,6.347,12.4333,4.1747,4.1552,4.1034,10.1529,2.0384,2.0238,2.0272,2.0558,2.0077,1.5182,1.4832,0.0801,0.0149,0.0131,0.0228,0.0101,1.3624,1.534,1.522,0.0794,0.0128,0.0145,0.0219,0.0134,6.8
ABOMOW,80.77,187.18,2.83,7.85,9.79,36.5,27.9,20.3,695.94,-3.0687,-1.2104,1.92,2.23,1.88,-0.1141,0.0395,-0.0876,0.1217,1.8264,3.1271,1.8896,2.0354,29.21,7.1572,8.5965,8.4378,0.8241,0.7248,0.218,2.9932,1.144,1.2795,1.2851,6.4931,12.4314,4.0666,4.1868,4.1781,10.1893,2.0444,2.0427,2.0098,2.0142,2.0782,1.4684,1.6055,0.0705,0.0182,0.0099,0.0164,0.0108,1.4267,1.5173,1.4877,0.0724,0.0142,0.0175,0.0138,0.0129,15.3
ABUJAI01,83.84,184.64,1.52,5.68,7.95,28.7,18.8,12.4,500.59,-3.3422,-2.8479,1.96,1.99,1.88,-0.0066,0.0394,0.127,0.1265,2.0264,3.1206,2.0953,2.0945,29.0391,7.2017,8.4268,8.4285,0.837,0.4883,0.4811,2.9969,1.2956,1.2707,1.1424,6.4175,12.4539,4.1596,4.1868,4.1075,10.1349,2.0066,2.0466,2.0392,1.9885,2.054,1.5794,1.439,0.0785,0.0092,0.0181,0.0182,0.0095,1.4608,1.4763,1.4943,0.076,0.0161,0.0078,0.0186,0.0099,13
ACSALA19,62.89,158.86,1.94,5.82,9.26,26.5,19.6,12.2,509.49,-3.2681,-1.6305,2.05,2.12,1.86,-0.0231,0.0351,0.0908,0.0774,1.7665,3.1652,1.9845,1.998,29.2199,7.1329,8.4844,8.4711,0.8743,0.4612,0.3909,2.9923,1.1684,1.2733,1.2713,6.4856,12.3697,4.1063,4.1298,4.1336,10.1675,1.9951,2.0365,2.0409,2.0354,2.0596,1.5078,1.4629,0.0698,0.0039,0.0161,0.0167,0.0093,1.4411,1.4398,1.5887,0.0683,0.0135,0.0136,0.0175,0.0096,17.7
ADAQEC,94.14,197.35,1.58,12.1,8,31.3,22.3,14.3,639.7,-3.002,-1.8793,1.94,1.94,1.92,-0.0649,0.0496,0.1518,0.0558,2.042,3.1038,2.0715,2.0466,29.0928,7.1641,8.4237,8.504,0.806,0.456,0.5603,2.9973,1.2679,1.278,1.1563,6.4196,12.4874,4.1532,4.2054,4.1289,10.1576,2.0389,2.0142,2.0261,2.0162,2.0621,1.4667,1.5186,0.0838,0.0239,0.0141,0.0113,0.0199,1.4997,1.5242,1.4856,0.0765,0.0198,0.0124,0.014,0.0142,14.2
ADUPIY,77.78,169.86,1.86,8.97,9.51,28.7,20.9,14.2,682.01,-4.3302,-2.1776,1.93,2.43,1.88,0.0295,0.0305,0.1133,0.155,1.933,3.1662,3.2027,2.1111,29.279,7.1466,7.0439,8.3875,0.8961,0.7069,0.1769,2.9972,1.2906,1.2264,1.2067,6.4878,12.3882,4.1231,4.1909,4.0742,10.0942,1.9788,2.0471,2.0108,2.0183,2.0392,1.3151,1.0578,0.2904,0.0466,0.0615,0.0585,0.0458,1.4255,1.4605,1.5099,0.0715,0.0231,0.0058,0.0133,0.0112,25.6
