Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-2.9789,-2.0261,1.94,1.97,1.91,-0.0777,0.0477,0.1123,0.057,2.0272,3.109,2.0441,2.0188,29.0832,7.1834,8.4871,8.4252,0.8076,0.4663,0.4725,2.9967,1.2055,1.2255,1.272,6.4181,12.4791,4.179,4.1165,4.1836,10.1803,2.0072,2.0438,2.0266,2.0499,2.0529,1.4073,1.4974,0.0809,0.0171,0.0116,0.0219,0.0111,1.4476,1.5325,1.5246,0.0731,0.0207,0.0153,0.009,0.0167,50.6
ABAWAD,97.6,216.44,2.77,5.74,10.62,34.9,22.1,13.1,601.64,-3.072,-1.3578,1.92,1.96,1.93,-0.1143,0.0623,0.05,0.0398,2.2186,3.1538,2.0526,3.1984,29.2134,7.141,8.5068,6.9752,0.7721,0.6516,0.583,2.9944,1.2735,1.1519,1.2644,6.411,12.5567,4.1582,4.247,4.1514,10.1463,2.0105,2.0053,2.0226,2.0533,2.0547,1.4808,1.53,0.0781,0.0189,0.0127,0.0161,0.0141,1.1148,1.3315,1.0746,0.3398,0.0717,0.0597,0.073,0.0708,50.5
ABEJEX01,78.87,218.94,2.9,7.91,9.37,38.1,29,18.4,648.15,-3.9189,-2.5999,2.21,1.96,1.88,-0.0138,0.0415,0.0901,0.1588,1.973,3.1605,2.9531,2.1763,29.1252,7.1791,7.2024,8.404,0.8777,0.3071,0.5607,2.993,1.2796,1.2699,1.1638,6.4444,12.4103,4.125,4.159,4.1263,10.1588,2.0239,2.0106,2.0181,2.0539,2.0523,1.1625,1.2,0.295,0.0423,0.0824,0.0465,0.0679,1.4381,1.4506,1.5326,0.0798,0.0238,0.0111,0.0141,0.0149,45.4
ABEMEA,93.6,210.49,1.67,6.83,8.71,34.8,24.9,16.6,578.61,-3.448,-1.51,1.94,1.99,1.92,-0.0658,0.0624,0.0517,0.1084,2.1232,3.1713,2.0563,3.1153,29.1868,7.127,8.5033,7.1277,0.7938,0.6346,0.4876,2.9952,1.2803,1.1497,1.262,6.4171,12.5075,4.1626,4.1888,4.1561,10.141,2.0287,2.0066,2.0494,2.0436,2.0127,1.4672,1.5254,0.0753,0.019,0.0129,0.0141,0.0143,1.0988,1.2832,1.1551,0.2952,0.0602,0.0509,0.0648,0.0642,48
ABENEB01,93.83,194.92,1.6,4.5,8.64,30,19.4,10.5,461.47,-3.0224,-1.9219,1.98,1.95,1.93,-0.0805,0.0496,0.1329,0.0676,1.8942,3.0984,2.1121,2.0459,29.0837,7.1689,8.3883,8.5019,0.8052,0.3812,0.5262,2.9981,1.2731,1.2816,1.1474,6.4247,12.474,4.1437,4.2106,4.1196,10.1816,2.0129,2.0313,2.044,2.0408,2.0526,1.4706,1.5366,0.0793,0.0225,0.0148,0.013,0.0157,1.4662,1.5404,1.4933,0.0773,0.0186,0.0148,0.0132,0.0164,40.5
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-3.1448,-1.9509,1.96,2.02,1.91,-0.0995,0.0489,0.0718,0.1271,1.986,3.1187,2.0327,2.0423,29.0597,7.2138,8.3982,8.4529,0.8051,0.5174,0.3689,2.9969,1.1811,1.2333,1.2878,6.4172,12.4673,4.0683,4.2011,4.198,10.2147,2.0357,2.041,2.0243,2.0194,2.0943,1.4728,1.4609,0.0745,0.0199,0.0142,0.0123,0.0149,1.4709,1.4395,1.5308,0.0769,0.0231,0.0126,0.0081,0.0225,38.3
ABIVAL,84.06,187.8,1.52,8.58,7.65,32,23.8,17.9,652.33,-3.9149,-2.9667,1.98,2,1.97,0.0664,0.103,0.1473,0.1489,2.5044,2.9849,2.0932,2.0804,28.9682,7.1645,8.3715,8.3872,0.589,0.5407,0.4486,2.9988,1.2855,1.1657,1.2027,6.347,12.4333,4.1747,4.1552,4.1034,10.1529,2.0384,2.0238,2.0272,2.0558,2.0077,1.4171,1.5182,0.0801,0.0149,0.0131,0.0228,0.0101,1.3624,1.534,1.522,0.0794,0.0128,0.0145,0.0219,0.0134,31.8
ABIXAK,102.03,201.86,2.86,7.24,7.5,40.2,30.9,19.7,581.37,-1.7349,0.1699,1.96,2.01,1.92,-0.2454,0.0561,-0.1459,-0.1642,2.036,3.0746,1.7629,1.7918,29.1957,7.1287,8.6725,8.6308,0.757,0.5569,0.4557,2.995,1.1674,1.268,1.2536,6.4367,12.5389,4.1333,4.2172,4.1885,10.2695,2.0452,2.0088,2.088,2.0613,2.0662,1.64,1.4594,0.0676,0.0139,0.0077,0.0193,0.008,1.5773,1.5371,1.5686,0.069,0.0144,0.0137,0.0163,0.0109,29.1
ABOQOA,54.26,187.42,2.01,6.98,5.96,31.9,26.3,13.8,499.35,-4.0684,-0.618,3.81,1.89,1.89,0.0352,0.0333,0.0973,0.0636,1.7151,3.1511,2.1588,3.0672,29.4196,7.0985,8.3586,7.1379,0.8223,0,0.7955,2.999,1.2713,1.3101,1.139,6.5626,12.3475,4.0856,4.2212,4.0407,10.0545,1.9978,2.0259,2.0404,2.0173,1.9731,1.3911,1.5711,0.0676,0.0082,0.021,0.0137,0.0097,1.1947,1.304,1.1964,0.2272,0.0515,0.0377,0.0438,0.0448,48.6
ABORUE,82.74,237.89,1.91,9.55,7.9,40.2,30.1,20.7,665.73,-3.4152,-1.8817,1.92,2.17,1.92,-0.0993,0.0411,0.0613,0.2402,2.1323,3.053,3.2998,3.1875,29.2434,7.2835,7.0291,7.2542,0.7567,0.7071,0.3979,2.9935,1.1781,1.2847,1.2494,6.4319,12.502,4.1215,4.1723,4.2082,10.1652,2.0182,2.0262,2.0415,2.0239,2.0554,1.2662,1.1371,0.3196,0.056,0.0571,0.0772,0.0446,1.1397,1.288,1.1159,0.2297,0.0311,0.0499,0.0585,0.033,43.3
ABULIT07,97.04,216.05,1.75,6.74,7.95,34.9,22.5,12.7,481.12,-3.0755,-1.296,1.96,1.92,1.93,-0.1121,0.0621,0.0378,0.0705,2.2299,3.1537,3.1999,2.0715,29.224,7.1441,6.9762,8.489,0.7731,0.588,0.6626,2.9947,1.2695,1.1793,1.2413,6.4109,12.5556,4.1624,4.2027,4.1905,10.1454,1.9999,2.0091,2.0552,2.0472,2.0341,1.2324,1.2928,0.3396,0.0467,0.0671,0.0864,0.0617,1.4373,1.5078,1.5538,0.0797,0.0196,0.0147,0.0141,0.0166,52.9
ACDHAL,81.34,213.96,1.77,5.29,6.36,37,24.4,10.6,429.33,-3.2984,-1.94,2.02,2.1,1.92,-0.0852,0.0484,0.1161,0.1586,1.9202,3.125,3.0679,2.1256,29.2132,7.1471,7.2299,8.3439,0.8122,0.6093,0.3057,2.9974,1.2506,1.1892,1.2647,6.4461,12.4392,4.1353,4.2009,4.103,10.1997,2.0305,2.0414,2.0419,2.0524,2.0335,1.1886,1.3006,0.223,0.045,0.0428,0.0457,0.0396,1.4073,1.5032,1.491,0.0754,0.0169,0.0092,0.0181,0.0108,45.3
