Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu_L1,Cu_L2,D_Cu_L1,D_Cu_L2,Cu_I,Cu_I_C,I_C_Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
NAXLUV,70.64,10.1,184.05,3.02,9.92,8.02,30.4,25.5,18.4,717.56,-4.434,-2.777,1.98,2.57,0,-0.5,2.51,47.12,70.37,0.359,-0.1656,0.1615,-0.6279,-0.0602,2.9646,3.8205,1.3625,2.0745,2.9114,29.1093,5.8578,25.1199,8.4289,7.019,0.7464,0.4638,0.1008,2.9125,0.9937,1.0406,1.124,3.3064,3.7941,3.844,10.1446,2.0512,2.0308,2.014,2.04,2.0086,6.2903,12.5922,4.2369,4.2109,4.1445,9.7585,1.9914,2.0113,1.9837,1.8934,1.8786,1.544,1.4869,1.6492,0.449,0.0755,0.061,1.2413,1.198,1.3123,0.1136,0.0217,0.0174,-111.18,25.3
ZOWJEA,74.08,7.98,180.67,3.53,8.45,9.36,33.6,30.8,21.7,700.76,-4.5035,-3.5348,1.98,2.7,-0.07,-0.4,2.52,46.95,68.94,0.3684,-0.1598,0.1591,-0.5362,-0.1361,2.7541,3.7714,1.3532,2.0536,2.8727,29.0083,5.8117,25.1059,8.3482,7.0177,0.7388,0.4454,0.1011,2.9166,0.9757,1.0466,1.1288,3.2289,3.8067,3.9016,10.1381,2.046,2.0219,2.0088,2.0494,2.0119,6.3261,12.5761,4.2742,4.2044,4.0975,9.7294,2.0038,1.9855,1.9512,1.8567,1.9322,1.4404,1.5152,1.6543,0.4283,0.0446,0.058,1.1955,1.4358,1.3037,0.0989,0.023,0.0217,-155.92,0
VOHJOU,68.87,10.48,195.21,3.53,9.8,8.06,30.8,28.1,21,755.6,-4.4989,-2.8918,2.04,2.64,-0.02,-0.54,2.53,46.86,69.62,0.3651,-0.1503,0.137,-0.6683,-0.0627,2.9837,3.7094,1.3199,2.0668,3.0039,29.1609,5.7408,25.1361,8.4694,7.0164,0.7362,0.3891,0.1021,2.9169,1.0002,1.0265,1.1146,3.3293,3.7721,3.8635,10.1311,2.0496,2.0266,2.0127,2.0342,2.0081,6.2986,12.5909,4.2492,4.2015,4.1402,9.7453,1.9661,1.9953,1.9834,1.8999,1.9007,1.5104,1.5075,1.6735,0.4719,0.0679,0.07,1.2667,1.2301,1.2517,0.1141,0.0263,0.0122,-133.54,13.4
XUMXAE,75.47,7.2,179.24,1.98,7.17,8.15,28,22.2,15.8,620.34,-4.3608,-2.432,2,2.51,0,-0.36,2.52,47.16,71.25,0.3755,-0.1745,0.1444,-0.5994,-0.1507,2.8945,3.694,1.3533,2.0054,2.8299,29.0757,5.7661,25.1265,8.446,7.1319,0.714,0.4586,0.1028,2.911,0.9848,1.0562,1.1272,3.2246,3.8286,3.901,10.1541,2.0486,2.0246,2.0114,2.0591,2.0104,6.278,12.5751,4.2145,4.2104,4.1502,9.7715,1.9949,2.0107,1.9537,1.8994,1.9128,1.5572,1.4929,1.6523,0.3861,0.0526,0.0548,1.3869,1.2759,1.1551,0.1057,0.0201,0.0119,-78.94,32.8
CISPOJ,73.48,8.39,165.14,1.52,6.77,9.89,28.4,20.9,12.3,640.95,-4.4265,-3.7334,1.98,2.59,0.01,-0.55,2.51,47.38,69.79,0.2564,-0.1641,0.1075,-0.1081,-0.0632,3.0126,3.9438,1.3376,3.1411,2.7784,29.1251,5.8848,25.1331,6.9924,7.0374,0.7293,0.4692,0.1031,2.9169,1.0088,1.0504,1.0955,3.3719,3.8352,3.7816,10.1458,2.0407,2.0401,2.0166,2.0357,2.0126,6.32,12.6526,4.231,4.2484,4.1733,9.771,2.0071,2.0242,1.9419,1.8994,1.8984,1.2988,1.3768,1.1213,0.1178,0.0212,0.0115,1.1743,1.2245,1.3151,0.1155,0.0179,0.014,-145.99,29.1
OCINIY,80.63,-10.5,165.72,1.92,7.23,12.27,26.5,17.5,10.9,719.7,-4.3542,-2.662,2.09,2.49,0.97,-0.59,2.51,46.73,69.26,0.3506,-0.1511,0.1215,-0.5481,-0.0923,2.9563,3.8655,1.3329,2.1118,2.96,29.1267,5.8541,25.1321,8.3993,6.9553,0.7692,0.3594,0.1034,2.9136,1.007,1.0389,1.0983,3.3847,3.8187,3.7781,10.1348,2.0395,2.0368,2.0179,2.0316,2.009,6.2983,12.5907,4.2311,4.1954,4.1641,9.7604,1.999,2.0117,1.9578,1.8987,1.8932,1.4986,1.5579,1.593,0.3783,0.0559,0.0475,1.1789,1.4218,1.1421,0.1209,0.022,0.0133,-124.69,30.2
SUSQOO,70.15,8.28,187.71,1.58,11.25,6.66,26.7,22,15.5,685.48,-4.6837,-2.9667,2.15,2.57,-0.21,-0.24,2.5,46.5,69.83,0.3457,-0.1636,0.1458,-0.5673,-0.1052,3.0339,3.8426,1.3963,1.9374,2.8725,29.1863,5.827,25.1071,8.4062,7.0549,0.7481,0.3134,0.1035,2.9122,1.1175,1.0684,0.9714,3.8911,3.7731,3.2877,10.1507,2.0153,2.0259,2.0335,2.0184,2.0577,6.2852,12.611,4.1745,4.226,4.2105,9.758,1.9203,1.9879,1.9203,1.999,1.9305,1.5021,1.479,1.6683,0.3928,0.0479,0.0521,1.2699,1.3573,1.1534,0.1123,0.0183,0.014,-100.3,32.2
QODYAJ,79.71,2.68,171.9,1.83,6.73,7.21,28.6,22.6,15.2,610.19,-4.7103,-2.7472,1.91,2.45,0.1,-0.41,2.53,46.59,70.97,0.3352,-0.1916,0.1602,-0.627,-0.034,2.8705,3.7241,1.3511,1.933,2.9374,29.035,5.8302,25.0844,8.5042,6.7902,0.7118,0.6154,0.1064,2.916,0.9881,1.0504,1.1428,3.2201,3.7936,3.9286,10.1383,2.0594,2.0212,2.0067,2.0435,2.0073,6.2996,12.6112,4.257,4.2206,4.1336,9.7539,1.9941,1.9926,1.9792,1.8859,1.9021,1.6287,1.4672,1.6275,0.4236,0.0495,0.0799,1.159,1.449,1.0974,0.123,0.0246,0.0158,-96.14,28.7
SEZREV,71,10.17,183.02,2.95,9.23,7.32,30.1,25.4,17.8,674.57,-4.5175,-2.7615,2,2.58,0,-0.5,2.49,46.72,68.92,0.355,-0.155,0.1443,-0.6047,-0.089,2.9988,3.7413,1.3592,2.0641,2.9243,29.1198,5.8052,25.1227,8.4075,7.0481,0.7762,0.4402,0.1068,2.9129,1.0045,1.058,1.0856,3.3731,3.7333,3.854,10.1412,2.0456,2.0337,2.0168,2.0349,2.0102,6.2968,12.6001,4.2559,4.1685,4.1757,9.748,1.9252,1.9651,1.9222,1.9529,1.9825,1.4911,1.4624,1.7197,0.4297,0.0935,0.1,1.4514,1.2168,1.1022,0.1118,0.043,0.0133,-119.69,25.6
KUTDOU,83.83,-13.05,170.12,1.89,7.97,8.59,27.4,18.6,13,663.85,-4.2646,-2.4583,2.05,2.49,1.09,-0.57,2.52,47.09,70.7,0.3631,-0.168,0.1331,-0.5899,-0.1644,2.9364,3.9298,1.3358,2.0927,2.9444,29.1119,5.8879,25.1399,8.4171,6.9964,0.7452,0.4177,0.1074,2.913,0.9895,1.0577,1.1132,3.2785,3.8292,3.8635,10.143,2.0455,2.0358,2.0112,2.0432,2.0073,6.2911,12.5814,4.2391,4.1915,4.1508,9.7644,2.0089,2.0045,1.9329,1.8793,1.9389,1.547,1.5163,1.6246,0.3815,0.0485,0.0463,1.2109,1.442,1.2018,0.0918,0.0178,0.0092,-103.41,33.7
