Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
IWAYUB,71.87,8.9,203.81,3.52,-4.6262,-2.917,0.2815,-0.1419,1.3245,3.2419,5.7719,7.0174,0.1002,1.0156,10.1401,6.328,12.6451,9.7454,1.3473,1.2672,1.2697,0.0874,1.1769,0.0164,28.5
DOKXUW,69.3,10.89,184.69,2.06,-4.2937,-2.5473,0.3592,-0.1645,1.3361,2.0308,5.8415,7.0468,0.1004,1.0094,10.1438,6.2992,12.5831,9.7585,1.5016,1.5188,1.661,0.4023,1.2011,0.0125,24.4
LIKYOV,77.19,4.36,165.36,1.7,-4.3727,-2.9817,0.2616,-0.1616,1.3383,3.1055,5.8676,6.977,0.1009,0.9979,10.1447,6.3185,12.6398,9.7801,1.2959,1.3487,1.1193,0.122,1.3459,0.0147,23.5
ROGVAN,71.82,9.18,207.53,2.08,-4.0659,-2.5849,0.2773,-0.1835,1.3346,3.0127,5.8808,6.9739,0.1015,0.9904,10.1575,6.3251,12.6194,9.7781,1.3378,1.397,1.1502,0.1165,1.2058,0.0137,39.2
MILFAP,83.64,-13.02,169.6,1.63,-4.1815,-2.3697,0.3632,-0.1726,1.3348,2.0886,5.889,7.0469,0.1016,0.9971,10.1487,6.2874,12.5771,9.7723,1.5524,1.5342,1.6055,0.3792,1.4325,0.0097,34.6
EGAREM,69.98,10.87,192.47,2.38,-4.4014,-2.6654,0.3614,-0.1587,1.3292,2.0575,5.8162,7.0334,0.1019,0.9991,10.1385,6.2982,12.5879,9.7526,1.5053,1.5106,1.6515,0.4259,1.2079,0.0122,22.4
LAJVOJ,71.08,10.08,189.46,2.1,-4.3598,-2.9964,0.3618,-0.1614,1.3254,2.034,5.7958,6.9948,0.102,0.9934,10.1396,6.2973,12.5848,9.7561,1.5081,1.5047,1.6564,0.4209,1.2426,0.0122,13.3
XORNEY,77.28,6.49,163.28,3.21,-4.3208,-3.3158,0.3906,-0.1519,1.3422,2.0646,5.8938,8.3523,0.1021,0.9909,10.1396,6.2852,12.5697,9.7545,1.4828,1.5261,1.614,0.3708,1.4937,0.0458,1
JARCUD,75.41,5.85,165.14,2.25,-4.3685,-2.6622,0.3582,-0.1549,1.3284,2.0669,5.8109,6.8856,0.1023,1.0059,10.1356,6.2908,12.5976,9.7534,1.5012,1.507,1.6115,0.4029,1.4474,0.0126,5.5
MESXOX,78.62,-0.89,193.23,2.8,-3.5397,-1.9243,0.3177,-0.2177,1.3666,1.7833,6.0846,7.2791,0.1023,1.0404,10.1767,6.3132,12.5601,9.8089,1.7795,1.4103,1.6827,0.4629,1.4596,0.0227,17
