Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,Cu-I-C,N-Cu-I,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
UDEGUH,85.96,5.37,21.2,-4.5604,-2.4444,1.75,2.48,0.16,-0.42,2.39,89.16,64.44,0.2225,-0.5419,-0.4369,3.2373,2.8291,1.5156,29.3841,7.1673,25.067,8.3334,0.7485,0,0.8471,1.6578,3.1998,3.5542,3.4827,2.0162,2.0284,6.2434,9.6861,1.6085,0.3231,0.036,2.7712,3.4805,-366.61,1.28,128.82,24.2
BENQIX,74.08,4.96,15.2,-4.1605,-2.9166,1.97,2.46,0.04,-0.3,2.35,85.21,64.18,0.1674,-0.5399,-0.3382,2.056,2.7904,1.5389,28.8274,7.1686,25.1028,8.4894,0.7614,0,0.4247,1.5936,3.1965,3.5474,3.7291,2.0203,2.029,6.3038,9.8659,1.5124,0.058,0.0197,2.7737,3.5114,-367.88,1.27,127.71,25.3
WAFMIB,75.16,3.84,14.9,-4.0907,-2.6669,1.94,2.4,0.03,-0.21,2.34,84.94,62.57,0.1619,-0.6243,-0.3585,2.138,2.7613,1.4977,28.8076,7.1703,25.1177,8.4867,0.7746,0,0.5187,1.5669,3.1955,3.5121,3.7094,2.0221,2.0245,6.2978,9.8402,1.4882,0.0599,0.0216,2.773,3.5087,-367.18,1.26,128.05,28.2
KAKTUN,74.65,3.03,18,-3.9418,-2.5805,1.99,2.38,0.04,-0.24,2.35,83.92,63.71,0.1463,-0.569,-0.3536,1.9651,2.734,1.452,28.7619,7.1593,25.1561,8.492,0.7811,0,0.3999,1.5535,3.1953,3.7026,3.7765,2.0406,2.0274,6.2942,9.8678,1.5548,0.0585,0.0087,2.7746,3.5032,-375.09,1.26,128.42,26.1
GAMLOY,81.01,-5.77,16.1,-4.4015,-3.5675,1.83,2.5,0,0.26,2.33,83.05,63.57,0.2086,-0.5244,-0.0331,2.321,2.7622,1.5317,28.7688,7.1773,25.0827,8.4631,0.7667,0,0.5222,1.596,3.1978,3.8578,3.5137,2.0548,2.0282,6.2787,9.8064,1.5496,0.1208,0.0194,2.7736,3.4972,-363.28,1.27,128.46,27.5
AMXPRI10,85.89,2.87,16.3,-4.2014,-3.0053,1.91,2.41,0.04,-0.23,2.36,86.65,64.06,0.1437,-0.5851,-0.3503,2.1982,2.7491,1.4539,28.794,7.1633,25.1471,8.4973,0.776,0,0.5344,1.5659,3.1969,3.7825,3.6115,2.0513,2.0224,6.2866,9.833,1.5561,0.0598,0.0116,2.775,3.5024,-370.49,1.27,127.94,26.3
BEXTUW,75.37,2.77,12.7,-4.0125,-2.357,1.98,2.28,0,-0.13,2.33,83.94,62.37,0.1473,-0.6271,-0.3482,2.1098,2.7516,1.4755,28.8114,7.1684,25.1336,8.4854,0.7786,0,0.4633,1.5596,3.1942,3.6594,3.6999,2.0263,2.0353,6.2973,9.858,1.5602,0.0616,0.0199,2.7726,3.509,-366.27,1.26,128.05,29
WIZDOB,76.99,1.26,21.2,-3.8835,-2.0678,2.03,2.34,-0.04,-0.08,2.33,83.83,62.33,0.1103,-0.6319,-0.3251,1.9313,2.7754,1.4013,28.796,7.1588,25.1902,8.5294,0.8,0,0.4493,1.5792,3.1909,3.8552,3.6049,2.0583,2.0284,6.2961,9.8815,1.5271,0.0804,0.0054,2.772,3.505,-388.86,1.26,128.22,39.8
JUPKUD,76.52,1.53,11.9,-3.9267,-2.739,1.99,2.34,-0.02,-0.08,2.33,85.04,63.05,0.1397,-0.6039,-0.3243,2.0385,2.7719,1.4744,28.8131,7.1769,25.1518,8.5022,0.7753,0,0.4562,1.5593,3.194,3.5689,3.6489,2.0309,2.0225,6.2982,9.871,1.5388,0.0797,0.0105,2.7741,3.5099,-370.68,1.26,128.07,39
TITDAE,71.15,6.88,15.8,-4.2778,-3.5732,2.12,2.38,-0.07,-0.28,2.37,88.77,65.46,0.1659,-0.0234,0.1532,2.4574,2.7993,1.5194,28.9444,7.1669,25.1166,8.4424,0.7454,0,0.3563,1.6023,3.1955,3.6357,3.5995,2.0341,2.0185,6.3079,9.8352,1.3599,0.1274,0.0245,2.7736,3.5068,-379.23,1.27,128.19,29.7
