Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PX_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,Cu-O,C-I,N-Cu-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Lowdin_Charge_Amide_C,Lowdin_Charge_Amide_O,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Bonded_Valence_Amide_C,Bonded_Valence_Amide_O,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Atomic_Population_Amide_C,Atomic_Population_Amide_O,Bond_Order_Cu-I,Bond_Order_Cu-C,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Bond_Order_Amide_C-O,Bond_Order_Amide_C-N,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_p,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dxy,Orbital_Charge_L2_dz2,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_C_p,Orbital_Charge_Amide_C_pz,Orbital_Charge_Amide_C_px,Orbital_Charge_Amide_C_py,Orbital_Charge_Amide_O_s,Orbital_Charge_Amide_O_p,Orbital_Charge_Amide_O_pz,Orbital_Charge_Amide_O_px,Orbital_Charge_Amide_O_py,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
NEJTOO,76.25,5.3,170.24,2.24,9.44,7,32.2,23.2,14.3,678.79,-4.0144,-2.6131,1.96,2.47,0.06,-0.3,2.58,3.25,1.91,2.33,62.76,82.56,89.22,74.48,0.3718,-0.1871,-0.0628,0.1504,-0.5594,-0.3541,0.223,-0.661,1.936,2.7312,3.633,1.4272,2.034,2.9479,4.017,2.0215,28.7628,7.1702,5.8127,25.1481,8.5363,7.6098,5.7121,8.4751,0.5449,0,0.8102,0,0.4175,0.1017,1.3863,1.5647,2.9255,0.8956,1.0464,1.0952,3.1945,3.9128,1.3201,1.3914,1.2013,3.7427,3.6555,3.5951,3.6925,10.1638,2.0395,2.0263,2.0482,2.025,2.0247,6.3014,12.4628,4.069,4.21,4.1837,9.864,1.9729,1.9773,1.9721,1.9536,1.9881,1.5511,1.6748,1.4368,0.4133,0.0647,0.0838,0.0879,1.243,1.3479,1.5107,0.0591,0.0114,0.0069,0.015,2.7735,2.7666,0.8602,0.941,0.9653,3.5011,4.7646,1.638,1.687,1.4396,-364.92,1.26,128.52,27.6
IBOHIT,79.86,0.11,174.09,1.62,6.87,7.66,27.3,18.9,11.3,556.51,-4.8109,-3.8721,1.8,2.61,0.03,-0.05,2.46,3.07,2.95,2.63,94.03,74.23,85.34,96.54,0.3394,-0.1549,0.0082,0.0159,-0.5459,-0.0796,0.2349,-0.5889,2.3517,2.7257,3.7737,1.4521,2.2135,2.923,3.8749,2.0024,28.7615,7.2266,5.9796,25.1633,8.4649,6.9569,5.6882,8.4099,0.6905,0,0.5969,0.4828,0.6802,0.102,1.8236,1.1531,2.9349,1.0222,0.9231,1.0247,3.2043,3.8714,1.3598,1.2547,1.257,3.7825,3.6637,3.7064,3.7192,10.1123,2.0293,2.0251,2.0183,2.0212,2.0185,6.3351,12.5529,4.214,4.0875,4.2514,9.7726,1.9689,1.8714,1.9855,1.9864,1.9604,1.6658,1.5091,1.4749,0.4178,0.0649,0.1011,0.0513,1.1297,1.1978,1.3956,0.1147,0.0269,0.0177,0.0198,2.7864,2.7409,1.006,0.8623,0.8726,3.5473,4.6936,1.6931,1.5272,1.4732,-398.21,1.23,123.49,32.6
DUQGUT,87.9,3.65,197.15,1.92,5.21,7.25,33.7,24.7,12.2,556.16,-4.2905,-2.7458,1.89,2.45,-0.01,-0.14,2.54,3.26,2.87,2.55,88.44,79.64,86.97,104.45,0.1578,-0.1939,-0.0214,-0.0216,-0.1205,-0.1048,0.2093,-0.5834,2.1902,2.7095,3.6904,1.3494,3.2166,3.029,3.9867,2.0685,28.8361,7.2585,5.91,25.2491,6.9989,7.253,5.7357,8.4026,0.6011,0,0.6666,0.4204,0.6408,0.1048,1.9432,1.1757,2.9341,0.9988,1.1077,0.8917,3.2174,3.8976,1.3292,1.2432,1.3252,3.7852,3.5609,3.9093,3.6406,10.1256,2.0146,2.0508,2.0137,2.0292,2.0174,6.3987,12.5951,4.2136,4.1074,4.274,9.8485,1.9817,1.9852,1.9591,1.9656,1.957,1.285,1.1508,1.3787,0.1227,0.0191,0.0398,0.0123,1.3445,1.3169,1.1907,0.1229,0.0191,0.0348,0.0171,2.793,2.7578,1.0198,0.9681,0.7698,3.5562,4.7217,1.6039,1.6614,1.4564,-405.61,1.23,124.77,32.8
JAYCES02,69.78,16.43,231.07,3.05,8.98,6.2,56.4,45.9,25.6,759.9,-2.9251,-1.868,2.02,2.5,-0.05,-0.57,2.6,3.44,2.09,2.34,59.3,88.33,92.51,72.07,0.3291,-0.2048,-0.0754,0.1272,-0.1197,-0.828,0.2227,-0.7062,2.2701,2.7165,3.9849,1.3249,3.1168,1.976,4.0314,1.8917,28.8862,7.1431,5.9617,25.2424,7.207,8.1585,5.7564,8.4394,0.5441,0,0.7907,0,0.4585,0.105,1.4522,1.5412,2.9296,0.9836,0.9766,1.0856,3.2078,3.9176,1.3485,1.3786,1.1905,3.7338,3.7406,3.615,3.6057,10.1777,2.0215,2.0388,2.0499,2.0432,2.0241,6.2903,12.515,4.1709,4.1472,4.1969,9.8655,1.9828,1.9671,1.9678,1.9755,1.9724,1.3602,1.1942,1.3584,0.0822,0.0148,0.027,0.0082,1.5609,1.5748,1.5469,0.6889,0.1422,0.1359,0.117,2.7786,2.7618,0.993,0.8355,0.9333,3.5239,4.7524,1.7584,1.5362,1.4578,-353.51,1.26,127.57,43.1
SANWUA,72.38,5.73,179.09,1.93,9.08,6.89,33.3,25,15.7,662.79,-4.1967,-2.5121,1.94,2.48,0.05,-0.3,2.59,3.23,1.91,2.33,62.49,82.04,89.1,74.02,0.391,-0.1854,-0.0637,0.1756,-0.6712,-0.3282,0.2246,-0.6629,2.0045,2.7442,3.5869,1.4415,2.0568,3.006,4.0229,2.0236,28.7766,7.1744,5.7796,25.1319,8.584,7.5766,5.7108,8.4717,0.5489,0,0.7952,0,0.4548,0.11,1.385,1.5708,2.9248,0.8924,1.0346,1.1114,3.1941,3.9113,1.308,1.4114,1.1919,3.7408,3.6843,3.5322,3.7047,10.1624,2.0444,2.0222,2.0461,2.0218,2.0278,6.3059,12.4576,4.0672,4.204,4.1864,9.8454,1.978,1.9792,1.953,1.9521,1.9832,1.4983,1.7543,1.4643,0.4535,0.0892,0.0749,0.106,1.2269,1.3149,1.5341,0.0591,0.0107,0.0031,0.0177,2.7729,2.7661,0.8796,0.9274,0.9591,3.5002,4.7653,1.6515,1.6698,1.444,-369.25,1.27,128.45,30.5
LIKYOV,80.87,0.68,175.82,1.7,6.83,8.12,29.7,20.8,11.9,584.65,-4.2361,-3.0365,1.86,2.49,0.1,-0.29,2.5,3.11,2.98,2.56,91.46,75.66,87.15,99.25,0.143,-0.1847,-0.0169,-0.0214,-0.0892,-0.1255,0.2047,-0.5763,2.2735,2.7498,3.6396,1.3369,3.2858,2.8887,4.034,2.0774,28.849,7.2597,5.8992,25.2612,6.9833,6.9968,5.7628,8.3963,0.6053,0,0.5994,0.4565,0.7072,0.1121,1.972,1.1749,2.9347,0.9964,1.0632,0.9337,3.2074,3.8968,1.3119,1.2328,1.3521,3.7805,3.5394,3.9178,3.6564,10.1272,2.0202,2.045,2.013,2.0318,2.0171,6.3964,12.6218,4.2392,4.0977,4.2848,9.8388,1.9915,1.9342,1.9727,1.9784,1.9622,1.254,1.1434,1.3987,0.1292,0.0196,0.0488,0.0126,1.2095,1.242,1.3127,0.1166,0.0165,0.0241,0.0133,2.7927,2.7623,1.0037,0.9557,0.8029,3.5563,4.7245,1.5885,1.6305,1.5055,-410.95,1.22,124.96,26.5
LUKCIF,77.91,-5.52,184.92,1.81,5.62,6.9,29.7,21.7,10.8,544.28,-4.6334,-2.963,1.91,2.52,-0.02,0.41,2.53,3.08,3.1,2.53,88.74,74.83,89.01,98.66,0.1841,-0.1746,-0.0124,0.0156,-0.0807,-0.0306,0.2519,-0.6601,2.0119,2.7871,3.7114,1.3585,3.2866,2.7682,3.7554,1.9772,28.7742,7.3022,5.8993,25.2254,6.9939,7.0399,5.5978,8.5101,0.5824,0,0.647,0.4152,0.6241,0.1154,1.6014,1.2641,2.9304,1.0191,1.1284,0.8429,3.2034,3.8911,1.2702,1.3051,1.3159,3.7829,3.5783,3.8704,3.63,10.1228,2.0193,2.0443,2.0143,2.0289,2.016,6.3895,12.5553,4.2162,4.1338,4.2054,9.8711,1.9838,1.9675,1.9659,1.9846,1.9693,1.2534,1.1567,1.3696,0.125,0.0196,0.0369,0.0136,1.2271,1.0494,1.4172,0.1166,0.0237,0.0402,0.0143,2.7853,2.7262,0.9947,0.964,0.7675,3.5177,4.7462,1.5544,1.7095,1.4824,-450.84,1.24,124.54,48.9
DUBHOZ,77.88,12.91,189.33,1.97,11.98,9.19,41,29.2,18.6,871.47,-4.3159,-2.6915,1.76,2.39,0.16,-0.39,2.74,3.47,1.83,2.43,75.3,84.03,88.98,109.62,0.4795,-0.1522,-0.037,0.0259,-0.7308,-0.483,0.2022,-0.6286,2.9169,2.6983,3.8987,1.219,2.0558,2.0274,3.9109,2.0061,29.113,7.1088,5.8945,25.2687,8.4454,8.3892,5.6124,8.2932,0.3506,0,0.8057,0.1692,0.6974,0.118,1.3441,1.3872,2.9252,1.0372,1.0504,0.9266,3.206,3.8631,1.2437,1.4127,1.2067,3.7764,3.8763,3.6583,3.519,10.144,2.0257,2.0165,2.051,2.0242,2.0268,6.2188,12.5094,4.1908,4.1749,4.1438,9.7923,1.9354,1.9526,1.9825,1.9495,1.9723,1.5044,1.7143,1.4867,0.5336,0.1017,0.0945,0.1111,1.4638,1.69,1.4526,0.3534,0.042,0.0993,0.0535,2.7728,2.779,0.8948,0.9938,0.8904,3.5056,4.7104,1.5121,1.6911,1.5072,-444.59,1.26,125.55,72.5
VOMXOK,83.31,-11.33,173.13,1.7,5.69,9.15,29.3,20,11.1,573.39,-4.0693,-2.5177,1.94,2.54,-0.02,0.54,2.56,3.07,2.96,2.48,87.43,75.04,89.96,99.24,0.2148,-0.1811,-0.0316,-0.008,-0.1372,-0.6152,0.206,-0.5818,1.9858,2.6934,3.679,1.2879,3.3572,1.9732,4.0113,2.0725,28.8312,7.2754,5.9108,25.2829,7.1262,8.5065,5.7547,8.3959,0.5424,0,0.6592,0.4307,0.6307,0.1192,1.9672,1.1549,2.93,1.0037,1.046,0.9588,3.2085,3.8919,1.2763,1.2376,1.378,3.7759,3.5343,3.9078,3.653,10.137,2.024,2.0504,2.0125,2.0319,2.0182,6.3768,12.534,4.2036,4.083,4.2474,9.8744,1.9852,1.9737,1.9795,1.9812,1.9548,1.2774,1.2012,1.4083,0.0983,0.0171,0.0337,0.0097,1.5215,1.7278,1.4693,0.3458,0.0277,0.0948,0.0441,2.793,2.7614,0.9954,0.9529,0.8131,3.5569,4.7222,1.5588,1.6457,1.5177,-441.24,1.23,125.03,42.3
WADWIJ,73.85,4.35,164.67,2.61,9.35,8.57,32.1,25.1,17,736.6,-3.9434,-2.2123,1.97,2.39,0.06,-0.25,2.6,3.24,1.93,2.33,62.41,81.99,89.59,73.84,0.381,-0.1851,-0.0631,0.1465,-0.5979,-0.3436,0.2231,-0.6611,1.9085,2.7369,3.614,1.4169,2.0441,2.9568,4.0068,2.0082,28.7413,7.1711,5.7956,25.1506,8.5732,7.6168,5.7055,8.4718,0.5334,0,0.8041,0,0.3873,0.122,1.3912,1.5601,2.9252,0.8898,1.029,1.1186,3.1925,3.9126,1.3004,1.422,1.1902,3.7446,3.7344,3.4818,3.7313,10.1615,2.0472,2.0206,2.0425,2.0187,2.0325,6.3039,12.4557,4.0785,4.1941,4.1832,9.8594,1.98,1.9801,1.9727,1.9522,1.9744,1.4968,1.7301,1.4474,0.437,0.069,0.0786,0.0952,1.2376,1.3024,1.5493,0.06,0.0127,0.0036,0.0172,2.7728,2.7665,0.9049,0.903,0.9586,3.5032,4.763,1.6691,1.6437,1.4501,-368.65,1.26,128.59,28.8
