Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
NEJTOO,76.25,5.3,14.3,-4.0144,-2.6131,1.96,2.47,0.06,-0.3,2.33,62.76,82.56,0.1504,-0.5594,-0.3541,1.936,2.7312,1.4272,28.7628,7.1702,25.1481,8.4751,0.8102,0,0.4175,1.5647,3.1945,3.6555,3.6925,2.0482,2.0247,6.3014,9.864,1.5511,0.0591,0.0114,2.7735,3.5011,-364.92,1.26,128.52,27.6
IBOHIT,79.86,0.11,11.3,-4.8109,-3.8721,1.8,2.61,0.03,-0.05,2.63,94.03,74.23,0.0159,-0.5459,-0.0796,2.3517,2.7257,1.4521,28.7615,7.2266,25.1633,8.4099,0.5969,0.4828,0.6802,1.1531,3.2043,3.6637,3.7192,2.0183,2.0185,6.3351,9.7726,1.6658,0.1147,0.0269,2.7864,3.5473,-398.21,1.23,123.49,32.6
DUQGUT,87.9,3.65,12.2,-4.2905,-2.7458,1.89,2.45,-0.01,-0.14,2.55,88.44,79.64,-0.0216,-0.1205,-0.1048,2.1902,2.7095,1.3494,28.8361,7.2585,25.2491,8.4026,0.6666,0.4204,0.6408,1.1757,3.2174,3.5609,3.6406,2.0137,2.0174,6.3987,9.8485,1.285,0.1229,0.0191,2.793,3.5562,-405.61,1.23,124.77,32.8
JAYCES02,69.78,16.43,25.6,-2.9251,-1.868,2.02,2.5,-0.05,-0.57,2.34,59.3,88.33,0.1272,-0.1197,-0.828,2.2701,2.7165,1.3249,28.8862,7.1431,25.2424,8.4394,0.7907,0,0.4585,1.5412,3.2078,3.7406,3.6057,2.0499,2.0241,6.2903,9.8655,1.3602,0.6889,0.1422,2.7786,3.5239,-353.51,1.26,127.57,43.1
SANWUA,72.38,5.73,15.7,-4.1967,-2.5121,1.94,2.48,0.05,-0.3,2.33,62.49,82.04,0.1756,-0.6712,-0.3282,2.0045,2.7442,1.4415,28.7766,7.1744,25.1319,8.4717,0.7952,0,0.4548,1.5708,3.1941,3.6843,3.7047,2.0461,2.0278,6.3059,9.8454,1.4983,0.0591,0.0107,2.7729,3.5002,-369.25,1.27,128.45,30.5
LIKYOV,80.87,0.68,11.9,-4.2361,-3.0365,1.86,2.49,0.1,-0.29,2.56,91.46,75.66,-0.0214,-0.0892,-0.1255,2.2735,2.7498,1.3369,28.849,7.2597,25.2612,8.3963,0.5994,0.4565,0.7072,1.1749,3.2074,3.5394,3.6564,2.013,2.0171,6.3964,9.8388,1.254,0.1166,0.0165,2.7927,3.5563,-410.95,1.22,124.96,26.5
LUKCIF,77.91,-5.52,10.8,-4.6334,-2.963,1.91,2.52,-0.02,0.41,2.53,88.74,74.83,0.0156,-0.0807,-0.0306,2.0119,2.7871,1.3585,28.7742,7.3022,25.2254,8.5101,0.647,0.4152,0.6241,1.2641,3.2034,3.5783,3.63,2.0143,2.016,6.3895,9.8711,1.2534,0.1166,0.0237,2.7853,3.5177,-450.84,1.24,124.54,48.9
DUBHOZ,77.88,12.91,18.6,-4.3159,-2.6915,1.76,2.39,0.16,-0.39,2.43,75.3,84.03,0.0259,-0.7308,-0.483,2.9169,2.6983,1.219,29.113,7.1088,25.2687,8.2932,0.8057,0.1692,0.6974,1.3872,3.206,3.8763,3.519,2.051,2.0268,6.2188,9.7923,1.5044,0.3534,0.042,2.7728,3.5056,-444.59,1.26,125.55,72.5
VOMXOK,83.31,-11.33,11.1,-4.0693,-2.5177,1.94,2.54,-0.02,0.54,2.48,87.43,75.04,-0.008,-0.1372,-0.6152,1.9858,2.6934,1.2879,28.8312,7.2754,25.2829,8.3959,0.6592,0.4307,0.6307,1.1549,3.2085,3.5343,3.653,2.0125,2.0182,6.3768,9.8744,1.2774,0.3458,0.0277,2.793,3.5569,-441.24,1.23,125.03,42.3
WADWIJ,73.85,4.35,17,-3.9434,-2.2123,1.97,2.39,0.06,-0.25,2.33,62.41,81.99,0.1465,-0.5979,-0.3436,1.9085,2.7369,1.4169,28.7413,7.1711,25.1506,8.4718,0.8041,0,0.3873,1.5601,3.1925,3.7344,3.7313,2.0425,2.0325,6.3039,9.8594,1.4968,0.06,0.0127,2.7728,3.5032,-368.65,1.26,128.59,28.8
