Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
XUBMEM,82.79,1.95,179.66,4.1,7,11.62,31.4,27.2,21.2,805.27,-4.8167,-2.4206,2.01,2.06,0.07,-0.2,2.58,2.13,2.01,1.32,1.24,52.16,73.18,119.26,128.71,111.46,54.66,125.39,-0.4318,-0.2999,0.0874,0.5591,0.0113,0.1997,-0.5237,-0.0576,2.5838,3.5523,2.8552,1.3231,1.8844,2.0735,4.2522,1.9904,29.1138,5.4883,7.2844,25.1324,8.5827,8.3467,5.7971,8.5469,0.5224,0.6209,0.6407,0.4573,0.3408,0,1.8391,1.3358,2.7603,0.9229,0.9466,1.0754,2.9966,1.2518,1.2464,1.1834,3.1948,3.7294,3.7776,10.1598,2.0555,2.0325,2.0127,2.0484,2.0107,6.2988,12.5767,4.2453,4.1747,4.1567,10.556,2.1595,2.108,2.1012,2.1278,2.0594,1.5918,1.3758,0.0706,0.014,0.0215,0.0091,1.3686,1.4538,1.5607,0.0766,0.0129,0.0083,0.0268,0.0088,2.7389,2.7176,0.967,0.7845,0.9661,1.5654,1.4569,1.5617,-123.92,-33.7
POBDAL,86.82,0.61,183.38,3.23,6.42,6.8,34.1,27.1,16,565.06,-5.9338,-2.2591,2.01,2.13,0.32,-0.3,2.55,1.93,2.06,1.28,1.3,45.1,69.42,121.26,126.71,111.15,65.48,125.11,-0.3494,-0.2236,0.1619,0.4046,0.17,-0.0537,-0.4008,0.1584,2.9606,3.3756,2.981,1.2128,2.1153,1.7149,4.0303,2.0963,29.1241,5.3682,7.1758,25.2186,8.3437,8.7058,5.7606,8.3755,0.7655,0.5319,0.3345,0.4659,0.3919,0,1.2934,1.5034,2.7616,0.8771,0.9491,1.0704,2.988,1.275,1.1875,1.1486,3.2813,3.7433,3.8101,10.1115,2.0453,2.0214,2.0094,2.0301,2.0053,6.3031,12.5981,4.2626,4.1916,4.1439,10.4477,2.0916,2.1124,2.0771,2.1472,2.0194,1.483,1.4085,0.0767,0.0113,0.0269,0.0093,1.6273,1.3612,1.61,0.0664,0.0157,0.0035,0.0207,0.008,2.7236,2.6787,0.9637,0.7988,0.9162,1.4408,1.503,1.5139,-123.08,-17
TATFID,85.57,-1.57,179.31,2.47,6.82,9.94,31.3,24.8,18.4,681.22,-5.7927,-1.9158,2.29,1.92,-0.51,0.49,2.51,1.93,3.14,1.33,1.24,46.46,70.41,67.6,177.75,113.25,63.13,126.56,-0.3173,-0.2628,0.2736,0.4971,0.162,0.0327,-0.3748,0.1464,2.7066,3.392,3.1913,1.3159,2.0647,1.9492,4.2851,2.0684,29.0625,5.3771,7.0102,25.1609,8.3947,8.5149,5.8081,8.4054,0.8242,0,0.3122,0.1945,0.6611,0.3078,1.6999,1.3058,2.7604,0.8804,0.9594,1.0883,2.8832,1.0941,1.1547,1.2967,3.2237,3.7022,3.8299,10.1314,2.0582,2.0215,2.007,2.0367,2.0081,6.3021,12.5452,4.2289,4.1994,4.1169,10.4696,2.1132,2.112,2.0786,2.1597,2.006,1.3891,1.4629,0.0712,0.0147,0.0234,0.0083,1.5449,1.4823,1.5116,0.0732,0.0118,0.0168,0.0175,0.0113,2.7152,2.631,0.9823,0.927,0.7217,1.4958,1.5212,1.4184,-80.64,-16.6
CEDKIH,72.45,9.11,232.55,2.65,10.07,13.94,41.2,27,14.5,824.08,-6.0994,-2.4387,2.07,2.39,0.12,-0.51,2.54,1.94,3.31,1.32,1.24,44.75,67.25,63.82,171.11,114.68,68.01,126.61,-0.4125,-0.1996,0.1941,0.3514,0.1822,0.1609,-0.4083,0.1425,2.9645,3.4537,3.2219,1.1721,3.1244,2.0888,4.199,2.0422,29.0543,5.4123,7.1577,25.2575,6.8644,8.3746,5.7642,8.4104,0.8228,0,0.2334,0.4294,0.1755,0.3336,1.6278,1.3798,2.7653,0.8555,0.9772,1.0561,2.9151,1.1362,1.2987,1.2133,3.2405,3.802,3.843,10.1079,2.0338,2.0234,2.0068,2.0375,2.0063,6.3023,12.6091,4.2216,4.2237,4.1638,10.5007,2.1401,2.1539,2.0393,2.0812,2.0863,1.0928,1.214,0.3098,0.0334,0.0992,0.0423,1.392,1.4295,1.5832,0.0701,0.0174,0.0065,0.02,0.0086,2.7203,2.6501,0.9656,0.7899,0.8945,1.4309,1.4672,1.544,-110.7,-15.7
EDECUL,84.56,2.67,177.07,1.9,5.89,8.2,28.5,20.2,14,604.3,-5.8372,-1.9899,2.34,1.93,-0.52,0.32,2.51,1.93,3.15,1.33,1.24,46.28,70.25,66.81,171.16,112.82,63.47,126.94,-0.3053,-0.2577,0.2763,0.4719,0.158,0.0202,-0.3701,0.1497,2.7001,3.4596,3.2112,1.2993,2.0868,1.9439,4.2909,2.0734,29.0641,5.4332,7.0079,25.1638,8.3862,8.525,5.8073,8.4014,0.8224,0,0.3245,0.1841,0.6876,0.3178,1.701,1.3046,2.7618,0.8764,0.9585,1.0911,2.8851,1.0889,1.1561,1.2961,3.2179,3.7156,3.8445,10.1265,2.0584,2.019,2.0055,2.0366,2.0069,6.3044,12.5405,4.2304,4.2016,4.1086,10.46,2.1136,2.1127,2.075,2.1543,2.0044,1.3749,1.4647,0.0704,0.0142,0.0232,0.0083,1.5441,1.4898,1.5134,0.0727,0.0121,0.0169,0.0163,0.0111,2.7158,2.6282,0.9811,0.9253,0.7218,1.4953,1.5209,1.4176,-87.96,-15.5
MAPCIQ03,84.37,1.46,176.78,2.04,4.29,7.53,28.4,17.2,9.4,532.95,-5.7454,-1.8902,2.34,1.93,-0.03,-0.14,2.52,1.94,3.13,1.33,1.24,46.52,70.86,67.03,173.66,113.04,62.62,127,-0.3069,-0.2652,0.2733,0.4765,0.1464,-0.0012,-0.3729,0.1461,2.6922,3.4761,3.1514,1.3047,2.0852,1.9535,4.286,2.0686,29.0413,5.4412,7.0043,25.1596,8.3883,8.5192,5.8001,8.4037,0.7856,0,0.3608,0.1775,0.6868,0.3209,1.6979,1.3219,2.7614,0.8871,0.9518,1.0918,2.8825,1.0952,1.157,1.2919,3.2639,3.667,3.842,10.1301,2.0591,2.0192,2.0065,2.0359,2.0094,6.3037,12.5387,4.2308,4.2003,4.1076,10.464,2.0811,2.1115,2.0813,2.1806,2.0096,1.4004,1.47,0.0705,0.0161,0.0213,0.0083,1.5428,1.5208,1.5005,0.0722,0.0107,0.0184,0.0148,0.0111,2.7153,2.6308,0.9758,0.9267,0.7283,1.4803,1.5358,1.4209,-73.84,-15.2
WELYAN,83.84,2.86,177.13,2.75,8.16,13.08,28.4,20.9,15.8,814.69,-5.7934,-2.6491,2.3,1.93,-0.09,-0.12,2.51,1.93,3.14,1.33,1.24,46.3,70.39,66.94,171.69,112.86,63.3,127.01,-0.31,-0.2596,0.2763,0.4689,0.1703,0.019,-0.3728,0.1487,2.7245,3.4589,3.2272,1.2964,2.0504,1.9375,4.2975,2.0703,29.0762,5.432,7.0091,25.1693,8.4011,8.5311,5.8126,8.4027,0.8212,0,0.3277,0.1993,0.7058,0.3163,1.7026,1.3067,2.7617,0.8738,0.9878,1.0654,2.8851,1.0923,1.1521,1.297,3.2016,3.7517,3.8271,10.1278,2.0506,2.0272,2.0058,2.0383,2.0059,6.3038,12.5466,4.2269,4.1757,4.144,10.4592,2.1224,2.1222,2.0191,2.1367,2.0588,1.3648,1.4797,0.0714,0.0102,0.0261,0.0084,1.532,1.4585,1.5593,0.0729,0.0183,0.0121,0.0182,0.0119,2.7158,2.63,0.9816,0.9184,0.73,1.5002,1.5161,1.4184,-86.79,-15.2
VUWYER,85.96,4.78,180.22,1.73,6.94,7.41,29.8,21.6,13.5,585.21,-5.8276,-2.1709,1.93,2.25,0.1,-0.29,2.52,1.95,3.09,1.34,1.23,46.91,70.47,65.93,161.4,112.31,62.63,127.4,-0.3294,-0.2596,0.2727,0.4883,0.0573,0.1815,-0.3657,0.1596,2.6747,3.5027,3.2107,1.3118,1.9353,2.0737,4.2139,2.0729,29.0359,5.4537,7.0126,25.1529,8.4999,8.3843,5.7657,8.3948,0.7955,0,0.3649,0.6353,0.1874,0.3369,1.688,1.2524,2.7617,0.8975,0.9582,1.0712,2.8698,1.0982,1.1468,1.3077,3.277,3.6555,3.8306,10.1291,2.0552,2.0216,2.0061,2.0335,2.0126,6.305,12.554,4.22,4.1908,4.1431,10.4701,2.094,2.148,2.044,2.1355,2.0486,1.4664,1.4983,0.0749,0.0231,0.0122,0.0186,1.3449,1.4496,1.598,0.0718,0.0151,0.0014,0.0222,0.0083,2.7169,2.6251,0.9836,0.9219,0.7196,1.4835,1.5401,1.4034,-79.44,-14.2
HIQMEZ,84.73,1.31,177.72,2.03,10.48,7.64,28.6,19.6,13.6,687.52,-5.7274,-1.8538,2.32,1.93,-0.01,-0.13,2.52,1.94,3.14,1.33,1.24,46.64,71.05,67.05,172.09,112.9,62.31,127.04,-0.311,-0.2683,0.2759,0.4838,0.1468,0.0133,-0.3743,0.1463,2.6846,3.4619,3.1887,1.3095,2.0857,1.9274,4.298,2.0645,29.0663,5.4345,6.9916,25.1604,8.3923,8.5343,5.8119,8.4069,0.8034,0,0.354,0.1977,0.6869,0.3122,1.7019,1.3127,2.761,0.8805,0.9611,1.0909,2.8847,1.0923,1.1552,1.2939,3.2174,3.7066,3.8425,10.1318,2.0606,2.0202,2.0058,2.0379,2.0073,6.3018,12.5411,4.2268,4.2,4.1143,10.4677,2.1116,2.1134,2.0737,2.1588,2.0103,1.3785,1.4649,0.0705,0.014,0.0236,0.0082,1.5318,1.496,1.5269,0.0728,0.013,0.0172,0.0154,0.0118,2.7156,2.6315,0.9812,0.9277,0.7226,1.4946,1.523,1.4187,-68.1,-13.9
LIVDUS,72.26,9.49,231.95,2.97,6.3,10.51,41.1,27,14.5,688.48,-6.1419,-2.8219,2.07,2.41,0.18,-0.56,2.53,1.94,3.31,1.32,1.24,44.61,66.65,63.72,171.35,114.68,68.74,126.63,-0.4142,-0.1941,0.1947,0.3458,0.1821,0.1661,-0.407,0.1442,2.9746,3.4702,3.2273,1.1657,3.1172,2.097,4.1893,2.0461,29.0528,5.4225,7.1593,25.2597,6.8673,8.3676,5.758,8.4089,0.8319,0,0.2206,0.4249,0.1669,0.3441,1.618,1.3822,2.7658,0.8598,0.9611,1.0649,2.915,1.1382,1.3173,1.1923,3.2552,3.8025,3.8345,10.1055,2.0365,2.0217,2.0072,2.0342,2.0058,6.3041,12.6116,4.2239,4.23,4.1577,10.498,2.138,2.1687,2.0477,2.0762,2.0675,1.0919,1.2537,0.3077,0.0298,0.0957,0.0435,1.388,1.4312,1.5798,0.0703,0.0183,0.0048,0.0194,0.0085,2.7201,2.6493,0.9622,0.7635,0.9237,1.426,1.4514,1.5639,-113.24,-12.7
