Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
XUBMEM,82.79,1.95,179.66,4.1,7,11.62,31.4,27.2,21.2,805.27,-3.612,-3.0715,2.01,2.06,0.07,-0.2,2.58,2.13,2.01,1.32,1.24,52.16,73.18,119.26,128.71,111.46,54.66,125.39,-0.3891,-0.3147,0.0919,0.5333,0.0304,0.2095,-0.5283,-0.0403,2.8587,3.506,2.9203,1.3578,1.8739,2.0746,4.2096,2.0065,29.211,5.511,7.2848,25.1523,8.5872,8.3333,5.786,8.5292,0.5828,0.2328,0.6718,0.5868,0.4941,0.3906,0,1.8114,1.3108,2.7677,0.9239,0.9539,1.0741,3.0021,1.2432,1.2431,1.1834,3.5592,3.2126,3.7196,3.7768,10.1722,2.0588,2.0352,2.0141,2.0523,2.0118,6.3238,12.5987,4.2517,4.1812,4.1658,10.4664,2.1526,2.1006,2.0774,2.0917,2.044,1.5791,1.3742,0.0712,0.0143,0.0218,0.009,1.3657,1.4467,1.5553,0.0777,0.0134,0.0085,0.0267,0.009,2.741,2.7338,0.9657,0.8065,0.9615,1.5595,1.4448,1.558,-123.92,-26.2
VUWYER,85.96,4.78,180.22,1.73,6.94,7.41,29.8,21.6,13.5,585.21,-4.7947,-2.9467,1.93,2.25,0.1,-0.29,2.52,1.95,3.09,1.34,1.23,46.91,70.47,65.93,161.4,112.31,62.63,127.4,-0.3043,-0.2762,0.2765,0.4654,0.0755,0.1936,-0.374,0.1747,2.8642,3.4269,3.2942,1.3273,1.9313,2.0916,4.2069,2.0958,29.1347,5.4606,7.0389,25.1741,8.4752,8.3577,5.7684,8.3622,0.8509,0.362,0,0.2937,0.6746,0.2133,0.377,1.6416,1.2594,2.7699,0.8983,0.9689,1.0697,2.8781,1.0976,1.1471,1.2939,3.6044,3.2915,3.6554,3.8255,10.1371,2.0589,2.023,2.0066,2.0352,2.0134,6.3263,12.573,4.226,4.197,4.1501,10.4045,2.0833,2.1421,2.0246,2.1131,2.0416,1.4641,1.4876,0.0759,0.0229,0.0125,0.0188,1.3382,1.4488,1.5884,0.0728,0.016,0.0015,0.0227,0.0082,2.7194,2.6443,0.9803,0.9163,0.7476,1.4724,1.5361,1.3978,-79.44,-21.1
CEDKIH,72.45,9.11,232.55,2.65,10.07,13.94,41.2,27,14.5,824.08,-4.7228,-3.0787,2.07,2.39,0.12,-0.51,2.54,1.94,3.31,1.32,1.24,44.75,67.25,63.82,171.11,114.68,68.01,126.61,-0.3968,-0.2159,0.2013,0.3274,0.1809,0.175,-0.4147,0.1588,3.1035,3.455,3.2684,1.1773,3.149,2.0984,4.1806,2.0588,29.1518,5.46,7.1578,25.2779,6.8298,8.3527,5.7685,8.3837,0.847,0.4436,0,0.1941,0.4403,0.191,0.3564,1.5909,1.3781,2.7734,0.8585,0.9847,1.0563,2.9213,1.1349,1.2896,1.2085,3.6455,3.2618,3.7948,3.8403,10.1151,2.0348,2.0258,2.0079,2.0397,2.007,6.3202,12.628,4.2279,4.2283,4.1718,10.4483,2.1299,2.1458,2.0279,2.0719,2.0726,1.0961,1.2077,0.3105,0.0333,0.1002,0.0415,1.3847,1.426,1.5751,0.0707,0.0175,0.0067,0.0199,0.0089,2.7225,2.6688,0.9611,0.8082,0.8995,1.4243,1.4596,1.5359,-110.7,-19.5
XIKLOU,74.33,3.04,161.02,2.38,4.76,7.35,27.5,17,9.7,538.96,-5.2565,-3.3461,2.34,2.15,-0.5,0.29,2.53,1.96,1.96,1.31,1.25,45.08,66.03,123.89,125.43,110.66,68.89,125.89,-0.2896,-0.2063,0.1089,0.3395,0.2271,0.0005,-0.4703,0.0015,3.0402,3.41,3.1613,1.2208,2.1642,2.9033,4.2468,1.9898,29.3252,5.42,7.0785,25.223,8.273,7.3712,5.8198,8.5056,0.8898,0.385,0.7107,0.163,0.1901,0.3505,0,1.5902,1.4526,2.7755,0.8782,0.9553,1.0614,2.9914,1.2648,1.1693,1.2235,3.6524,3.2944,3.7775,3.8152,10.1073,2.0445,2.0206,2.0085,2.0288,2.0048,6.3629,12.6187,4.29,4.2152,4.1136,10.3077,2.1111,2.1052,2.0574,2.0473,1.9866,1.3261,1.4446,0.0725,0.0157,0.0231,0.0084,1.249,1.3091,1.1747,0.1879,0.0255,0.0472,0.0432,0.0367,2.7326,2.6991,0.9864,0.8951,0.8175,1.5417,1.4889,1.4985,-138.98,-17.4
QIKTUZ,77.11,7.08,168.14,4.42,9.26,9.73,26.5,21.8,20.4,772.77,-4.4233,-3.3096,2.04,2.24,0.01,-0.24,2.55,2.01,1.95,1.32,1.24,48.24,71.34,113.27,134.71,111.87,60.42,124.11,-0.325,-0.2717,0.0919,0.4593,0.182,0.2659,-0.5176,-0.0113,3.0116,3.6214,3.0462,1.3292,2.0901,2.1304,4.1574,2.012,29.2217,5.5304,7.201,25.1792,8.3761,8.3067,5.7757,8.5078,0.7105,0.366,0.7527,0.4393,0.4412,0.2468,0.1211,1.7832,1.3019,2.772,0.9075,0.9576,1.0601,2.9938,1.2499,1.2715,1.1515,3.6048,3.3897,3.6375,3.7467,10.1419,2.0506,2.0265,2.0195,2.0351,2.0102,6.337,12.5839,4.2699,4.1956,4.1184,10.4038,2.0121,2.0924,2.0974,2.1655,2.0364,1.3988,1.4521,0.0768,0.0138,0.0253,0.0085,1.2623,1.4532,1.5862,0.0747,0.0135,0.0022,0.0264,0.0084,2.7369,2.7234,0.9518,0.8232,0.9483,1.5511,1.4694,1.5188,-141.54,-16
VICVOS,76.86,0.9,174.65,2.37,5.26,7.06,30.7,20.2,9.8,539.19,-4.9069,-2.9534,2.28,2.15,-0.39,0.22,2.53,1.97,1.98,1.31,1.25,46.35,68.13,123.29,126.06,110.53,65.52,126.2,-0.3086,-0.2336,0.1038,0.3932,0.1643,0.0437,-0.4849,-0.0132,3.071,3.4401,3.1307,1.2624,2.1035,3.0154,4.2816,1.9716,29.3398,5.4584,7.0902,25.2182,8.3627,7.0469,5.8366,8.5212,0.854,0.3657,0.694,0.2276,0.2391,0.3927,0,1.6154,1.4613,2.7743,0.8792,0.9597,1.0695,2.995,1.2717,1.1547,1.2356,3.6313,3.2775,3.7268,3.8289,10.1261,2.0555,2.0228,2.0082,2.0326,2.007,6.3541,12.6262,4.2818,4.2147,4.1297,10.328,2.0892,2.1077,2.0511,2.0791,2.0009,1.3799,1.4351,0.0724,0.0167,0.0216,0.0087,1.2396,1.3147,1.0961,0.274,0.0295,0.0623,0.0735,0.0614,2.7346,2.7068,0.9806,0.9153,0.8109,1.5677,1.4821,1.4905,-132.36,-15.3
POBDAL,86.82,0.61,183.38,3.23,6.42,6.8,34.1,27.1,16,565.06,-4.7702,-2.9215,2.01,2.13,0.32,-0.3,2.55,1.93,2.06,1.28,1.3,45.1,69.42,121.26,126.71,111.15,65.48,125.11,-0.3288,-0.2396,0.1662,0.3834,0.184,-0.0357,-0.4059,0.1711,3.1148,3.335,3.023,1.2178,2.1187,1.7118,3.9743,2.1201,29.2266,5.3999,7.1802,25.2391,8.316,8.7125,5.7347,8.366,0.7991,0.3757,0.5604,0.2824,0.5017,0.4227,0,1.2799,1.4532,2.7696,0.8781,0.9597,1.0692,2.9928,1.2643,1.186,1.1501,3.639,3.2961,3.7391,3.8082,10.1182,2.0476,2.024,2.0101,2.0309,2.0057,6.3229,12.6156,4.2654,4.1977,4.1524,10.39,2.0786,2.1073,2.063,2.127,2.0141,1.4742,1.4017,0.0781,0.0118,0.0267,0.0093,1.6164,1.3583,1.5989,0.0671,0.0161,0.0037,0.0208,0.008,2.7261,2.6928,0.9653,0.8166,0.9109,1.4339,1.4914,1.5128,-123.08,-14.5
ILAZAX,85.26,1.24,202.05,3.57,11.67,7.13,39.2,30.9,19.9,741.19,-4.7453,-2.9276,2.03,2.02,-0.13,0.06,2.55,1.97,3.4,1.32,1.24,46.34,69.79,63.59,177.12,114.28,63.87,126.4,-0.3594,-0.2502,0.1888,0.3985,0.1998,0.0989,-0.428,0.1395,3.076,3.42,3.2264,1.2833,2.1297,3.0932,4.1171,2.0775,29.2173,5.4193,7.149,25.1897,8.2984,7.0018,5.7516,8.4004,0.762,0.3284,0,0.3655,0.3877,0.5789,0.4476,1.5683,1.3846,2.7736,1.0693,0.9493,0.8981,2.926,1.1435,1.3177,1.1799,3.6398,3.778,3.6535,3.3907,10.1226,2.0169,2.0198,2.0262,2.0142,2.0455,6.3253,12.6309,4.1648,4.2507,4.2153,10.4029,2.1186,2.1226,1.9721,2.0997,2.0898,1.4298,1.3849,0.0756,0.021,0.0071,0.0248,1.1821,1.1855,1.1938,0.2986,0.0439,0.0763,0.0472,0.079,2.7239,2.6733,0.9527,0.7748,0.9457,1.4337,1.4285,1.578,-144.23,-14
JUJPIQ,77.32,2.36,205.13,2.87,6.81,8.5,37.6,28.8,15.5,645.04,-4.5878,-2.9543,2.27,2.01,-0.11,0.02,2.55,1.99,3.33,1.32,1.24,46.81,68.78,61.67,173.33,114.14,64.41,127.66,-0.3364,-0.2334,0.2044,0.3892,0.1993,0.1273,-0.4107,0.1617,3.0878,3.399,3.278,1.2449,2.9984,3.0406,4.1233,2.0809,29.2682,5.4466,7.1501,25.2124,7.2513,7.0404,5.7427,8.3848,0.7807,0.4007,0,0.3021,0.347,0.5862,0.446,1.5388,1.4018,2.778,0.8711,0.95,1.0915,2.9231,1.1523,1.3042,1.1726,3.6405,3.2287,3.7414,3.8562,10.1273,2.06,2.0202,2.006,2.0346,2.0066,6.3273,12.637,4.2443,4.2384,4.1542,10.3717,2.1117,2.1184,2.0822,2.0857,1.9737,1.1572,1.2293,0.2065,0.0296,0.0578,0.0222,1.2727,1.2134,1.0748,0.2734,0.0288,0.0569,0.099,0.0231,2.7212,2.6679,0.9507,0.7748,0.9424,1.443,1.434,1.5471,-126.32,-13.4
TATFID,85.57,-1.57,179.31,2.47,6.82,9.94,31.3,24.8,18.4,681.22,-4.7446,-2.5781,2.29,1.92,-0.51,0.49,2.51,1.93,3.14,1.33,1.24,46.46,70.41,67.6,177.75,113.25,63.13,126.56,-0.2952,-0.2793,0.278,0.4737,0.1753,0.0519,-0.3827,0.1625,2.8733,3.3077,3.2215,1.3284,2.0648,1.9356,4.294,2.0936,29.1641,5.381,7.0144,25.1839,8.3713,8.4957,5.8285,8.3722,0.8779,0.33,0,0.2408,0.2179,0.697,0.3449,1.6596,1.3113,2.7685,0.8817,0.9708,1.0855,2.8919,1.0937,1.1547,1.2823,3.6003,3.2407,3.697,3.8276,10.1397,2.0612,2.0244,2.0075,2.038,2.0085,6.3231,12.564,4.2351,4.2041,4.1248,10.4077,2.1034,2.1063,2.0672,2.1347,1.9961,1.3837,1.4596,0.0719,0.0152,0.0235,0.0084,1.5376,1.4692,1.5059,0.0741,0.0121,0.0166,0.0177,0.0115,2.7176,2.6501,0.9791,0.9213,0.7497,1.4826,1.5188,1.4123,-80.64,-12.8
