Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
VUNPAV,42.91,-12.23,167.34,3.39,8.88,8.99,38.4,26.6,14.9,685.07,-2.1193,-1.8006,1.9,1.94,0.98,0.09,2.55,2.77,2.02,2.23,3.88,1.31,1.25,127.88,27.85,110.18,46.43,77.63,168.77,112.52,125.71,-0.4164,0.2176,-0.2534,-0.208,-0.3409,-0.3795,-0.459,0.0859,3.0706,3.0703,2.8373,3.9673,3.5645,4.2171,2.028,29.5354,7.1698,5.129,25.7945,5.9053,5.5171,5.8168,8.452,0.6833,0.2358,-0.173,0,0.4569,0.8057,0.2433,0.3084,1.6681,1.4008,2.7875,2.8728,0.7722,1.0062,1.0944,2.9666,3.543,1.1196,1.2307,1.1927,3.6907,3.7757,3.8017,3.8469,10.0837,2.0181,2.0215,2.0136,2.017,2.0135,6.3418,12.7116,4.1912,4.2326,4.2878,10.3626,2.18,2.0359,2.0197,2.1435,1.9835,0.9363,0.8977,0.9904,0.7021,0.0882,0.1464,0.1603,0.8402,1.0494,0.9944,0.684,0.1491,0.1865,0.0867,0.1618,2.7246,2.7005,0.9219,0.9282,0.8504,3.3696,4.4695,1.4622,1.5614,1.4458,-365.19,-16.5
JEVPIJ,90.12,-0.93,201.75,3.06,6.91,10.36,31.2,23.1,15.9,709.97,-4.9435,-4.4358,1.81,1.86,0.21,0.13,2.47,1.86,3.27,2.82,2.69,1.38,1.21,90.89,78.38,78.6,107.74,108.88,124.2,109.81,123.06,-0.2129,0.1423,-0.0649,0.4527,0.1732,0.1035,-0.4527,0.1189,3.0919,3.1713,3.7881,2.2201,2.0182,4.0817,2.1439,29.047,7.0826,5.8382,25.1147,8.3141,8.4769,5.7708,8.3356,0.7251,0,0.4415,0.643,0.3546,0.7903,0.7427,0,1.9685,1.024,2.7976,2.7469,1.0351,0.9646,0.7472,3.0068,3.5897,1.1605,1.2525,1.1768,3.641,3.7154,3.6215,3.4446,10.1106,2.0251,2.0266,2.028,2.012,2.0189,6.3636,12.6414,4.1444,4.2444,4.2526,10.2073,2.0997,2.0447,1.8802,2.0755,2.1072,1.4538,1.5479,1.3888,0.09,0.0186,0.032,0.0087,1.5343,1.5413,1.3663,0.0785,0.0078,0.0146,0.028,0.0084,2.7398,2.6856,0.9528,0.9737,0.7591,3.3901,4.4172,1.4994,1.5893,1.3285,-362.44,1.4
XALKUQ,73.71,-5.67,187.84,2.63,11.25,7.97,38.9,28.9,18.6,835.57,-3.0443,-1.4433,1.96,1.87,0.09,0.28,2.55,2.77,2,2.36,3.59,1.32,1.25,133.67,32.84,125.42,46.12,81.23,164.43,111.68,125.27,-0.423,0.1793,-0.1917,-0.2379,-0.3166,-0.0735,-0.4647,0.0908,3.2393,2.9379,3.0914,3.372,1.879,4.3341,2.0567,29.3491,7.2443,5.2822,25.769,5.4678,8.5208,5.8689,8.3946,0.5519,0.4194,-0.1839,0,0.4188,0.5248,0.7226,0.2005,1.7911,1.2873,2.7674,2.8236,0.9937,0.8449,0.9851,2.9886,3.5694,1.1366,1.1752,1.2576,3.6939,3.7676,3.859,3.8312,10.0779,2.0129,2.022,2.0093,2.021,2.0128,6.3654,12.6633,4.2847,4.1536,4.225,10.3938,2.1333,1.9061,2.095,2.1238,2.1356,0.8309,0.9655,1.0516,0.6072,0.1267,0.075,0.1688,1.5148,1.6511,1.4363,0.0697,0.0101,0.0245,0.01,0.0157,2.7314,2.6987,0.9445,0.9751,0.7791,3.3829,4.4533,1.4576,1.588,1.4077,-390.27,3.7
SPGLUC01,89.19,0.07,195.3,1.85,6.7,9.39,34.2,22.7,14.9,633.32,-2.2713,-1.405,1.89,1.92,0.12,-0.02,2.46,2.19,1.95,3.8,3.44,1.33,1.24,119.54,33.81,93.33,56.36,133.92,103.51,111.32,128.14,-0.5318,0.2354,-0.1498,-0.192,-0.0806,-0.0521,-0.4744,0.0153,3.4051,3.0902,2.8379,1.8967,1.9263,4.3562,2.0754,29.3052,7.1794,5.0704,25.7494,8.5399,8.5281,5.8445,8.4536,0.6724,0.2141,-0.2541,0.4518,0.2531,0.7071,0.776,0,1.8791,1.2821,2.7622,2.8084,0.7742,1.0227,1.0115,2.9649,3.5418,1.108,1.1571,1.2767,3.6684,3.802,3.7672,3.8354,10.106,2.0199,2.0176,2.0243,2.0214,2.0228,6.3353,12.7318,4.2199,4.2751,4.2368,10.4642,2.1923,2.1321,1.949,2.0606,2.1302,1.6398,1.5677,1.4141,0.0747,0.0142,0.0247,0.0087,1.6524,1.5814,1.3583,0.0734,0.0062,0.0166,0.0235,0.0085,2.7385,2.7071,0.9586,0.9495,0.799,3.4124,4.5021,1.6275,1.4715,1.403,-315.57,3.8
AGISAN,92.07,-4.64,235.01,3.23,10.7,6.75,45.8,36.2,23,770.74,-4.0805,-2.9978,1.99,2.2,-0.17,0.14,2.59,2.02,3.12,3.09,2.51,1.36,1.23,88.39,75.53,90.6,100.9,112.71,120.28,108.44,125.07,-0.4003,0.16,-0.1472,0.2587,0.2406,0.0787,-0.4498,0.0548,2.5078,3.1017,3.804,3.1807,3.1304,4.0372,2.0167,29.0632,7.1496,5.8181,25.2981,7.16,7.4362,5.7195,8.4557,0.5283,0,0.5501,0.5174,0.3659,0.5238,0.3436,0,1.7305,1.1315,2.7909,2.7824,1.0102,0.9753,0.7968,3.0046,3.5819,1.1492,1.2527,1.18,3.656,3.6629,3.6599,3.6207,10.1276,2.0268,2.0325,2.0344,2.0168,2.017,6.3358,12.5886,4.1818,4.1812,4.2256,10.4757,2.1189,2.1308,2.0601,2.0882,2.0777,1.1052,1.2964,1.1324,0.2508,0.0533,0.0529,0.0533,1.3228,1.2452,1.2025,0.1575,0.0335,0.0275,0.0433,0.0211,2.7415,2.6836,0.9589,0.9732,0.7514,3.3967,4.4761,1.4836,1.6335,1.3591,-439.82,10.3
JEVPOP,90.07,2.15,205.15,2.18,7.64,9.52,38,31.4,19.4,689.76,-4.8377,-4.5056,1.78,1.9,0.04,-0.02,2.44,1.84,3.34,2.66,2.73,1.37,1.22,91.53,80.23,77,110.76,104.29,125.86,109.49,121.74,-0.2172,0.1419,-0.0498,0.538,0.0424,0.1207,-0.446,0.1319,3.1744,3.164,3.7999,1.9941,2.0119,4.0569,2.104,29.0879,7.0791,5.8065,24.9867,8.4362,8.4342,5.7694,8.3451,0.7707,0,0.4353,0.6435,0.3391,0.8966,0.6794,0,1.8911,1.0202,2.7989,2.7382,1.117,0.9142,0.707,3.0062,3.5898,1.1638,1.236,1.19,3.6327,3.8187,3.4614,3.4259,10.109,2.0175,2.0095,2.0363,2.0179,2.0278,6.3659,12.634,4.1127,4.2783,4.2429,10.2166,2.1293,2.0849,1.8562,2.0881,2.058,1.6102,1.5472,1.3398,0.0794,0.0138,0.0266,0.0095,1.5864,1.469,1.374,0.0786,0.0041,0.017,0.0267,0.0085,2.7377,2.678,0.9168,0.9263,0.8349,3.3877,4.4064,1.523,1.5036,1.3798,-336.34,10.3
REWHOR,83.14,4.54,178.45,2.19,4.69,7.69,29.5,19.1,10.4,544.36,-4.5238,-3.3022,2.35,1.89,-0.31,0.14,2.52,1.96,3.05,2.94,2.55,1.36,1.22,90.89,73.9,87.96,98.57,110.9,126.7,109.01,124.47,-0.3421,0.1434,-0.1321,0.27,0.1973,0.1015,-0.4598,0.0845,2.4594,3.082,3.6813,2.1176,3.2365,4.1546,2.113,29.0882,7.1849,5.7853,25.2897,8.3083,6.9558,5.7972,8.3742,0.5915,0,0.4856,0.5738,0.3514,0.2267,0.7452,0,1.9025,1.0903,2.7928,2.7796,0.9018,1.018,0.8597,3.0064,3.594,1.1926,1.1769,1.2244,3.65,3.4925,3.857,3.5891,10.126,2.0222,2.0461,2.0112,2.03,2.0164,6.3788,12.6054,4.2446,4.1071,4.2536,10.3576,2.0682,2.0299,2.0732,2.102,2.0843,1.3054,1.5826,1.4603,0.0709,0.0151,0.0227,0.0078,1.1107,1.1299,1.2887,0.3137,0.0511,0.046,0.0979,0.0303,2.7435,2.6904,0.9612,0.9334,0.7958,3.3975,4.4456,1.4993,1.5523,1.394,-429.05,10.9
DOMZIQ,94.38,0.24,211.5,3.99,8.2,7.86,42.6,38,25.6,767.16,-3.8604,-2.0418,2.1,2.08,0.18,-0.31,2.55,3.13,3.25,1.95,2.34,1.3,1.26,64.01,83.11,90.26,75.48,63.2,167.71,111.34,128.29,-0.431,0.1763,-0.2445,0.4445,0.1084,0.1627,-0.443,0.1004,2.2056,3.0955,3.5895,1.9806,1.972,3.9489,2.0049,28.9682,7.196,5.659,25.2028,8.4805,8.439,5.6692,8.5176,0.6614,0,0.5761,0,0.4124,0.3628,0.335,0.5294,1.3165,1.4561,2.7879,2.8177,0.8965,0.8516,1.0696,3.0046,3.5736,1.2333,1.1841,1.1561,3.5939,3.4287,3.7088,3.6274,10.1748,2.0307,2.0394,2.0297,2.0394,2.0356,6.3367,12.5608,4.1645,4.1946,4.2018,10.5333,2.0573,2.1304,2.1419,2.0979,2.1057,1.4567,1.5947,1.4136,0.0749,0.023,0.0161,0.01,1.5026,1.4299,1.4757,0.0789,0.0254,0.006,0.0173,0.0121,2.7258,2.6945,0.788,0.9721,0.9345,3.3389,4.4769,1.4622,1.5284,1.4863,-378.12,12
NIJYIP,88.21,-0.84,202.26,1.77,8.25,9.87,33.4,23.2,15.7,668.23,-4.6325,-4.0304,1.97,2.02,0.06,0.03,2.49,1.93,3,3.03,2.58,1.37,1.22,91.51,72.67,85.38,96.47,114.76,124.2,109.82,124.95,-0.3589,0.1503,-0.1111,0.3255,0.2503,0.1883,-0.4634,0.093,2.8892,3.1051,3.6504,3.2403,2.1276,4.2409,2.1372,29.1421,7.1223,5.7886,25.2298,7.0365,8.3766,5.8361,8.3578,0.6442,0,0.4711,0.5673,0.3422,0.7028,0.5424,0,1.9479,1.1077,2.7922,2.769,0.8988,1.0252,0.8449,3.0042,3.5876,1.2071,1.1681,1.2124,3.637,3.5049,3.815,3.5717,10.1298,2.0316,2.04,2.0172,2.0262,2.0148,6.3532,12.6575,4.2534,4.1635,4.2406,10.3478,2.0636,1.9633,2.1081,2.1151,2.0978,1.0963,1.126,1.3031,0.2444,0.0307,0.0748,0.0255,1.3989,1.5424,1.4286,0.0771,0.0028,0.0175,0.0233,0.0083,2.7426,2.6933,0.9664,0.9396,0.7873,3.3958,4.4377,1.5207,1.537,1.38,-427.75,12.2
POBDAL,87.49,-0.06,191.14,2.1,8.85,7.86,29,18.5,12.6,644.13,-4.9281,-4.1138,2.19,1.8,0.14,0.02,2.47,1.9,3.05,2.91,2.6,1.36,1.22,93.65,73.97,84.87,98.37,112,126.93,109.58,124.19,-0.3127,0.1416,-0.1,0.3473,0.1503,0.1942,-0.4608,0.093,2.7901,3.1341,3.6702,2.0523,2.2127,4.1956,2.1258,28.978,7.1467,5.7945,25.2024,8.393,8.3466,5.818,8.3633,0.6863,0,0.4455,0.6,0.3316,0.3603,0.7801,0,1.9201,1.1028,2.7949,2.7664,0.8894,0.9414,0.9356,3.0039,3.5947,1.1848,1.2058,1.2042,3.6415,3.5278,3.7216,3.625,10.1207,2.0209,2.0282,2.0197,2.0298,2.0222,6.3577,12.6432,4.2092,4.1979,4.2361,10.3115,2.0789,2.0191,2.0537,2.0614,2.0983,1.5587,1.3867,1.4471,0.0715,0.0241,0.016,0.0103,1.5652,1.3653,1.4432,0.0944,0.0088,0.0267,0.0256,0.0121,2.7419,2.6908,0.9684,0.9168,0.8055,3.3956,4.4385,1.4825,1.5394,1.4166,-402.22,12.8
